Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,49.01,49.81,49.81,48.78,26.71K,-1.63%
Apr 18  2016,49.82,49.96,50.68,49.65,28.76K,-0.86%
Apr 15  2016,50.25,49.93,50.25,49.48,44.30K,1.54%
Apr 14  2016,49.49,49.62,50.07,48.78,23.72K,-0.94%
Apr 13  2016,49.96,48.47,50.00,48.47,49.40K,3.33%
Apr 12  2016,48.35,48.80,48.96,48.25,22.06K,-0.80%
Apr 11  2016,48.74,49.18,49.38,48.22,21.66K,-0.04%
Apr 08  2016,48.76,48.90,49.02,47.84,30.12K,-0.08%
Apr 07  2016,48.80,48.57,48.90,48.25,27.48K,0.49%
Apr 06  2016,48.56,48.84,48.88,48.18,27.51K,-0.25%
Apr 05  2016,48.68,47.71,49.07,47.56,33.81K,1.63%
Apr 04  2016,47.90,48.18,48.32,47.23,45.41K,-0.60%
Apr 01  2016,48.19,49.21,49.33,48.16,51.13K,-2.07%
Mar 31  2016,49.21,47.57,49.45,47.57,40.61K,3.17%
Mar 30  2016,47.70,47.14,48.29,46.59,48.90K,1.75%
Mar 29  2016,46.88,46.68,47.45,46.46,88.62K,0.88%
Mar 28  2016,46.47,46.67,46.69,45.53,38.72K,-0.47%
Mar 24  2016,46.69,46.31,47.00,45.65,34.49K,0.60%
Mar 23  2016,46.41,45.87,46.87,45.81,32.81K,1.60%
Mar 22  2016,45.68,45.23,46.18,45.02,51.20K,0.22%
Mar 21  2016,45.58,45.12,45.75,44.79,21.69K,0.68%
Mar 18  2016,45.27,45.09,45.59,44.72,63.13K,0.60%
Mar 17  2016,45.00,44.83,45.39,44.27,61.79K,0.42%
Mar 16  2016,44.81,45.90,46.10,44.75,77.09K,-1.65%
Mar 15  2016,45.56,47.91,48.06,45.53,57.13K,-5.10%
Mar 14  2016,48.01,48.19,48.77,47.80,61.58K,0.29%
Mar 11  2016,47.87,47.79,48.35,47.10,28.36K,0.57%
Mar 10  2016,47.60,47.19,47.80,46.71,18.25K,1.34%
Mar 09  2016,46.97,48.68,48.71,46.45,87.53K,-3.33%
Mar 08  2016,48.59,48.48,49.16,48.12,34.65K,0.06%
Mar 07  2016,48.56,47.82,48.80,47.66,34.11K,1.12%
Mar 04  2016,48.02,48.59,48.98,47.60,61.57K,-1.48%
Mar 03  2016,48.74,48.11,48.79,48.00,47.77K,1.80%
Mar 02  2016,47.88,46.33,47.94,46.22,66.02K,2.90%
Mar 01  2016,46.53,46.37,46.86,46.00,50.28K,0.06%
Feb 29  2016,46.50,46.50,46.84,46.08,50.59K,-0.21%
Feb 26  2016,46.60,45.58,46.75,45.36,59.60K,2.33%
Feb 25  2016,45.54,45.64,45.76,45.25,47.17K,-0.09%
Feb 24  2016,45.58,45.50,45.83,45.33,21.15K,-0.26%
Feb 23  2016,45.70,45.98,45.98,45.21,194.85K,0.37%
Feb 22  2016,45.53,45.75,46.00,45.23,58.14K,0.04%
Feb 19  2016,45.51,44.59,45.80,44.41,45.28K,2.15%
Feb 18  2016,44.55,44.41,45.12,44.26,93.80K,0.09%
Feb 17  2016,44.51,46.25,46.26,43.82,107.94K,-3.07%
Feb 16  2016,45.92,46.00,46.08,45.10,104.45K,0.95%
Feb 12  2016,45.49,46.49,46.49,44.33,46.55K,-1.11%
Feb 11  2016,46.00,45.16,46.00,44.73,104.97K,0.07%
Feb 10  2016,45.97,44.65,46.15,44.65,60.87K,3.96%
Feb 09  2016,44.22,43.49,45.04,43.26,206.05K,0.36%
Feb 08  2016,44.06,44.40,44.40,43.25,78.55K,-2.07%
Feb 05  2016,44.99,47.43,48.76,44.42,88.41K,-5.14%
Feb 04  2016,47.43,47.42,47.90,46.97,82.10K,-0.32%
Feb 03  2016,47.58,51.40,51.51,47.16,130.51K,-6.47%
Feb 02  2016,50.87,53.87,54.04,50.79,103.07K,-5.87%
Feb 01  2016,54.04,55.00,56.78,52.60,160.07K,-11.24%
Jan 29  2016,60.88,59.83,61.05,59.55,68.53K,1.75%
Jan 28  2016,59.83,60.07,61.19,59.56,43.46K,0.64%
Jan 27  2016,59.45,60.01,60.01,59.00,26.07K,-1.65%
Jan 26  2016,60.45,58.00,61.00,57.95,69.65K,4.01%
Jan 25  2016,58.12,59.39,60.47,57.89,202.10K,-1.84%
Jan 22  2016,59.21,58.90,59.24,57.68,73.03K,2.60%
Jan 21  2016,57.71,59.16,59.87,57.42,61.80K,-1.16%
Jan 20  2016,58.39,55.37,59.01,55.37,261.79K,1.27%
Jan 19  2016,57.66,55.00,57.78,55.00,126.74K,4.89%
Jan 18  2016,54.97,56.10,56.56,53.68,32.05K,-4.30%
