Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,17.50,17.20,17.50,17.20,362.18K,2.04%
Apr 18  2016,17.15,17.11,17.30,17.11,285.65K,0.18%
Apr 15  2016,17.12,17.02,17.18,16.98,703.88K,0.41%
Apr 14  2016,17.05,17.11,17.14,17.00,155.23K,-0.29%
Apr 13  2016,17.10,17.08,17.17,17.03,324.08K,0.71%
Apr 12  2016,16.98,17.16,17.24,16.98,386.15K,-0.82%
Apr 11  2016,17.12,17.15,17.24,17.12,232.31K,0.12%
Apr 08  2016,17.10,16.95,17.11,16.86,262.28K,1.36%
Apr 07  2016,16.87,17.11,17.14,16.83,330.45K,-1.06%
Apr 06  2016,17.05,17.25,17.32,17.05,316.91K,-1.10%
Apr 05  2016,17.24,17.17,17.31,17.11,166.98K,0.06%
Apr 04  2016,17.23,17.30,17.33,17.20,229.11K,-0.23%
Apr 01  2016,17.27,17.14,17.27,17.07,200.28K,0.41%
Mar 31  2016,17.20,17.03,17.21,17.03,365.61K,0.64%
Mar 30  2016,17.09,17.00,17.18,16.98,195.67K,0.89%
Mar 29  2016,16.94,16.96,16.98,16.88,137.24K,-0.35%
Mar 28  2016,17.00,16.85,17.00,16.81,451.48K,1.07%
Mar 24  2016,16.82,16.88,16.89,16.71,395.82K,-0.53%
Mar 23  2016,16.91,17.25,17.25,16.88,398.96K,-1.91%
Mar 22  2016,17.24,17.21,17.28,17.12,262.77K,0.12%
Mar 21  2016,17.22,16.90,17.26,16.89,400.51K,1.89%
Mar 18  2016,16.90,17.17,17.25,16.90,1.12M,-1.29%
Mar 17  2016,17.12,17.10,17.38,17.09,406.17K,0.41%
Mar 16  2016,17.05,16.83,17.10,16.81,346.87K,1.43%
Mar 15  2016,16.81,16.84,16.84,16.68,335.11K,0.06%
Mar 14  2016,16.80,16.68,16.81,16.56,635.78K,0.84%
Mar 11  2016,16.66,16.74,16.82,16.62,376.60K,0.30%
Mar 10  2016,16.61,16.62,16.72,16.50,430.54K,0.67%
Mar 09  2016,16.50,16.36,16.60,16.34,398.70K,1.41%
Mar 08  2016,16.27,16.20,16.33,16.13,225.58K,0.68%
Mar 07  2016,16.16,16.33,16.40,16.08,431.13K,-0.43%
Mar 04  2016,16.23,15.85,16.25,15.83,394.86K,2.72%
Mar 03  2016,15.80,15.89,15.93,15.71,343.83K,-0.06%
Mar 02  2016,15.81,15.67,15.93,15.67,350.64K,0.89%
Mar 01  2016,15.67,15.37,15.71,15.36,299.89K,2.55%
Feb 29  2016,15.28,15.33,15.44,15.25,192.62K,0.46%
