Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,10.19,10.19,10.25,10.18,151.61K,0.00%
Apr 18  2016,10.19,9.90,10.20,9.90,114.54K,2.93%
Apr 15  2016,9.90,9.84,10.17,9.84,38.11K,-1.49%
Apr 14  2016,10.05,10.40,10.40,9.96,56.20K,-3.27%
Apr 13  2016,10.39,10.30,10.53,10.19,193.27K,1.56%
Apr 12  2016,10.23,10.23,10.25,10.14,60.00K,0.69%
Apr 11  2016,10.16,10.01,10.26,10.01,64.95K,1.20%
Apr 08  2016,10.04,10.07,10.09,9.97,51.04K,0.20%
Apr 07  2016,10.02,10.05,10.09,10.00,133.24K,-0.40%
Apr 06  2016,10.06,10.20,10.20,10.00,86.70K,-1.18%
Apr 05  2016,10.18,10.10,10.20,10.06,36.95K,0.10%
Apr 04  2016,10.17,10.04,10.17,9.97,95.09K,1.90%
Apr 01  2016,9.98,10.18,10.24,9.95,47.46K,-1.58%
Mar 31  2016,10.14,10.20,10.28,10.11,89.95K,-0.98%
Mar 30  2016,10.24,10.48,10.59,10.07,102.54K,-1.63%
Mar 29  2016,10.41,10.40,10.71,10.40,80.49K,-0.38%
Mar 28  2016,10.45,10.13,10.64,10.13,69.00K,3.26%
Mar 24  2016,10.12,10.05,10.24,9.77,50.55K,-0.59%
Mar 23  2016,10.18,10.77,10.85,10.12,105.09K,-5.57%
Mar 22  2016,10.78,10.58,10.85,10.58,92.94K,1.13%
Mar 21  2016,10.66,10.63,10.79,10.56,98.51K,-1.20%
Mar 18  2016,10.79,10.86,10.88,10.65,96.32K,-0.19%
Mar 17  2016,10.81,10.51,10.85,10.50,62.24K,3.05%
Mar 16  2016,10.49,10.40,10.54,10.33,92.26K,0.96%
Mar 15  2016,10.39,10.46,10.55,10.19,57.83K,-1.05%
Mar 14  2016,10.50,10.43,10.58,10.21,118.00K,0.77%
Mar 11  2016,10.42,10.01,10.50,10.01,155.70K,4.72%
Mar 10  2016,9.95,9.96,10.12,9.87,143.86K,1.22%
Mar 09  2016,9.83,9.91,9.98,9.70,71.21K,0.10%
Mar 08  2016,9.82,9.53,9.91,9.52,136.54K,2.08%
Mar 07  2016,9.62,9.24,9.73,9.24,266.15K,2.45%
Mar 04  2016,9.39,9.75,9.75,9.23,109.64K,-3.10%
Mar 03  2016,9.69,9.77,9.86,9.64,97.80K,-2.12%
Mar 02  2016,9.90,9.93,9.99,9.60,216.24K,-0.70%
Mar 01  2016,9.97,9.86,10.28,9.71,142.70K,2.26%
Feb 29  2016,9.75,9.83,10.03,9.67,104.39K,-0.41%
Feb 26  2016,9.79,10.08,10.18,9.74,83.13K,-2.10%
Feb 25  2016,10.00,9.78,10.14,9.74,97.15K,2.25%
Feb 24  2016,9.78,9.50,9.81,9.32,105.86K,1.35%
Feb 23  2016,9.65,9.52,9.78,9.52,115.26K,0.31%
Feb 22  2016,9.62,9.46,9.79,9.42,115.13K,3.33%
Feb 19  2016,9.31,9.27,9.37,9.19,69.02K,-1.17%
Feb 18  2016,9.42,9.57,9.65,9.32,119.32K,-0.95%
Feb 17  2016,9.51,8.81,9.55,8.81,163.50K,8.69%
Feb 16  2016,8.75,8.50,8.78,8.39,60.68K,4.54%
Feb 12  2016,8.37,8.16,8.38,8.04,86.14K,3.59%
Feb 11  2016,8.08,8.27,8.29,8.00,294.53K,-3.58%
