Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,31.65,32.00,32.09,31.44,618.29K,-0.85%
Apr 18  2016,31.92,30.75,32.05,30.55,435.40K,4.01%
Apr 15  2016,30.69,31.05,31.22,30.09,509.81K,-1.00%
Apr 14  2016,31.00,31.98,32.15,30.93,538.41K,-0.77%
Apr 13  2016,31.24,31.68,32.15,30.93,1.01M,-1.42%
Apr 12  2016,31.69,33.48,33.48,31.60,988.10K,-4.52%
Apr 11  2016,33.19,35.35,35.36,33.08,643.07K,-4.19%
Apr 08  2016,34.64,35.65,35.98,34.31,332.34K,-2.42%
Apr 07  2016,35.50,36.82,36.98,35.07,668.80K,-0.56%
Apr 06  2016,35.70,33.30,35.79,33.14,693.08K,8.35%
Apr 05  2016,32.95,34.19,34.20,32.90,520.67K,-2.17%
Apr 04  2016,33.68,33.35,35.07,33.35,742.41K,1.75%
Apr 01  2016,33.10,33.00,33.98,32.00,724.22K,-0.42%
Mar 31  2016,33.24,31.94,33.74,31.85,810.95K,5.42%
Mar 30  2016,31.53,31.05,32.89,30.74,1.13M,4.75%
Mar 29  2016,30.10,32.70,32.80,28.70,2.31M,-9.06%
Mar 28  2016,33.10,35.22,35.63,33.04,1.15M,-5.40%
Mar 24  2016,34.99,40.14,40.16,34.92,1.65M,-13.24%
Mar 23  2016,40.33,41.08,41.27,39.10,619.29K,-1.13%
Mar 22  2016,40.79,38.85,41.39,38.70,655.39K,5.65%
Mar 21  2016,38.61,35.00,38.84,34.88,826.68K,9.97%
Mar 18  2016,35.11,38.65,38.75,34.80,1.44M,-7.43%
Mar 17  2016,37.93,41.52,41.57,37.69,1.02M,-8.34%
Mar 16  2016,41.38,41.50,42.34,40.61,552.60K,0.46%
Mar 15  2016,41.19,43.83,44.00,39.47,1.29M,-8.28%
Mar 14  2016,44.91,45.89,46.63,44.80,358.20K,-2.24%
Mar 11  2016,45.94,43.89,46.10,43.89,469.27K,5.61%
Mar 10  2016,43.50,43.51,43.80,42.84,326.50K,0.76%
Mar 09  2016,43.17,43.56,44.00,42.80,291.16K,0.61%
Mar 08  2016,42.91,44.98,44.98,42.30,477.00K,-1.79%
Mar 07  2016,43.69,40.50,44.38,40.37,556.42K,8.14%
Mar 04  2016,40.40,40.10,40.89,39.78,341.69K,2.41%
Mar 03  2016,39.45,39.35,39.65,38.80,270.35K,0.25%
Mar 02  2016,39.35,39.76,40.50,39.05,336.84K,-0.83%
Mar 01  2016,39.68,39.40,40.34,39.05,308.72K,0.69%
Feb 29  2016,39.41,40.94,41.45,38.84,378.96K,-2.88%
Feb 26  2016,40.58,41.06,41.56,40.20,244.06K,-0.49%
Feb 25  2016,40.78,41.99,42.19,40.15,265.03K,-1.35%
Feb 24  2016,41.34,39.48,41.70,38.50,453.30K,4.66%
Feb 23  2016,39.50,38.04,39.69,38.01,269.41K,4.53%
Feb 22  2016,37.79,40.13,40.90,37.16,422.47K,-3.79%
Feb 19  2016,39.28,39.33,40.01,38.25,304.74K,-0.96%
Feb 18  2016,39.66,40.49,40.90,39.43,251.49K,-0.73%
Feb 17  2016,39.95,38.62,40.69,38.59,411.44K,4.64%
Feb 16  2016,38.18,37.71,38.25,36.53,345.48K,4.75%
Feb 12  2016,36.45,34.40,36.52,34.31,448.99K,8.22%
Feb 11  2016,33.68,34.46,34.55,33.30,531.42K,-5.53%
Feb 10  2016,35.65,36.25,36.97,35.45,548.23K,-1.03%
Feb 09  2016,36.02,37.86,38.00,35.88,797.29K,-6.05%
Feb 08  2016,38.34,40.24,40.24,37.40,643.07K,-6.65%
Feb 05  2016,41.07,41.55,41.75,40.50,295.84K,-0.63%
Feb 04  2016,41.33,38.58,41.33,38.22,448.80K,6.38%
Feb 03  2016,38.85,40.00,40.26,37.50,540.72K,-1.65%
Feb 02  2016,39.50,40.20,41.44,38.51,499.32K,-1.59%
Feb 01  2016,40.14,37.44,40.31,37.44,428.77K,4.89%
Jan 29  2016,38.27,37.06,38.85,37.02,597.47K,4.33%
Jan 28  2016,36.68,39.87,40.48,36.37,714.28K,-7.30%
Jan 27  2016,39.57,41.52,41.52,39.27,312.21K,-4.58%
Jan 26  2016,41.47,40.17,42.14,39.24,275.82K,3.34%
Jan 25  2016,40.13,41.10,41.20,39.88,289.27K,-2.26%
Jan 22  2016,41.06,40.74,42.20,40.74,433.52K,1.86%
Jan 21  2016,40.31,42.26,42.51,40.23,443.53K,-3.77%
