Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,533.00,536.76,538.56,529.38,22.76K,-0.86%
Apr 18  2016,537.63,534.98,544.00,530.01,26.60K,0.44%
Apr 15  2016,535.30,534.09,542.50,534.09,19.33K,0.17%
Apr 14  2016,534.39,532.45,544.00,526.01,20.09K,0.35%
Apr 13  2016,532.51,533.68,542.74,531.36,26.47K,-0.19%
Apr 12  2016,533.50,526.15,534.07,522.26,44.64K,1.18%
Apr 11  2016,527.29,527.85,528.00,520.55,21.09K,-0.34%
Apr 08  2016,529.09,532.51,537.46,526.03,25.81K,-0.03%
Apr 07  2016,529.23,531.40,531.68,509.15,82.75K,-0.93%
Apr 06  2016,534.18,544.23,547.11,533.90,65.73K,-1.78%
Apr 05  2016,543.85,538.14,547.14,535.00,32.34K,1.06%
Apr 04  2016,538.14,550.00,551.00,534.44,33.10K,-1.26%
Apr 01  2016,544.99,528.16,545.62,528.05,47.48K,2.48%
Mar 31  2016,531.79,538.63,540.29,530.00,46.55K,-1.52%
Mar 30  2016,540.00,539.65,543.07,534.36,35.05K,-0.15%
Mar 29  2016,540.80,523.39,543.03,523.30,36.37K,2.81%
Mar 28  2016,526.00,523.13,538.14,522.60,52.13K,-0.87%
Mar 24  2016,530.63,515.78,532.73,506.01,37.55K,3.84%
Mar 23  2016,511.00,516.23,517.23,508.01,22.81K,-0.47%
Mar 22  2016,513.40,510.72,518.26,505.32,39.44K,-0.08%
Mar 21  2016,513.80,501.56,513.80,501.08,28.89K,2.62%
Mar 18  2016,500.68,516.97,519.73,500.68,227.80K,-3.33%
Mar 17  2016,517.94,510.37,519.47,509.19,49.86K,1.72%
Mar 16  2016,509.18,508.10,517.00,504.98,35.51K,0.04%
Mar 15  2016,509.00,510.01,515.00,503.97,75.67K,-0.93%
Mar 14  2016,513.76,514.91,515.55,507.37,44.52K,-0.22%
Mar 11  2016,514.91,515.00,515.50,510.50,50.91K,0.35%
Mar 10  2016,513.10,518.55,520.00,506.25,42.43K,-0.54%
Mar 09  2016,515.87,521.99,522.00,512.37,53.20K,-0.55%
Mar 08  2016,518.72,523.51,529.00,516.42,63.50K,-1.71%
Mar 07  2016,527.72,528.42,538.00,521.75,69.86K,-0.58%
Mar 04  2016,530.78,561.13,561.13,530.50,66.63K,-5.06%
Mar 03  2016,559.07,557.61,560.00,551.15,45.35K,0.37%
Mar 02  2016,557.00,572.64,573.80,543.00,57.48K,-2.75%
Mar 01  2016,572.76,569.32,588.79,565.68,93.05K,1.46%
Feb 29  2016,564.52,550.64,564.71,550.06,66.92K,1.93%
Feb 26  2016,553.83,551.40,564.00,550.01,22.00K,0.49%
Feb 25  2016,551.12,555.00,555.00,543.60,96.47K,-0.84%
Feb 24  2016,555.81,539.90,557.65,532.01,59.93K,1.75%
Feb 23  2016,546.27,531.67,549.40,527.98,49.16K,2.07%
Feb 22  2016,535.21,525.00,537.69,525.00,114.87K,3.92%
Feb 19  2016,515.00,514.97,518.11,505.00,75.69K,0.00%
Feb 18  2016,515.00,522.98,538.62,515.00,137.15K,-0.76%
Feb 17  2016,518.95,511.34,518.95,507.00,85.32K,2.76%
Feb 16  2016,505.00,486.24,505.49,478.68,87.29K,5.16%
Feb 12  2016,480.24,477.39,480.85,470.00,61.61K,1.10%
Feb 11  2016,475.00,465.82,476.65,460.01,46.02K,0.26%
Feb 10  2016,473.77,479.23,491.36,471.50,129.86K,-0.16%
Feb 09  2016,474.51,443.11,480.44,440.05,96.20K,5.97%
Feb 08  2016,447.77,441.54,448.51,427.99,151.39K,0.02%
Feb 05  2016,447.67,455.01,469.82,437.25,117.74K,-3.84%
Feb 04  2016,465.56,477.34,480.00,463.47,88.79K,-2.81%
Feb 03  2016,479.00,493.99,493.99,478.00,74.28K,-2.55%
Feb 02  2016,491.51,507.23,512.86,488.15,51.81K,-4.05%
Feb 01  2016,512.26,515.02,515.99,507.38,55.91K,0.44%
Jan 29  2016,510.00,492.00,510.00,492.00,58.65K,3.88%
Jan 28  2016,490.97,500.17,502.20,459.38,116.75K,-1.41%
Jan 27  2016,497.99,514.47,516.96,497.65,48.00K,-3.68%
Jan 26  2016,517.04,514.97,523.99,505.03,30.06K,1.11%
Jan 25  2016,511.35,513.00,523.16,509.51,42.19K,-0.27%
Jan 22  2016,512.73,516.00,525.69,508.50,64.71K,0.73%
Jan 21  2016,509.00,510.00,518.41,505.50,68.77K,-0.36%
Jan 20  2016,510.83,498.48,510.84,489.00,116.48K,2.18%
Jan 19  2016,499.92,496.68,510.00,495.00,51.71K,1.62%
Jan 18  2016,491.93,513.61,516.00,485.00,89.32K,-5.03%
Jan 15  2016,517.99,505.03,521.24,505.03,59.02K,-0.35%
Jan 14  2016,519.81,512.08,529.19,512.08,57.48K,1.51%
Jan 13  2016,512.08,530.00,530.00,506.97,47.69K,-2.61%
Jan 12  2016,525.82,521.50,532.56,509.00,62.80K,1.90%
Jan 11  2016,516.00,509.61,529.53,505.25,91.78K,-0.72%
Jan 08  2016,519.72,517.23,535.69,517.23,82.68K,0.92%
Jan 07  2016,515.00,537.49,540.55,503.97,88.66K,-5.94%
