Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,11.72,11.91,11.97,11.67,289.21K,-1.76%
Apr 18  2016,11.93,11.85,12.00,11.82,537.47K,0.85%
Apr 15  2016,11.83,11.99,11.99,11.75,189.33K,-1.00%
Apr 14  2016,11.95,12.04,12.04,11.91,241.96K,-0.17%
Apr 13  2016,11.97,12.32,12.32,11.89,398.69K,0.00%
Apr 12  2016,11.97,12.01,12.14,11.91,335.13K,0.08%
Apr 11  2016,11.96,11.79,12.12,11.75,344.55K,1.96%
Apr 08  2016,11.73,11.86,11.93,11.65,246.06K,-0.17%
Apr 07  2016,11.75,11.97,12.00,11.64,252.40K,-2.00%
Apr 06  2016,11.99,11.86,12.06,11.77,304.69K,1.01%
Apr 05  2016,11.87,11.87,11.94,11.52,248.03K,-0.42%
Apr 04  2016,11.92,12.32,12.41,11.80,290.93K,-2.61%
Apr 01  2016,12.24,11.68,12.30,11.68,328.91K,4.08%
Mar 31  2016,11.76,11.95,11.95,11.67,388.39K,-0.17%
Mar 30  2016,11.78,11.59,11.99,11.55,777.65K,7.29%
Mar 29  2016,10.98,10.69,11.03,10.69,148.85K,2.43%
Mar 28  2016,10.72,10.72,10.75,10.56,159.84K,0.47%
Mar 24  2016,10.67,11.47,11.47,10.65,571.28K,-7.46%
Mar 23  2016,11.53,11.81,11.81,11.45,352.02K,-0.77%
Mar 22  2016,11.62,11.38,11.82,11.29,285.49K,1.93%
Mar 21  2016,11.40,11.25,11.46,11.20,199.78K,1.51%
Mar 18  2016,11.23,11.28,11.43,11.16,1.27M,0.18%
Mar 17  2016,11.21,11.06,11.35,11.06,347.83K,0.09%
Mar 16  2016,11.20,11.08,11.23,11.02,300.64K,1.17%
Mar 15  2016,11.07,11.03,11.27,10.97,254.61K,0.54%
Mar 14  2016,11.01,10.99,11.09,10.76,320.22K,2.42%
Mar 11  2016,10.75,10.80,10.93,10.70,231.65K,-0.46%
Mar 10  2016,10.80,10.62,11.04,10.60,315.27K,3.15%
Mar 09  2016,10.47,10.46,10.65,10.42,311.22K,0.48%
Mar 08  2016,10.42,10.57,10.57,10.42,370.74K,-0.57%
Mar 07  2016,10.48,10.61,10.74,10.43,416.30K,-1.41%
Mar 04  2016,10.63,10.60,10.72,10.57,315.33K,0.47%
Mar 03  2016,10.58,10.63,10.67,10.52,369.62K,-0.19%
Mar 02  2016,10.60,10.71,10.74,10.54,262.05K,-1.40%
Mar 01  2016,10.75,10.86,10.91,10.51,505.05K,-0.09%
Feb 29  2016,10.76,10.30,10.76,10.26,607.57K,4.77%
Feb 26  2016,10.27,9.86,10.31,9.77,443.72K,4.05%
Feb 25  2016,9.87,9.98,9.98,9.50,413.33K,-0.70%
Feb 24  2016,9.94,9.78,10.03,9.61,248.04K,1.12%
Feb 23  2016,9.83,10.00,10.09,9.79,241.63K,-1.50%
Feb 22  2016,9.98,9.80,10.04,9.71,441.13K,3.21%
Feb 19  2016,9.67,9.57,9.70,9.44,333.81K,0.73%
Feb 18  2016,9.60,9.55,9.64,9.46,387.17K,1.16%
Feb 17  2016,9.49,9.35,9.54,9.34,319.64K,1.82%
Feb 16  2016,9.32,9.30,9.35,9.24,355.00K,0.76%
Feb 12  2016,9.25,9.09,9.30,9.01,422.60K,3.58%
Feb 11  2016,8.93,9.08,9.08,8.74,797.63K,-2.72%
Feb 10  2016,9.18,9.25,9.34,9.16,530.74K,-2.13%
Feb 09  2016,9.38,9.35,9.42,9.12,653.64K,0.75%
Feb 08  2016,9.31,9.55,9.55,9.23,604.52K,-0.43%
Feb 05  2016,9.35,9.55,9.55,9.32,561.76K,-1.37%
Feb 04  2016,9.48,9.47,9.52,9.36,651.96K,0.32%
Feb 03  2016,9.45,9.81,9.81,9.38,1.17M,-4.06%
Feb 02  2016,9.85,10.06,10.11,9.73,425.68K,-2.09%
Feb 01  2016,10.06,9.76,10.25,9.53,607.22K,3.39%
Jan 29  2016,9.73,9.75,9.87,9.58,1.78M,-0.21%
Jan 28  2016,9.75,9.77,9.95,9.51,742.50K,0.62%
Jan 27  2016,9.69,9.32,9.97,9.32,1.85M,3.75%
Jan 26  2016,9.34,9.85,9.85,9.30,1.17M,-4.40%
Jan 25  2016,9.77,10.45,10.45,9.75,763.70K,-6.24%
Jan 22  2016,10.42,10.69,10.73,10.19,581.26K,-0.76%
Jan 21  2016,10.50,10.39,10.85,10.28,500.88K,1.16%
Jan 20  2016,10.38,10.42,10.50,9.93,1.57M,-4.24%
Jan 19  2016,10.84,11.26,11.30,10.82,1.04M,-3.13%
Jan 18  2016,11.19,11.70,11.90,11.11,495.90K,-2.78%
Jan 15  2016,11.51,11.12,11.65,11.00,752.92K,2.13%
Jan 14  2016,11.27,10.89,11.82,10.68,1.10M,4.55%
Jan 13  2016,10.78,12.33,12.59,10.43,1.22M,-7.94%
Jan 12  2016,11.71,11.91,12.37,11.43,501.77K,-1.51%
Jan 11  2016,11.89,10.80,11.95,10.80,562.08K,10.40%
Jan 08  2016,10.77,10.71,10.89,10.61,302.71K,0.65%
Jan 07  2016,10.70,10.78,10.86,10.55,367.68K,-1.20%
Jan 06  2016,10.83,10.98,10.98,10.60,387.70K,-1.63%
Jan 05  2016,11.01,11.24,11.28,10.93,267.87K,-2.05%
Jan 04  2016,11.24,10.67,11.30,10.60,261.23K,4.07%
Dec 31  2015,10.80,11.10,11.10,10.77,161.82K,-2.61%
Dec 30  2015,11.09,10.90,11.15,10.90,181.14K,1.46%
Dec 29  2015,10.93,10.90,10.97,10.81,219.34K,0.74%
Dec 24  2015,10.85,10.61,10.85,10.55,85.30K,1.97%
Dec 23  2015,10.64,10.51,10.88,10.48,298.91K,1.33%
Dec 22  2015,10.50,10.31,10.53,10.16,224.81K,1.55%
Dec 21  2015,10.34,10.50,10.50,10.22,247.65K,-1.15%
Dec 18  2015,10.46,10.01,10.51,10.00,435.54K,4.70%
Dec 17  2015,9.99,10.06,10.18,9.85,471.11K,-1.58%
Dec 16  2015,10.15,9.95,10.23,9.87,223.16K,2.84%
Dec 15  2015,9.87,9.55,9.94,9.44,186.91K,3.46%
Dec 14  2015,9.54,9.83,9.88,9.41,378.26K,-3.44%
Dec 11  2015,9.88,9.98,10.05,9.80,286.39K,-2.85%
Dec 10  2015,10.17,9.90,10.20,9.83,237.41K,2.94%
Dec 09  2015,9.88,9.80,10.05,9.75,305.30K,1.02%
Dec 08  2015,9.78,10.04,10.09,9.72,270.33K,-3.55%
Dec 07  2015,10.14,10.23,10.42,10.10,210.45K,-1.36%
Dec 04  2015,10.28,9.97,10.29,9.96,196.76K,3.21%
Dec 03  2015,9.96,10.43,10.43,9.94,277.56K,-4.69%
Dec 02  2015,10.45,10.56,10.65,10.40,178.49K,-0.57%
Dec 01  2015,10.51,10.52,10.66,10.43,229.08K,0.29%
Nov 30  2015,10.48,10.42,10.67,10.33,321.47K,1.26%
Nov 27  2015,10.35,10.17,10.40,9.91,209.59K,2.37%
Nov 26  2015,10.11,9.93,10.24,9.87,198.48K,2.22%
Nov 25  2015,9.89,9.75,10.00,9.67,388.90K,1.96%
Nov 24  2015,9.70,9.80,9.85,9.53,432.25K,-1.32%
Nov 23  2015,9.83,10.52,10.52,9.63,552.87K,-6.82%
Nov 20  2015,10.55,11.53,11.54,10.53,512.13K,-5.04%
Nov 19  2015,11.11,11.41,11.43,11.10,221.23K,-2.54%
Nov 18  2015,11.40,11.25,11.49,11.25,170.24K,1.15%
Nov 17  2015,11.27,11.42,11.42,11.08,256.57K,-1.31%
Nov 16  2015,11.42,11.44,11.69,11.39,342.90K,-0.09%
Nov 13  2015,11.43,11.81,11.86,11.40,180.93K,-3.38%
Nov 12  2015,11.83,11.92,12.07,11.78,176.13K,-2.23%
Nov 11  2015,12.10,12.13,12.16,11.95,129.39K,-0.33%
Nov 10  2015,12.14,12.22,12.22,12.00,153.78K,-0.16%
Nov 09  2015,12.16,12.20,12.30,12.08,102.63K,0.00%
Nov 06  2015,12.16,12.18,12.21,11.86,304.19K,-0.16%
Nov 05  2015,12.18,12.31,12.36,12.13,299.98K,-1.85%
Nov 04  2015,12.41,12.76,12.76,12.27,189.27K,-2.13%
Nov 03  2015,12.68,12.88,12.88,12.67,206.50K,0.40%
Nov 02  2015,12.63,12.50,12.68,12.50,638.19K,1.28%
Oct 30  2015,12.47,12.45,12.53,12.42,288.05K,0.16%
Oct 29  2015,12.45,12.32,12.50,12.26,167.42K,0.48%
Oct 28  2015,12.39,12.16,12.46,12.15,283.45K,1.56%
Oct 27  2015,12.20,12.44,12.51,12.11,387.71K,-1.85%
Oct 26  2015,12.43,12.61,12.61,12.35,284.91K,-0.88%
Oct 23  2015,12.54,12.47,12.60,12.21,522.61K,0.97%
