Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,17.10,17.14,17.24,17.02,122.77K,-0.64%
Apr 18  2016,17.21,17.25,17.56,17.19,305.36K,-0.58%
Apr 15  2016,17.31,17.44,17.59,17.24,305.75K,-1.03%
Apr 14  2016,17.49,17.38,17.56,16.97,713.43K,-1.63%
Apr 13  2016,17.78,17.87,17.95,17.45,130.84K,0.17%
Apr 12  2016,17.75,18.14,18.17,17.59,181.23K,-2.10%
Apr 11  2016,18.13,18.65,18.65,18.09,192.84K,-2.42%
Apr 08  2016,18.58,18.38,18.82,18.32,139.77K,1.42%
Apr 07  2016,18.32,18.41,18.47,18.23,237.38K,-0.05%
Apr 06  2016,18.33,18.28,18.46,18.07,186.07K,0.00%
Apr 05  2016,18.33,18.30,18.62,18.20,248.51K,-0.16%
Apr 04  2016,18.36,18.50,18.71,18.25,228.90K,-0.76%
Apr 01  2016,18.50,18.11,18.56,17.76,609.81K,2.49%
Mar 31  2016,18.05,17.91,18.38,17.87,462.15K,1.01%
Mar 30  2016,17.87,17.14,17.92,17.06,375.39K,4.50%
Mar 29  2016,17.10,17.06,17.31,16.96,335.40K,0.12%
Mar 28  2016,17.08,17.04,17.14,16.88,181.84K,0.89%
Mar 24  2016,16.93,16.73,17.10,16.73,257.53K,0.95%
Mar 23  2016,16.77,16.77,16.97,16.71,76.28K,0.12%
Mar 22  2016,16.75,16.88,16.88,16.59,378.27K,-0.77%
Mar 21  2016,16.88,16.83,17.00,16.78,174.27K,0.00%
Mar 18  2016,16.88,17.03,17.03,16.80,980.35K,-0.65%
Mar 17  2016,16.99,17.02,17.23,16.86,356.19K,-0.53%
Mar 16  2016,17.08,17.29,17.34,17.03,343.63K,-1.16%
Mar 15  2016,17.28,17.18,17.33,17.09,244.31K,0.70%
Mar 14  2016,17.16,17.26,17.31,17.00,456.18K,-0.17%
Mar 11  2016,17.19,17.05,17.21,16.91,168.33K,1.42%
Mar 10  2016,16.95,17.21,17.57,16.82,216.12K,-1.51%
Mar 09  2016,17.21,16.99,17.29,16.73,716.68K,1.77%
Mar 08  2016,16.91,16.84,16.96,16.62,602.71K,0.18%
Mar 07  2016,16.88,16.87,17.05,16.68,220.45K,-0.53%
Mar 04  2016,16.97,16.92,17.02,16.54,235.17K,-0.06%
Mar 03  2016,16.98,16.54,17.13,16.31,448.16K,2.85%
Mar 02  2016,16.51,16.37,16.64,15.67,1.24M,-2.25%
Mar 01  2016,16.89,16.78,17.25,16.66,1.26M,1.81%
Feb 29  2016,16.59,16.75,16.76,16.43,191.45K,0.18%
Feb 26  2016,16.56,16.95,16.95,16.35,314.63K,-2.07%
Feb 25  2016,16.91,16.09,16.93,15.96,537.77K,4.77%
Feb 24  2016,16.14,15.84,16.24,15.73,579.74K,2.28%
Feb 23  2016,15.78,15.50,15.82,15.50,180.37K,2.00%
Feb 22  2016,15.47,15.71,16.35,15.47,393.92K,0.26%
Feb 19  2016,15.43,14.57,15.79,14.57,406.33K,5.40%
Feb 18  2016,14.64,14.19,15.26,13.80,564.74K,7.25%
Feb 17  2016,13.65,13.51,13.70,13.42,261.78K,0.81%
Feb 16  2016,13.54,13.22,13.55,13.14,102.60K,3.60%
Feb 12  2016,13.07,12.86,13.10,12.79,139.51K,2.19%
Feb 11  2016,12.79,13.07,13.10,12.65,102.07K,-2.66%
Feb 10  2016,13.14,13.08,13.37,13.08,141.32K,1.08%
Feb 09  2016,13.00,13.10,13.18,12.67,473.50K,-1.29%
Feb 08  2016,13.17,13.75,13.82,13.13,408.03K,-4.91%
Feb 05  2016,13.85,13.94,14.06,13.80,133.50K,-0.65%
Feb 04  2016,13.94,14.34,14.34,13.90,335.45K,-3.19%
Feb 03  2016,14.40,14.42,14.51,14.12,143.92K,-0.35%
Feb 02  2016,14.45,14.11,14.53,13.95,317.87K,2.12%
Feb 01  2016,14.15,14.03,14.37,14.03,241.56K,-1.53%
Jan 29  2016,14.37,14.25,14.49,14.23,166.12K,1.13%
Jan 28  2016,14.21,14.24,14.30,14.13,209.96K,0.14%
Jan 27  2016,14.19,14.28,14.43,14.09,154.19K,-0.70%
Jan 26  2016,14.29,14.16,14.85,14.11,215.28K,0.85%
Jan 25  2016,14.17,14.14,14.39,13.94,259.08K,0.43%
Jan 22  2016,14.11,14.21,14.33,14.05,313.57K,0.07%
Jan 21  2016,14.10,14.50,14.59,14.05,181.63K,-2.76%
Jan 20  2016,14.50,14.11,14.55,13.61,671.43K,1.83%
Jan 19  2016,14.24,14.40,14.47,14.12,741.37K,1.79%
Jan 18  2016,13.99,14.64,14.64,13.52,177.80K,-3.18%
Jan 15  2016,14.45,14.52,14.65,14.07,308.22K,-2.17%
Jan 14  2016,14.77,14.96,15.03,14.62,375.63K,-1.14%
Jan 13  2016,14.94,15.50,15.52,14.90,146.26K,-3.30%
Jan 12  2016,15.45,15.39,15.63,15.19,196.80K,0.91%
Jan 11  2016,15.31,15.87,15.91,15.21,192.47K,-3.22%
Jan 08  2016,15.82,15.93,16.03,15.78,212.35K,-0.32%
Jan 07  2016,15.87,15.70,15.88,15.47,192.48K,0.44%
Jan 06  2016,15.80,15.30,15.91,15.30,509.41K,2.20%
Jan 05  2016,15.46,15.38,15.52,15.16,209.21K,0.59%
Jan 04  2016,15.37,15.09,15.42,15.04,220.02K,0.85%
Dec 31  2015,15.24,15.57,15.57,15.17,253.07K,-2.50%
Dec 30  2015,15.63,15.50,15.71,15.50,205.73K,0.84%
Dec 29  2015,15.50,15.30,15.55,15.21,274.70K,1.97%
Dec 24  2015,15.20,15.10,15.41,15.10,52.19K,0.73%
Dec 23  2015,15.09,14.94,15.13,14.83,100.83K,1.28%
Dec 22  2015,14.90,14.89,14.93,14.50,108.29K,0.07%
Dec 21  2015,14.89,14.62,14.91,14.60,136.47K,1.99%
Dec 18  2015,14.60,14.61,14.66,14.49,106.84K,-0.61%
Dec 17  2015,14.69,14.79,14.90,14.59,265.25K,-0.68%
Dec 16  2015,14.79,14.56,14.84,14.54,170.80K,1.79%
Dec 15  2015,14.53,14.32,14.55,14.26,133.16K,2.47%
Dec 14  2015,14.18,14.27,14.34,13.90,144.68K,-0.21%
Dec 11  2015,14.21,14.32,14.41,14.13,108.91K,-1.52%
Dec 10  2015,14.43,14.68,14.84,14.42,205.24K,-1.70%
Dec 09  2015,14.68,14.71,14.89,14.39,330.88K,0.07%
Dec 08  2015,14.67,13.98,14.80,13.90,215.73K,5.39%
Dec 07  2015,13.92,14.00,14.13,13.91,123.79K,-0.36%
Dec 04  2015,13.97,14.05,14.25,13.92,89.36K,-0.29%
Dec 03  2015,14.01,14.55,14.55,13.81,169.97K,-2.91%
Dec 02  2015,14.43,14.59,14.59,14.31,291.04K,-0.21%
Dec 01  2015,14.46,14.26,14.62,14.26,292.52K,3.36%
Nov 30  2015,13.99,14.05,14.10,13.83,171.75K,-0.64%
Nov 27  2015,14.08,13.97,14.16,13.92,56.89K,0.36%
Nov 26  2015,14.03,13.95,14.10,13.85,21.30K,0.36%
Nov 25  2015,13.98,13.83,14.20,13.65,172.62K,1.53%
Nov 24  2015,13.77,13.67,13.81,13.35,287.99K,0.81%
Nov 23  2015,13.66,13.71,13.79,13.62,165.68K,-0.36%
Nov 20  2015,13.71,13.49,13.82,13.39,321.56K,2.47%
Nov 19  2015,13.38,12.51,13.44,12.48,342.36K,6.87%
Nov 18  2015,12.52,12.45,12.54,12.28,141.00K,0.97%
Nov 17  2015,12.40,12.40,12.51,12.31,83.61K,0.16%
Nov 16  2015,12.38,12.24,12.38,12.12,190.60K,0.65%
Nov 13  2015,12.30,12.19,12.36,11.97,231.75K,0.57%
