Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,21.08,19.47,21.10,19.47,4.47M,9.85%
Apr 18  2016,19.19,18.04,19.47,18.03,5.32M,1.32%
Apr 15  2016,18.94,19.32,19.37,18.78,3.16M,-3.86%
Apr 14  2016,19.70,19.96,20.08,19.40,2.49M,-1.10%
Apr 13  2016,19.92,19.91,20.18,19.69,2.81M,0.20%
Apr 12  2016,19.88,18.57,20.15,18.49,5.04M,7.98%
Apr 11  2016,18.41,18.43,18.68,18.39,1.46M,0.49%
Apr 08  2016,18.32,18.03,18.55,18.00,4.35M,4.51%
Apr 07  2016,17.53,17.35,17.70,17.27,1.31M,-0.62%
Apr 06  2016,17.64,17.40,17.66,17.14,2.34M,3.16%
Apr 05  2016,17.10,17.08,17.29,16.98,1.77M,-0.70%
Apr 04  2016,17.22,17.17,17.47,16.99,1.60M,0.23%
Apr 01  2016,17.18,17.50,17.52,17.15,2.82M,-4.45%
Mar 31  2016,17.98,17.97,18.19,17.78,1.81M,0.06%
Mar 30  2016,17.97,18.35,18.68,17.95,2.50M,0.17%
Mar 29  2016,17.94,17.32,18.02,17.27,2.22M,0.67%
Mar 28  2016,17.82,17.72,17.94,17.37,1.96M,0.17%
Mar 24  2016,17.79,17.35,17.90,17.14,3.39M,-0.39%
Mar 23  2016,17.86,18.68,18.78,17.85,2.67M,-4.49%
Mar 22  2016,18.70,18.50,18.90,18.36,3.03M,0.59%
Mar 21  2016,18.59,18.83,19.09,18.51,2.36M,-1.48%
Mar 18  2016,18.87,19.24,19.44,18.75,5.85M,-1.10%
Mar 17  2016,19.08,18.50,19.18,18.37,3.92M,4.72%
Mar 16  2016,18.22,18.17,18.39,17.91,2.70M,1.84%
Mar 15  2016,17.89,17.60,17.89,17.44,2.85M,-0.11%
Mar 14  2016,17.91,17.89,18.09,17.63,2.83M,-2.34%
Mar 11  2016,18.34,17.89,18.53,17.77,4.08M,4.86%
Mar 10  2016,17.49,17.00,17.53,16.91,5.18M,0.81%
Mar 09  2016,17.35,17.40,18.16,17.13,8.31M,-2.42%
Mar 08  2016,17.78,18.75,18.77,17.61,3.42M,-4.92%
Mar 07  2016,18.70,18.32,18.80,18.30,3.77M,3.66%
Mar 04  2016,18.04,18.00,18.63,17.87,4.15M,1.46%
Mar 03  2016,17.78,17.36,17.88,17.22,3.04M,3.07%
Mar 02  2016,17.25,16.83,17.33,16.72,3.92M,1.65%
Mar 01  2016,16.97,16.71,16.98,16.41,2.67M,2.91%
Feb 29  2016,16.49,16.37,16.50,16.01,3.83M,1.79%
Feb 26  2016,16.20,16.48,16.71,16.05,2.50M,1.06%
Feb 25  2016,16.03,16.12,16.34,15.71,2.38M,-1.72%
Feb 24  2016,16.31,15.43,16.37,15.43,2.64M,1.87%
Feb 23  2016,16.01,16.40,16.51,15.67,2.69M,-3.15%
Feb 22  2016,16.53,16.30,16.60,16.26,2.92M,5.62%
Feb 19  2016,15.65,15.50,15.77,15.29,2.12M,-1.94%
Feb 18  2016,15.96,16.64,16.69,15.66,3.35M,-1.78%
Feb 17  2016,16.25,15.39,16.31,15.11,3.37M,8.77%
Feb 16  2016,14.94,14.87,14.95,14.51,2.27M,3.53%
Feb 12  2016,14.43,14.50,14.67,14.15,2.98M,3.15%
Feb 11  2016,13.99,13.22,14.13,13.05,3.76M,2.42%
Feb 10  2016,13.66,13.83,14.26,13.49,3.45M,-1.66%
Feb 09  2016,13.89,14.46,14.58,13.72,3.04M,-5.77%
Feb 08  2016,14.74,14.81,15.30,14.58,2.49M,-2.71%
Feb 05  2016,15.15,14.52,15.29,14.22,2.68M,3.48%
Feb 04  2016,14.64,14.99,15.35,14.53,3.04M,-0.88%
Feb 03  2016,14.77,14.20,14.77,13.65,3.27M,6.49%
Feb 02  2016,13.87,14.16,14.18,13.75,2.63M,-5.58%
Feb 01  2016,14.69,14.87,15.06,14.53,2.56M,-5.41%
Jan 29  2016,15.53,15.20,15.58,14.64,4.76M,4.93%
Jan 28  2016,14.80,14.45,14.95,13.95,5.96M,9.06%
Jan 27  2016,13.57,13.10,13.97,12.88,6.52M,2.34%
Jan 26  2016,13.26,13.14,13.52,12.69,3.21M,3.76%
Jan 25  2016,12.78,13.62,14.04,12.76,3.49M,-8.58%
Jan 22  2016,13.98,13.97,14.16,13.32,5.08M,8.54%
Jan 21  2016,12.88,12.25,13.30,12.15,5.49M,5.49%
Jan 20  2016,12.21,12.75,12.75,11.42,7.85M,-7.57%
Jan 19  2016,13.21,13.45,13.63,12.96,4.72M,0.23%
Jan 18  2016,13.18,13.01,13.25,12.90,1.49M,-0.75%
Jan 15  2016,13.28,12.71,13.52,12.59,3.76M,-5.01%
Jan 14  2016,13.98,13.06,14.01,12.85,3.39M,8.37%
Jan 13  2016,12.90,13.34,13.54,12.57,3.76M,-0.69%
Jan 12  2016,12.99,13.36,13.65,12.54,4.05M,-1.44%
Jan 11  2016,13.18,13.76,13.77,12.82,3.48M,-4.56%
Jan 08  2016,13.81,13.45,13.82,12.83,4.08M,5.58%
Jan 07  2016,13.08,14.48,14.49,13.05,5.81M,-11.92%
Jan 06  2016,14.85,15.01,15.10,14.68,2.72M,-4.26%
Jan 05  2016,15.51,15.61,15.69,15.21,2.31M,-1.27%
Jan 04  2016,15.71,16.14,16.53,15.58,3.18M,-2.54%
Dec 31  2015,16.12,15.85,16.27,15.80,1.23M,0.94%
Dec 30  2015,15.97,16.35,16.68,15.83,1.58M,-4.26%
Dec 29  2015,16.68,16.99,17.23,16.49,1.42M,-1.13%
Dec 24  2015,16.87,17.30,17.55,16.76,1.25M,-1.92%
Dec 23  2015,17.20,15.74,17.24,15.68,4.48M,12.57%
Dec 22  2015,15.28,15.34,15.63,15.21,2.42M,-0.91%
Dec 21  2015,15.42,15.51,16.00,15.35,2.23M,-1.66%
Dec 18  2015,15.68,15.17,15.95,15.15,4.40M,2.75%
Dec 17  2015,15.26,15.51,15.73,15.01,2.59M,-3.23%
Dec 16  2015,15.77,15.72,16.05,15.22,3.43M,-0.19%
Dec 15  2015,15.80,15.31,15.93,15.23,3.99M,5.40%
Dec 14  2015,14.99,15.13,15.38,14.77,3.44M,-3.17%
Dec 11  2015,15.48,15.50,15.58,15.08,3.70M,-2.15%
Dec 10  2015,15.82,15.56,15.99,15.45,3.17M,0.32%
Dec 09  2015,15.77,15.73,16.40,15.36,3.37M,1.68%
Dec 08  2015,15.51,15.19,16.30,15.01,4.19M,-0.83%
Dec 07  2015,15.64,16.50,16.54,15.57,4.72M,-8.16%
Dec 04  2015,17.03,17.25,17.32,16.85,3.31M,-3.79%
Dec 03  2015,17.70,17.77,18.07,17.54,1.85M,0.57%
Dec 02  2015,17.60,17.76,18.14,17.45,3.33M,-1.84%
Dec 01  2015,17.93,17.42,17.98,17.34,1.95M,2.63%
Nov 30  2015,17.47,17.30,17.66,17.25,2.69M,1.93%
Nov 27  2015,17.14,17.41,17.64,17.06,1.67M,-2.06%
Nov 26  2015,17.50,17.80,17.95,17.45,642.29K,-1.85%
Nov 25  2015,17.83,17.78,18.19,17.58,2.01M,-0.61%
Nov 24  2015,17.94,17.64,18.07,17.56,3.55M,3.70%
Nov 23  2015,17.30,16.82,17.50,16.71,2.71M,2.55%
Nov 20  2015,16.87,17.39,17.58,16.83,2.47M,-2.88%
Nov 19  2015,17.37,17.75,18.03,17.35,1.71M,-3.50%
Nov 18  2015,18.00,17.99,18.30,17.57,2.71M,1.29%
Nov 17  2015,17.77,17.83,18.14,17.49,2.45M,-1.77%
Nov 16  2015,18.09,17.18,18.10,17.07,2.39M,5.36%
Nov 13  2015,17.17,16.81,17.39,16.60,2.44M,1.78%
Nov 12  2015,16.87,17.29,17.72,16.86,3.09M,-4.20%
Nov 11  2015,17.61,18.35,18.42,17.56,3.30M,-3.72%
Nov 10  2015,18.29,17.97,18.46,17.87,2.51M,1.05%
Nov 09  2015,18.10,18.49,18.80,18.03,2.22M,-1.68%
Nov 06  2015,18.41,18.33,18.41,17.74,2.79M,-0.91%
Nov 05  2015,18.58,18.67,19.22,18.50,2.11M,-2.26%
Nov 04  2015,19.01,19.59,19.71,18.77,2.68M,-2.76%
Nov 03  2015,19.55,18.67,19.79,18.67,4.10M,6.77%
Nov 02  2015,18.31,17.60,18.44,17.56,2.40M,2.75%
Oct 30  2015,17.82,17.92,18.09,17.29,4.03M,-0.06%
Oct 29  2015,17.83,18.32,18.84,17.83,3.24M,-1.44%
Oct 28  2015,18.09,17.49,18.42,17.42,3.21M,3.49%
Oct 27  2015,17.48,17.39,17.52,17.10,3.27M,-2.24%
Oct 26  2015,17.88,18.14,18.21,17.64,2.11M,-1.81%
Oct 23  2015,18.21,18.40,18.54,17.86,3.62M,-1.35%
Oct 22  2015,18.46,18.35,18.80,18.11,2.18M,2.10%
Oct 21  2015,18.08,18.34,18.34,17.50,3.43M,-1.74%
Oct 20  2015,18.40,18.23,19.09,18.11,2.53M,1.04%
Oct 19  2015,18.21,19.03,19.25,18.11,3.54M,-6.71%
Oct 16  2015,19.52,19.87,20.18,19.36,2.64M,-0.61%
Oct 15  2015,19.64,19.48,19.72,18.88,2.74M,-0.51%
Oct 14  2015,19.74,19.17,19.89,19.11,2.63M,2.02%
Oct 13  2015,19.35,19.32,20.21,19.08,2.80M,-3.87%
Oct 09  2015,20.13,20.80,20.87,19.95,2.79M,-1.61%
Oct 08  2015,20.46,19.92,20.48,19.65,4.03M,3.02%
Oct 07  2015,19.86,19.75,20.14,19.16,5.95M,5.02%
Oct 06  2015,18.91,17.81,19.56,17.69,6.47M,7.38%
Oct 05  2015,17.61,17.00,17.88,16.94,3.67M,6.53%
Oct 02  2015,16.53,15.24,16.60,15.20,2.53M,6.92%
Oct 01  2015,15.46,15.62,15.97,15.14,2.87M,1.24%
Sep 30  2015,15.27,15.00,15.53,14.80,2.92M,1.60%
Sep 29  2015,15.03,15.03,15.16,14.76,6.02M,0.80%
Sep 28  2015,14.91,15.07,15.16,14.58,3.63M,-3.93%
Sep 25  2015,15.52,15.88,15.97,15.45,2.17M,-0.51%
Sep 24  2015,15.60,15.62,16.07,15.49,3.39M,-1.83%
Sep 23  2015,15.89,17.15,17.18,15.83,3.44M,-6.36%
Sep 22  2015,16.97,17.13,17.30,16.86,2.41M,-3.30%
Sep 21  2015,17.55,17.30,17.84,17.24,2.87M,2.99%
Sep 18  2015,17.04,16.95,17.22,16.65,10.75M,-1.50%
Sep 17  2015,17.30,17.22,17.55,17.00,3.51M,0.46%
Sep 16  2015,17.22,16.56,17.24,16.45,6.07M,5.71%
Sep 15  2015,16.29,16.38,16.75,16.11,2.75M,0.06%
Sep 14  2015,16.28,16.46,16.59,16.25,2.14M,-1.63%
Sep 11  2015,16.55,16.41,16.65,16.31,2.91M,-0.66%
Sep 10  2015,16.66,16.41,16.93,16.23,3.07M,1.71%
Sep 09  2015,16.38,16.77,16.93,16.29,2.90M,-0.97%
Sep 08  2015,16.54,16.67,17.16,16.43,2.83M,-0.48%
Sep 04  2015,16.62,16.16,17.03,16.01,3.67M,0.97%
Sep 03  2015,16.46,16.29,16.87,15.91,3.69M,1.92%
Sep 02  2015,16.15,16.33,16.56,15.34,4.60M,0.44%
Sep 01  2015,16.08,16.27,16.60,15.55,5.05M,-4.74%
Aug 31  2015,16.88,15.30,16.88,14.69,6.16M,10.11%
Aug 28  2015,15.33,14.73,15.83,14.60,5.26M,4.00%
Aug 27  2015,14.74,14.13,15.45,14.00,5.64M,8.30%
Aug 26  2015,13.61,13.15,13.67,12.68,3.81M,6.41%
Aug 25  2015,12.79,13.66,13.73,12.76,4.07M,1.11%
Aug 24  2015,12.65,11.77,13.11,11.31,5.61M,-5.46%
Aug 21  2015,13.38,13.70,14.09,13.31,4.55M,-4.90%
Aug 20  2015,14.07,14.47,14.73,14.06,4.10M,-4.48%
Aug 19  2015,14.73,15.59,15.59,14.37,5.57M,-6.71%
Aug 18  2015,15.79,16.40,16.40,15.62,3.74M,-3.31%
Aug 17  2015,16.33,16.33,16.54,16.01,2.73M,-1.86%
Aug 14  2015,16.64,17.60,17.89,16.52,6.03M,-5.35%
Aug 13  2015,17.58,17.54,18.50,17.53,6.43M,-1.62%
Aug 12  2015,17.87,18.02,18.26,17.75,3.14M,-0.83%
Aug 11  2015,18.02,18.18,18.28,17.55,3.70M,-4.86%
Aug 10  2015,18.94,18.20,19.00,17.97,2.50M,4.41%
Aug 07  2015,18.14,18.84,19.37,18.03,2.77M,-4.32%
Aug 06  2015,18.96,18.28,19.00,17.80,3.24M,2.76%
Aug 05  2015,18.45,19.15,19.73,18.30,3.16M,-2.89%
Aug 04  2015,19.00,19.44,20.05,18.85,2.51M,-4.09%
Jul 31  2015,19.81,20.21,20.23,19.73,2.50M,-1.93%
Jul 30  2015,20.20,19.50,20.21,19.07,3.37M,4.02%
Jul 29  2015,19.42,19.00,19.61,18.57,3.59M,1.57%
Jul 28  2015,19.12,19.00,19.32,18.48,3.43M,1.97%
Jul 27  2015,18.75,19.41,19.51,18.67,3.53M,-5.40%
Jul 24  2015,19.82,20.48,20.48,19.70,3.24M,-3.08%
Jul 23  2015,20.45,21.16,21.24,20.03,3.14M,-2.62%
Jul 22  2015,21.00,21.50,21.56,20.84,2.40M,-3.80%
Jul 21  2015,21.83,21.95,22.36,21.65,1.85M,0.46%
Jul 20  2015,21.73,22.39,22.42,21.70,1.84M,-3.08%
Jul 17  2015,22.42,22.90,22.90,22.05,2.30M,-1.67%
Jul 16  2015,22.80,23.40,23.42,22.72,2.57M,-1.30%
Jul 15  2015,23.10,23.25,23.75,22.90,2.80M,-1.03%
Jul 14  2015,23.34,22.71,23.61,22.68,5.42M,2.37%
Jul 13  2015,22.80,24.17,24.17,22.57,5.57M,-4.76%
Jul 10  2015,23.94,25.30,25.35,23.88,3.41M,-4.28%
Jul 09  2015,25.01,25.69,25.84,24.97,2.35M,-0.91%
Jul 08  2015,25.24,25.87,26.18,25.15,1.71M,-3.18%
Jul 07  2015,26.07,25.78,26.16,24.91,2.85M,1.01%
Jul 06  2015,25.81,25.23,25.81,25.02,5.24M,0.70%
Jul 03  2015,25.63,25.81,25.81,25.36,722.00K,0.31%
Jul 02  2015,25.55,25.32,25.86,25.14,5.17M,-0.31%
Jun 30  2015,25.63,25.76,26.00,25.49,1.80M,0.51%
Jun 29  2015,25.50,25.83,26.00,25.41,1.61M,-2.75%
Jun 26  2015,26.22,26.66,26.70,26.10,1.70M,-2.64%
Jun 25  2015,26.93,27.21,27.38,26.90,1.50M,-1.28%
Jun 24  2015,27.28,27.29,27.65,26.92,1.58M,0.00%
Jun 23  2015,27.28,26.68,27.33,26.62,1.33M,2.21%
Jun 22  2015,26.69,26.80,27.03,26.50,1.58M,-0.56%
Jun 19  2015,26.84,26.96,27.33,26.68,4.37M,-1.83%
Jun 18  2015,27.34,27.27,27.48,27.16,1.01M,0.40%
Jun 17  2015,27.23,27.93,28.09,27.15,1.77M,-1.63%
Jun 16  2015,27.68,27.14,27.77,27.05,1.76M,2.37%
Jun 15  2015,27.04,26.76,27.04,26.48,1.10M,0.30%
Jun 12  2015,26.96,27.15,27.15,26.84,1.10M,-1.28%
Jun 11  2015,27.31,27.56,27.56,27.05,1.09M,-0.58%
Jun 10  2015,27.47,27.70,27.70,27.31,1.55M,1.25%
Jun 09  2015,27.13,26.89,27.23,26.80,1.57M,2.42%
Jun 08  2015,26.49,27.30,27.31,26.26,2.22M,-2.82%
Jun 05  2015,27.26,27.19,27.51,26.90,2.26M,-0.26%
Jun 04  2015,27.33,27.97,27.97,27.27,2.94M,-2.50%
Jun 03  2015,28.03,28.36,28.50,28.01,1.57M,-1.44%
Jun 02  2015,28.44,28.19,28.53,28.10,4.27M,1.46%
