Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,4.39,4.17,4.40,4.08,1.12M,7.33%
Apr 18  2016,4.09,3.79,4.12,3.78,1.36M,4.07%
Apr 15  2016,3.93,4.02,4.02,3.87,931.24K,-4.15%
Apr 14  2016,4.10,4.35,4.35,4.00,918.54K,-5.53%
Apr 13  2016,4.34,4.17,4.39,4.16,1.39M,1.88%
Apr 12  2016,4.26,3.86,4.31,3.81,2.06M,12.40%
Apr 11  2016,3.79,3.96,3.99,3.73,889.50K,-2.32%
Apr 08  2016,3.88,3.81,3.95,3.78,1.01M,5.43%
Apr 07  2016,3.68,3.62,3.79,3.62,1.39M,-0.81%
Apr 06  2016,3.71,3.57,3.76,3.54,796.10K,5.70%
Apr 05  2016,3.51,3.58,3.59,3.46,417.29K,-2.50%
Apr 04  2016,3.60,3.86,3.86,3.60,497.36K,-5.01%
Apr 01  2016,3.79,3.78,3.87,3.72,814.62K,-1.56%
Mar 31  2016,3.85,3.84,3.90,3.81,775.05K,0.26%
Mar 30  2016,3.84,3.89,3.97,3.80,361.99K,1.05%
Mar 29  2016,3.80,3.68,3.81,3.60,334.82K,1.06%
Mar 28  2016,3.76,3.85,3.90,3.70,296.76K,-1.83%
Mar 24  2016,3.83,3.76,3.90,3.69,514.67K,-0.52%
Mar 23  2016,3.85,3.93,4.05,3.79,628.44K,-5.41%
Mar 22  2016,4.07,4.14,4.19,4.05,595.86K,-3.10%
Mar 21  2016,4.20,4.15,4.23,4.08,752.79K,0.48%
Mar 18  2016,4.18,4.08,4.20,4.02,1.22M,3.21%
Mar 17  2016,4.05,4.00,4.10,3.93,951.57K,4.65%
Mar 16  2016,3.87,3.97,3.99,3.73,1.12M,0.52%
Mar 15  2016,3.85,3.95,3.95,3.73,463.99K,-4.94%
Mar 14  2016,4.05,4.07,4.09,3.89,409.49K,-3.34%
Mar 11  2016,4.19,4.00,4.22,3.96,928.22K,6.62%
Mar 10  2016,3.93,3.80,4.12,3.76,907.48K,2.61%
Mar 09  2016,3.83,4.03,4.03,3.81,775.34K,-1.29%
Mar 08  2016,3.88,3.91,4.05,3.76,1.26M,-1.77%
Mar 07  2016,3.95,4.06,4.06,3.82,1.56M,1.28%
Mar 04  2016,3.90,3.81,4.13,3.75,1.56M,6.85%
Mar 03  2016,3.65,3.66,3.85,3.57,1.19M,-0.54%
Mar 02  2016,3.67,3.40,3.71,3.36,1.87M,6.07%
Mar 01  2016,3.46,3.26,3.47,3.13,1.40M,8.12%
Feb 29  2016,3.20,3.42,3.45,3.19,862.82K,-4.48%
Feb 26  2016,3.35,3.38,3.54,3.31,1.11M,2.76%
Feb 25  2016,3.26,3.35,3.35,3.08,825.80K,-2.69%
Feb 24  2016,3.35,3.01,3.35,2.97,1.16M,9.48%
Feb 23  2016,3.06,3.10,3.12,2.99,809.05K,-1.92%
Feb 22  2016,3.12,3.20,3.25,3.10,878.50K,1.96%
Feb 19  2016,3.06,3.10,3.11,2.91,732.31K,-4.38%
Feb 18  2016,3.20,3.38,3.41,3.15,1.16M,-1.54%
Feb 17  2016,3.25,3.13,3.29,3.10,936.54K,7.62%
Feb 16  2016,3.02,3.14,3.14,2.99,954.30K,-0.66%
Feb 12  2016,3.04,3.12,3.17,3.00,701.87K,2.01%
Feb 11  2016,2.98,2.89,3.03,2.84,1.78M,1.71%
Feb 10  2016,2.93,3.04,3.09,2.86,1.08M,-4.56%
Feb 09  2016,3.07,3.45,3.45,3.02,748.55K,-11.27%
Feb 08  2016,3.46,3.45,3.57,3.42,485.32K,-1.70%
Feb 05  2016,3.52,3.50,3.57,3.38,1.13M,-1.12%
Feb 04  2016,3.56,3.72,3.80,3.54,1.23M,-1.66%
Feb 03  2016,3.62,3.46,3.63,3.30,742.62K,6.78%
Feb 02  2016,3.39,3.49,3.54,3.38,779.05K,-7.88%
Feb 01  2016,3.68,3.77,3.85,3.64,1.56M,-4.66%
Jan 29  2016,3.86,3.97,4.13,3.82,934.71K,-0.52%
Jan 28  2016,3.88,3.89,3.98,3.70,1.00M,5.43%
Jan 27  2016,3.68,3.50,3.95,3.50,1.08M,2.51%
Jan 26  2016,3.59,3.36,3.63,3.36,643.36K,7.49%
Jan 25  2016,3.34,3.52,3.66,3.31,623.11K,-6.18%
Jan 22  2016,3.56,3.75,3.79,3.48,1.43M,5.64%
Jan 21  2016,3.37,3.06,3.50,2.97,1.04M,9.77%
Jan 20  2016,3.07,2.87,3.16,2.65,1.94M,4.78%
Jan 19  2016,2.93,3.28,3.29,2.86,1.96M,-8.15%
Jan 18  2016,3.19,3.28,3.31,3.15,316.82K,-5.06%
Jan 15  2016,3.36,3.27,3.48,3.22,999.87K,-4.55%
Jan 14  2016,3.52,3.40,3.58,3.23,749.32K,5.39%
