Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,14.19,14.35,14.35,14.10,86.87K,-0.63%
Apr 18  2016,14.28,14.18,14.37,14.12,78.55K,0.92%
Apr 15  2016,14.15,13.99,14.20,13.99,252.74K,1.14%
Apr 14  2016,13.99,14.07,14.10,13.92,292.00K,-0.57%
Apr 13  2016,14.07,14.07,14.11,14.04,302.80K,0.00%
Apr 12  2016,14.07,14.13,14.13,14.05,74.34K,-0.42%
Apr 11  2016,14.13,14.12,14.22,14.07,370.72K,0.21%
Apr 08  2016,14.10,14.14,14.15,14.01,192.51K,0.00%
Apr 07  2016,14.10,14.08,14.11,14.00,96.16K,0.14%
Apr 06  2016,14.08,14.09,14.17,13.98,213.68K,-0.21%
Apr 05  2016,14.11,13.88,14.11,13.88,158.29K,0.93%
Apr 04  2016,13.98,13.95,14.03,13.85,102.01K,0.29%
Apr 01  2016,13.94,13.76,13.98,13.76,106.75K,-0.85%
Mar 31  2016,14.06,13.99,14.09,13.92,164.08K,0.57%
Mar 30  2016,13.98,13.94,14.04,13.90,101.49K,0.22%
Mar 29  2016,13.95,13.86,13.98,13.85,77.42K,0.36%
Mar 28  2016,13.90,13.89,13.95,13.85,699.27K,0.14%
Mar 24  2016,13.88,13.82,13.93,13.72,120.80K,-0.07%
Mar 23  2016,13.89,13.90,13.96,13.87,242.41K,-0.07%
Mar 22  2016,13.90,13.92,13.97,13.87,113.33K,-0.57%
Mar 21  2016,13.98,13.81,13.98,13.64,63.16K,1.45%
Mar 18  2016,13.78,13.99,14.09,13.52,483.90K,-1.36%
Mar 17  2016,13.97,13.75,14.01,13.75,289.63K,1.01%
Mar 16  2016,13.83,13.67,13.87,13.57,299.93K,1.32%
Mar 15  2016,13.65,13.56,13.67,13.25,124.06K,0.22%
Mar 14  2016,13.62,13.65,13.72,13.55,102.17K,-0.37%
Mar 11  2016,13.67,13.70,13.71,13.61,121.50K,0.22%
Mar 10  2016,13.64,13.68,13.72,13.50,123.81K,-0.15%
Mar 09  2016,13.66,13.60,13.75,13.56,236.91K,0.81%
Mar 08  2016,13.55,13.55,13.62,13.50,108.31K,-0.15%
Mar 07  2016,13.57,13.75,13.78,13.55,186.63K,-1.31%
Mar 04  2016,13.75,13.75,13.82,13.61,164.09K,0.15%
Mar 03  2016,13.73,13.68,13.77,13.62,147.16K,0.73%
Mar 02  2016,13.63,13.62,13.71,13.60,256.38K,0.07%
Mar 01  2016,13.62,13.41,13.70,13.39,213.14K,1.87%
Feb 29  2016,13.37,13.30,13.38,13.14,101.78K,0.68%
Feb 26  2016,13.28,13.20,13.40,13.17,195.74K,1.22%
Feb 25  2016,13.12,13.26,13.33,13.11,125.72K,-1.28%
Feb 24  2016,13.29,13.26,13.38,13.18,89.58K,-0.15%
Feb 23  2016,13.31,12.97,13.33,12.93,145.92K,2.78%
