Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,40.13,39.60,40.20,39.06,316.62K,1.67%
Apr 18  2016,39.47,38.76,39.60,38.67,359.03K,1.36%
Apr 15  2016,38.94,38.47,38.99,38.42,173.57K,0.96%
Apr 14  2016,38.57,38.55,38.60,38.12,102.93K,-0.13%
Apr 13  2016,38.62,38.10,38.73,37.79,137.15K,1.58%
Apr 12  2016,38.02,38.10,38.18,37.84,116.19K,0.05%
Apr 11  2016,38.00,37.91,38.19,37.69,295.21K,0.37%
Apr 08  2016,37.86,38.51,38.70,37.55,198.48K,-1.64%
Apr 07  2016,38.49,38.22,38.69,37.79,298.60K,0.08%
Apr 06  2016,38.46,38.88,39.09,38.02,499.93K,-1.21%
Apr 05  2016,38.93,38.12,39.32,37.89,1.17M,2.29%
Apr 04  2016,38.06,37.88,38.22,37.53,229.16K,0.42%
Apr 01  2016,37.90,38.57,38.73,37.56,502.53K,-1.89%
Mar 31  2016,38.63,38.23,38.77,37.88,232.17K,1.66%
Mar 30  2016,38.00,37.72,38.23,37.64,328.41K,0.98%
Mar 29  2016,37.63,37.55,37.82,37.05,182.25K,0.16%
Mar 28  2016,37.57,37.93,37.93,37.40,158.51K,-0.27%
Mar 24  2016,37.67,37.68,37.85,37.35,180.29K,-0.34%
Mar 23  2016,37.80,37.53,38.09,37.30,181.85K,-0.87%
Mar 22  2016,38.13,37.75,38.31,37.68,196.05K,0.13%
Mar 21  2016,38.08,38.37,38.37,37.54,395.86K,-0.76%
Mar 18  2016,38.37,37.34,38.37,37.07,485.34K,2.98%
Mar 17  2016,37.26,36.49,37.30,36.47,239.08K,1.66%
Mar 16  2016,36.65,35.47,36.73,35.47,309.82K,3.41%
Mar 15  2016,35.44,35.96,36.15,35.29,283.58K,-2.77%
Mar 14  2016,36.45,36.73,36.75,36.00,182.49K,-0.65%
Mar 11  2016,36.69,36.72,37.12,36.51,301.46K,0.71%
Mar 10  2016,36.43,36.75,37.02,36.05,185.24K,-0.82%
Mar 09  2016,36.73,36.42,37.12,36.29,448.14K,0.96%
Mar 08  2016,36.38,36.88,36.89,36.21,381.23K,-1.46%
Mar 07  2016,36.92,37.39,37.43,36.78,269.27K,-1.05%
Mar 04  2016,37.31,37.86,37.86,37.05,249.90K,-1.09%
Mar 03  2016,37.72,38.01,38.26,37.56,396.86K,-0.79%
Mar 02  2016,38.02,38.21,38.50,37.26,632.56K,-0.94%
Mar 01  2016,38.38,37.64,38.54,37.43,468.83K,2.79%
Feb 29  2016,37.34,37.39,37.91,37.03,319.47K,0.24%
Feb 26  2016,37.25,37.50,38.07,37.20,534.68K,-0.61%
Feb 25  2016,37.48,35.68,37.56,35.51,761.29K,5.31%
Feb 24  2016,35.59,35.42,36.08,34.81,1.09M,8.57%
Feb 23  2016,32.78,32.98,32.98,32.44,216.09K,-0.18%
Feb 22  2016,32.84,32.18,33.01,32.05,448.23K,3.01%
Feb 19  2016,31.88,31.83,32.06,31.47,174.70K,0.13%
Feb 18  2016,31.84,31.90,32.11,31.72,266.52K,0.22%
Feb 17  2016,31.77,31.64,31.97,31.41,410.74K,1.28%
Feb 16  2016,31.37,30.67,31.59,30.35,262.00K,2.72%
Feb 12  2016,30.54,29.97,30.64,29.97,214.84K,1.94%
Feb 11  2016,29.96,29.65,30.03,29.54,279.73K,-0.23%
Feb 10  2016,30.03,29.16,30.15,29.10,246.10K,3.12%
Feb 09  2016,29.12,29.56,29.87,28.52,651.73K,-2.48%
Feb 08  2016,29.86,30.10,30.20,29.49,412.08K,-1.26%
Feb 05  2016,30.24,30.71,30.86,30.11,174.09K,-2.17%
Feb 04  2016,30.91,31.00,31.42,30.70,275.47K,-0.39%
Feb 03  2016,31.03,31.90,31.93,30.60,219.57K,-2.18%
Feb 02  2016,31.72,31.81,32.05,31.42,236.45K,-0.84%
Feb 01  2016,31.99,31.61,32.04,31.05,182.19K,1.65%
Jan 29  2016,31.47,31.70,31.86,31.11,259.92K,-0.35%
Jan 28  2016,31.58,31.37,31.75,31.00,300.61K,1.64%
Jan 27  2016,31.07,30.76,31.18,30.57,250.41K,0.26%
Jan 26  2016,30.99,31.00,31.57,30.88,208.35K,0.81%
Jan 25  2016,30.74,31.22,31.88,30.68,160.72K,-1.35%
Jan 22  2016,31.16,30.57,31.24,30.57,308.71K,3.28%
Jan 21  2016,30.17,30.80,31.10,30.05,320.55K,-2.01%
Jan 20  2016,30.79,31.00,31.23,30.13,481.23K,-2.81%
Jan 19  2016,31.68,31.19,32.33,31.01,465.52K,3.19%
Jan 18  2016,30.70,31.63,31.63,30.24,222.88K,-3.19%
Jan 15  2016,31.71,31.98,32.32,31.10,342.56K,-2.37%
Jan 14  2016,32.48,31.98,32.56,31.95,383.31K,1.40%
Jan 13  2016,32.03,32.25,32.56,31.97,278.42K,-0.19%
Jan 12  2016,32.09,32.49,32.82,31.54,448.37K,-0.53%
Jan 11  2016,32.26,32.20,32.26,31.93,362.27K,0.62%
Jan 08  2016,32.06,32.27,32.50,31.63,349.59K,0.03%
Jan 07  2016,32.05,31.74,32.66,31.65,765.84K,0.44%
Jan 06  2016,31.91,31.54,31.98,31.51,396.53K,0.69%
Jan 05  2016,31.69,31.56,31.91,31.50,319.03K,0.67%
Jan 04  2016,31.48,31.19,31.54,30.79,302.11K,-0.44%
Dec 31  2015,31.62,31.60,31.80,31.34,174.69K,-0.41%
Dec 30  2015,31.75,31.85,32.12,31.70,303.02K,-0.31%
Dec 29  2015,31.85,31.69,32.00,31.29,240.36K,0.98%
Dec 24  2015,31.54,31.30,31.54,31.12,145.68K,0.86%
Dec 23  2015,31.27,30.96,31.47,30.72,299.07K,1.69%
Dec 22  2015,30.75,31.23,31.24,30.50,345.46K,-0.84%
Dec 21  2015,31.01,31.11,31.48,30.74,238.12K,-0.16%
Dec 18  2015,31.06,31.29,31.52,31.02,628.94K,-1.24%
Dec 17  2015,31.45,31.34,31.86,31.13,786.80K,0.64%
Dec 16  2015,31.25,31.58,31.99,30.93,812.38K,1.99%
Dec 15  2015,30.64,29.83,30.75,29.62,781.02K,1.42%
