Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,7.27,7.32,7.32,7.24,576.15K,-0.41%
Apr 18  2016,7.30,7.25,7.30,7.24,65.30K,0.69%
Apr 15  2016,7.25,7.25,7.29,7.23,149.07K,-0.55%
Apr 14  2016,7.29,7.38,7.45,7.27,73.96K,0.00%
Apr 13  2016,7.29,7.22,7.31,7.22,441.15K,1.82%
Apr 12  2016,7.16,7.34,7.34,7.14,220.88K,-2.05%
Apr 11  2016,7.31,7.25,7.31,7.16,214.90K,1.25%
Apr 08  2016,7.22,7.07,7.23,7.03,150.45K,1.12%
Apr 07  2016,7.14,7.10,7.17,7.05,68.29K,0.28%
Apr 06  2016,7.12,7.13,7.25,7.05,163.57K,-0.14%
Apr 05  2016,7.13,7.03,7.20,7.00,64.32K,0.71%
Apr 04  2016,7.08,7.18,7.32,7.06,236.23K,-1.12%
Apr 01  2016,7.16,7.31,7.31,7.13,142.70K,-0.69%
Mar 31  2016,7.21,7.27,7.30,7.18,551.21K,-0.83%
Mar 30  2016,7.27,7.24,7.29,7.19,264.69K,-0.41%
Mar 29  2016,7.30,7.35,7.45,7.25,326.38K,-0.68%
Mar 28  2016,7.35,7.37,7.39,7.19,101.99K,-0.54%
Mar 24  2016,7.39,7.34,7.43,7.24,288.05K,-1.20%
Mar 23  2016,7.48,7.44,7.66,7.29,219.57K,-0.13%
Mar 22  2016,7.49,7.44,7.50,7.20,154.05K,0.27%
Mar 21  2016,7.47,7.38,7.49,7.37,96.56K,1.36%
Mar 18  2016,7.37,7.18,7.37,7.18,97.06K,2.93%
Mar 17  2016,7.16,7.27,7.35,7.12,65.17K,-1.24%
Mar 16  2016,7.25,7.04,7.28,7.04,173.26K,2.69%
Mar 15  2016,7.06,7.25,7.25,7.04,184.23K,-2.35%
Mar 14  2016,7.23,7.27,7.30,7.21,89.98K,-0.55%
Mar 11  2016,7.27,7.30,7.40,7.25,105.80K,0.14%
Mar 10  2016,7.26,7.26,7.31,7.15,99.52K,0.28%
Mar 09  2016,7.24,7.24,7.38,7.16,130.11K,0.14%
Mar 08  2016,7.23,7.24,7.29,7.21,83.10K,-0.28%
Mar 07  2016,7.25,7.25,7.30,7.16,384.19K,1.83%
Mar 04  2016,7.12,7.25,7.25,7.11,97.53K,-1.11%
Mar 03  2016,7.20,6.86,7.23,6.85,302.52K,4.50%
Mar 02  2016,6.89,6.88,6.94,6.78,106.13K,0.44%
Mar 01  2016,6.86,6.90,6.90,6.73,1.37M,-0.29%
Feb 29  2016,6.88,6.83,6.91,6.71,208.46K,1.03%
Feb 26  2016,6.81,6.81,7.00,6.80,198.68K,0.15%
Feb 25  2016,6.80,6.90,6.95,6.70,288.19K,2.72%
Feb 24  2016,6.62,6.75,6.75,6.61,186.87K,-1.78%
Feb 23  2016,6.74,6.70,6.79,6.64,483.56K,-0.59%
Feb 22  2016,6.78,6.96,6.96,6.71,140.97K,-0.59%
Feb 19  2016,6.82,6.95,6.96,6.67,284.61K,-1.45%
Feb 18  2016,6.92,7.15,7.15,6.90,294.01K,-2.26%
Feb 17  2016,7.08,7.20,7.22,6.97,2.79M,-0.28%
Feb 16  2016,7.10,7.12,7.19,6.62,766.09K,6.13%
Feb 12  2016,6.69,6.72,6.75,6.49,413.81K,0.75%
Feb 11  2016,6.64,6.60,6.75,6.55,476.57K,-0.75%
Feb 10  2016,6.69,6.57,6.70,6.40,558.25K,1.83%
Feb 09  2016,6.57,7.00,7.00,6.56,1.27M,-6.14%
Feb 08  2016,7.00,7.36,7.36,6.98,295.89K,-5.41%
Feb 05  2016,7.40,7.67,7.67,7.37,357.10K,-3.14%
Feb 04  2016,7.64,7.73,7.75,7.62,261.84K,-1.04%
Feb 03  2016,7.72,7.90,7.90,7.70,175.21K,-0.90%
Feb 02  2016,7.79,7.77,7.86,7.70,188.09K,0.91%
Feb 01  2016,7.72,7.97,7.97,7.66,261.54K,-3.02%
Jan 29  2016,7.96,8.02,8.02,7.79,148.60K,0.00%
Jan 28  2016,7.96,7.98,8.02,7.84,62.49K,0.89%
Jan 27  2016,7.89,8.00,8.10,7.83,115.76K,-1.38%
Jan 26  2016,8.00,8.18,8.18,7.92,1.91M,-1.48%
