Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,25.02,25.53,25.53,24.99,89.68K,-2.11%
Apr 18  2016,25.56,25.58,25.89,25.35,69.88K,-0.23%
Apr 15  2016,25.62,24.78,25.66,24.78,87.57K,3.35%
Apr 14  2016,24.79,24.70,24.94,24.58,83.87K,0.45%
Apr 13  2016,24.68,24.88,25.18,24.52,129.37K,-0.56%
Apr 12  2016,24.82,24.48,24.85,24.48,124.73K,1.31%
Apr 11  2016,24.50,24.40,24.71,24.18,127.41K,0.29%
Apr 08  2016,24.43,24.65,24.82,24.11,113.72K,-0.93%
Apr 07  2016,24.66,25.06,25.11,24.54,87.62K,-2.49%
Apr 06  2016,25.29,25.32,25.70,25.22,61.26K,-0.12%
Apr 05  2016,25.32,25.03,25.54,25.03,85.16K,-0.28%
Apr 04  2016,25.39,25.65,25.80,25.17,152.47K,-1.28%
Apr 01  2016,25.72,25.16,25.79,25.16,128.91K,1.74%
Mar 31  2016,25.28,24.98,25.36,24.65,158.64K,1.49%
Mar 30  2016,24.91,25.28,25.29,24.54,114.49K,-0.80%
Mar 29  2016,25.11,24.24,25.13,24.18,120.38K,3.67%
Mar 28  2016,24.22,24.18,24.32,24.03,80.27K,0.50%
Mar 24  2016,24.10,23.80,24.10,23.67,115.47K,0.79%
Mar 23  2016,23.91,23.80,24.20,23.35,138.70K,0.42%
Mar 22  2016,23.81,23.71,23.89,23.63,116.25K,0.21%
Mar 21  2016,23.76,23.50,23.82,23.09,133.37K,1.19%
Mar 18  2016,23.48,23.41,24.08,23.04,1.38M,0.56%
Mar 17  2016,23.35,22.77,23.48,22.74,166.87K,2.37%
Mar 16  2016,22.81,22.42,23.28,22.32,229.29K,1.78%
Mar 15  2016,22.41,22.46,22.68,22.29,162.11K,-0.31%
Mar 14  2016,22.48,22.77,22.84,22.38,234.00K,-0.84%
Mar 11  2016,22.67,22.35,22.93,22.10,228.74K,2.03%
Mar 10  2016,22.22,22.16,22.34,21.60,482.32K,0.23%
Mar 09  2016,22.17,22.45,22.54,22.12,119.71K,-0.67%
Mar 08  2016,22.32,22.00,22.74,21.91,368.80K,1.04%
Mar 07  2016,22.09,22.70,22.79,21.93,350.05K,-3.07%
Mar 04  2016,22.79,23.80,23.91,22.24,743.65K,-4.48%
Mar 03  2016,23.86,23.00,23.92,22.51,413.06K,3.56%
Mar 02  2016,23.04,23.29,23.42,22.50,196.86K,-0.86%
Mar 01  2016,23.24,23.24,23.51,22.87,165.09K,0.30%
Feb 29  2016,23.17,23.18,23.53,22.94,277.38K,-0.13%
Feb 26  2016,23.20,22.72,23.28,22.42,263.33K,2.34%
Feb 25  2016,22.67,22.86,22.93,22.56,86.05K,-1.00%
Feb 24  2016,22.90,22.66,23.11,22.48,358.82K,0.53%
Feb 23  2016,22.78,22.44,22.93,22.44,299.68K,1.52%
Feb 22  2016,22.44,22.60,22.62,22.30,91.46K,-0.09%
Feb 19  2016,22.46,22.44,22.57,22.19,79.43K,0.63%
Feb 18  2016,22.32,22.73,22.77,22.20,155.92K,-1.24%
Feb 17  2016,22.60,21.97,22.72,21.84,200.23K,3.39%
Feb 16  2016,21.86,21.58,22.05,21.47,169.32K,2.15%
Feb 12  2016,21.40,21.50,21.71,21.21,248.20K,-0.70%
Feb 11  2016,21.55,21.65,21.67,20.94,351.27K,0.05%
Feb 10  2016,21.54,21.49,22.34,21.45,436.89K,-0.37%
