Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,24.83,25.16,25.34,24.63,1.54M,0.20%
Apr 18  2016,24.78,25.65,25.70,23.90,2.00M,-3.88%
Apr 15  2016,25.78,24.91,25.85,24.33,1.33M,4.29%
Apr 14  2016,24.72,25.16,25.55,24.19,1.64M,-1.75%
Apr 13  2016,25.16,24.99,25.38,24.81,1.53M,0.24%
Apr 12  2016,25.10,24.55,25.22,24.13,1.38M,2.07%
Apr 11  2016,24.59,23.73,24.66,23.36,1.07M,6.96%
Apr 08  2016,22.99,22.46,23.26,22.45,989.71K,1.37%
Apr 07  2016,22.68,21.75,22.79,21.66,1.41M,7.34%
Apr 06  2016,21.13,20.53,21.70,20.53,768.34K,0.57%
Apr 05  2016,21.01,21.11,21.13,20.67,830.62K,2.54%
Apr 04  2016,20.49,20.70,20.70,20.33,594.92K,-1.59%
Apr 01  2016,20.82,19.94,20.88,19.72,1.07M,1.81%
Mar 31  2016,20.45,20.82,20.99,20.25,1.19M,0.89%
Mar 30  2016,20.27,20.26,20.66,19.93,1.43M,-1.41%
Mar 29  2016,20.56,19.10,20.65,18.93,2.10M,7.76%
Mar 28  2016,19.08,19.21,19.31,18.71,569.79K,-0.63%
Mar 24  2016,19.20,18.92,19.43,18.83,947.32K,1.80%
Mar 23  2016,18.86,18.99,19.63,18.40,1.21M,-2.93%
Mar 22  2016,19.43,19.71,20.05,19.40,1.55M,-0.26%
Mar 21  2016,19.48,20.05,20.29,19.31,1.32M,-3.18%
Mar 18  2016,20.12,20.54,20.61,19.93,2.79M,-1.81%
Mar 17  2016,20.49,21.45,22.09,20.31,2.09M,-4.79%
Mar 16  2016,21.52,19.47,21.64,19.24,1.99M,9.13%
Mar 15  2016,19.72,19.08,19.76,18.98,1.12M,1.02%
Mar 14  2016,19.52,20.41,20.85,19.45,1.40M,-5.29%
Mar 11  2016,20.61,20.90,21.41,20.40,1.24M,-2.41%
Mar 10  2016,21.12,20.75,21.59,20.64,1.61M,3.02%
Mar 09  2016,20.50,19.02,20.72,19.01,1.79M,4.22%
Mar 08  2016,19.67,21.54,21.58,19.56,2.02M,-7.17%
Mar 07  2016,21.19,21.53,22.03,20.60,1.54M,0.05%
Mar 04  2016,21.18,21.90,22.47,20.95,1.86M,-1.67%
Mar 03  2016,21.54,20.55,21.89,20.55,1.59M,4.92%
Mar 02  2016,20.53,20.48,20.80,20.13,1.21M,0.69%
Mar 01  2016,20.39,21.50,21.54,20.24,1.57M,-4.32%
Feb 29  2016,21.31,21.40,21.65,20.93,964.75K,1.19%
Feb 26  2016,21.06,21.75,22.38,20.93,1.44M,-6.40%
Feb 25  2016,22.50,21.75,22.82,21.73,1.80M,2.74%
Feb 24  2016,21.90,21.63,22.35,21.45,2.50M,3.74%
Feb 23  2016,21.11,20.90,21.66,20.79,1.11M,0.62%
Feb 22  2016,20.98,20.82,21.49,20.59,1.16M,-2.55%
Feb 19  2016,21.53,21.99,22.28,21.30,1.23M,-2.93%
Feb 18  2016,22.18,20.39,22.50,20.35,1.99M,7.62%
Feb 17  2016,20.61,19.90,20.67,19.56,1.83M,3.57%
Feb 16  2016,19.90,20.32,20.86,19.83,1.88M,-6.62%
Feb 12  2016,21.31,20.43,21.45,20.34,1.39M,2.11%
Feb 11  2016,20.87,21.00,21.38,20.10,2.14M,6.48%
Feb 10  2016,19.60,19.19,19.68,18.65,1.64M,0.26%
Feb 09  2016,19.55,20.28,20.96,19.53,2.16M,-2.98%
Feb 08  2016,20.15,20.00,21.05,19.83,2.80M,3.92%
Feb 05  2016,19.39,18.39,19.46,18.08,1.72M,3.52%
Feb 04  2016,18.73,18.77,18.86,18.41,1.91M,2.29%
Feb 03  2016,18.31,17.73,18.52,17.69,1.87M,3.45%
Feb 02  2016,17.70,17.16,17.92,17.16,1.84M,0.51%
Feb 01  2016,17.61,17.52,17.80,17.16,1.27M,3.35%
Jan 29  2016,17.04,15.70,17.23,15.70,1.91M,8.19%
Jan 28  2016,15.75,15.95,16.19,15.74,1.04M,-2.11%
Jan 27  2016,16.09,16.50,16.50,16.03,1.81M,-2.48%
Jan 26  2016,16.50,16.28,16.77,16.25,1.96M,1.23%
Jan 25  2016,16.30,15.50,16.33,15.49,2.06M,7.80%
Jan 22  2016,15.12,14.91,15.33,14.73,959.56K,0.67%
Jan 21  2016,15.02,15.11,15.15,14.36,1.29M,-2.09%
Jan 20  2016,15.34,15.57,15.77,15.10,2.02M,-0.58%
Jan 19  2016,15.43,16.36,16.37,15.25,1.49M,-4.93%
Jan 18  2016,16.23,16.38,16.39,15.87,303.45K,-0.12%
Jan 15  2016,16.25,15.96,17.12,15.87,3.53M,6.00%
Jan 14  2016,15.33,15.48,15.82,15.14,989.51K,-2.23%
Jan 13  2016,15.68,15.75,16.03,15.42,1.13M,-1.38%
Jan 12  2016,15.90,15.69,16.05,15.39,971.38K,0.95%
Jan 11  2016,15.75,16.04,16.16,15.53,694.43K,-2.30%
Jan 08  2016,16.12,16.47,16.59,15.76,1.35M,-3.12%
Jan 07  2016,16.64,15.81,17.07,15.71,4.28M,8.33%
Jan 06  2016,15.36,15.10,15.70,15.10,3.19M,3.71%
Jan 05  2016,14.81,14.99,15.03,14.70,718.82K,-0.74%
Jan 04  2016,14.92,14.80,15.30,14.73,1.20M,3.54%
Dec 31  2015,14.41,14.37,14.87,14.30,338.15K,0.00%
Dec 30  2015,14.41,14.35,14.42,14.13,396.11K,-1.10%
Dec 29  2015,14.57,14.45,14.69,14.40,356.34K,-1.42%
Dec 24  2015,14.78,14.76,15.07,14.72,345.68K,0.20%
Dec 23  2015,14.75,14.69,15.10,14.69,760.18K,0.41%
Dec 22  2015,14.69,14.50,14.95,14.48,641.39K,0.75%
Dec 21  2015,14.58,14.33,14.62,14.26,764.81K,3.18%
Dec 18  2015,14.13,14.31,14.45,14.07,1.31M,-0.77%
Dec 17  2015,14.24,13.85,14.24,13.85,892.27K,-3.13%
Dec 16  2015,14.70,14.96,15.08,14.57,1.04M,0.07%
Dec 15  2015,14.69,14.36,14.72,14.06,920.77K,3.09%
Dec 14  2015,14.25,15.00,15.00,14.14,1.17M,-5.50%
Dec 11  2015,15.08,14.33,15.14,14.27,1.21M,4.65%
Dec 10  2015,14.41,14.54,14.64,14.30,490.67K,-0.96%
Dec 09  2015,14.55,14.65,14.95,14.23,807.22K,-0.07%
Dec 08  2015,14.56,14.20,14.64,14.13,831.48K,2.03%
Dec 07  2015,14.27,14.70,14.77,14.09,862.51K,-3.78%
Dec 04  2015,14.83,14.50,14.93,14.44,1.26M,3.63%
Dec 03  2015,14.31,14.26,14.61,14.16,1.10M,2.29%
