Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,90.65,90.75,91.00,89.84,302.40K,-0.09%
Apr 18  2016,90.73,90.60,91.30,90.53,290.70K,0.14%
Apr 15  2016,90.60,90.87,91.95,90.45,264.81K,-0.91%
Apr 14  2016,91.43,90.22,91.83,89.86,374.04K,1.35%
Apr 13  2016,90.21,89.26,90.74,89.25,302.38K,1.89%
Apr 12  2016,88.54,88.93,89.57,88.26,403.14K,-0.30%
Apr 11  2016,88.81,89.74,90.40,88.67,273.57K,-0.80%
Apr 08  2016,89.53,89.54,90.36,88.71,349.76K,0.06%
Apr 07  2016,89.48,90.02,90.42,88.40,618.37K,-1.24%
Apr 06  2016,90.60,90.56,91.22,90.00,447.65K,-0.26%
Apr 05  2016,90.84,90.00,91.90,89.47,499.98K,-0.01%
Apr 04  2016,90.85,92.18,93.45,90.61,579.43K,-1.39%
Apr 01  2016,92.13,91.31,92.39,90.82,453.80K,0.81%
Mar 31  2016,91.39,89.12,91.77,88.00,801.31K,2.79%
Mar 30  2016,88.91,85.75,90.45,85.75,1.31M,7.46%
Mar 29  2016,82.74,80.98,82.79,80.60,514.18K,2.35%
Mar 28  2016,80.84,79.40,80.90,79.24,272.91K,1.76%
Mar 24  2016,79.44,79.10,79.92,78.64,294.85K,0.13%
Mar 23  2016,79.34,80.62,81.12,78.96,642.52K,-1.38%
Mar 22  2016,80.45,79.30,81.21,79.19,411.90K,0.60%
Mar 21  2016,79.97,78.84,79.98,78.84,254.33K,1.46%
Mar 18  2016,78.82,79.18,79.62,78.50,928.46K,-0.84%
Mar 17  2016,79.49,79.25,79.93,78.57,413.40K,0.16%
Mar 16  2016,79.36,78.11,79.50,78.11,435.43K,1.25%
Mar 15  2016,78.38,76.98,78.56,76.50,401.30K,1.54%
Mar 14  2016,77.19,77.49,77.93,76.39,431.07K,-0.14%
Mar 11  2016,77.30,76.50,77.37,76.10,378.14K,1.74%
Mar 10  2016,75.98,76.43,76.69,74.38,469.10K,-0.12%
Mar 09  2016,76.07,75.88,76.26,75.40,530.71K,0.44%
Mar 08  2016,75.74,76.24,76.40,75.40,392.30K,-0.30%
Mar 07  2016,75.97,76.15,77.19,75.80,425.02K,-0.18%
Mar 04  2016,76.11,75.90,76.60,75.67,484.89K,0.67%
Mar 03  2016,75.60,78.00,78.00,75.17,576.26K,-2.45%
Mar 02  2016,77.50,80.42,80.50,77.41,621.43K,-3.81%
Mar 01  2016,80.57,78.99,80.90,78.21,605.14K,2.30%
Feb 29  2016,78.76,79.51,79.96,78.32,439.10K,-0.54%
Feb 26  2016,79.19,78.78,79.38,78.02,209.25K,1.20%
Feb 25  2016,78.25,78.71,78.85,77.22,351.77K,-0.48%
Feb 24  2016,78.63,78.75,78.80,77.15,350.19K,-0.17%
Feb 23  2016,78.76,77.99,78.82,77.97,248.31K,1.07%
Feb 22  2016,77.93,78.45,79.00,77.01,466.19K,0.31%
Feb 19  2016,77.69,76.87,77.99,76.25,343.66K,0.45%
Feb 18  2016,77.34,76.70,77.84,76.01,416.03K,1.70%
Feb 17  2016,76.05,75.08,76.37,74.60,504.09K,1.94%
Feb 16  2016,74.60,72.94,74.85,72.63,454.27K,4.19%
Feb 12  2016,71.60,71.50,71.99,70.59,359.22K,0.89%
Feb 11  2016,70.97,71.02,71.94,70.40,433.57K,-2.75%
Feb 10  2016,72.98,72.73,73.71,72.40,468.55K,1.45%
Feb 09  2016,71.94,70.66,72.62,70.66,599.93K,0.43%
Feb 08  2016,71.63,73.50,73.55,70.72,551.11K,-3.77%
Feb 05  2016,74.44,76.31,76.31,74.26,357.06K,-1.70%
Feb 04  2016,75.73,73.77,76.14,73.60,420.38K,2.25%
Feb 03  2016,74.06,74.23,74.23,72.88,474.50K,0.09%
Feb 02  2016,73.99,74.34,75.04,73.23,649.11K,-1.18%
Feb 01  2016,74.87,74.80,75.75,74.02,282.67K,-0.40%
Jan 29  2016,75.17,73.85,75.17,73.39,658.77K,2.55%
Jan 28  2016,73.30,72.93,73.75,72.25,288.32K,1.31%
Jan 27  2016,72.35,73.43,74.09,72.13,391.94K,-1.46%
Jan 26  2016,73.42,74.29,74.53,73.21,344.92K,-0.64%
Jan 25  2016,73.89,74.77,74.95,73.65,285.54K,-1.06%
Jan 22  2016,74.68,74.50,75.12,73.85,509.44K,1.85%
Jan 21  2016,73.32,72.99,73.89,72.30,452.71K,1.08%
Jan 20  2016,72.54,72.22,73.27,70.29,694.52K,-1.45%
Jan 19  2016,73.61,74.30,74.30,72.71,465.88K,0.71%
Jan 18  2016,73.09,72.51,73.36,72.29,212.78K,0.08%
Jan 15  2016,73.03,73.54,74.98,72.18,629.39K,-3.45%
Jan 14  2016,75.64,72.56,76.34,72.08,632.06K,3.96%
Jan 13  2016,72.76,74.79,75.51,72.50,470.78K,-2.18%
Jan 12  2016,74.38,72.38,75.35,72.38,969.77K,3.54%
Jan 11  2016,71.84,73.06,73.73,70.53,1.32M,-2.51%
Jan 08  2016,73.69,77.12,77.45,73.62,761.73K,-3.80%
Jan 07  2016,76.60,76.20,77.72,76.15,598.88K,-1.87%
Jan 06  2016,78.06,77.13,79.16,76.94,593.87K,0.01%
Jan 05  2016,78.05,78.83,79.37,77.50,491.48K,-1.04%
Jan 04  2016,78.87,79.44,79.82,77.25,605.84K,-1.34%
Dec 31  2015,79.94,80.80,81.00,79.50,294.07K,-1.17%
Dec 30  2015,80.89,80.60,81.88,80.60,293.70K,0.67%
Dec 29  2015,80.35,80.12,81.32,80.12,320.30K,0.26%
Dec 24  2015,80.14,80.34,80.70,80.02,120.56K,0.07%
Dec 23  2015,80.08,80.57,80.62,79.53,309.32K,0.05%
Dec 22  2015,80.04,79.99,80.34,78.67,372.77K,0.01%
Dec 21  2015,80.03,80.27,80.90,79.13,412.15K,0.48%
Dec 18  2015,79.65,78.00,80.04,76.92,1.14M,1.09%
Dec 17  2015,78.79,80.49,81.37,78.50,633.93K,-1.88%
Dec 16  2015,80.30,80.94,82.33,79.97,963.12K,0.45%
Dec 15  2015,79.94,80.33,81.15,79.37,643.69K,-0.07%
Dec 14  2015,80.00,79.29,81.50,78.73,770.02K,1.94%
Dec 11  2015,78.48,74.50,81.67,73.31,1.23M,1.43%
Dec 10  2015,77.37,82.99,82.99,76.86,1.37M,-5.30%
Dec 09  2015,81.70,90.00,91.57,81.50,1.99M,-7.26%
Dec 08  2015,88.10,88.70,89.99,87.45,537.30K,-1.40%
Dec 07  2015,89.35,89.25,89.73,88.18,374.59K,-0.08%
Dec 04  2015,89.42,88.11,89.74,88.11,351.40K,1.51%
Dec 03  2015,88.09,90.29,90.30,87.75,469.75K,-2.12%
Dec 02  2015,90.00,89.62,90.55,89.62,392.10K,0.20%
Dec 01  2015,89.82,89.25,90.30,89.21,411.11K,0.58%
Nov 30  2015,89.30,89.72,90.24,89.25,843.30K,-0.85%
Nov 27  2015,90.07,89.80,90.43,89.31,210.56K,0.26%
Nov 26  2015,89.84,90.46,90.50,89.43,107.39K,-0.43%
Nov 25  2015,90.23,89.50,90.43,89.23,471.00K,1.28%
Nov 24  2015,89.09,90.78,90.93,88.95,512.06K,-1.96%
Nov 23  2015,90.87,90.56,91.68,90.50,318.75K,0.25%
Nov 20  2015,90.64,90.04,90.84,89.70,339.75K,1.17%
Nov 19  2015,89.59,89.20,90.15,88.81,485.36K,0.91%
Nov 18  2015,88.78,88.80,90.00,88.02,361.46K,0.32%
Nov 17  2015,88.50,87.90,88.80,87.77,444.46K,1.09%
Nov 16  2015,87.55,88.00,88.27,86.75,583.09K,-0.19%
Nov 13  2015,87.72,87.95,88.29,86.23,469.20K,-0.41%
Nov 12  2015,88.08,89.20,90.46,87.96,653.92K,-1.71%
Nov 11  2015,89.61,91.50,91.50,89.45,546.37K,-1.88%
Nov 10  2015,91.33,91.43,91.49,90.51,248.61K,0.05%
Nov 09  2015,91.28,92.71,92.71,90.72,290.02K,-0.97%
Nov 06  2015,92.17,92.50,93.34,91.51,320.20K,-0.17%
Nov 05  2015,92.33,91.79,92.38,90.87,321.03K,0.82%
Nov 04  2015,91.58,89.85,91.88,89.84,381.67K,2.02%
Nov 03  2015,89.77,89.10,90.36,87.65,410.97K,0.62%
Nov 02  2015,89.22,88.22,89.30,87.65,401.69K,1.01%
Oct 30  2015,88.33,90.35,90.60,87.26,852.58K,-2.40%
Oct 29  2015,90.50,89.98,90.75,89.68,433.71K,0.87%
Oct 28  2015,89.72,91.48,91.94,88.60,925.44K,-1.93%
Oct 27  2015,91.49,93.26,93.50,90.91,679.92K,-1.98%
Oct 26  2015,93.34,92.65,93.91,92.60,501.64K,0.88%
Oct 23  2015,92.53,92.11,92.85,91.12,478.19K,0.75%
Oct 22  2015,91.84,91.48,91.95,90.91,416.30K,0.60%
Oct 21  2015,91.29,91.39,92.15,90.85,406.68K,-0.09%
Oct 20  2015,91.37,89.94,91.53,89.08,419.40K,1.92%
Oct 19  2015,89.65,88.16,89.89,88.16,339.69K,1.49%
Oct 16  2015,88.33,89.56,89.56,88.32,357.29K,-0.50%
Oct 15  2015,88.77,89.49,89.55,88.25,434.04K,0.03%
Oct 14  2015,88.74,89.06,89.90,88.53,807.71K,-0.24%
Oct 13  2015,88.95,88.56,89.22,88.05,646.19K,0.64%
Oct 09  2015,88.38,89.00,89.27,87.82,468.94K,-1.03%
Oct 08  2015,89.30,88.44,90.04,88.25,561.47K,0.81%
Oct 07  2015,88.58,90.41,90.41,88.41,692.87K,-1.30%
Oct 06  2015,89.75,92.32,92.60,88.90,1.08M,-2.41%
