Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,14.20,13.91,14.31,13.91,271.46K,2.45%
Apr 18  2016,13.86,13.95,13.95,13.64,156.13K,-0.36%
Apr 15  2016,13.91,13.72,14.18,13.64,230.93K,1.09%
Apr 14  2016,13.76,14.53,14.74,13.50,496.03K,-8.27%
Apr 13  2016,15.00,15.39,15.50,14.67,297.18K,-2.60%
Apr 12  2016,15.40,15.65,15.74,15.34,156.45K,-0.90%
Apr 11  2016,15.54,14.86,15.74,14.86,140.23K,1.37%
Apr 08  2016,15.33,14.57,15.52,14.57,352.71K,4.71%
Apr 07  2016,14.64,15.00,15.11,14.38,240.59K,-2.47%
Apr 06  2016,15.01,14.40,15.08,14.40,175.94K,3.95%
Apr 05  2016,14.44,14.61,14.64,14.30,118.64K,-0.55%
Apr 04  2016,14.52,14.57,14.76,14.39,147.73K,-0.27%
Apr 01  2016,14.56,14.29,14.60,14.12,124.06K,1.11%
Mar 31  2016,14.40,14.86,14.90,14.35,92.91K,-2.64%
Mar 30  2016,14.79,14.90,15.22,14.54,122.50K,-1.20%
Mar 29  2016,14.97,15.00,15.15,14.74,206.02K,-0.66%
Mar 28  2016,15.07,15.29,15.29,14.84,140.95K,-1.18%
Mar 24  2016,15.25,15.25,15.54,15.14,187.59K,-0.33%
Mar 23  2016,15.30,15.68,15.74,15.25,312.70K,-3.59%
Mar 22  2016,15.87,15.82,15.99,15.80,198.93K,0.13%
Mar 21  2016,15.85,15.58,15.91,15.56,153.03K,1.60%
Mar 18  2016,15.60,15.59,15.82,15.38,795.85K,0.32%
Mar 17  2016,15.55,16.07,16.07,15.41,431.24K,-0.06%
Mar 16  2016,15.56,15.19,15.65,15.18,237.92K,1.50%
Mar 15  2016,15.33,15.73,15.82,15.23,297.73K,-3.22%
Mar 14  2016,15.84,16.27,16.27,15.76,171.79K,-1.98%
Mar 11  2016,16.16,16.16,16.40,15.99,166.92K,0.31%
Mar 10  2016,16.11,16.20,16.50,15.93,214.99K,0.25%
Mar 09  2016,16.07,16.64,16.73,15.99,213.58K,-3.77%
