Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,28.43,28.21,28.50,28.06,34.13K,1.10%
Apr 18  2016,28.12,27.94,28.57,27.94,37.45K,-0.18%
Apr 15  2016,28.17,27.16,28.25,27.01,106.67K,3.72%
Apr 14  2016,27.16,27.49,27.49,27.14,17.91K,-0.95%
Apr 13  2016,27.42,27.97,27.97,27.13,31.99K,-0.07%
Apr 12  2016,27.44,27.65,28.07,27.10,15.52K,-0.54%
Apr 11  2016,27.59,27.95,27.95,27.10,30.27K,-1.04%
Apr 08  2016,27.88,28.00,28.28,27.71,26.30K,0.90%
Apr 07  2016,27.63,29.00,29.18,27.54,48.00K,-5.31%
Apr 06  2016,29.18,28.72,29.18,28.69,29.98K,2.31%
Apr 05  2016,28.52,28.47,28.58,28.38,52.87K,0.14%
Apr 04  2016,28.48,28.37,28.66,28.34,27.87K,0.32%
Apr 01  2016,28.39,28.90,28.92,28.33,19.09K,-2.44%
Mar 31  2016,29.10,28.38,29.33,28.38,45.48K,2.83%
Mar 30  2016,28.30,28.34,28.61,28.18,24.87K,0.14%
Mar 29  2016,28.26,27.75,28.38,27.75,32.58K,1.95%
Mar 28  2016,27.72,27.76,27.86,27.41,25.99K,0.36%
Mar 24  2016,27.62,27.36,27.90,27.17,29.70K,0.77%
Mar 23  2016,27.41,27.61,27.68,27.20,18.89K,-1.23%
Mar 22  2016,27.75,27.24,27.85,26.97,70.71K,1.72%
Mar 21  2016,27.28,26.75,27.36,26.75,34.04K,2.02%
Mar 18  2016,26.74,28.40,28.40,26.54,117.65K,-5.45%
Mar 17  2016,28.28,27.40,28.62,27.40,84.93K,3.44%
Mar 16  2016,27.34,26.53,27.43,26.53,94.02K,2.98%
Mar 15  2016,26.55,26.75,26.96,26.20,136.27K,-0.78%
Mar 14  2016,26.76,28.00,28.00,26.56,158.65K,-6.01%
Mar 11  2016,28.47,28.31,28.62,27.99,62.50K,1.43%
Mar 10  2016,28.07,28.38,28.53,27.70,45.11K,-0.04%
Mar 09  2016,28.08,29.99,30.00,27.96,108.62K,-5.68%
Mar 08  2016,29.77,30.75,30.75,29.51,79.95K,-4.09%
Mar 07  2016,31.04,29.58,31.06,29.36,130.59K,5.47%
Mar 04  2016,29.43,29.75,30.00,29.30,64.90K,0.38%
Mar 03  2016,29.32,28.60,29.80,28.55,97.44K,2.48%
Mar 02  2016,28.61,30.54,30.54,28.46,117.69K,-7.14%
Mar 01  2016,30.81,32.49,32.49,30.59,76.46K,-3.90%
Feb 29  2016,32.06,32.38,32.60,31.60,48.81K,-1.78%
Feb 26  2016,32.64,32.62,32.70,32.34,28.64K,0.55%
Feb 25  2016,32.46,32.52,32.78,32.29,35.91K,-0.15%
Feb 24  2016,32.51,31.93,32.84,31.89,52.08K,1.59%
Feb 23  2016,32.00,31.71,32.48,31.60,22.45K,0.41%
Feb 22  2016,31.87,31.13,32.10,31.13,42.34K,3.14%
Feb 19  2016,30.90,31.52,31.60,30.69,52.70K,-2.46%
Feb 18  2016,31.68,31.01,31.85,30.63,27.69K,0.80%
Feb 17  2016,31.43,30.50,31.60,30.50,47.85K,3.46%
Feb 16  2016,30.38,29.06,30.55,28.31,76.27K,5.30%
Feb 12  2016,28.85,28.08,29.56,28.08,42.40K,3.41%
Feb 11  2016,27.90,27.69,28.09,27.29,69.28K,0.22%
Feb 10  2016,27.84,26.67,28.47,26.67,54.35K,3.11%
Feb 09  2016,27.00,27.55,27.55,26.76,58.14K,-1.06%
Feb 08  2016,27.29,28.24,28.31,27.14,31.76K,-3.53%
Feb 05  2016,28.29,28.24,28.37,28.24,23.54K,0.25%
Feb 04  2016,28.22,27.98,28.55,27.74,42.12K,0.86%
Feb 03  2016,27.98,27.57,28.11,27.46,46.05K,1.52%
Feb 02  2016,27.56,27.90,28.01,27.28,54.26K,-1.71%
Feb 01  2016,28.04,27.60,28.10,27.24,65.34K,1.78%
Jan 29  2016,27.55,28.25,28.36,27.35,1.32M,-1.99%
Jan 28  2016,28.11,27.95,28.41,27.87,87.35K,1.44%
Jan 27  2016,27.71,27.94,28.39,27.58,167.82K,-0.82%
Jan 26  2016,27.94,28.20,28.50,27.72,72.09K,0.90%
Jan 25  2016,27.69,27.65,28.31,27.50,73.97K,-0.29%
Jan 22  2016,27.77,28.80,29.39,27.59,92.96K,-2.49%
Jan 21  2016,28.48,28.45,29.05,27.96,64.37K,0.11%
Jan 20  2016,28.45,27.56,28.65,27.26,65.69K,2.74%
Jan 19  2016,27.69,27.09,27.86,27.09,46.16K,2.94%
Jan 18  2016,26.90,27.46,27.46,26.84,25.91K,-2.04%
Jan 15  2016,27.46,27.33,27.51,26.83,49.08K,-1.08%
Jan 14  2016,27.76,27.23,27.79,26.62,68.21K,2.62%
Jan 13  2016,27.05,27.00,27.77,26.97,63.56K,1.35%
Jan 12  2016,26.69,26.92,27.00,25.88,62.71K,0.87%
Jan 11  2016,26.46,26.50,26.75,26.20,74.43K,0.00%
Jan 08  2016,26.46,27.20,27.29,26.36,73.98K,-1.85%
Jan 07  2016,26.96,28.06,28.29,26.90,89.45K,-4.33%
Jan 06  2016,28.18,29.21,29.51,27.95,85.51K,-4.12%
Jan 05  2016,29.39,30.26,30.34,29.20,56.62K,-2.62%
Jan 04  2016,30.18,31.29,31.29,30.04,41.47K,-3.67%
Dec 31  2015,31.33,31.06,31.72,30.75,46.88K,1.20%
Dec 30  2015,30.96,31.10,31.46,30.85,19.23K,-0.19%
Dec 29  2015,31.02,30.46,31.33,30.46,32.15K,1.87%
Dec 24  2015,30.45,30.14,30.74,30.12,9.22K,0.43%
Dec 23  2015,30.32,30.25,30.51,29.55,27.27K,0.63%
Dec 22  2015,30.13,29.89,30.32,29.89,34.35K,0.43%
Dec 21  2015,30.00,30.10,30.11,29.60,64.20K,0.03%
Dec 18  2015,29.99,29.05,30.10,29.00,71.92K,2.95%
