Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,8.910,8.920,8.920,8.860,202.78K,0.34%
Apr 18  2016,8.880,8.800,8.920,8.800,159.45K,0.57%
Apr 15  2016,8.830,8.800,8.920,8.800,156.56K,0.34%
Apr 14  2016,8.800,9.040,9.040,8.800,223.40K,-2.33%
Apr 13  2016,9.010,9.110,9.110,8.880,471.52K,-1.21%
Apr 12  2016,9.120,9.100,9.170,9.080,246.23K,0.33%
Apr 11  2016,9.090,9.040,9.190,9.040,320.11K,0.89%
Apr 08  2016,9.010,8.980,9.040,8.950,327.85K,0.11%
Apr 07  2016,9.000,8.770,9.080,8.770,411.50K,2.74%
Apr 06  2016,8.760,8.830,8.830,8.750,173.43K,-0.34%
Apr 05  2016,8.790,8.780,8.870,8.730,159.19K,0.11%
Apr 04  2016,8.780,8.930,8.940,8.730,154.14K,-1.35%
Apr 01  2016,8.900,8.700,8.910,8.670,302.48K,2.18%
Mar 31  2016,8.710,8.680,8.750,8.670,279.49K,0.35%
Mar 30  2016,8.680,8.650,8.680,8.650,204.72K,0.46%
Mar 29  2016,8.640,8.680,8.680,8.600,209.08K,-0.46%
Mar 28  2016,8.680,8.610,8.710,8.600,176.90K,1.28%
Mar 24  2016,8.570,8.600,8.610,8.520,238.01K,-0.46%
Mar 23  2016,8.610,8.700,8.720,8.520,249.11K,-1.03%
Mar 22  2016,8.700,8.750,8.770,8.700,194.22K,-0.80%
Mar 21  2016,8.770,8.760,8.790,8.700,224.71K,0.92%
Mar 18  2016,8.690,8.780,8.830,8.680,604.36K,-0.46%
Mar 17  2016,8.730,8.720,8.830,8.660,387.57K,1.04%
Mar 16  2016,8.640,8.640,8.750,8.640,342.43K,0.47%
Mar 15  2016,8.600,8.630,8.670,8.570,169.03K,-0.23%
Mar 14  2016,8.620,8.680,8.720,8.600,189.98K,-0.69%
Mar 11  2016,8.680,8.640,8.730,8.610,187.54K,0.93%
Mar 10  2016,8.600,8.410,8.600,8.410,182.57K,2.75%
Mar 09  2016,8.370,8.470,8.520,8.360,289.12K,-1.06%
Mar 08  2016,8.460,8.510,8.530,8.410,312.05K,-0.70%
Mar 07  2016,8.520,8.430,8.530,8.420,183.44K,1.31%
Mar 04  2016,8.410,8.460,8.470,8.340,262.47K,0.48%
Mar 03  2016,8.370,8.320,8.400,8.300,224.89K,1.09%
Mar 02  2016,8.280,8.190,8.320,8.180,253.71K,1.22%
Mar 01  2016,8.180,8.170,8.230,8.100,233.56K,0.62%
Feb 29  2016,8.130,8.060,8.180,8.040,300.48K,0.99%
Feb 26  2016,8.050,8.200,8.240,8.050,240.92K,-1.71%
Feb 25  2016,8.190,8.280,8.310,8.170,142.89K,-1.56%
Feb 24  2016,8.320,8.290,8.340,8.230,263.56K,0.24%
Feb 23  2016,8.300,8.290,8.330,8.210,185.41K,0.48%
Feb 22  2016,8.260,8.310,8.370,8.260,232.13K,0.24%
Feb 19  2016,8.240,8.350,8.350,8.140,275.42K,-1.44%
Feb 18  2016,8.360,7.950,8.390,7.950,442.62K,4.89%
Feb 17  2016,7.970,7.880,7.970,7.840,281.95K,1.53%
Feb 16  2016,7.850,7.800,7.860,7.770,215.01K,1.68%
Feb 12  2016,7.720,7.720,7.870,7.710,170.90K,0.52%
Feb 11  2016,7.680,7.640,7.750,7.510,279.38K,0.39%
Feb 10  2016,7.650,7.630,7.780,7.610,323.20K,1.46%
Feb 09  2016,7.540,7.820,7.840,7.540,258.50K,-3.70%
Feb 08  2016,7.830,8.000,8.010,7.760,212.33K,-2.37%
Feb 05  2016,8.020,8.140,8.140,7.990,168.39K,-0.99%
Feb 04  2016,8.100,8.080,8.180,8.060,137.90K,0.62%
Feb 03  2016,8.050,8.070,8.070,7.970,157.86K,0.37%
Feb 02  2016,8.020,8.040,8.050,7.940,181.87K,0.25%
Feb 01  2016,8.000,8.160,8.160,8.000,214.00K,-0.62%
Jan 29  2016,8.050,8.110,8.140,7.980,334.30K,0.25%
Jan 28  2016,8.030,8.050,8.060,7.920,262.39K,0.75%
Jan 27  2016,7.970,8.080,8.080,7.940,193.52K,-1.12%
Jan 26  2016,8.060,8.110,8.150,8.030,174.56K,0.37%
Jan 25  2016,8.030,8.210,8.260,7.990,182.37K,-1.47%
Jan 22  2016,8.150,8.060,8.190,8.060,270.54K,1.62%
Jan 21  2016,8.020,7.870,8.080,7.860,249.04K,2.17%
Jan 20  2016,7.850,7.950,7.960,7.670,336.83K,-2.00%
Jan 19  2016,8.010,8.000,8.120,7.950,242.44K,0.88%
Jan 18  2016,7.940,8.000,8.060,7.920,155.74K,-0.25%
Jan 15  2016,7.960,7.910,8.000,7.790,339.01K,-0.87%
Jan 14  2016,8.030,8.060,8.070,7.870,369.25K,-0.50%
Jan 13  2016,8.070,8.180,8.250,8.070,204.78K,-0.98%
Jan 12  2016,8.150,8.120,8.180,8.050,349.82K,1.12%
Jan 11  2016,8.060,8.260,8.280,8.000,258.29K,-2.18%
Jan 08  2016,8.240,8.320,8.350,8.210,230.51K,-0.12%
Jan 07  2016,8.250,8.410,8.520,8.190,423.96K,-2.71%
Jan 06  2016,8.480,8.650,8.650,8.460,170.45K,-1.85%
Jan 05  2016,8.640,8.700,8.700,8.600,129.33K,-0.23%
Jan 04  2016,8.660,8.690,8.700,8.560,227.67K,0.00%
Dec 31  2015,8.660,8.710,8.730,8.660,150.51K,-0.69%
Dec 30  2015,8.720,8.760,8.790,8.700,119.00K,-0.34%
Dec 29  2015,8.750,8.740,8.780,8.700,129.03K,0.57%
Dec 24  2015,8.700,8.720,8.760,8.700,80.10K,0.23%
Dec 23  2015,8.680,8.690,8.720,8.650,127.00K,0.58%
Dec 22  2015,8.630,8.620,8.670,8.590,191.49K,0.58%
Dec 21  2015,8.580,8.570,8.720,8.570,290.52K,0.82%
Dec 18  2015,8.510,8.460,8.660,8.400,590.07K,1.55%
Dec 17  2015,8.380,8.350,8.440,8.290,316.44K,1.21%
Dec 16  2015,8.280,7.920,8.280,7.920,276.57K,4.55%
Dec 15  2015,7.920,7.800,8.080,7.800,387.00K,2.06%
Dec 14  2015,7.760,8.000,8.010,7.700,361.78K,-2.76%
Dec 11  2015,7.980,8.000,8.080,7.950,442.00K,-0.37%
Dec 10  2015,8.010,7.980,8.090,7.980,294.07K,0.25%
Dec 09  2015,7.990,8.020,8.140,7.960,448.20K,-0.62%
Dec 08  2015,8.040,8.140,8.140,8.010,185.78K,-1.23%
Dec 07  2015,8.140,8.140,8.260,8.110,276.27K,-0.37%
Dec 04  2015,8.170,8.270,8.270,8.150,193.50K,-0.97%
Dec 03  2015,8.250,8.310,8.320,8.200,169.12K,-0.72%
Dec 02  2015,8.310,8.350,8.350,8.250,230.75K,-0.12%
Dec 01  2015,8.320,8.300,8.360,8.300,220.89K,-0.36%
Nov 30  2015,8.350,8.360,8.360,8.300,167.29K,0.36%
Nov 27  2015,8.320,8.350,8.350,8.290,72.05K,-0.48%
Nov 26  2015,8.360,8.270,8.390,8.270,121.71K,0.60%
Nov 25  2015,8.310,8.320,8.350,8.245,218.13K,0.00%
Nov 24  2015,8.310,8.420,8.450,8.300,264.30K,-1.66%
Nov 23  2015,8.450,8.500,8.500,8.420,185.48K,-0.59%
Nov 20  2015,8.500,8.470,8.500,8.430,157.87K,0.47%
