Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,21.07,21.00,21.15,20.84,216.23K,0.48%
Apr 18  2016,20.97,20.55,21.00,20.50,160.76K,1.90%
Apr 15  2016,20.58,20.67,20.87,20.53,157.73K,-0.48%
Apr 14  2016,20.68,20.89,20.89,20.53,126.10K,-0.77%
Apr 13  2016,20.84,20.59,20.93,20.59,127.71K,1.07%
Apr 12  2016,20.62,20.74,20.83,20.50,146.52K,-0.29%
Apr 11  2016,20.68,20.81,20.82,20.58,106.38K,-0.62%
Apr 08  2016,20.81,20.23,20.88,20.23,261.57K,2.51%
Apr 07  2016,20.30,20.33,20.42,20.23,121.67K,-0.25%
Apr 06  2016,20.35,20.55,20.63,20.23,209.36K,-0.88%
Apr 05  2016,20.53,20.10,20.58,20.10,277.76K,1.33%
Apr 04  2016,20.26,20.55,20.75,20.21,236.67K,-1.94%
Apr 01  2016,20.66,20.59,20.71,20.43,177.57K,-0.43%
Mar 31  2016,20.75,20.64,20.95,20.58,381.76K,0.53%
Mar 30  2016,20.64,20.48,20.75,20.48,196.37K,1.47%
Mar 29  2016,20.34,20.35,20.46,20.15,172.67K,-0.15%
Mar 28  2016,20.37,20.39,20.45,20.11,151.24K,0.20%
Mar 24  2016,20.33,20.00,20.35,19.75,300.24K,1.35%
Mar 23  2016,20.06,20.42,20.49,20.06,332.76K,-1.67%
Mar 22  2016,20.40,20.67,20.88,20.37,233.92K,-1.69%
Mar 21  2016,20.75,20.04,20.76,20.04,289.70K,3.49%
Mar 18  2016,20.05,21.47,21.47,19.78,910.45K,-5.56%
Mar 17  2016,21.23,20.67,21.23,20.57,506.63K,3.11%
Mar 16  2016,20.59,20.50,20.71,20.37,202.27K,0.44%
Mar 15  2016,20.50,20.58,20.60,20.08,260.58K,-0.44%
Mar 14  2016,20.59,20.30,20.65,20.20,451.57K,1.33%
Mar 11  2016,20.32,20.45,20.50,20.25,153.99K,0.30%
Mar 10  2016,20.26,19.98,20.30,19.85,244.83K,1.81%
Mar 09  2016,19.90,19.70,20.00,19.62,313.05K,1.63%
Mar 08  2016,19.58,19.80,19.80,19.45,156.00K,-0.96%
Mar 07  2016,19.77,19.80,19.87,19.62,193.77K,-0.05%
Mar 04  2016,19.78,19.78,19.88,19.66,318.95K,0.25%
Mar 03  2016,19.73,19.74,19.95,19.65,265.00K,-0.20%
Mar 02  2016,19.77,19.53,19.97,19.53,330.21K,0.15%
Mar 01  2016,19.74,19.87,19.97,19.72,270.51K,-0.10%
Feb 29  2016,19.76,19.94,20.07,19.71,282.18K,-0.45%
Feb 26  2016,19.85,19.49,19.94,19.40,406.43K,2.69%
Feb 25  2016,19.33,19.35,19.58,19.27,325.18K,-0.62%
Feb 24  2016,19.45,19.39,19.59,19.20,759.16K,-0.10%
Feb 23  2016,19.47,19.59,19.90,19.22,908.44K,-2.26%
Feb 22  2016,19.92,19.38,20.10,19.27,1.41M,8.62%
Feb 19  2016,18.34,16.87,18.60,16.85,2.28M,12.72%
Feb 18  2016,16.27,16.33,16.37,16.05,229.51K,1.24%
Feb 17  2016,16.07,15.91,16.25,15.83,272.44K,1.97%
Feb 16  2016,15.76,15.52,15.80,15.40,158.26K,3.14%
Feb 12  2016,15.28,15.17,15.63,15.17,234.79K,1.93%
Feb 11  2016,14.99,14.79,15.17,14.79,243.59K,0.07%
Feb 10  2016,14.98,15.03,15.28,14.98,303.06K,0.20%
Feb 09  2016,14.95,15.28,15.32,14.91,235.86K,-2.42%
Feb 08  2016,15.32,15.75,15.83,15.26,272.05K,-2.98%
Feb 05  2016,15.79,15.88,15.94,15.68,235.33K,-0.13%
Feb 04  2016,15.81,15.60,15.95,15.60,268.42K,1.41%
Feb 03  2016,15.59,15.49,15.74,15.30,187.42K,1.50%
Feb 02  2016,15.36,15.66,15.70,15.16,384.21K,-2.60%
Feb 01  2016,15.77,16.43,16.43,15.70,284.70K,-2.05%
Jan 29  2016,16.10,16.00,16.23,15.90,365.18K,1.51%
Jan 28  2016,15.86,15.65,15.93,15.23,336.52K,3.32%
Jan 27  2016,15.35,15.17,15.55,15.07,264.83K,0.20%
Jan 26  2016,15.32,15.25,15.53,15.19,2.10M,1.06%
Jan 25  2016,15.16,15.35,15.43,15.10,354.97K,-1.24%
Jan 22  2016,15.35,14.91,15.40,14.91,585.13K,4.28%
Jan 21  2016,14.72,14.31,14.83,14.15,411.97K,2.87%
Jan 20  2016,14.31,14.37,14.52,14.00,318.48K,-1.78%
Jan 19  2016,14.57,14.36,14.59,14.25,287.51K,2.97%
Jan 18  2016,14.15,14.61,14.73,14.11,270.42K,-2.88%
Jan 15  2016,14.57,14.67,14.84,14.51,351.35K,-2.21%
Jan 14  2016,14.90,15.20,15.34,14.81,366.31K,-2.04%
Jan 13  2016,15.21,15.23,15.69,15.17,337.68K,0.13%
Jan 12  2016,15.19,15.46,15.52,15.02,327.65K,-1.43%
Jan 11  2016,15.41,15.57,15.66,15.28,296.22K,-0.90%
Jan 08  2016,15.55,15.61,15.71,15.30,394.87K,0.13%
Jan 07  2016,15.53,16.27,16.35,15.53,566.10K,-5.54%
Jan 06  2016,16.44,16.78,16.80,16.41,247.25K,-2.49%
Jan 05  2016,16.86,17.11,17.11,16.82,294.80K,-1.11%
Jan 04  2016,17.05,17.24,17.25,17.01,405.73K,-1.84%
Dec 31  2015,17.37,17.82,17.83,17.37,221.62K,-2.25%
Dec 30  2015,17.77,17.60,17.85,17.60,210.01K,0.91%
Dec 29  2015,17.61,17.53,17.74,17.53,181.55K,-0.06%
Dec 24  2015,17.62,17.61,17.83,17.60,166.34K,0.06%
