Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,4.90,4.94,4.94,4.79,3.25M,2.30%
Apr 18  2016,4.79,4.84,4.88,4.74,2.60M,1.27%
Apr 15  2016,4.73,4.60,4.77,4.52,2.44M,3.05%
Apr 14  2016,4.59,4.68,4.71,4.47,2.62M,-1.71%
Apr 13  2016,4.67,4.70,4.90,4.64,2.82M,-2.71%
Apr 12  2016,4.80,4.78,4.90,4.64,2.84M,1.91%
Apr 11  2016,4.71,4.57,4.83,4.55,2.87M,6.80%
Apr 08  2016,4.41,4.39,4.56,4.28,3.63M,4.50%
Apr 07  2016,4.22,4.14,4.27,4.11,3.34M,4.20%
Apr 06  2016,4.05,3.96,4.07,3.96,1.61M,0.50%
Apr 05  2016,4.03,4.05,4.11,3.97,1.95M,2.28%
Apr 04  2016,3.94,4.06,4.09,3.93,1.56M,-3.43%
Apr 01  2016,4.08,3.99,4.08,3.94,1.84M,0.00%
Mar 31  2016,4.08,4.12,4.18,4.07,2.89M,0.49%
Mar 30  2016,4.06,4.05,4.12,3.93,3.77M,-1.69%
Mar 29  2016,4.13,4.06,4.15,3.94,3.10M,3.51%
Mar 28  2016,3.99,4.08,4.13,3.93,1.89M,-1.24%
Mar 24  2016,4.04,4.12,4.20,3.93,3.38M,-3.35%
Mar 23  2016,4.18,4.24,4.37,4.14,3.12M,-4.57%
Mar 22  2016,4.38,4.64,4.64,4.38,2.77M,-0.90%
Mar 21  2016,4.42,4.46,4.59,4.37,1.94M,-1.12%
Mar 18  2016,4.47,4.37,4.55,4.32,6.13M,1.59%
Mar 17  2016,4.40,4.72,4.74,4.34,4.41M,-5.78%
Mar 16  2016,4.67,4.31,4.68,4.23,3.78M,7.36%
Mar 15  2016,4.35,4.21,4.42,4.18,3.50M,2.11%
Mar 14  2016,4.26,4.47,4.55,4.26,3.21M,-4.70%
Mar 11  2016,4.47,4.80,4.82,4.41,4.83M,-7.64%
Mar 10  2016,4.84,4.57,4.89,4.52,4.49M,7.80%
Mar 09  2016,4.49,4.52,4.61,4.35,3.27M,-3.02%
Mar 08  2016,4.63,4.86,4.98,4.57,3.61M,-4.73%
Mar 07  2016,4.86,4.72,4.96,4.70,4.51M,4.97%
Mar 04  2016,4.63,4.35,4.75,4.34,6.39M,6.93%
Mar 03  2016,4.33,3.97,4.34,3.97,4.40M,9.90%
Mar 02  2016,3.94,3.87,3.97,3.84,2.85M,2.87%
