Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,14.89,14.89,14.93,14.56,808.74K,0.27%
Apr 18  2016,14.85,14.42,14.95,14.34,836.17K,1.57%
Apr 15  2016,14.62,14.54,14.66,14.39,760.93K,0.07%
Apr 14  2016,14.61,14.57,14.64,14.40,516.19K,0.27%
Apr 13  2016,14.57,14.50,14.61,14.41,741.60K,1.04%
Apr 12  2016,14.42,14.12,14.76,14.05,1.47M,2.71%
Apr 11  2016,14.04,14.16,14.23,13.97,896.64K,-0.28%
Apr 08  2016,14.08,14.17,14.21,13.92,789.78K,0.64%
Apr 07  2016,13.99,14.08,14.16,13.84,1.35M,-1.62%
Apr 06  2016,14.22,13.84,14.26,13.78,1.96M,3.27%
Apr 05  2016,13.77,13.87,14.00,13.73,1.30M,-1.43%
Apr 04  2016,13.97,14.19,14.22,13.88,999.23K,-2.10%
Apr 01  2016,14.27,13.94,14.31,13.93,948.56K,1.93%
Mar 31  2016,14.00,13.80,14.05,13.73,1.00M,1.45%
Mar 30  2016,13.80,13.76,13.96,13.69,930.29K,1.85%
Mar 29  2016,13.55,13.46,13.59,13.25,1.39M,0.30%
Mar 28  2016,13.51,13.77,13.78,13.33,1.30M,-1.46%
Mar 24  2016,13.71,13.97,13.99,13.46,2.43M,-2.42%
Mar 23  2016,14.05,14.39,14.54,14.00,2.82M,-2.84%
Mar 22  2016,14.46,14.43,14.57,14.29,2.86M,0.21%
Mar 21  2016,14.43,14.76,14.83,14.38,3.16M,-2.10%
Mar 18  2016,14.74,15.00,15.14,14.68,2.00M,-2.19%
Mar 17  2016,15.07,14.97,15.22,14.92,1.76M,1.28%
Mar 16  2016,14.88,14.99,15.13,14.88,1.43M,-0.40%
Mar 15  2016,14.94,15.16,15.19,14.52,1.97M,-2.54%
Mar 14  2016,15.33,15.51,15.55,15.21,944.73K,-1.60%
Mar 11  2016,15.58,15.37,15.62,15.18,1.45M,2.50%
Mar 10  2016,15.20,15.25,15.29,14.95,1.09M,0.33%
Mar 09  2016,15.15,15.28,15.37,15.00,2.87M,-0.59%
