Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,47.55,47.46,47.58,47.10,574.80K,0.19%
Apr 18  2016,47.46,47.62,47.65,47.18,352.89K,-0.15%
Apr 15  2016,47.53,47.06,47.54,47.06,303.80K,0.76%
Apr 14  2016,47.17,47.36,47.47,46.97,325.63K,0.15%
Apr 13  2016,47.10,47.33,47.36,47.00,470.20K,-0.04%
Apr 12  2016,47.12,47.04,47.25,46.88,493.80K,0.32%
Apr 11  2016,46.97,47.45,47.61,46.92,351.46K,-1.03%
Apr 08  2016,47.46,47.60,47.89,47.27,300.79K,-0.11%
Apr 07  2016,47.51,47.62,47.82,47.27,481.45K,-0.23%
Apr 06  2016,47.62,48.01,48.01,47.35,393.23K,-0.79%
Apr 05  2016,48.00,48.32,48.39,47.83,547.16K,-1.09%
Apr 04  2016,48.53,48.15,48.54,47.82,548.01K,0.64%
Apr 01  2016,48.22,47.35,48.31,47.33,613.40K,1.43%
Mar 31  2016,47.54,47.67,47.96,47.46,347.95K,-0.25%
Mar 30  2016,47.66,47.65,47.92,47.45,270.31K,0.34%
Mar 29  2016,47.50,46.95,47.59,46.85,346.71K,0.89%
Mar 28  2016,47.08,46.91,47.11,46.59,335.16K,0.34%
Mar 24  2016,46.92,47.40,47.42,46.76,279.37K,-1.26%
Mar 23  2016,47.52,47.29,47.56,47.00,368.23K,0.38%
Mar 22  2016,47.34,47.09,47.58,46.81,607.85K,0.47%
Mar 21  2016,47.12,46.70,47.34,46.56,407.31K,1.09%
Mar 18  2016,46.61,46.97,47.22,46.58,1.48M,-0.94%
Mar 17  2016,47.05,47.04,47.50,46.84,641.25K,-0.02%
Mar 16  2016,47.06,47.07,47.28,46.52,645.24K,-0.23%
Mar 15  2016,47.17,46.76,47.36,46.69,710.66K,0.81%
Mar 14  2016,46.79,46.91,47.07,46.62,511.91K,-0.32%
Mar 11  2016,46.94,46.90,47.09,46.83,349.67K,0.28%
Mar 10  2016,46.81,47.13,47.15,46.56,439.87K,-0.47%
Mar 09  2016,47.03,46.86,47.19,46.72,627.48K,0.34%
Mar 08  2016,46.87,46.38,47.01,46.10,818.15K,1.21%
