Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,20.98,20.65,21.00,20.65,390.91K,1.45%
Apr 18  2016,20.68,20.44,20.74,20.38,269.51K,1.12%
Apr 15  2016,20.45,20.34,20.49,20.26,264.59K,0.54%
Apr 14  2016,20.34,20.30,20.50,20.20,371.80K,0.54%
Apr 13  2016,20.23,20.70,20.80,20.14,360.33K,-2.51%
Apr 12  2016,20.75,20.85,20.88,20.49,572.57K,-0.14%
Apr 11  2016,20.78,20.70,21.03,20.65,789.20K,0.63%
Apr 08  2016,20.65,21.38,21.38,20.60,1.04M,-3.59%
Apr 07  2016,21.42,21.77,21.86,21.38,421.18K,-1.61%
Apr 06  2016,21.77,22.18,22.18,21.77,519.53K,-1.54%
Apr 05  2016,22.11,22.23,22.42,22.10,262.45K,-1.38%
Apr 04  2016,22.42,22.27,22.48,22.09,356.62K,1.08%
Apr 01  2016,22.18,22.52,22.55,22.17,432.15K,-1.42%
Mar 31  2016,22.50,22.49,22.57,22.40,400.96K,-0.09%
Mar 30  2016,22.52,22.50,22.62,22.30,315.62K,0.31%
Mar 29  2016,22.45,22.27,22.54,22.27,195.07K,0.81%
Mar 28  2016,22.27,22.38,22.45,22.09,128.93K,-0.09%
Mar 24  2016,22.29,22.12,22.50,21.98,222.39K,1.00%
Mar 23  2016,22.07,22.48,22.54,22.00,316.30K,-1.08%
Mar 22  2016,22.31,22.25,22.48,22.23,289.74K,0.04%
Mar 21  2016,22.30,22.14,22.49,21.98,256.63K,1.04%
Mar 18  2016,22.07,22.42,22.50,22.04,598.13K,-1.60%
Mar 17  2016,22.43,22.35,22.48,22.23,584.71K,0.54%
Mar 16  2016,22.31,22.47,22.48,22.05,571.76K,-0.54%
Mar 15  2016,22.43,22.17,22.43,22.09,965.14K,1.22%
Mar 14  2016,22.16,22.65,22.74,22.05,737.25K,-2.08%
Mar 11  2016,22.63,23.00,23.09,22.36,2.01M,-0.88%
Mar 10  2016,22.83,24.00,24.15,22.81,4.24M,-14.72%
Mar 09  2016,26.77,26.93,27.03,26.72,271.70K,-0.11%
Mar 08  2016,26.80,26.50,27.03,26.50,205.34K,0.98%
Mar 07  2016,26.54,25.95,26.78,25.95,356.15K,2.04%
Mar 04  2016,26.01,25.73,26.13,25.55,276.82K,1.29%
Mar 03  2016,25.68,25.87,26.00,25.57,225.19K,-0.43%
Mar 02  2016,25.79,26.09,26.19,25.45,353.49K,-1.34%
Mar 01  2016,26.14,26.58,26.58,26.12,227.78K,-0.15%
Feb 29  2016,26.18,26.18,26.47,26.02,417.47K,0.34%
Feb 26  2016,26.09,25.77,26.21,25.71,128.44K,1.76%
Feb 25  2016,25.64,25.73,25.79,25.47,129.04K,-0.08%
Feb 24  2016,25.66,25.39,25.91,25.15,181.87K,0.39%
Feb 23  2016,25.56,25.49,25.66,25.42,206.29K,0.20%
Feb 22  2016,25.51,25.51,25.85,25.46,226.16K,-0.16%
Feb 19  2016,25.55,25.17,25.67,25.15,216.09K,-0.08%
Feb 18  2016,25.57,25.33,25.72,25.17,244.37K,1.27%
Feb 17  2016,25.25,24.73,25.41,24.73,302.65K,1.77%
Feb 16  2016,24.81,24.93,25.12,24.52,256.33K,-0.16%
Feb 12  2016,24.85,24.90,25.05,24.66,150.43K,0.53%
Feb 11  2016,24.72,24.73,24.86,24.52,93.58K,-1.04%
Feb 10  2016,24.98,25.00,25.39,24.91,127.03K,-0.12%
Feb 09  2016,25.01,24.78,25.15,24.68,221.14K,-0.08%
Feb 08  2016,25.03,25.21,25.30,24.75,99.65K,-1.42%
Feb 05  2016,25.39,25.26,25.71,25.11,200.07K,0.12%
Feb 04  2016,25.36,25.54,25.73,25.30,346.31K,-1.21%
Feb 03  2016,25.67,25.60,25.93,25.45,210.65K,0.51%
Feb 02  2016,25.54,25.75,25.81,25.36,248.42K,-1.12%
Feb 01  2016,25.83,26.49,26.49,25.68,552.15K,-2.45%
Jan 29  2016,26.48,25.94,26.54,25.94,661.54K,2.20%
Jan 28  2016,25.91,25.22,26.10,25.15,942.78K,3.27%
Jan 27  2016,25.09,24.81,25.48,24.73,789.28K,0.93%
Jan 26  2016,24.86,25.22,25.35,24.80,189.42K,-1.35%
Jan 25  2016,25.20,25.05,25.37,24.96,186.35K,0.80%
Jan 22  2016,25.00,24.41,25.00,24.30,254.70K,2.71%
Jan 21  2016,24.34,24.40,24.63,23.84,450.33K,-0.45%
Jan 20  2016,24.45,24.70,24.81,23.86,370.15K,-1.25%
Jan 19  2016,24.76,24.32,24.83,24.30,286.00K,1.89%
Jan 18  2016,24.30,24.33,24.41,23.93,148.50K,-0.08%
Jan 15  2016,24.32,24.27,24.47,23.86,649.32K,-2.33%
Jan 14  2016,24.90,24.55,24.95,24.43,288.93K,0.77%
Jan 13  2016,24.71,25.08,25.31,24.57,195.73K,-1.36%
Jan 12  2016,25.05,25.12,25.44,24.80,304.84K,0.12%
Jan 11  2016,25.02,25.19,25.26,24.53,325.15K,-0.64%
Jan 08  2016,25.18,25.00,25.34,25.00,306.16K,0.68%
Jan 07  2016,25.01,25.24,25.31,24.88,407.83K,-1.57%
Jan 06  2016,25.41,25.44,25.49,25.04,362.39K,-0.74%
Jan 05  2016,25.60,25.52,25.86,25.47,259.70K,0.20%
Jan 04  2016,25.55,25.53,25.64,25.25,249.71K,-0.74%
Dec 31  2015,25.74,26.17,26.33,25.70,168.40K,-1.76%
Dec 30  2015,26.20,26.50,26.51,26.01,143.18K,-1.13%
Dec 29  2015,26.50,26.56,26.70,26.22,181.37K,2.12%
Dec 24  2015,25.95,26.08,26.11,25.91,112.72K,-0.46%
Dec 23  2015,26.07,26.49,26.49,25.78,223.46K,-1.29%
Dec 22  2015,26.41,25.95,26.45,25.60,371.17K,2.25%
Dec 21  2015,25.83,25.87,26.07,25.60,260.91K,-0.04%
Dec 18  2015,25.84,25.21,25.92,25.19,627.22K,2.38%
Dec 17  2015,25.24,25.30,25.35,24.70,362.91K,-0.51%
Dec 16  2015,25.37,25.31,25.47,25.12,644.50K,0.48%
Dec 15  2015,25.25,25.09,25.41,24.88,593.00K,0.80%
Dec 14  2015,25.05,25.13,25.25,24.91,234.40K,-0.56%
Dec 11  2015,25.19,25.56,25.61,24.81,600.48K,-2.06%
Dec 10  2015,25.72,25.23,25.77,24.86,854.46K,-1.19%
Dec 09  2015,26.03,25.33,26.10,24.50,1.12M,3.09%
Dec 08  2015,25.25,25.48,25.69,24.95,280.34K,-1.94%
Dec 07  2015,25.75,25.40,25.78,25.04,323.93K,1.54%
Dec 04  2015,25.36,25.62,25.90,25.10,276.58K,-0.78%
Dec 03  2015,25.56,25.45,25.71,25.20,373.62K,0.59%
Dec 02  2015,25.41,26.30,26.53,25.26,420.82K,-5.04%
Dec 01  2015,26.76,26.71,26.92,26.36,277.48K,0.45%
Nov 30  2015,26.64,26.66,26.71,26.17,409.91K,-0.60%
Nov 27  2015,26.80,27.07,27.07,26.64,52.14K,-0.78%
Nov 26  2015,27.01,27.17,27.17,26.67,50.65K,-0.18%
Nov 25  2015,27.06,26.68,27.34,26.63,319.19K,1.42%
Nov 24  2015,26.68,26.67,26.97,26.55,272.76K,-0.48%
Nov 23  2015,26.81,26.86,27.21,26.71,116.60K,-0.11%
Nov 20  2015,26.84,27.06,27.06,26.66,193.36K,-0.30%
Nov 19  2015,26.92,26.83,27.01,26.70,231.51K,0.34%
Nov 18  2015,26.83,26.72,27.00,26.50,218.44K,0.90%
Nov 17  2015,26.59,26.28,26.66,26.13,202.43K,1.72%
Nov 16  2015,26.14,25.42,26.19,25.38,532.12K,2.91%
