Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,28.84,29.15,29.36,28.69,1.06M,-0.89%
Apr 18  2016,29.10,28.56,29.11,28.45,513.66K,0.87%
Apr 15  2016,28.85,28.84,28.85,28.62,456.43K,-0.35%
Apr 14  2016,28.95,28.90,29.20,28.65,805.23K,0.10%
Apr 13  2016,28.92,28.85,29.16,28.73,949.94K,0.28%
Apr 12  2016,28.84,28.26,28.95,28.21,3.63M,-3.16%
Apr 11  2016,29.78,29.81,30.00,29.68,281.25K,0.98%
Apr 08  2016,29.49,29.35,29.83,29.20,187.48K,1.20%
Apr 07  2016,29.14,29.38,29.38,29.12,162.93K,-0.61%
Apr 06  2016,29.32,29.00,29.50,28.95,578.21K,1.56%
Apr 05  2016,28.87,29.03,29.17,28.45,388.49K,-1.23%
Apr 04  2016,29.23,29.48,29.74,29.12,187.37K,-0.81%
Apr 01  2016,29.47,29.50,29.58,29.18,127.78K,-0.44%
Mar 31  2016,29.60,29.50,29.90,29.50,128.41K,0.34%
Mar 30  2016,29.50,29.48,29.71,29.35,154.26K,0.96%
Mar 29  2016,29.22,29.42,29.42,29.01,107.14K,-1.12%
Mar 28  2016,29.55,29.69,29.70,29.32,107.19K,0.00%
Mar 24  2016,29.55,29.40,29.57,29.23,137.01K,0.41%
Mar 23  2016,29.43,29.81,29.90,29.36,164.55K,-1.27%
Mar 22  2016,29.81,29.58,29.93,29.58,129.68K,0.85%
Mar 21  2016,29.56,29.66,29.99,29.51,171.18K,-0.44%
Mar 18  2016,29.69,30.51,30.51,29.65,356.53K,-1.46%
Mar 17  2016,30.13,29.97,30.53,29.89,174.54K,0.84%
Mar 16  2016,29.88,29.88,30.32,29.83,302.05K,0.27%
Mar 15  2016,29.80,29.98,30.00,29.52,190.75K,-0.83%
Mar 14  2016,30.05,30.36,30.38,29.89,163.42K,-1.18%
Mar 11  2016,30.41,30.57,30.57,30.23,174.99K,1.43%
Mar 10  2016,29.98,30.67,30.71,29.71,319.02K,-1.80%
Mar 09  2016,30.53,30.40,30.57,29.95,341.86K,1.23%
Mar 08  2016,30.16,30.36,30.36,29.73,589.17K,-0.66%
Mar 07  2016,30.36,29.99,30.70,29.88,386.95K,1.85%
Mar 04  2016,29.81,28.96,29.84,28.70,235.06K,4.16%
Mar 03  2016,28.62,28.89,29.05,28.25,282.12K,-0.42%
Mar 02  2016,28.74,28.77,29.04,28.35,233.66K,-0.76%
Mar 01  2016,28.96,29.26,29.57,28.89,205.60K,0.28%
Feb 29  2016,28.88,28.50,29.50,28.50,626.31K,1.58%
Feb 26  2016,28.43,27.37,28.45,27.31,316.62K,5.06%
Feb 25  2016,27.06,27.25,27.46,26.68,496.26K,-1.64%
Feb 24  2016,27.51,27.30,27.67,26.69,265.87K,0.15%
Feb 23  2016,27.47,27.99,28.00,27.40,305.18K,-2.07%
Feb 22  2016,28.05,27.60,28.19,27.25,371.43K,4.31%
Feb 19  2016,26.89,27.02,27.59,26.55,285.04K,-1.54%
Feb 18  2016,27.31,28.01,28.19,27.24,240.05K,-1.69%
Feb 17  2016,27.78,27.33,28.10,27.30,383.68K,2.74%
Feb 16  2016,27.04,27.00,27.29,26.54,263.92K,2.11%
Feb 12  2016,26.48,26.41,26.79,26.13,238.54K,1.53%
Feb 11  2016,26.08,25.90,26.79,25.85,277.81K,-0.80%
Feb 10  2016,26.29,26.35,26.67,25.80,121.95K,0.19%
Feb 09  2016,26.24,26.54,26.82,25.99,252.01K,-1.32%
Feb 08  2016,26.59,27.43,27.53,26.31,304.17K,-3.55%
Feb 05  2016,27.57,27.71,27.75,27.07,273.55K,-0.61%
Feb 04  2016,27.74,28.01,28.22,27.48,424.23K,-2.15%
Feb 03  2016,28.35,28.32,28.66,27.36,325.60K,0.89%
Feb 02  2016,28.10,28.13,28.19,27.43,209.41K,-1.51%
Feb 01  2016,28.53,29.50,29.62,28.03,365.00K,-2.53%
Jan 29  2016,29.27,29.18,29.81,28.79,935.13K,1.39%
Jan 28  2016,28.87,28.02,28.99,28.02,387.16K,4.15%
Jan 27  2016,27.72,27.79,28.33,27.15,326.03K,-0.43%
Jan 26  2016,27.84,26.86,27.99,26.80,256.43K,3.96%
Jan 25  2016,26.78,27.74,28.63,26.76,463.07K,-3.39%
Jan 22  2016,27.72,27.40,28.15,27.16,379.81K,3.24%
Jan 21  2016,26.85,25.79,27.06,25.19,399.23K,3.87%
Jan 20  2016,25.85,25.36,26.21,24.32,410.56K,-1.41%
Jan 19  2016,26.22,25.57,26.39,25.46,185.90K,3.47%
Jan 18  2016,25.34,26.42,26.51,25.28,153.42K,-5.27%
Jan 15  2016,26.75,26.65,27.10,26.57,210.92K,-2.05%
Jan 14  2016,27.31,26.71,27.52,26.33,319.12K,2.36%
Jan 13  2016,26.68,27.46,27.70,26.48,383.71K,-1.91%
Jan 12  2016,27.20,27.41,27.80,26.24,648.10K,-0.91%
Jan 11  2016,27.45,27.47,27.47,26.55,540.54K,1.03%
Jan 08  2016,27.17,26.80,27.43,26.25,411.24K,2.61%
Jan 07  2016,26.48,26.86,27.59,26.39,363.89K,-3.07%
Jan 06  2016,27.32,27.65,27.90,27.03,267.02K,-2.46%
Jan 05  2016,28.01,28.15,28.15,27.65,206.47K,-0.18%
Jan 04  2016,28.06,28.08,28.35,27.58,305.77K,0.11%
Dec 31  2015,28.03,27.69,28.14,27.37,199.99K,1.93%
Dec 30  2015,27.50,27.89,28.18,27.42,191.65K,-2.00%
Dec 29  2015,28.06,28.51,28.55,27.85,198.54K,-0.67%
Dec 24  2015,28.25,28.62,28.70,28.06,145.23K,-0.67%
Dec 23  2015,28.44,27.75,28.58,27.63,327.84K,3.53%
Dec 22  2015,27.47,27.15,27.50,27.05,227.46K,1.33%
Dec 21  2015,27.11,26.84,27.99,26.84,368.97K,1.01%
Dec 18  2015,26.84,27.35,27.65,26.81,1.72M,-2.01%
Dec 17  2015,27.39,28.00,28.18,27.15,462.65K,-2.28%
Dec 16  2015,28.03,27.40,28.24,27.01,406.96K,2.56%
Dec 15  2015,27.33,27.21,27.95,27.21,300.16K,0.40%
Dec 14  2015,27.22,27.04,27.37,26.36,419.97K,0.29%
Dec 11  2015,27.14,27.58,27.58,27.03,161.02K,-2.09%
Dec 10  2015,27.72,27.66,28.50,27.30,418.67K,0.40%
Dec 09  2015,27.61,27.21,28.49,27.00,547.12K,2.91%
Dec 08  2015,26.83,26.51,27.32,26.35,404.75K,-0.11%
Dec 07  2015,26.86,28.90,28.90,26.38,826.66K,-7.95%
Dec 04  2015,29.18,28.80,29.40,28.63,395.98K,1.50%
Dec 03  2015,28.75,29.44,29.63,28.52,501.60K,-0.38%
Dec 02  2015,28.86,29.64,29.66,28.77,245.89K,-2.20%
Dec 01  2015,29.51,29.19,29.60,29.12,281.11K,0.79%
Nov 30  2015,29.28,29.56,29.85,28.86,454.17K,-0.91%
Nov 27  2015,29.55,29.67,30.05,29.50,135.87K,-1.17%
Nov 26  2015,29.90,30.34,30.34,29.83,116.46K,-1.12%
Nov 25  2015,30.24,29.54,30.36,29.50,455.55K,1.65%
Nov 24  2015,29.75,30.39,30.45,29.65,343.37K,-1.78%
Nov 23  2015,30.29,29.79,30.45,29.75,403.62K,1.07%
Nov 20  2015,29.97,30.27,30.59,29.85,259.91K,-0.86%
Nov 19  2015,30.23,30.62,30.63,29.90,296.32K,-1.69%
Nov 18  2015,30.75,30.87,30.97,30.13,282.64K,-0.16%
Nov 17  2015,30.80,31.00,31.37,30.75,757.22K,-0.58%
Nov 16  2015,30.98,30.40,30.99,30.23,300.25K,1.91%
Nov 13  2015,30.40,30.52,30.62,29.82,222.21K,0.00%
Nov 12  2015,30.40,30.54,30.72,30.25,191.85K,-0.33%
Nov 11  2015,30.50,30.98,31.06,30.32,202.14K,-0.97%
Nov 10  2015,30.80,30.79,31.23,30.32,319.68K,0.36%
Nov 09  2015,30.69,30.46,31.01,30.28,646.29K,1.82%
Nov 06  2015,30.14,31.09,31.23,29.75,633.02K,-3.27%
Nov 05  2015,31.16,32.11,32.11,31.05,580.80K,-2.38%
Nov 04  2015,31.92,32.18,32.20,31.73,313.33K,-0.84%
Nov 03  2015,32.19,32.10,32.24,32.02,286.53K,0.47%
Nov 02  2015,32.04,32.20,32.20,31.93,157.98K,-0.31%
Oct 30  2015,32.14,32.06,32.29,31.78,379.44K,0.03%
Oct 29  2015,32.13,31.99,32.26,31.85,422.60K,0.16%
Oct 28  2015,32.08,31.80,32.21,31.53,267.89K,1.58%
Oct 27  2015,31.58,32.24,32.24,31.01,573.31K,-2.05%
Oct 26  2015,32.24,32.35,32.43,32.10,318.21K,-0.25%
Oct 23  2015,32.32,32.49,32.50,32.32,282.43K,-0.31%
Oct 22  2015,32.42,32.47,32.55,32.34,352.94K,-0.09%
Oct 21  2015,32.45,32.42,32.50,32.37,343.21K,0.09%
Oct 20  2015,32.42,32.50,32.60,32.38,335.87K,-0.15%
Oct 19  2015,32.47,32.47,32.53,32.40,323.68K,-0.15%
Oct 16  2015,32.52,32.45,32.66,32.42,778.24K,0.15%
Oct 15  2015,32.47,32.45,32.48,32.39,589.84K,0.15%
Oct 14  2015,32.42,32.30,32.50,32.20,1.54M,-5.51%
Oct 13  2015,34.31,34.45,34.70,34.20,137.49K,-1.44%
Oct 09  2015,34.81,34.80,35.04,34.33,137.27K,0.52%
Oct 08  2015,34.63,34.88,35.27,34.47,204.87K,-1.06%
Oct 07  2015,35.00,34.58,35.23,34.50,169.45K,1.51%
Oct 06  2015,34.48,34.59,34.94,34.32,192.68K,-0.29%
Oct 05  2015,34.58,33.50,34.77,33.41,258.62K,4.31%
Oct 02  2015,33.15,31.34,33.21,31.32,315.74K,5.54%
Oct 01  2015,31.41,31.68,32.13,31.07,178.26K,0.29%
Sep 30  2015,31.32,30.80,31.40,30.48,190.64K,1.95%
Sep 29  2015,30.72,31.43,31.50,30.41,456.00K,-1.41%
Sep 28  2015,31.16,32.13,32.58,31.10,214.86K,-4.48%
Sep 25  2015,32.62,32.61,32.83,32.20,190.76K,0.77%
Sep 24  2015,32.37,32.48,32.67,32.03,189.77K,-0.22%
Sep 23  2015,32.44,32.19,33.28,32.19,196.18K,0.25%
Sep 22  2015,32.36,31.74,32.40,31.69,172.94K,1.25%
Sep 21  2015,31.96,32.00,32.42,31.79,293.22K,0.47%
Sep 18  2015,31.81,31.62,32.12,31.40,226.64K,-0.41%
Sep 17  2015,31.94,31.79,32.24,31.65,131.25K,0.60%
Sep 16  2015,31.75,31.61,32.16,31.61,163.88K,0.86%
Sep 15  2015,31.48,31.58,31.91,31.35,149.62K,-0.35%
Sep 14  2015,31.59,31.99,32.45,31.55,181.54K,-1.13%
Sep 11  2015,31.95,33.65,33.65,31.85,190.47K,-4.85%
Sep 10  2015,33.58,33.28,33.79,33.00,130.47K,0.39%
Sep 09  2015,33.45,33.99,34.15,33.32,216.53K,-0.51%
Sep 08  2015,33.62,34.40,34.40,33.57,123.87K,-0.65%
Sep 04  2015,33.84,33.88,34.39,33.15,86.49K,-0.21%
Sep 03  2015,33.91,33.26,34.56,33.08,219.01K,2.29%
Sep 02  2015,33.15,32.69,33.73,32.03,278.59K,2.13%
Sep 01  2015,32.46,32.55,32.82,31.90,165.31K,-1.84%
Aug 31  2015,33.07,32.18,33.18,31.80,145.36K,2.77%
Aug 28  2015,32.18,31.89,32.79,31.84,114.61K,0.31%
Aug 27  2015,32.08,30.95,32.23,30.52,205.74K,7.18%
Aug 26  2015,29.93,30.35,30.35,29.20,218.53K,0.67%
Aug 25  2015,29.73,30.53,30.53,29.44,194.22K,1.19%
Aug 24  2015,29.38,27.50,29.90,27.49,277.40K,-4.30%
Aug 21  2015,30.70,32.25,32.52,30.43,246.00K,-4.57%
Aug 20  2015,32.17,34.09,34.09,31.94,212.76K,-6.21%
Aug 19  2015,34.30,34.26,34.97,33.79,242.57K,-0.52%
Aug 18  2015,34.48,34.20,34.70,34.15,133.70K,0.50%
Aug 17  2015,34.31,33.99,34.49,33.64,86.47K,0.79%
Aug 14  2015,34.04,33.35,34.14,33.35,92.98K,1.76%
Aug 13  2015,33.45,33.80,33.90,33.33,85.02K,-1.04%
Aug 12  2015,33.80,33.57,34.04,33.40,97.67K,-0.50%
Aug 11  2015,33.97,33.82,34.07,33.35,157.99K,-0.41%
Aug 10  2015,34.11,33.78,34.35,33.42,165.20K,1.91%
Aug 07  2015,33.47,33.35,33.81,33.25,156.49K,0.30%
Aug 06  2015,33.37,33.11,33.69,32.90,299.74K,1.34%
Aug 05  2015,32.93,33.36,33.69,32.85,121.92K,-0.60%
Aug 04  2015,33.13,34.59,34.68,32.95,208.47K,-3.92%
Jul 31  2015,34.48,34.47,34.69,34.06,141.16K,1.00%
Jul 30  2015,34.14,33.27,34.26,32.89,264.67K,3.61%
Jul 29  2015,32.95,33.60,33.60,32.79,158.71K,-2.11%
Jul 28  2015,33.66,33.15,33.69,32.65,172.47K,1.08%
Jul 27  2015,33.30,33.58,33.89,33.04,125.53K,-1.27%
Jul 24  2015,33.73,33.87,34.19,33.39,155.92K,-0.76%
Jul 23  2015,33.99,34.74,35.08,33.87,141.22K,-2.05%
Jul 22  2015,34.70,36.00,36.16,34.51,173.23K,-3.72%
Jul 21  2015,36.04,35.65,36.53,35.65,116.86K,0.31%
Jul 20  2015,35.93,36.88,36.88,35.85,144.82K,-1.94%
Jul 17  2015,36.64,36.11,36.88,35.93,226.84K,3.88%
Jul 16  2015,35.27,35.49,35.51,34.95,127.46K,0.83%
Jul 15  2015,34.98,35.49,35.59,34.80,127.13K,-0.57%
Jul 14  2015,35.18,35.24,35.35,34.75,138.44K,0.80%
Jul 13  2015,34.90,34.80,35.31,34.50,95.72K,1.01%
Jul 10  2015,34.55,34.36,34.78,34.24,126.05K,0.58%
Jul 09  2015,34.35,34.42,34.92,34.16,154.02K,-0.03%
Jul 08  2015,34.36,34.89,35.36,34.35,127.32K,-0.84%
Jul 07  2015,34.65,34.72,34.79,34.05,152.02K,-0.40%
Jul 06  2015,34.79,34.50,34.94,34.15,124.01K,0.09%
Jul 03  2015,34.76,35.05,35.05,34.45,44.48K,-0.80%
Jul 02  2015,35.04,34.50,35.15,34.00,142.65K,1.48%
Jun 30  2015,34.53,34.72,35.12,34.50,197.26K,-0.83%
Jun 29  2015,34.82,34.82,35.05,34.50,143.86K,-0.83%
Jun 26  2015,35.11,36.21,36.48,35.00,245.91K,-3.99%
Jun 25  2015,36.57,36.77,36.92,36.22,203.25K,0.49%
Jun 24  2015,36.39,35.81,36.67,35.81,96.68K,1.20%
Jun 23  2015,35.96,35.99,36.91,35.86,243.11K,1.01%
Jun 22  2015,35.60,35.73,35.84,35.12,316.06K,2.59%
Jun 19  2015,34.70,34.10,35.45,34.10,284.01K,3.00%
Jun 18  2015,33.69,33.58,33.94,33.44,100.15K,0.75%
Jun 17  2015,33.44,33.34,33.50,32.85,625.65K,0.33%
Jun 16  2015,33.33,32.91,33.49,32.91,197.69K,0.36%
Jun 15  2015,33.21,33.09,33.67,32.94,166.56K,-0.39%
Jun 12  2015,33.34,33.69,33.75,33.01,224.91K,-1.04%
Jun 11  2015,33.69,34.50,34.66,33.64,246.01K,-3.22%
Jun 10  2015,34.81,35.90,35.90,34.77,201.26K,-2.57%
Jun 09  2015,35.73,35.28,35.80,35.10,115.87K,1.28%
Jun 08  2015,35.28,37.31,37.31,35.18,187.16K,-5.54%
Jun 05  2015,37.35,36.96,37.47,36.91,93.10K,1.16%
Jun 04  2015,36.92,38.31,38.31,36.75,130.27K,-4.03%
Jun 03  2015,38.47,38.49,38.87,38.32,72.76K,0.21%
Jun 02  2015,38.39,38.23,38.89,37.86,94.24K,0.05%
Jun 01  2015,38.37,38.12,38.64,38.01,106.59K,0.52%
May 29  2015,38.17,37.99,38.95,37.75,162.11K,0.39%
May 28  2015,38.02,38.28,38.28,37.51,90.47K,-0.71%
May 27  2015,38.29,38.12,38.63,38.02,55.37K,0.45%
May 26  2015,38.12,38.59,38.59,37.73,114.67K,-0.78%
May 25  2015,38.42,38.70,38.74,38.17,41.15K,-0.83%
May 22  2015,38.74,38.93,39.00,38.57,57.31K,-0.44%
May 21  2015,38.91,38.70,39.00,38.51,67.32K,0.88%
May 20  2015,38.57,38.51,38.94,38.41,84.20K,-0.31%
May 19  2015,38.69,38.77,39.08,38.54,95.87K,-0.44%
May 15  2015,38.86,38.73,39.00,38.00,107.74K,1.01%
May 14  2015,38.47,37.92,39.34,37.77,174.92K,1.48%
May 13  2015,37.91,37.96,38.09,37.72,79.03K,0.29%
May 12  2015,37.80,38.62,38.62,37.78,164.96K,-2.30%
May 11  2015,38.69,39.01,39.32,38.65,66.86K,-0.85%
May 08  2015,39.02,39.09,39.21,38.50,110.84K,-0.05%
May 07  2015,39.04,38.30,39.14,37.87,140.44K,1.93%
May 06  2015,38.30,40.00,40.00,38.18,161.60K,-3.99%
May 05  2015,39.89,39.99,40.68,39.74,122.45K,0.33%
May 04  2015,39.76,39.15,40.05,38.96,108.11K,1.87%
May 01  2015,39.03,38.55,39.05,38.54,73.88K,0.41%
Apr 30  2015,38.87,39.04,39.04,38.30,188.93K,-0.46%
Apr 29  2015,39.05,38.40,39.10,38.27,143.57K,1.27%
Apr 28  2015,38.56,38.73,38.98,38.34,86.17K,-1.03%
Apr 27  2015,38.96,39.25,39.37,38.66,110.69K,-0.51%
Apr 24  2015,39.16,39.00,39.16,38.66,102.86K,0.77%
Apr 23  2015,38.86,38.60,38.97,38.35,167.02K,0.83%
Apr 22  2015,38.54,38.01,38.68,38.01,75.07K,1.08%
Apr 21  2015,38.13,38.58,38.63,37.90,92.07K,-0.75%
Apr 20  2015,38.42,38.13,38.74,37.98,152.31K,1.21%
Apr 17  2015,37.96,37.25,38.22,37.25,205.59K,1.91%
Apr 16  2015,37.25,37.28,37.54,37.00,163.86K,-0.29%
Apr 15  2015,37.36,37.22,37.53,36.96,135.14K,0.89%
Apr 14  2015,37.03,36.97,37.56,36.95,89.69K,0.19%
Apr 13  2015,36.96,36.99,37.37,36.80,82.76K,0.30%
Apr 10  2015,36.85,37.31,37.31,36.51,200.35K,-0.51%
Apr 09  2015,37.04,36.49,37.15,36.48,133.44K,1.87%
Apr 08  2015,36.36,36.65,36.66,36.30,203.50K,-0.49%
Apr 07  2015,36.54,36.52,36.75,36.33,196.30K,0.55%
Apr 06  2015,36.34,36.65,36.75,36.15,206.65K,-0.03%
Apr 02  2015,36.35,37.45,37.65,36.30,476.89K,-3.50%
Apr 01  2015,37.67,37.55,38.39,37.46,139.91K,0.99%
Mar 31  2015,37.30,37.68,37.82,37.18,159.87K,-1.32%
Mar 30  2015,37.80,38.17,38.30,37.44,119.82K,-0.53%
Mar 27  2015,38.00,38.52,38.52,37.64,112.34K,-1.43%
Mar 26  2015,38.55,38.52,38.66,37.82,164.99K,0.13%
Mar 25  2015,38.50,37.77,38.56,37.77,166.39K,1.13%
Mar 24  2015,38.07,36.80,38.21,36.61,216.78K,3.42%
Mar 23  2015,36.81,37.01,37.71,36.60,213.21K,-1.02%
Mar 20  2015,37.19,38.38,38.38,37.15,186.02K,-2.16%
Mar 19  2015,38.01,38.74,38.90,37.96,138.76K,-1.66%
Mar 18  2015,38.65,38.25,38.82,37.75,120.87K,0.91%
Mar 17  2015,38.30,37.83,38.65,37.77,261.34K,2.16%
Mar 16  2015,37.49,38.08,38.08,37.22,207.95K,-0.66%
Mar 13  2015,37.74,38.06,38.06,37.53,98.61K,-0.61%
Mar 12  2015,37.97,38.14,38.14,37.54,143.04K,-0.08%
Mar 11  2015,38.00,37.98,38.00,37.55,159.83K,0.64%
Mar 10  2015,37.76,38.70,39.18,37.63,188.92K,-2.61%
Mar 09  2015,38.77,39.25,39.87,38.55,105.86K,-1.10%
Mar 06  2015,39.20,40.08,40.08,39.15,108.37K,-1.80%
Mar 05  2015,39.92,40.15,40.72,39.76,146.68K,-1.02%
Mar 04  2015,40.33,40.54,40.75,40.04,112.89K,-0.91%
Mar 03  2015,40.70,40.68,40.78,40.00,143.02K,0.92%
Mar 02  2015,40.33,39.02,40.36,39.02,131.71K,2.20%
