Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,53.56,53.13,53.58,52.60,1.36M,1.11%
Apr 18  2016,52.97,51.14,52.98,51.14,2.43M,1.87%
Apr 15  2016,52.00,51.60,52.02,51.57,1.33M,-0.27%
Apr 14  2016,52.14,52.08,52.24,51.58,1.12M,0.21%
Apr 13  2016,52.03,51.67,52.04,51.26,1.34M,1.36%
Apr 12  2016,51.33,50.00,51.96,49.99,2.26M,1.80%
Apr 11  2016,50.42,50.75,51.19,50.42,1.36M,-0.51%
Apr 08  2016,50.68,50.20,50.71,50.03,1.69M,2.30%
Apr 07  2016,49.54,49.32,49.73,49.10,891.31K,0.02%
Apr 06  2016,49.53,49.01,49.70,48.92,1.67M,1.64%
Apr 05  2016,48.73,49.38,49.60,48.73,1.33M,-1.60%
Apr 04  2016,49.52,49.64,49.98,49.26,1.31M,0.41%
Apr 01  2016,49.32,50.01,50.18,49.21,1.37M,-2.45%
Mar 31  2016,50.56,50.00,50.81,50.00,2.35M,0.94%
Mar 30  2016,50.09,49.56,50.60,49.48,1.59M,2.02%
Mar 29  2016,49.10,49.45,49.45,48.72,1.84M,-1.52%
Mar 28  2016,49.86,49.71,49.91,49.00,986.92K,0.59%
Mar 24  2016,49.57,48.79,50.00,48.60,1.38M,0.59%
Mar 23  2016,49.28,50.27,50.27,48.86,1.93M,-0.61%
Mar 22  2016,49.58,49.54,50.07,49.28,1.50M,0.06%
Mar 21  2016,49.55,49.50,49.86,48.59,1.78M,-0.24%
Mar 18  2016,49.67,50.50,50.75,48.79,14.09M,-2.13%
Mar 17  2016,50.75,50.74,51.21,50.53,1.66M,0.87%
Mar 16  2016,50.31,50.48,50.84,49.91,1.78M,0.56%
Mar 15  2016,50.03,49.85,50.23,48.88,1.98M,0.04%
Mar 14  2016,50.01,50.51,50.82,49.84,2.69M,-2.38%
Mar 11  2016,51.23,51.16,51.31,50.28,2.34M,0.71%
Mar 10  2016,50.87,50.69,51.08,50.15,2.96M,0.55%
Mar 09  2016,50.59,50.30,50.76,50.07,2.87M,1.44%
Mar 08  2016,49.87,49.90,50.55,49.80,3.50M,-0.26%
Mar 07  2016,50.00,48.95,50.07,48.87,3.63M,2.23%
Mar 04  2016,48.91,47.77,49.05,47.39,2.81M,3.36%
Mar 03  2016,47.32,46.98,47.65,46.40,2.38M,1.22%
Mar 02  2016,46.75,47.06,47.24,46.02,2.36M,-0.60%
