Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,8.97,8.74,9.10,8.56,7.82M,4.91%
Apr 18  2016,8.55,7.96,8.72,7.96,5.48M,-0.23%
Apr 15  2016,8.57,8.62,8.75,8.40,4.63M,-2.94%
Apr 14  2016,8.83,8.90,8.95,8.69,4.87M,0.46%
Apr 13  2016,8.79,9.01,9.06,8.47,8.16M,-0.57%
Apr 12  2016,8.84,8.20,8.99,8.16,9.62M,9.27%
Apr 11  2016,8.09,7.92,8.28,7.91,6.06M,3.59%
Apr 08  2016,7.81,7.85,7.98,7.76,6.97M,1.30%
Apr 07  2016,7.71,7.67,7.84,7.41,5.26M,-0.52%
Apr 06  2016,7.75,7.71,7.86,7.56,5.21M,2.65%
Apr 05  2016,7.55,7.60,7.78,7.44,3.84M,-1.95%
Apr 04  2016,7.70,7.93,8.03,7.61,5.28M,-2.41%
Apr 01  2016,7.89,7.67,7.96,7.63,5.18M,-0.38%
Mar 31  2016,7.92,7.60,8.02,7.58,5.77M,3.26%
Mar 30  2016,7.67,7.80,7.91,7.54,5.60M,0.26%
Mar 29  2016,7.65,7.37,7.80,7.20,6.15M,0.13%
Mar 28  2016,7.64,7.80,7.86,7.51,5.41M,-2.68%
Mar 24  2016,7.85,7.24,7.87,7.12,6.56M,2.48%
Mar 23  2016,7.66,7.90,8.02,7.51,7.77M,-3.89%
Mar 22  2016,7.97,7.75,8.00,7.67,4.88M,2.18%
Mar 21  2016,7.80,7.83,8.01,7.68,5.47M,-1.14%
Mar 18  2016,7.89,8.10,8.24,7.56,13.04M,-1.62%
Mar 17  2016,8.02,8.25,8.26,7.99,10.71M,1.01%
Mar 16  2016,7.94,7.43,7.98,7.41,9.00M,9.07%
Mar 15  2016,7.28,7.10,7.30,6.95,5.78M,0.00%
Mar 14  2016,7.28,7.13,7.36,7.01,5.11M,-2.15%
Mar 11  2016,7.44,7.32,7.69,7.31,8.08M,4.94%
Mar 10  2016,7.09,7.10,7.30,6.92,8.46M,-1.80%
Mar 09  2016,7.22,7.30,7.50,7.00,11.02M,3.29%
Mar 08  2016,6.99,7.96,7.96,6.91,11.45M,-13.38%
Mar 07  2016,8.07,7.31,8.14,7.22,17.60M,10.55%
Mar 04  2016,7.30,6.74,7.58,6.58,23.86M,10.77%
Mar 03  2016,6.59,6.13,6.74,6.08,9.50M,7.33%
Mar 02  2016,6.14,5.65,6.20,5.63,8.69M,6.78%
Mar 01  2016,5.75,5.90,5.91,5.45,9.56M,-1.71%
Feb 29  2016,5.85,5.44,5.85,5.22,12.43M,9.96%
Feb 26  2016,5.32,5.23,5.65,5.20,9.05M,4.72%
Feb 25  2016,5.08,5.09,5.22,4.87,6.37M,-0.20%
Feb 24  2016,5.09,4.39,5.15,4.32,18.91M,22.65%
Feb 23  2016,4.15,4.46,4.59,4.14,5.83M,-8.59%
Feb 22  2016,4.54,4.48,4.55,4.32,8.14M,5.09%
Feb 19  2016,4.32,4.72,4.72,4.29,12.55M,-10.93%
Feb 18  2016,4.85,5.50,5.54,4.83,7.29M,-9.01%
Feb 17  2016,5.33,5.12,5.40,5.01,6.08M,6.81%
Feb 16  2016,4.99,5.09,5.10,4.75,3.88M,1.63%
Feb 12  2016,4.91,5.08,5.15,4.75,5.72M,2.29%
Feb 11  2016,4.80,4.69,4.88,4.57,5.39M,-1.23%
Feb 10  2016,4.86,5.35,5.57,4.84,5.42M,-8.47%
Feb 09  2016,5.31,5.71,5.96,5.25,5.85M,-8.92%
Feb 08  2016,5.83,5.99,6.18,5.63,6.53M,-5.66%
Feb 05  2016,6.18,5.83,6.26,5.79,5.42M,3.17%
Feb 04  2016,5.99,6.29,6.71,5.96,7.54M,-4.01%
Feb 03  2016,6.24,5.85,6.33,5.41,7.46M,11.63%
Feb 02  2016,5.59,5.80,5.82,5.52,4.01M,-7.45%
Feb 01  2016,6.04,5.89,6.09,5.75,4.19M,-1.79%
Jan 29  2016,6.15,6.25,6.36,5.87,7.02M,0.00%
Jan 28  2016,6.15,5.72,6.22,5.35,8.15M,14.31%
Jan 27  2016,5.38,5.28,5.68,5.21,6.66M,1.32%
Jan 26  2016,5.31,5.23,5.45,4.97,3.61M,3.11%
Jan 25  2016,5.15,5.63,5.79,5.14,4.55M,-11.21%
Jan 22  2016,5.80,5.89,6.09,5.66,7.64M,6.42%
Jan 21  2016,5.45,5.00,5.59,4.89,7.39M,7.71%
Jan 20  2016,5.06,4.61,5.08,4.37,9.53M,6.53%
Jan 19  2016,4.75,5.40,5.45,4.61,6.35M,-10.88%
Jan 18  2016,5.33,5.26,5.37,5.26,941.35K,-0.93%
Jan 15  2016,5.38,5.57,5.80,5.26,6.02M,-9.12%
Jan 14  2016,5.92,6.10,6.13,5.76,6.78M,-2.15%
Jan 13  2016,6.05,6.60,6.76,5.97,5.83M,-7.21%
Jan 12  2016,6.52,6.74,6.80,6.25,5.82M,-2.69%
Jan 11  2016,6.70,6.88,6.90,6.61,2.59M,-3.04%
Jan 08  2016,6.91,6.72,6.94,6.51,4.48M,4.54%
Jan 07  2016,6.61,6.65,7.03,6.56,5.79M,-5.03%
Jan 06  2016,6.96,7.01,7.11,6.82,5.45M,-5.82%
Jan 05  2016,7.39,7.09,7.50,7.02,4.34M,3.65%
Jan 04  2016,7.13,7.00,7.25,6.90,3.85M,1.42%
Dec 31  2015,7.03,6.71,7.07,6.66,3.09M,4.77%
Dec 30  2015,6.71,6.78,6.89,6.63,2.12M,-3.17%
Dec 29  2015,6.93,7.15,7.20,6.75,3.49M,-0.72%
Dec 24  2015,6.98,7.13,7.13,6.87,1.51M,-1.27%
Dec 23  2015,7.07,6.67,7.14,6.65,5.30M,8.44%
Dec 22  2015,6.52,6.87,6.87,6.49,4.98M,-5.23%
Dec 21  2015,6.88,6.92,7.08,6.79,4.80M,-1.99%
Dec 18  2015,7.02,6.91,7.19,6.90,6.50M,0.86%
Dec 17  2015,6.96,7.24,7.32,6.78,14.11M,-4.79%
Dec 16  2015,7.31,7.58,7.60,7.18,9.12M,-3.43%
Dec 15  2015,7.57,7.76,7.91,7.39,8.33M,-0.79%
Dec 14  2015,7.63,7.81,7.90,7.45,8.65M,-8.18%
Dec 11  2015,8.31,8.64,8.65,8.24,4.04M,-6.31%
Dec 10  2015,8.87,9.02,9.13,8.77,4.44M,-2.95%
Dec 09  2015,9.14,9.20,9.57,9.03,3.35M,0.11%
Dec 08  2015,9.13,8.80,9.24,8.66,3.74M,0.77%
Dec 07  2015,9.06,9.47,9.47,8.89,5.61M,-6.21%
Dec 04  2015,9.66,9.94,9.99,9.60,4.40M,-4.45%
Dec 03  2015,10.11,10.38,10.43,10.05,4.27M,-0.88%
Dec 02  2015,10.20,11.00,11.02,10.20,3.87M,-8.03%
Dec 01  2015,11.09,11.14,11.29,11.03,3.50M,-0.27%
Nov 30  2015,11.12,11.02,11.21,10.87,3.02M,2.49%
Nov 27  2015,10.85,11.12,11.30,10.85,1.61M,-2.78%
Nov 26  2015,11.16,11.16,11.35,11.11,678.19K,-0.98%
Nov 25  2015,11.27,11.16,11.60,11.01,2.49M,-0.79%
