Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,16.09,16.01,16.13,15.93,851.94K,0.37%
Apr 18  2016,16.03,15.83,16.05,15.83,510.62K,1.14%
Apr 15  2016,15.85,15.85,15.88,15.80,387.81K,0.00%
Apr 14  2016,15.85,15.79,15.92,15.70,1.56M,0.38%
Apr 13  2016,15.79,15.32,15.82,15.28,1.19M,3.34%
Apr 12  2016,15.28,15.28,15.31,15.23,289.36K,-0.07%
Apr 11  2016,15.29,15.30,15.32,15.23,141.05K,0.00%
Apr 08  2016,15.29,15.42,15.42,15.18,275.81K,-0.13%
Apr 07  2016,15.31,15.46,15.46,15.26,201.46K,-0.97%
Apr 06  2016,15.46,15.40,15.46,15.32,233.79K,0.52%
Apr 05  2016,15.38,15.34,15.40,15.26,173.73K,0.13%
Apr 04  2016,15.36,15.39,15.39,15.22,208.56K,0.33%
Apr 01  2016,15.31,15.24,15.32,15.11,280.85K,0.39%
Mar 31  2016,15.25,15.39,15.39,15.03,603.96K,-0.52%
Mar 30  2016,15.33,15.61,15.61,15.20,1.61M,-2.04%
Mar 29  2016,15.65,15.50,15.66,15.49,181.05K,0.77%
Mar 28  2016,15.53,15.59,15.62,15.48,100.31K,-0.06%
Mar 24  2016,15.54,15.51,15.57,15.41,204.42K,-0.32%
Mar 23  2016,15.59,15.53,15.64,15.50,114.79K,-0.32%
Mar 22  2016,15.64,15.70,15.70,15.53,102.12K,-0.38%
Mar 21  2016,15.70,15.60,15.81,15.54,264.09K,0.38%
Mar 18  2016,15.64,15.79,15.86,15.60,553.83K,-0.64%
Mar 17  2016,15.74,15.80,15.80,15.69,241.78K,-0.25%
Mar 16  2016,15.78,15.60,15.82,15.48,434.37K,1.48%
Mar 15  2016,15.55,15.41,15.61,15.35,214.77K,0.65%
Mar 14  2016,15.45,15.62,15.71,15.44,192.20K,-1.40%
Mar 11  2016,15.67,15.74,15.81,15.67,251.47K,-0.13%
Mar 10  2016,15.69,15.63,15.70,15.47,413.93K,0.71%
Mar 09  2016,15.58,15.30,15.59,15.27,913.35K,1.96%
Mar 08  2016,15.28,15.50,15.63,15.25,1.39M,-4.08%
Mar 07  2016,15.93,15.87,15.96,15.82,71.21K,0.57%
Mar 04  2016,15.84,15.85,15.91,15.73,68.04K,-0.06%
Mar 03  2016,15.85,15.90,15.93,15.74,123.16K,0.63%
Mar 02  2016,15.75,15.69,15.84,15.65,126.66K,-0.06%
Mar 01  2016,15.76,15.72,15.83,15.65,224.16K,-0.51%
Feb 29  2016,15.84,15.86,15.98,15.74,128.78K,-0.44%
Feb 26  2016,15.91,16.09,16.09,15.87,97.50K,-0.56%
Feb 25  2016,16.00,15.89,16.06,15.85,49.04K,0.69%
Feb 24  2016,15.89,15.90,16.18,15.76,101.24K,-0.63%
Feb 23  2016,15.99,15.97,16.16,15.94,64.14K,0.19%
Feb 22  2016,15.96,16.13,16.24,15.91,124.42K,-0.19%
Feb 19  2016,15.99,16.09,16.14,15.94,113.55K,-0.68%
Feb 18  2016,16.10,16.00,16.11,15.91,115.10K,0.94%
Feb 17  2016,15.95,15.54,16.00,15.54,189.95K,3.50%
Feb 16  2016,15.41,15.47,15.52,15.34,157.82K,0.78%
Feb 12  2016,15.29,15.33,15.40,15.19,135.58K,-0.07%
Feb 11  2016,15.30,15.28,15.45,15.00,106.30K,0.00%
Feb 10  2016,15.30,15.25,15.45,15.12,73.60K,0.33%
Feb 09  2016,15.25,15.26,15.33,15.09,65.31K,-0.20%
Feb 08  2016,15.28,15.53,15.53,15.17,101.67K,-1.80%
Feb 05  2016,15.56,15.79,15.79,15.42,113.53K,-1.39%
Feb 04  2016,15.78,15.68,15.86,15.61,69.07K,0.19%
