Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,11.63,11.10,11.63,11.10,250.22K,4.59%
Apr 18  2016,11.12,10.53,11.22,10.45,90.50K,1.92%
Apr 15  2016,10.91,11.05,11.10,10.85,103.23K,-2.50%
Apr 14  2016,11.19,11.05,11.26,10.92,124.66K,1.73%
Apr 13  2016,11.00,10.66,11.00,10.58,102.79K,3.48%
Apr 12  2016,10.63,10.66,10.68,10.39,177.27K,2.02%
Apr 11  2016,10.42,10.34,10.50,10.28,123.19K,1.46%
Apr 08  2016,10.27,10.41,10.41,10.17,76.88K,0.69%
Apr 07  2016,10.20,10.27,10.32,10.02,103.16K,0.10%
Apr 06  2016,10.19,10.26,10.32,10.09,192.31K,0.89%
Apr 05  2016,10.10,9.85,10.13,9.71,67.81K,2.33%
Apr 04  2016,9.87,10.00,10.10,9.79,90.17K,-1.30%
Apr 01  2016,10.00,10.04,10.04,9.74,129.85K,-2.06%
Mar 31  2016,10.21,10.18,10.44,10.17,111.37K,0.49%
Mar 30  2016,10.16,10.32,10.45,10.09,84.44K,-0.20%
Mar 29  2016,10.18,9.81,10.19,9.65,87.19K,2.93%
Mar 28  2016,9.89,9.97,10.00,9.86,116.38K,-0.60%
Mar 24  2016,9.95,9.96,10.06,9.85,134.83K,-0.90%
Mar 23  2016,10.04,10.20,10.21,9.91,195.66K,-1.86%
Mar 22  2016,10.23,10.22,10.29,10.15,162.98K,-0.20%
Mar 21  2016,10.25,10.56,10.56,10.22,166.90K,-2.29%
Mar 18  2016,10.49,10.77,10.93,10.46,270.51K,-2.33%
Mar 17  2016,10.74,10.28,10.79,10.25,150.13K,4.78%
Mar 16  2016,10.25,10.31,10.31,10.15,178.25K,0.49%
Mar 15  2016,10.20,10.40,10.40,10.03,259.92K,-2.39%
Mar 14  2016,10.45,10.58,10.60,10.43,146.47K,-1.04%
Mar 11  2016,10.56,10.43,10.57,10.36,160.08K,2.92%
Mar 10  2016,10.26,10.30,10.43,10.03,105.57K,-0.48%
Mar 09  2016,10.31,10.45,10.52,10.28,178.57K,-0.29%
Mar 08  2016,10.34,10.54,10.62,10.29,213.30K,-3.09%
Mar 07  2016,10.67,10.79,10.86,10.60,220.97K,-0.65%
Mar 04  2016,10.74,11.07,11.11,10.67,170.19K,-2.19%
Mar 03  2016,10.98,10.90,11.42,10.68,315.26K,1.39%
Mar 02  2016,10.83,10.45,10.92,10.45,98.75K,3.93%
Mar 01  2016,10.42,10.49,10.60,10.30,195.55K,0.77%
Feb 29  2016,10.34,10.13,10.48,10.13,132.76K,2.99%
Feb 26  2016,10.04,10.00,10.54,9.56,312.42K,-5.73%
Feb 25  2016,10.65,11.04,11.33,10.47,127.75K,-4.57%
Feb 24  2016,11.16,11.19,11.30,11.06,144.04K,-2.11%
Feb 23  2016,11.40,11.61,11.80,11.31,90.08K,-2.15%
Feb 22  2016,11.65,11.50,11.87,11.50,133.24K,1.84%
Feb 19  2016,11.44,11.54,11.54,11.22,94.20K,-2.05%
Feb 18  2016,11.68,11.75,11.80,11.53,127.75K,1.04%
Feb 17  2016,11.56,11.24,11.64,11.23,102.42K,4.43%
Feb 16  2016,11.07,11.07,11.08,10.72,140.81K,2.03%
Feb 12  2016,10.85,10.95,11.09,10.78,126.41K,1.02%
Feb 11  2016,10.74,10.72,11.03,10.55,100.59K,-2.01%
Feb 10  2016,10.96,11.29,11.29,10.94,160.77K,-2.66%
Feb 09  2016,11.26,12.14,12.14,11.20,152.60K,-6.71%
Feb 08  2016,12.07,12.25,12.39,12.06,93.91K,-3.82%
Feb 05  2016,12.55,12.68,12.71,12.45,95.00K,-0.95%
Feb 04  2016,12.67,12.83,12.95,12.44,120.54K,0.08%
Feb 03  2016,12.66,12.55,12.74,12.16,101.29K,2.18%
Feb 02  2016,12.39,12.51,12.88,12.10,138.39K,-1.74%
Feb 01  2016,12.61,12.74,12.74,12.34,215.86K,-1.87%
Jan 29  2016,12.85,12.76,12.95,12.68,1.49M,0.86%
Jan 28  2016,12.74,12.54,12.96,12.42,155.52K,3.66%
Jan 27  2016,12.29,12.45,12.49,12.04,198.42K,0.66%
Jan 26  2016,12.21,11.89,12.28,11.88,126.36K,3.56%
Jan 25  2016,11.79,12.36,12.50,11.77,193.11K,-5.30%
Jan 22  2016,12.45,12.25,12.56,12.04,165.60K,4.45%
Jan 21  2016,11.92,11.25,12.05,11.23,183.13K,5.02%
Jan 20  2016,11.35,11.60,11.66,10.93,235.30K,-2.99%
Jan 19  2016,11.70,11.64,11.89,11.48,98.50K,-0.43%
Jan 18  2016,11.75,13.10,13.10,11.57,63.52K,-0.17%
Jan 15  2016,11.77,10.50,12.06,10.50,245.66K,-3.84%
Jan 14  2016,12.24,12.15,12.25,11.73,169.77K,2.26%
Jan 13  2016,11.97,12.20,12.65,11.91,226.07K,-2.44%
Jan 12  2016,12.27,12.30,12.71,12.00,299.16K,0.00%
Jan 11  2016,12.27,12.57,12.59,12.19,126.96K,-3.39%
Jan 08  2016,12.70,13.09,13.09,12.53,229.59K,0.00%
Jan 07  2016,12.70,12.90,12.99,12.65,116.69K,-2.91%
Jan 06  2016,13.08,13.27,13.32,12.97,132.01K,-2.68%
Jan 05  2016,13.44,13.32,13.53,13.32,158.59K,-0.44%
Jan 04  2016,13.50,13.26,13.57,13.24,124.48K,1.58%
Dec 31  2015,13.29,13.20,13.41,13.20,50.95K,0.38%
Dec 30  2015,13.24,13.18,13.39,13.10,37.64K,-1.12%
Dec 29  2015,13.39,12.98,13.60,12.98,84.04K,-0.89%
Dec 24  2015,13.51,13.54,13.61,13.33,29.47K,-0.22%
Dec 23  2015,13.54,13.21,13.79,13.19,173.79K,2.58%
Dec 22  2015,13.20,13.06,13.31,13.03,112.31K,0.46%
Dec 21  2015,13.14,13.50,13.54,13.07,127.50K,0.08%
Dec 18  2015,13.13,12.99,13.21,12.88,257.42K,0.77%
Dec 17  2015,13.03,13.06,13.11,12.79,163.72K,-0.53%
Dec 16  2015,13.10,13.25,13.28,12.77,174.83K,-2.82%
Dec 15  2015,13.48,13.60,13.78,13.39,271.89K,0.37%
Dec 14  2015,13.43,13.50,13.61,13.33,143.19K,-1.47%
Dec 11  2015,13.63,13.68,13.86,13.41,101.74K,-2.85%
Dec 10  2015,14.03,13.75,14.19,13.70,113.73K,1.01%
Dec 09  2015,13.89,13.64,14.16,13.64,139.20K,1.91%
Dec 08  2015,13.63,13.55,13.84,13.31,119.34K,-0.07%
Dec 07  2015,13.64,13.75,13.94,13.48,202.95K,-2.22%
Dec 04  2015,13.95,13.89,14.11,13.51,118.91K,1.01%
Dec 03  2015,13.81,14.00,14.19,13.75,120.78K,-0.86%
Dec 02  2015,13.93,13.81,14.07,13.80,153.72K,-0.57%
Dec 01  2015,14.01,14.00,14.09,14.00,147.70K,-0.07%
Nov 30  2015,14.02,14.11,14.12,13.95,138.88K,0.65%
Nov 27  2015,13.93,14.00,14.06,13.86,60.69K,-1.21%
Nov 26  2015,14.10,14.15,14.27,14.07,52.67K,-0.14%
Nov 25  2015,14.12,13.95,14.25,13.83,101.00K,0.93%
Nov 24  2015,13.99,14.00,14.05,13.96,138.30K,0.21%
Nov 23  2015,13.96,13.87,14.07,13.85,122.42K,0.65%
Nov 20  2015,13.87,14.08,14.14,13.82,128.66K,-1.77%
Nov 19  2015,14.12,14.22,14.31,14.09,166.64K,-1.12%
Nov 18  2015,14.28,14.21,14.62,13.98,226.80K,0.42%
Nov 17  2015,14.22,14.28,14.28,14.09,256.29K,-0.56%
Nov 16  2015,14.30,13.98,14.43,13.98,138.22K,1.06%
Nov 13  2015,14.15,13.72,14.17,13.56,104.77K,2.61%
Nov 12  2015,13.79,14.08,14.29,13.73,179.72K,-2.34%
Nov 11  2015,14.12,14.19,14.33,14.03,189.43K,-0.21%
Nov 10  2015,14.15,14.12,14.35,13.95,373.04K,0.78%
Nov 09  2015,14.04,13.96,14.41,13.93,320.48K,-0.07%
Nov 06  2015,14.05,14.13,14.22,13.97,128.81K,0.00%
Nov 05  2015,14.05,12.96,14.45,12.95,277.95K,9.34%
Nov 04  2015,12.85,13.27,13.39,12.56,168.10K,-4.74%
Nov 03  2015,13.49,13.16,13.71,13.15,72.40K,2.98%
Nov 02  2015,13.10,12.71,13.13,12.52,74.01K,3.80%
Oct 30  2015,12.62,12.70,12.79,12.45,73.06K,-1.25%
Oct 29  2015,12.78,12.85,13.13,12.70,51.06K,-0.62%
Oct 28  2015,12.86,12.82,13.26,12.74,71.68K,1.58%
Oct 27  2015,12.66,13.18,13.19,12.58,100.24K,-3.95%
Oct 26  2015,13.18,13.43,13.45,13.02,105.35K,-2.01%
Oct 23  2015,13.45,13.70,13.80,13.24,79.25K,-2.75%
Oct 22  2015,13.83,13.92,13.93,13.57,79.30K,1.47%
Oct 21  2015,13.63,13.71,13.90,13.53,71.10K,-1.02%
Oct 20  2015,13.77,13.30,13.85,13.30,109.98K,4.16%
Oct 19  2015,13.22,13.36,13.42,13.06,71.73K,-2.07%
Oct 16  2015,13.50,13.85,13.99,13.46,98.29K,-2.39%
Oct 15  2015,13.83,13.73,13.99,13.41,86.65K,1.39%
Oct 14  2015,13.64,13.78,13.87,13.60,116.15K,-0.51%
Oct 13  2015,13.71,14.10,14.22,13.65,97.78K,-4.46%
Oct 09  2015,14.35,13.88,14.36,13.88,225.30K,3.76%
Oct 08  2015,13.83,13.50,13.94,13.46,238.16K,2.44%
Oct 07  2015,13.50,13.40,13.96,13.32,250.11K,0.60%
Oct 06  2015,13.42,13.48,13.63,13.36,253.26K,-0.07%
