Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,6.67,6.36,6.68,6.36,2.28M,6.55%
Apr 18  2016,6.26,5.65,6.38,5.62,2.81M,6.28%
Apr 15  2016,5.89,5.99,6.06,5.84,1.57M,-4.85%
Apr 14  2016,6.19,6.25,6.32,6.10,2.17M,-0.32%
Apr 13  2016,6.21,6.18,6.38,6.04,1.74M,1.31%
Apr 12  2016,6.13,5.79,6.25,5.67,2.19M,9.66%
Apr 11  2016,5.59,5.53,5.75,5.49,1.23M,2.57%
Apr 08  2016,5.45,5.25,5.55,5.25,1.53M,6.24%
Apr 07  2016,5.13,5.09,5.22,5.01,661.07K,-0.39%
Apr 06  2016,5.15,4.85,5.19,4.75,1.11M,9.34%
Apr 05  2016,4.71,4.81,4.84,4.68,998.99K,-2.69%
Apr 04  2016,4.84,5.03,5.05,4.79,843.07K,-3.97%
Apr 01  2016,5.04,4.87,5.12,4.87,832.83K,-0.98%
Mar 31  2016,5.09,4.95,5.12,4.92,1.19M,2.21%
Mar 30  2016,4.98,4.98,5.15,4.92,1.60M,2.26%
Mar 29  2016,4.87,4.69,4.90,4.56,1.65M,1.67%
Mar 28  2016,4.79,4.94,4.94,4.70,1.30M,-3.04%
Mar 24  2016,4.94,4.53,4.95,4.53,1.57M,4.88%
Mar 23  2016,4.71,4.75,4.86,4.67,1.55M,-2.69%
Mar 22  2016,4.84,4.80,4.85,4.73,862.50K,0.21%
Mar 21  2016,4.83,4.93,5.04,4.72,1.14M,-0.41%
Mar 18  2016,4.85,5.11,5.22,4.79,2.82M,-3.96%
Mar 17  2016,5.05,5.09,5.09,4.87,2.00M,4.34%
Mar 16  2016,4.84,4.69,4.90,4.66,1.78M,4.99%
Mar 15  2016,4.61,4.51,4.61,4.34,946.32K,-0.86%
Mar 14  2016,4.65,4.59,4.70,4.51,840.69K,-2.92%
Mar 11  2016,4.79,4.87,4.89,4.69,1.33M,2.13%
Mar 10  2016,4.69,4.75,4.78,4.52,1.81M,-1.26%
Mar 09  2016,4.75,4.94,4.96,4.71,1.92M,0.21%
Mar 08  2016,4.74,5.10,5.18,4.70,2.24M,-8.49%
Mar 07  2016,5.18,5.18,5.36,5.07,2.82M,2.98%
Mar 04  2016,5.03,4.86,5.14,4.83,2.20M,5.89%
Mar 03  2016,4.75,4.44,4.79,4.35,1.78M,8.20%
Mar 02  2016,4.39,3.99,4.43,3.99,1.87M,7.86%
Mar 01  2016,4.07,4.00,4.12,3.83,1.16M,3.83%
Feb 29  2016,3.92,3.86,3.99,3.81,2.55M,3.43%
Feb 26  2016,3.79,3.82,3.91,3.76,1.17M,2.99%
Feb 25  2016,3.68,3.71,3.80,3.45,2.26M,-2.65%
Feb 24  2016,3.78,3.51,3.80,3.37,1.78M,4.42%
Feb 23  2016,3.62,3.89,3.97,3.61,1.31M,-9.05%
Feb 22  2016,3.98,4.23,4.30,3.94,1.78M,-2.21%
Feb 19  2016,4.07,3.91,4.20,3.77,1.91M,-2.16%
Feb 18  2016,4.16,4.52,4.55,4.11,1.32M,-5.02%
Feb 17  2016,4.38,4.10,4.45,4.03,1.24M,8.96%
Feb 16  2016,4.02,4.00,4.13,3.88,612.79K,0.75%
Feb 12  2016,3.99,3.93,4.06,3.83,1.06M,6.40%
