Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,55.51,54.81,55.96,54.05,93.82K,2.47%
Apr 18  2016,54.17,52.50,54.58,52.04,28.59K,3.08%
Apr 15  2016,52.55,51.80,52.74,51.73,59.99K,1.12%
Apr 14  2016,51.97,53.47,53.83,51.91,67.20K,-2.77%
Apr 13  2016,53.45,53.59,53.59,52.79,24.82K,0.23%
Apr 12  2016,53.33,53.67,53.70,52.55,31.62K,-0.58%
Apr 11  2016,53.64,53.40,53.72,53.10,37.24K,1.65%
Apr 08  2016,52.77,53.77,53.88,52.40,24.24K,-1.38%
Apr 07  2016,53.51,53.89,54.25,52.15,75.80K,-1.42%
Apr 06  2016,54.28,55.14,55.33,53.87,42.13K,-1.63%
Apr 05  2016,55.18,55.01,55.49,54.76,53.92K,-0.09%
Apr 04  2016,55.23,54.11,55.50,54.00,69.01K,2.28%
Apr 01  2016,54.00,52.18,54.95,52.18,91.22K,2.68%
Mar 31  2016,52.59,53.24,53.27,51.30,53.34K,-1.22%
Mar 30  2016,53.24,53.91,54.23,53.00,73.93K,-0.54%
Mar 29  2016,53.53,51.26,53.76,51.14,63.64K,4.35%
Mar 28  2016,51.30,51.46,51.85,50.34,91.81K,-0.33%
Mar 24  2016,51.47,52.14,52.14,50.82,79.83K,0.47%
Mar 23  2016,51.23,50.70,51.36,50.38,57.85K,1.41%
Mar 22  2016,50.52,51.04,51.62,50.01,69.66K,-1.56%
Mar 21  2016,51.32,51.62,51.89,50.74,37.37K,-0.56%
Mar 18  2016,51.61,51.67,52.40,50.75,388.36K,-0.27%
Mar 17  2016,51.75,50.80,52.20,50.75,66.67K,1.97%
Mar 16  2016,50.75,50.55,51.71,50.55,129.92K,0.10%
Mar 15  2016,50.70,52.70,52.80,50.50,137.72K,-3.80%
Mar 14  2016,52.70,52.91,53.62,52.14,143.85K,-0.23%
Mar 11  2016,52.82,53.16,53.56,51.79,109.77K,-0.41%
Mar 10  2016,53.04,55.49,56.00,51.15,230.67K,-6.34%
Mar 09  2016,56.63,59.62,59.62,56.25,90.69K,-2.53%
Mar 08  2016,58.10,56.09,58.50,56.00,106.36K,3.73%
Mar 07  2016,56.01,58.28,58.28,55.00,91.40K,-3.80%
Mar 04  2016,58.22,57.53,59.03,57.00,70.49K,1.80%
Mar 03  2016,57.19,55.50,57.35,54.99,69.94K,3.23%
Mar 02  2016,55.40,56.33,56.55,54.30,54.38K,-1.62%
Mar 01  2016,56.31,55.30,57.00,55.08,69.57K,2.72%
Feb 29  2016,54.82,54.64,56.17,54.64,36.73K,0.64%
Feb 26  2016,54.47,54.78,55.60,54.17,40.01K,-0.40%
Feb 25  2016,54.69,54.05,55.01,53.69,46.39K,1.15%
Feb 24  2016,54.07,53.48,54.75,52.27,51.24K,1.08%
Feb 23  2016,53.49,53.26,53.64,53.25,39.23K,0.30%
Feb 22  2016,53.33,54.01,54.55,53.04,58.92K,-0.24%
Feb 19  2016,53.46,54.07,54.08,52.98,43.51K,-1.09%
Feb 18  2016,54.05,55.70,55.72,53.50,36.13K,-2.37%
Feb 17  2016,55.36,54.19,55.63,54.03,63.60K,2.71%
Feb 16  2016,53.90,52.67,54.12,52.32,68.70K,3.63%
Feb 12  2016,52.01,52.98,52.98,51.60,41.27K,-0.80%
Feb 11  2016,52.43,53.49,53.49,51.56,39.49K,-2.11%
Feb 10  2016,53.56,53.75,55.37,53.44,61.69K,-0.07%
Feb 09  2016,53.60,50.06,54.15,50.05,91.28K,2.06%
Feb 08  2016,52.52,56.09,56.09,51.66,102.95K,-7.36%
Feb 05  2016,56.69,58.54,58.54,56.25,80.73K,-3.16%
Feb 04  2016,58.54,58.55,60.28,58.16,55.94K,-0.02%
Feb 03  2016,58.55,59.22,59.22,58.10,63.32K,-0.51%
Feb 02  2016,58.85,59.01,60.02,58.53,72.10K,-1.11%
Feb 01  2016,59.51,61.77,61.77,58.21,83.55K,-1.00%
Jan 29  2016,60.11,59.26,60.50,59.26,166.01K,1.97%
Jan 28  2016,58.95,57.60,59.47,57.47,86.81K,2.63%
Jan 27  2016,57.44,59.21,59.21,57.26,60.66K,-3.22%
Jan 26  2016,59.35,60.35,60.36,59.01,47.63K,-1.18%
Jan 25  2016,60.06,60.70,61.20,59.82,38.54K,-0.81%
Jan 22  2016,60.55,60.79,61.00,60.22,55.02K,1.34%
Jan 21  2016,59.75,60.07,60.57,59.36,85.98K,-0.53%
Jan 20  2016,60.07,59.94,60.43,59.20,118.58K,-1.07%
Jan 19  2016,60.72,59.38,60.84,59.38,171.60K,3.32%
Jan 18  2016,58.77,59.72,60.52,57.44,171.06K,-3.35%
Jan 15  2016,60.81,61.75,62.79,60.50,100.27K,-3.38%
Jan 14  2016,62.94,63.07,63.22,61.45,187.02K,-0.79%
Jan 13  2016,63.44,66.79,67.62,62.28,124.76K,-4.14%
Jan 12  2016,66.18,64.87,67.50,64.87,169.69K,1.85%
Jan 11  2016,64.98,68.32,68.45,64.45,143.55K,-4.93%
Jan 08  2016,68.35,67.60,69.19,67.56,139.85K,0.59%
Jan 07  2016,67.95,71.67,71.67,67.52,132.40K,-6.61%
Jan 06  2016,72.76,72.62,74.00,71.78,71.85K,-0.48%
Jan 05  2016,73.11,73.10,74.47,72.78,206.35K,0.15%
Jan 04  2016,73.00,73.63,73.80,71.64,64.06K,-1.80%
Dec 31  2015,74.34,75.70,75.70,73.85,41.61K,-1.86%
Dec 30  2015,75.75,75.49,77.54,75.49,75.97K,0.54%
Dec 29  2015,75.34,74.56,75.50,73.61,108.61K,1.47%
Dec 24  2015,74.25,74.20,74.50,73.59,19.78K,0.00%
Dec 23  2015,74.25,74.22,74.50,73.22,64.45K,0.43%
Dec 22  2015,73.93,75.00,75.24,73.53,51.84K,-1.26%
Dec 21  2015,74.87,75.91,76.12,73.86,175.29K,-0.97%
Dec 18  2015,75.60,73.79,75.64,73.49,429.04K,2.25%
Dec 17  2015,73.94,68.50,74.02,68.49,152.56K,9.09%
Dec 16  2015,67.78,67.80,68.50,66.49,93.03K,0.56%
Dec 15  2015,67.40,64.20,67.65,64.20,146.73K,5.31%
Dec 14  2015,64.00,64.46,65.00,63.21,85.33K,-0.87%
Dec 11  2015,64.56,65.95,65.95,63.99,26.27K,-2.00%
Dec 10  2015,65.88,62.89,66.29,62.36,93.47K,4.92%
Dec 09  2015,62.79,64.50,65.00,62.74,52.91K,-2.85%
Dec 08  2015,64.63,64.01,64.81,64.00,71.17K,0.89%
Dec 07  2015,64.06,64.49,64.49,63.10,31.24K,0.09%
Dec 04  2015,64.00,63.50,64.35,63.01,63.90K,0.95%
Dec 03  2015,63.40,63.89,64.25,63.05,31.39K,-1.12%
Dec 02  2015,64.12,64.08,64.70,64.02,59.05K,-0.12%
Dec 01  2015,64.20,65.20,65.20,63.91,82.21K,-1.32%
Nov 30  2015,65.06,65.10,65.15,64.42,261.49K,0.17%
Nov 27  2015,64.95,65.95,65.99,64.63,57.59K,-1.49%
Nov 26  2015,65.93,65.30,65.94,65.30,17.31K,0.87%
Nov 25  2015,65.36,64.94,65.50,64.90,23.22K,1.15%
Nov 24  2015,64.62,65.34,65.48,64.29,30.75K,-1.31%
Nov 23  2015,65.48,65.32,65.63,65.30,52.43K,0.24%
Nov 20  2015,65.32,64.60,65.63,64.55,28.41K,1.30%
Nov 19  2015,64.48,64.52,65.00,64.15,47.09K,0.37%
Nov 18  2015,64.24,63.07,64.34,62.41,51.75K,2.13%
Nov 17  2015,62.90,62.00,63.52,61.20,63.42K,1.45%
Nov 16  2015,62.00,61.87,63.01,61.65,73.96K,0.21%
Nov 13  2015,61.87,59.34,62.69,59.34,84.08K,3.46%
Nov 12  2015,59.80,59.67,60.64,59.60,26.67K,-0.89%
Nov 11  2015,60.34,59.90,61.52,59.82,45.38K,0.79%
Nov 10  2015,59.87,60.77,60.77,59.69,22.64K,-1.58%
Nov 09  2015,60.83,60.00,61.05,59.39,22.64K,1.13%
Nov 06  2015,60.15,60.63,61.22,59.61,59.26K,-0.56%
Nov 05  2015,60.49,61.00,61.24,60.07,25.05K,-0.84%
Nov 04  2015,61.00,60.50,61.22,60.41,21.08K,1.04%
Nov 03  2015,60.37,60.98,60.99,59.95,26.92K,-0.20%
Nov 02  2015,60.49,59.76,60.68,58.55,29.87K,1.44%
Oct 30  2015,59.63,60.78,60.79,58.93,18.59K,-1.16%
Oct 29  2015,60.33,59.52,60.89,58.96,24.65K,0.73%
Oct 28  2015,59.89,58.39,60.90,58.34,28.85K,3.03%
Oct 27  2015,58.13,59.74,60.65,57.94,31.40K,-2.95%
Oct 26  2015,59.90,59.99,61.00,59.79,16.78K,-0.05%
Oct 23  2015,59.93,59.66,60.38,59.20,46.80K,0.86%
Oct 22  2015,59.42,59.00,59.48,59.00,36.88K,1.23%
Oct 21  2015,58.70,59.12,59.12,58.40,52.89K,-0.71%
Oct 20  2015,59.12,60.84,61.25,59.01,98.91K,-3.71%
Oct 19  2015,61.40,56.00,61.96,55.91,155.50K,10.15%
Oct 16  2015,55.74,55.50,55.85,55.13,31.03K,1.01%
Oct 15  2015,55.18,55.50,55.50,55.01,39.05K,-0.05%
Oct 14  2015,55.21,55.74,55.74,55.18,29.82K,-0.74%
Oct 13  2015,55.62,55.55,55.91,55.44,25.62K,0.11%
Oct 09  2015,55.56,55.43,55.73,55.33,13.20K,0.00%
Oct 08  2015,55.56,55.67,56.00,55.27,27.02K,0.56%
Oct 07  2015,55.25,55.54,55.84,54.90,39.72K,-1.00%
Oct 06  2015,55.81,55.86,55.96,55.23,44.67K,0.00%
Oct 05  2015,55.81,55.84,56.00,55.59,57.01K,0.05%
Oct 02  2015,55.78,55.50,55.78,55.34,35.24K,-0.09%
Oct 01  2015,55.83,53.49,56.00,53.42,68.73K,4.37%
Sep 30  2015,53.49,53.04,53.81,52.89,38.99K,0.92%
Sep 29  2015,53.00,53.22,53.84,52.75,36.80K,-1.23%
Sep 28  2015,53.66,54.00,54.10,53.24,44.45K,-0.98%
Sep 25  2015,54.19,54.08,55.21,54.05,19.50K,0.13%
Sep 24  2015,54.12,54.55,54.61,53.48,18.63K,-0.79%
Sep 23  2015,54.55,54.90,55.49,54.48,18.52K,-0.37%
Sep 22  2015,54.75,54.99,55.27,54.58,17.57K,-0.99%
Sep 21  2015,55.30,54.75,56.19,54.22,101.76K,1.47%
Sep 18  2015,54.50,52.65,54.97,52.49,85.52K,1.57%
Sep 17  2015,53.66,54.06,54.48,53.39,28.06K,-1.27%
Sep 16  2015,54.35,54.50,55.00,53.90,70.29K,-0.09%
Sep 15  2015,54.40,53.15,54.90,52.75,76.76K,2.58%
Sep 14  2015,53.03,51.22,53.57,50.75,47.02K,3.90%
Sep 11  2015,51.04,50.87,52.12,49.91,141.08K,1.35%
Sep 10  2015,50.36,50.40,50.70,49.65,23.94K,-0.26%
Sep 09  2015,50.49,50.85,51.91,50.39,30.58K,-0.47%
Sep 08  2015,50.73,49.94,51.00,49.75,23.65K,2.13%
Sep 04  2015,49.67,51.53,51.57,49.53,35.48K,-3.74%
Sep 03  2015,51.60,52.23,53.45,51.49,37.71K,-0.62%
Sep 02  2015,51.92,51.29,52.40,50.80,32.25K,1.82%
Sep 01  2015,50.99,49.11,51.46,49.11,50.00K,0.04%
Aug 31  2015,50.97,49.02,52.51,49.02,71.34K,1.74%
Aug 28  2015,50.10,50.25,51.04,49.73,39.36K,-0.40%
Aug 27  2015,50.30,49.50,50.35,49.25,34.86K,2.26%
Aug 26  2015,49.19,47.98,49.54,47.60,55.00K,4.17%
Aug 25  2015,47.22,46.89,48.25,46.89,94.94K,0.70%
