Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,7.64,7.68,7.74,7.52,365.48K,1.19%
Apr 18  2016,7.55,7.49,7.93,7.37,305.32K,-1.82%
Apr 15  2016,7.69,7.64,7.78,7.55,193.87K,-1.41%
Apr 14  2016,7.80,8.21,8.28,7.58,314.57K,-4.41%
Apr 13  2016,8.16,8.24,8.37,8.01,294.75K,-0.49%
Apr 12  2016,8.20,6.82,8.33,6.82,496.23K,21.30%
Apr 11  2016,6.76,6.36,6.84,6.34,280.26K,7.47%
Apr 08  2016,6.29,6.25,6.40,6.15,195.89K,4.14%
Apr 07  2016,6.04,6.13,6.21,5.96,167.75K,-1.95%
Apr 06  2016,6.16,6.07,6.23,5.90,209.11K,3.53%
Apr 05  2016,5.95,5.94,5.99,5.89,149.87K,-0.50%
Apr 04  2016,5.98,6.05,6.08,5.91,312.99K,-1.32%
Apr 01  2016,6.06,5.85,6.07,5.83,359.82K,1.34%
Mar 31  2016,5.98,5.85,5.99,5.85,276.67K,2.22%
Mar 30  2016,5.85,5.92,6.04,5.81,193.21K,0.34%
Mar 29  2016,5.83,5.66,5.88,5.58,124.86K,0.87%
Mar 28  2016,5.78,5.94,5.98,5.60,138.28K,-2.53%
Mar 24  2016,5.93,5.95,6.01,5.80,316.14K,-1.98%
Mar 23  2016,6.05,6.03,6.07,5.91,500.42K,-1.14%
Mar 22  2016,6.12,6.07,6.16,6.01,227.90K,-0.33%
Mar 21  2016,6.14,6.29,6.29,6.05,204.21K,-1.92%
Mar 18  2016,6.26,6.62,6.66,6.19,617.82K,-4.28%
Mar 17  2016,6.54,6.40,6.56,6.32,319.69K,3.97%
Mar 16  2016,6.29,6.40,6.40,6.15,444.95K,-1.26%
Mar 15  2016,6.37,6.25,6.37,6.00,387.90K,0.95%
Mar 14  2016,6.31,6.24,6.36,6.13,264.67K,-0.16%
Mar 11  2016,6.32,6.33,6.35,6.05,597.51K,2.27%
Mar 10  2016,6.18,5.85,6.18,5.84,429.65K,5.10%
Mar 09  2016,5.88,6.17,6.17,5.80,727.80K,-1.67%
Mar 08  2016,5.98,5.77,6.03,5.67,1.12M,4.91%
Mar 07  2016,5.70,5.61,5.86,5.56,730.62K,2.52%
Mar 04  2016,5.56,5.16,5.58,5.11,997.90K,9.88%
Mar 03  2016,5.06,5.00,5.14,4.95,1.30M,1.40%
Mar 02  2016,4.99,4.85,5.07,4.85,683.55K,3.10%
Mar 01  2016,4.84,5.10,5.10,4.72,570.58K,-3.39%
Feb 29  2016,5.01,5.19,5.20,4.98,1.24M,-2.34%
Feb 26  2016,5.13,5.13,5.21,4.92,540.73K,1.99%
Feb 25  2016,5.03,5.06,5.16,4.97,219.90K,-1.76%
Feb 24  2016,5.12,5.06,5.19,4.91,405.75K,-0.58%
Feb 23  2016,5.15,5.41,5.53,5.10,207.34K,-5.33%
Feb 22  2016,5.44,5.41,5.54,5.38,343.29K,2.84%
Feb 19  2016,5.29,5.28,5.41,5.12,265.32K,-1.86%
Feb 18  2016,5.39,5.62,5.63,5.39,342.83K,-2.71%
Feb 17  2016,5.54,5.52,5.60,5.40,262.07K,2.59%
Feb 16  2016,5.40,5.43,5.55,5.25,191.26K,0.19%
Feb 12  2016,5.39,5.27,5.53,5.22,287.94K,5.07%
Feb 11  2016,5.13,5.12,5.40,5.01,231.38K,-2.84%
Feb 10  2016,5.28,5.16,5.44,5.08,242.82K,0.38%
Feb 09  2016,5.26,5.82,5.85,5.16,361.69K,-10.39%
Feb 08  2016,5.87,5.82,6.07,5.81,124.16K,-2.17%
Feb 05  2016,6.00,6.10,6.18,5.91,218.57K,-1.64%
Feb 04  2016,6.10,6.07,6.26,5.91,324.24K,1.33%
Feb 03  2016,6.02,5.85,6.06,5.67,343.03K,4.88%
Feb 02  2016,5.74,5.93,5.94,5.65,379.73K,-5.28%
Feb 01  2016,6.06,6.19,6.50,6.02,473.28K,-8.60%
Jan 29  2016,6.63,6.51,6.91,6.42,1.05M,-0.30%
Jan 28  2016,6.65,6.55,6.79,6.43,414.12K,3.91%
Jan 27  2016,6.40,6.13,6.60,6.08,440.95K,3.56%
Jan 26  2016,6.18,6.09,6.28,6.02,328.12K,2.83%
Jan 25  2016,6.01,6.64,6.80,5.99,345.31K,-12.90%
Jan 22  2016,6.90,6.90,7.11,6.85,365.86K,3.92%
Jan 21  2016,6.64,6.13,6.67,6.00,317.72K,7.44%
Jan 20  2016,6.18,6.00,6.29,5.64,302.68K,2.15%
Jan 19  2016,6.05,6.22,6.34,6.02,524.68K,-1.79%
Jan 18  2016,6.16,6.39,6.41,6.10,71.14K,-4.79%
Jan 15  2016,6.47,6.19,6.54,6.19,609.49K,-1.67%
Jan 14  2016,6.58,6.37,6.59,6.19,311.98K,4.11%
Jan 13  2016,6.32,6.57,6.65,6.30,334.15K,-2.02%
Jan 12  2016,6.45,6.54,6.67,6.13,291.37K,0.62%
Jan 11  2016,6.41,6.60,6.64,6.28,235.89K,-2.88%
Jan 08  2016,6.60,6.73,6.77,6.40,247.69K,-0.15%
Jan 07  2016,6.61,6.70,6.99,6.57,402.00K,-0.30%
Jan 06  2016,6.63,7.10,7.10,6.60,340.13K,-8.80%
Jan 05  2016,7.27,7.72,7.82,7.07,652.76K,-6.91%
Jan 04  2016,7.81,7.38,7.87,7.21,630.97K,5.83%
Dec 31  2015,7.38,7.08,7.49,7.08,182.58K,3.36%
Dec 30  2015,7.14,7.23,7.27,7.05,199.92K,-1.52%
Dec 29  2015,7.25,7.12,7.42,7.04,172.85K,0.28%
Dec 24  2015,7.23,7.13,7.25,7.01,72.86K,0.42%
Dec 23  2015,7.20,6.92,7.32,6.85,256.75K,5.26%
Dec 22  2015,6.84,6.68,6.85,6.61,177.19K,1.33%
Dec 21  2015,6.75,6.59,6.79,6.49,200.56K,1.05%
Dec 18  2015,6.68,6.46,6.68,6.43,433.90K,2.77%
Dec 17  2015,6.50,6.59,6.64,6.49,143.64K,-1.96%
Dec 16  2015,6.63,6.55,6.75,6.48,288.44K,1.53%
Dec 15  2015,6.53,6.52,6.67,6.41,275.44K,1.24%
Dec 14  2015,6.45,6.45,6.58,6.31,198.11K,-1.07%
Dec 11  2015,6.52,6.57,6.57,6.33,257.62K,-2.40%
Dec 10  2015,6.68,6.34,6.70,6.32,399.98K,4.37%
Dec 09  2015,6.40,6.16,6.44,6.15,374.89K,4.40%
Dec 08  2015,6.13,6.06,6.19,6.00,552.58K,-0.49%
Dec 07  2015,6.16,6.63,6.63,6.08,266.29K,-10.33%
Dec 04  2015,6.87,6.80,6.93,6.71,386.44K,-3.38%
Dec 03  2015,7.11,7.11,7.26,7.03,224.29K,0.28%
Dec 02  2015,7.09,7.21,7.22,7.02,294.87K,-2.88%
Dec 01  2015,7.30,7.32,7.44,7.26,901.41K,1.25%
Nov 30  2015,7.21,7.24,7.38,7.11,1.14M,0.14%
Nov 27  2015,7.20,7.20,7.28,7.20,191.98K,0.00%
Nov 26  2015,7.20,6.92,7.29,6.92,88.24K,2.42%
Nov 25  2015,7.03,7.12,7.28,7.01,577.95K,-2.36%
Nov 24  2015,7.20,6.87,7.26,6.87,465.87K,5.73%
Nov 23  2015,6.81,6.46,6.85,6.45,147.65K,4.61%
Nov 20  2015,6.51,6.49,6.62,6.45,298.01K,-0.61%
Nov 19  2015,6.55,7.06,7.08,6.53,334.13K,-8.13%
Nov 18  2015,7.13,7.03,7.35,6.93,298.23K,2.15%
Nov 17  2015,6.98,7.42,7.49,6.88,473.28K,-6.68%
Nov 16  2015,7.48,7.05,7.48,6.97,361.91K,6.25%
Nov 13  2015,7.04,7.30,7.41,7.01,293.91K,-3.69%
Nov 12  2015,7.31,7.20,7.32,7.00,338.84K,1.81%
Nov 11  2015,7.18,7.61,7.62,7.14,288.03K,-5.65%
Nov 10  2015,7.61,8.00,8.07,7.41,554.10K,-7.76%
Nov 09  2015,8.25,8.87,8.87,8.02,627.15K,-5.39%
Nov 06  2015,8.72,8.81,8.84,8.66,247.99K,-1.47%
Nov 05  2015,8.85,8.63,8.98,8.57,232.03K,1.72%
Nov 04  2015,8.70,8.77,9.03,8.67,386.27K,-1.02%
Nov 03  2015,8.79,8.43,8.86,8.41,278.63K,5.40%
Nov 02  2015,8.34,8.14,8.37,7.93,218.66K,1.46%
Oct 30  2015,8.22,7.83,8.25,7.79,292.04K,4.58%
Oct 29  2015,7.86,8.08,8.34,7.86,199.85K,-2.72%
Oct 28  2015,8.08,7.77,8.21,7.65,262.20K,5.07%
Oct 27  2015,7.69,8.08,8.20,7.68,225.32K,-6.33%
Oct 26  2015,8.21,8.81,8.81,8.18,278.74K,-7.23%
Oct 23  2015,8.85,8.70,8.87,8.53,146.18K,1.03%
Oct 22  2015,8.76,8.65,8.92,8.61,155.13K,2.34%
Oct 21  2015,8.56,8.73,8.75,8.43,122.51K,-2.62%
Oct 20  2015,8.79,8.58,8.83,8.54,125.42K,2.93%
Oct 19  2015,8.54,8.83,8.83,8.45,202.51K,-3.94%
Oct 16  2015,8.89,9.41,9.46,8.89,203.14K,-5.43%
Oct 15  2015,9.40,9.13,9.47,9.03,238.18K,2.40%
Oct 14  2015,9.18,9.04,9.28,8.85,263.80K,1.55%
Oct 13  2015,9.04,9.18,9.35,9.01,204.39K,-3.52%
Oct 09  2015,9.37,9.61,9.69,9.20,211.46K,-2.90%
Oct 08  2015,9.65,9.47,9.70,9.28,180.90K,1.69%
Oct 07  2015,9.49,9.35,9.97,9.35,675.67K,3.49%
Oct 06  2015,9.17,8.58,9.24,8.56,293.68K,6.88%
Oct 05  2015,8.58,8.36,8.67,8.28,388.93K,3.25%
Oct 02  2015,8.31,7.93,8.37,7.86,134.16K,3.62%
Oct 01  2015,8.02,8.33,8.43,7.95,422.62K,-2.31%
Sep 30  2015,8.21,8.17,8.26,7.96,294.90K,1.23%
Sep 29  2015,8.11,8.10,8.21,7.88,372.43K,1.12%
Sep 28  2015,8.02,8.20,8.28,7.90,278.98K,-3.49%
Sep 25  2015,8.31,8.19,8.34,8.11,247.60K,1.47%
Sep 24  2015,8.19,8.42,8.42,8.14,320.63K,-2.96%
Sep 23  2015,8.44,8.71,8.85,8.42,356.07K,-2.65%
Sep 22  2015,8.67,8.66,8.76,8.51,265.14K,-0.80%
Sep 21  2015,8.74,8.67,8.98,8.39,607.75K,1.16%
Sep 18  2015,8.64,8.51,8.64,8.33,870.73K,0.00%
Sep 17  2015,8.64,8.82,8.96,8.63,335.38K,-2.04%
Sep 16  2015,8.82,8.69,8.98,8.69,442.07K,1.15%
Sep 15  2015,8.72,8.52,8.86,8.52,449.49K,2.35%
Sep 14  2015,8.52,8.82,8.82,8.42,409.26K,-4.16%
Sep 11  2015,8.89,9.10,9.15,8.77,344.62K,-3.16%
Sep 10  2015,9.18,9.00,9.37,8.96,281.12K,2.00%
Sep 09  2015,9.00,9.54,9.80,8.97,369.72K,-5.66%
Sep 08  2015,9.54,10.01,10.11,9.36,447.38K,-4.50%
Sep 04  2015,9.99,10.10,10.19,9.85,148.13K,-2.25%
Sep 03  2015,10.22,9.97,10.32,9.84,226.83K,2.71%
Sep 02  2015,9.95,10.07,10.18,9.77,374.99K,-0.60%
Sep 01  2015,10.01,10.28,10.48,9.87,315.63K,-4.85%
Aug 31  2015,10.52,10.10,10.59,9.97,336.17K,3.24%
Aug 28  2015,10.19,9.59,10.34,9.51,335.50K,4.84%
Aug 27  2015,9.72,9.79,10.00,9.59,283.62K,0.62%
Aug 26  2015,9.66,9.04,9.73,8.98,360.64K,8.17%
Aug 25  2015,8.93,9.10,9.39,8.82,287.51K,1.48%
Aug 24  2015,8.80,8.33,8.99,8.27,372.53K,-2.87%
Aug 21  2015,9.06,9.31,9.49,8.97,240.48K,-3.51%
Aug 20  2015,9.39,9.68,9.76,9.36,118.38K,-3.49%
Aug 19  2015,9.73,10.08,10.09,9.60,140.99K,-3.66%
Aug 18  2015,10.10,9.94,10.15,9.78,83.20K,2.12%
Aug 17  2015,9.89,9.95,10.31,9.82,129.57K,-1.00%
Aug 14  2015,9.99,10.21,10.34,9.81,178.05K,-1.48%
Aug 13  2015,10.14,10.35,10.39,10.05,261.88K,-3.52%
Aug 12  2015,10.51,10.51,10.62,10.24,280.90K,0.00%
Aug 11  2015,10.51,10.48,10.57,10.08,271.00K,-1.68%
Aug 10  2015,10.69,10.43,10.70,10.27,474.70K,2.20%
Aug 07  2015,10.46,10.73,10.84,10.30,299.42K,-2.33%
Aug 06  2015,10.71,10.10,10.90,9.78,692.65K,6.36%
Aug 05  2015,10.07,10.04,10.25,9.85,326.53K,1.82%
Aug 04  2015,9.89,10.24,10.24,9.69,581.44K,-2.37%
Jul 31  2015,10.13,9.85,10.19,9.74,304.78K,-1.17%
Jul 30  2015,10.25,10.21,10.32,9.98,324.53K,-0.29%
Jul 29  2015,10.28,9.88,10.40,9.88,272.32K,4.05%
Jul 28  2015,9.88,9.61,10.09,9.60,273.13K,2.70%
Jul 27  2015,9.62,9.85,10.04,9.61,223.44K,-3.22%
Jul 24  2015,9.94,10.25,10.30,9.85,164.26K,-3.02%
Jul 23  2015,10.25,10.24,10.48,10.10,310.39K,0.10%
Jul 22  2015,10.24,10.26,10.44,10.08,443.47K,-2.75%
Jul 21  2015,10.53,10.27,10.68,10.27,297.63K,2.33%
Jul 20  2015,10.29,10.68,10.68,10.28,231.48K,-3.65%
Jul 17  2015,10.68,10.90,10.91,10.55,456.09K,-2.29%
Jul 16  2015,10.93,10.77,11.11,10.50,671.94K,1.86%
Jul 15  2015,10.73,11.29,11.37,10.66,624.14K,-6.12%
Jul 14  2015,11.43,11.30,11.61,11.20,307.86K,0.09%
Jul 13  2015,11.42,11.44,11.60,11.33,137.23K,-0.70%
Jul 10  2015,11.50,11.52,11.76,11.27,255.46K,0.17%
Jul 09  2015,11.48,11.89,12.10,11.36,198.85K,-2.71%
Jul 08  2015,11.80,11.64,11.91,11.64,198.69K,1.11%
Jul 07  2015,11.67,11.70,11.90,11.22,668.39K,-1.10%
Jul 06  2015,11.80,11.90,12.14,11.72,307.35K,-2.40%
Jul 03  2015,12.09,12.21,12.30,12.03,95.63K,-1.87%
Jul 02  2015,12.32,12.11,12.43,12.09,209.32K,0.65%
Jun 30  2015,12.24,12.15,12.32,12.10,197.01K,1.49%
Jun 29  2015,12.06,12.14,12.46,12.03,158.40K,-2.35%
Jun 26  2015,12.35,12.27,12.48,12.08,226.27K,0.41%
Jun 25  2015,12.30,12.35,12.45,12.26,263.97K,-0.81%
Jun 24  2015,12.40,12.32,12.45,12.29,346.90K,0.24%
Jun 23  2015,12.37,12.01,12.42,12.01,404.92K,2.23%
Jun 22  2015,12.10,11.75,12.14,11.65,667.95K,4.40%
Jun 19  2015,11.59,11.97,11.99,11.56,926.29K,-2.85%
Jun 18  2015,11.93,11.83,12.00,11.68,521.85K,1.10%
Jun 17  2015,11.80,11.92,12.06,11.70,247.10K,-0.59%
Jun 16  2015,11.87,12.07,12.13,11.72,313.85K,-1.66%
Jun 15  2015,12.07,12.16,12.30,12.06,374.73K,-1.71%
Jun 12  2015,12.28,12.06,12.47,12.01,204.83K,1.49%
Jun 11  2015,12.10,12.07,12.27,11.97,368.54K,0.41%
