Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,9.15,9.18,9.26,9.08,234.36K,-0.65%
Apr 18  2016,9.21,9.10,9.25,9.05,122.13K,1.10%
Apr 15  2016,9.11,9.24,9.24,9.09,76.24K,-1.41%
Apr 14  2016,9.24,9.13,9.35,9.13,108.07K,1.32%
Apr 13  2016,9.12,9.11,9.23,9.02,179.81K,-0.22%
Apr 12  2016,9.14,9.29,9.30,9.12,89.59K,-1.61%
Apr 11  2016,9.29,9.25,9.35,9.21,100.95K,0.43%
Apr 08  2016,9.25,9.50,9.50,9.18,163.44K,-2.22%
Apr 07  2016,9.46,9.57,9.60,9.44,91.33K,-1.36%
Apr 06  2016,9.59,9.60,9.65,9.57,71.08K,0.00%
Apr 05  2016,9.59,9.49,9.60,9.49,87.96K,-0.10%
Apr 04  2016,9.60,9.45,9.60,9.38,160.87K,1.37%
Apr 01  2016,9.47,9.40,9.47,9.39,124.26K,0.64%
Mar 31  2016,9.41,9.44,9.44,9.33,162.26K,0.21%
Mar 30  2016,9.39,9.32,9.41,9.21,125.63K,0.75%
Mar 29  2016,9.32,9.39,9.46,9.29,69.74K,-1.27%
Mar 28  2016,9.44,9.36,9.49,9.32,94.15K,0.64%
Mar 24  2016,9.38,9.45,9.53,9.38,92.54K,-1.47%
Mar 23  2016,9.52,9.44,9.53,9.36,106.03K,0.11%
Mar 22  2016,9.51,9.59,9.69,9.50,104.56K,-0.94%
Mar 21  2016,9.60,9.55,9.69,9.45,196.34K,0.21%
Mar 18  2016,9.58,9.62,9.67,9.55,394.19K,-0.31%
Mar 17  2016,9.61,9.57,9.67,9.50,210.66K,0.42%
Mar 16  2016,9.57,9.35,9.61,9.35,213.73K,2.03%
Mar 15  2016,9.38,9.51,9.54,9.26,341.22K,-1.88%
Mar 14  2016,9.56,9.55,9.63,9.49,234.51K,0.42%
Mar 11  2016,9.52,9.43,9.60,9.43,314.98K,1.17%
Mar 10  2016,9.41,9.46,9.48,9.28,134.01K,-0.21%
Mar 09  2016,9.43,9.27,9.48,9.27,267.36K,1.62%
Mar 08  2016,9.28,9.19,9.35,9.13,251.89K,1.64%
Mar 07  2016,9.13,9.22,9.33,9.11,169.76K,-0.87%
Mar 04  2016,9.21,9.31,9.31,8.99,342.28K,-0.54%
Mar 03  2016,9.26,9.22,9.30,9.20,212.02K,0.65%
Mar 02  2016,9.20,9.19,9.29,9.12,236.82K,0.22%
Mar 01  2016,9.18,9.14,9.20,9.11,278.63K,1.21%
Feb 29  2016,9.07,8.97,9.22,8.95,232.01K,1.34%
Feb 26  2016,8.95,9.02,9.02,8.60,214.96K,-0.33%
Feb 25  2016,8.98,8.90,9.00,8.87,64.55K,0.56%
Feb 24  2016,8.93,8.78,8.98,8.71,73.15K,1.13%
Feb 23  2016,8.83,8.82,8.98,8.77,69.93K,-0.23%
Feb 22  2016,8.85,8.95,9.03,8.80,135.23K,-0.67%
Feb 19  2016,8.91,9.05,9.09,8.87,120.87K,-1.44%
Feb 18  2016,9.04,8.98,9.10,8.98,357.44K,1.12%
Feb 17  2016,8.94,8.96,9.00,8.85,146.27K,1.13%
Feb 16  2016,8.84,8.65,8.89,8.64,152.94K,3.27%
Feb 12  2016,8.56,8.63,8.69,8.49,184.45K,0.00%
Feb 11  2016,8.56,8.53,8.73,8.51,139.15K,-0.93%
Feb 10  2016,8.64,8.73,8.92,8.58,134.41K,-1.14%
Feb 09  2016,8.74,8.86,8.96,8.67,180.29K,-1.47%
Feb 08  2016,8.87,8.88,8.93,8.78,132.73K,-1.00%
Feb 05  2016,8.96,8.99,8.99,8.83,123.93K,-0.33%
Feb 04  2016,8.99,8.85,9.00,8.83,105.96K,1.47%
Feb 03  2016,8.86,9.00,9.05,8.71,104.47K,-1.34%
Feb 02  2016,8.98,8.99,9.13,8.84,248.28K,-0.22%
Feb 01  2016,9.00,9.01,9.10,8.89,186.91K,-2.17%
Jan 29  2016,9.20,9.06,9.20,9.06,227.66K,1.32%
Jan 28  2016,9.08,8.84,9.24,8.71,381.85K,3.77%
Jan 27  2016,8.75,8.85,8.87,8.63,183.84K,-0.68%
Jan 26  2016,8.81,8.87,8.88,8.72,115.98K,-0.23%
Jan 25  2016,8.83,8.85,9.04,8.80,296.61K,-0.45%
Jan 22  2016,8.87,8.68,8.94,8.59,236.80K,5.47%
Jan 21  2016,8.41,8.27,8.57,8.22,325.69K,1.57%
Jan 20  2016,8.28,8.06,8.34,7.96,255.26K,1.10%
Jan 19  2016,8.19,8.17,8.38,8.12,458.95K,1.49%
Jan 18  2016,8.07,8.31,8.41,7.97,404.04K,-3.81%
Jan 15  2016,8.39,8.47,8.65,8.38,371.47K,-2.89%
Jan 14  2016,8.64,8.75,8.83,8.45,343.48K,-0.69%
Jan 13  2016,8.70,8.53,8.94,8.53,311.43K,2.35%
Jan 12  2016,8.50,8.61,8.75,8.35,802.56K,-2.19%
Jan 11  2016,8.69,9.21,9.24,8.65,447.17K,-5.34%
Jan 08  2016,9.18,9.18,9.23,9.12,112.18K,1.10%
Jan 07  2016,9.08,9.16,9.26,9.02,256.74K,-1.84%
Jan 06  2016,9.25,9.25,9.38,9.20,240.08K,-0.43%
Jan 05  2016,9.29,9.43,9.53,9.26,225.19K,-0.85%
Jan 04  2016,9.37,9.62,9.64,9.20,300.17K,-2.90%
Dec 31  2015,9.65,9.69,9.72,9.60,101.88K,-0.92%
Dec 30  2015,9.74,9.54,9.75,9.54,223.83K,2.20%
Dec 29  2015,9.53,9.54,9.58,9.41,183.73K,0.53%
Dec 24  2015,9.48,9.48,9.59,9.40,70.65K,0.53%
Dec 23  2015,9.43,9.33,9.45,9.26,247.50K,0.53%
Dec 22  2015,9.38,9.50,9.50,9.33,162.01K,-0.95%
Dec 21  2015,9.47,9.27,9.51,9.25,317.23K,2.38%
Dec 18  2015,9.25,9.24,9.25,9.11,449.75K,0.43%
Dec 17  2015,9.21,9.40,9.42,9.17,423.47K,-0.97%
Dec 16  2015,9.30,9.18,9.32,9.18,229.42K,2.31%
Dec 15  2015,9.09,8.90,9.21,8.89,354.56K,2.25%
Dec 14  2015,8.89,9.07,9.20,8.84,291.00K,-1.98%
Dec 11  2015,9.07,9.27,9.27,9.00,225.27K,-1.84%
Dec 10  2015,9.24,9.25,9.34,9.21,160.38K,-0.22%
Dec 09  2015,9.26,9.40,9.47,9.15,297.10K,-1.49%
Dec 08  2015,9.40,9.53,9.53,9.28,296.11K,-2.08%
Dec 07  2015,9.60,9.73,9.76,9.52,250.25K,-0.62%
Dec 04  2015,9.66,9.52,9.77,9.51,195.63K,1.68%
Dec 03  2015,9.50,9.55,9.71,9.43,224.63K,0.42%
Dec 02  2015,9.46,9.88,9.93,9.41,329.13K,-3.86%
Dec 01  2015,9.84,9.90,9.91,9.75,251.24K,0.00%
Nov 30  2015,9.84,9.87,9.94,9.77,197.71K,-0.40%
Nov 27  2015,9.88,9.82,9.88,9.75,105.93K,-0.10%
Nov 26  2015,9.89,9.70,9.95,9.70,144.95K,1.23%
Nov 25  2015,9.77,9.60,9.85,9.59,372.82K,1.98%
Nov 24  2015,9.58,9.68,9.70,9.52,203.32K,-0.42%
Nov 23  2015,9.62,9.58,9.75,9.56,395.91K,0.94%
Nov 20  2015,9.53,9.37,9.62,9.30,744.03K,1.71%
Nov 19  2015,9.37,9.35,9.44,9.27,322.28K,0.11%
Nov 18  2015,9.36,9.42,9.50,9.22,451.43K,-1.47%
Nov 17  2015,9.50,9.41,9.57,9.34,476.23K,2.59%
Nov 16  2015,9.26,8.90,9.29,8.86,283.36K,4.75%
Nov 13  2015,8.84,9.11,9.16,8.72,476.78K,-3.49%
Nov 12  2015,9.16,9.34,9.35,9.01,311.13K,-1.93%
Nov 11  2015,9.34,9.14,9.50,9.14,562.50K,2.98%
Nov 10  2015,9.07,9.07,9.22,8.85,407.20K,0.78%
Nov 09  2015,9.00,8.67,9.25,8.66,782.07K,1.12%
Nov 06  2015,8.90,8.61,8.92,8.61,469.30K,2.77%
Nov 05  2015,8.66,8.70,8.72,8.50,275.48K,0.23%
Nov 04  2015,8.64,8.76,8.79,8.60,204.86K,-0.92%
Nov 03  2015,8.72,8.60,8.75,8.55,242.62K,0.35%
Nov 02  2015,8.69,8.67,8.71,8.52,184.45K,1.16%
Oct 30  2015,8.59,8.53,8.66,8.51,79.88K,0.35%
Oct 29  2015,8.56,8.63,8.70,8.51,113.91K,-0.93%
Oct 28  2015,8.64,8.47,8.67,8.40,75.56K,1.53%
Oct 27  2015,8.51,8.62,8.69,8.48,153.02K,-1.05%
Oct 26  2015,8.60,8.67,8.73,8.59,243.95K,-0.58%
Oct 23  2015,8.65,8.71,8.71,8.59,364.79K,-0.35%
Oct 22  2015,8.68,8.65,8.71,8.55,174.13K,0.12%
Oct 21  2015,8.67,8.68,8.83,8.60,202.71K,-0.12%
Oct 20  2015,8.68,8.88,8.96,8.65,359.40K,-2.14%
Oct 19  2015,8.87,8.49,8.91,8.44,477.84K,4.60%
Oct 16  2015,8.48,8.48,8.59,8.43,242.36K,0.59%
Oct 15  2015,8.43,8.35,8.52,8.35,148.58K,0.60%
Oct 14  2015,8.38,8.38,8.52,8.33,183.57K,0.00%
Oct 13  2015,8.38,8.34,8.48,8.32,364.56K,0.48%
Oct 09  2015,8.34,8.14,8.40,8.14,264.25K,2.58%
Oct 08  2015,8.13,8.21,8.23,8.04,142.71K,-1.22%
Oct 07  2015,8.23,8.23,8.34,8.21,177.15K,0.98%
Oct 06  2015,8.15,8.20,8.29,8.07,190.25K,-0.85%
Oct 05  2015,8.22,8.07,8.25,8.05,139.25K,1.36%
Oct 02  2015,8.11,7.87,8.12,7.81,208.65K,3.05%
Oct 01  2015,7.87,8.06,8.06,7.82,160.87K,-1.75%
Sep 30  2015,8.01,8.01,8.11,7.96,149.66K,0.63%
Sep 29  2015,7.96,7.90,7.99,7.82,215.53K,0.76%
Sep 28  2015,7.90,7.97,8.02,7.90,167.38K,-1.00%
Sep 25  2015,7.98,8.09,8.09,7.93,170.99K,-0.37%
Sep 24  2015,8.01,8.05,8.09,8.00,209.61K,-0.62%
Sep 23  2015,8.06,8.05,8.20,8.02,132.26K,-0.25%
Sep 22  2015,8.08,8.07,8.10,8.01,109.39K,-0.25%
Sep 21  2015,8.10,8.07,8.15,8.04,166.04K,0.62%
Sep 18  2015,8.05,7.85,8.10,7.85,302.00K,2.16%
Sep 17  2015,7.88,7.93,7.97,7.86,274.46K,0.13%
Sep 16  2015,7.87,7.94,7.95,7.87,64.35K,-0.25%
Sep 15  2015,7.89,8.06,8.06,7.88,155.87K,-1.62%
Sep 14  2015,8.02,7.99,8.09,7.91,86.34K,0.38%
Sep 11  2015,7.99,8.06,8.13,7.93,161.05K,-1.24%
Sep 10  2015,8.09,8.08,8.14,8.05,80.94K,0.37%
Sep 09  2015,8.06,8.14,8.24,8.02,195.69K,-0.98%
Sep 08  2015,8.14,8.20,8.24,8.08,85.51K,-0.49%
Sep 04  2015,8.18,8.22,8.29,8.10,132.92K,-1.56%
Sep 03  2015,8.31,8.24,8.39,8.18,257.90K,1.09%
Sep 02  2015,8.22,7.80,8.23,7.66,719.64K,5.12%
Sep 01  2015,7.82,7.67,7.84,7.67,122.44K,-0.51%
Aug 31  2015,7.86,7.93,7.94,7.70,104.11K,-0.38%
Aug 28  2015,7.89,8.01,8.11,7.84,147.52K,-1.13%
Aug 27  2015,7.98,7.72,8.04,7.72,125.03K,3.23%
Aug 26  2015,7.73,7.86,7.89,7.55,205.05K,-0.39%
Aug 25  2015,7.76,7.88,7.97,7.75,162.80K,1.44%
Aug 24  2015,7.65,7.31,7.84,7.30,213.89K,-1.80%
Aug 21  2015,7.79,7.68,7.87,7.65,168.53K,0.13%
