Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,696.73,715.00,715.21,691.65,30.48K,-2.79%
Apr 18  2016,716.75,722.89,722.89,716.02,15.71K,-0.50%
Apr 15  2016,720.35,722.94,723.00,715.45,17.28K,-0.10%
Apr 14  2016,721.04,713.14,721.04,713.14,26.07K,0.85%
Apr 13  2016,714.99,706.65,716.49,705.05,10.40K,1.40%
Apr 12  2016,705.11,703.83,711.52,700.97,33.09K,0.18%
Apr 11  2016,703.83,719.00,724.00,703.83,16.37K,-2.17%
Apr 08  2016,719.46,720.95,720.95,713.97,26.72K,-0.00%
Apr 07  2016,719.48,716.99,719.50,712.99,34.24K,0.28%
Apr 06  2016,717.49,735.32,735.32,714.32,49.98K,-2.51%
Apr 05  2016,735.97,717.51,736.54,715.04,29.59K,2.43%
Apr 04  2016,718.49,727.36,727.36,716.45,17.11K,-1.31%
Apr 01  2016,728.00,724.32,728.00,723.45,9.50K,0.13%
Mar 31  2016,727.07,718.84,728.24,715.00,29.71K,1.37%
Mar 30  2016,717.24,714.00,718.79,713.51,21.20K,0.45%
Mar 29  2016,714.00,719.97,722.50,713.30,18.80K,-0.83%
Mar 28  2016,719.99,715.47,721.79,715.00,11.25K,0.57%
Mar 24  2016,715.90,718.67,720.00,711.00,15.29K,-0.01%
Mar 23  2016,715.95,711.00,715.95,709.12,19.31K,0.98%
Mar 22  2016,709.00,712.97,715.00,706.21,22.29K,-0.56%
Mar 21  2016,712.97,706.01,717.26,700.85,20.31K,1.08%
Mar 18  2016,705.36,711.66,714.00,695.00,98.39K,-0.88%
Mar 17  2016,711.64,720.00,725.63,707.00,31.95K,-1.42%
Mar 16  2016,721.90,726.99,728.64,717.56,32.72K,-0.43%
Mar 15  2016,725.00,718.02,728.99,716.43,28.29K,0.44%
Mar 14  2016,721.79,715.99,723.00,711.00,41.63K,0.95%
Mar 11  2016,715.00,708.00,715.00,704.03,33.07K,1.42%
Mar 10  2016,704.99,702.00,704.99,700.00,36.84K,0.57%
Mar 09  2016,701.02,697.00,703.50,695.99,48.30K,0.96%
Mar 08  2016,694.33,692.08,702.36,686.93,94.32K,-0.87%
Mar 07  2016,700.40,711.33,713.15,695.00,36.49K,-1.40%
Mar 04  2016,710.32,710.09,712.62,703.23,26.57K,-0.08%
Mar 03  2016,710.90,710.79,711.87,706.01,25.24K,0.28%
Mar 02  2016,708.88,716.50,716.95,706.00,36.38K,-1.54%
Mar 01  2016,719.98,714.00,720.00,712.84,46.16K,0.66%
Feb 29  2016,715.29,718.21,722.13,710.00,51.85K,-0.38%
Feb 26  2016,718.00,720.01,721.35,712.41,43.21K,-0.41%
Feb 25  2016,720.96,727.99,729.00,716.00,58.39K,-0.69%
Feb 24  2016,726.00,722.17,727.97,719.96,83.55K,0.59%
Feb 23  2016,721.72,723.99,726.00,714.50,68.45K,-5.69%
Feb 22  2016,765.23,776.78,776.78,760.00,37.47K,-1.13%
Feb 19  2016,774.00,765.00,774.00,746.26,35.02K,0.45%
Feb 18  2016,770.50,769.26,779.94,768.00,21.11K,0.06%
Feb 17  2016,770.00,778.79,780.13,767.42,44.96K,-1.13%
Feb 16  2016,778.83,773.00,778.83,766.00,47.86K,2.05%
Feb 12  2016,763.22,754.86,763.22,747.13,36.75K,1.09%
Feb 11  2016,755.00,733.01,757.18,733.00,56.58K,2.80%
Feb 10  2016,734.42,734.72,735.00,729.32,27.13K,0.47%
Feb 09  2016,731.02,727.00,731.02,726.77,28.30K,0.14%
Feb 08  2016,730.00,711.13,730.00,705.00,26.28K,2.53%
Feb 05  2016,712.01,714.00,720.00,710.01,15.29K,-0.45%
Feb 04  2016,715.22,731.27,731.50,714.02,23.91K,-2.28%
Feb 03  2016,731.92,734.00,737.50,729.00,33.71K,-0.41%
Feb 02  2016,734.91,719.55,735.57,716.00,31.09K,1.65%
Feb 01  2016,723.00,718.92,730.00,718.43,48.01K,0.23%
Jan 29  2016,721.31,712.24,721.31,712.00,35.24K,1.02%
Jan 28  2016,714.00,710.49,714.00,709.00,23.65K,0.76%
Jan 27  2016,708.62,710.10,711.96,706.00,29.14K,-0.33%
Jan 26  2016,710.97,717.50,717.50,707.01,23.56K,-0.91%
Jan 25  2016,717.50,712.55,717.64,712.55,23.97K,0.63%
Jan 22  2016,712.99,717.08,720.50,701.99,19.92K,-0.56%
Jan 21  2016,717.04,715.86,721.00,701.93,48.05K,-0.28%
Jan 20  2016,719.05,705.11,720.66,693.68,34.53K,1.04%
Jan 19  2016,711.63,697.94,713.00,697.01,26.43K,2.49%
Jan 18  2016,694.36,700.69,700.97,690.02,13.27K,-2.20%
Jan 15  2016,710.00,694.44,711.99,691.51,38.59K,1.49%
Jan 14  2016,699.59,679.63,704.32,679.63,34.65K,2.59%
Jan 13  2016,681.90,705.00,705.00,671.68,22.20K,-3.45%
Jan 12  2016,706.24,691.68,706.24,687.14,33.90K,2.16%
Jan 11  2016,691.32,687.00,692.32,682.02,25.12K,0.80%
Jan 08  2016,685.82,689.29,689.29,674.03,28.00K,-0.60%
Jan 07  2016,689.95,676.15,689.95,676.15,30.33K,1.64%
Jan 06  2016,678.80,675.33,682.65,674.37,22.39K,0.69%
Jan 05  2016,674.15,678.60,680.83,670.19,23.67K,-0.66%
Jan 04  2016,678.60,656.56,681.00,646.03,27.45K,3.30%
Dec 31  2015,656.91,662.70,663.26,651.97,8.58K,-0.76%
Dec 30  2015,661.97,648.99,662.60,648.50,17.22K,2.16%
Dec 29  2015,648.00,649.00,649.00,640.00,14.92K,-0.46%
Dec 24  2015,651.01,647.47,651.89,645.69,8.76K,1.10%
Dec 23  2015,643.95,659.42,661.00,637.02,19.78K,-2.35%
Dec 22  2015,659.42,645.00,660.00,641.60,14.14K,2.11%
Dec 21  2015,645.79,637.00,647.03,637.00,17.51K,1.38%
Dec 18  2015,637.00,644.75,644.76,628.03,70.67K,-1.53%
Dec 17  2015,646.89,631.00,647.97,631.00,26.85K,2.69%
Dec 16  2015,629.96,626.53,640.00,626.52,15.93K,0.59%
Dec 15  2015,626.29,630.02,630.25,624.20,44.52K,-0.67%
Dec 14  2015,630.50,625.00,631.99,625.00,22.24K,0.92%
Dec 11  2015,624.76,617.04,625.95,613.53,21.21K,1.38%
Dec 10  2015,616.26,614.99,626.00,614.96,22.68K,0.71%
Dec 09  2015,611.89,620.00,636.96,605.92,63.12K,-1.44%
Dec 08  2015,620.85,623.44,626.46,618.09,28.56K,-0.42%
Dec 07  2015,623.44,638.00,640.30,621.04,31.84K,-2.50%
Dec 04  2015,639.41,630.99,645.00,626.95,35.61K,2.14%
Dec 03  2015,626.00,657.99,659.00,617.00,32.89K,-5.00%
Dec 02  2015,658.98,653.43,662.99,653.43,18.94K,0.91%
Dec 01  2015,653.02,647.33,658.00,647.33,32.32K,1.85%
Nov 30  2015,641.17,673.99,680.05,641.17,81.55K,-4.30%
Nov 27  2015,670.00,673.01,675.00,667.34,6.68K,-0.65%
Nov 26  2015,674.40,677.00,679.95,674.40,3.25K,0.21%
Nov 25  2015,673.00,679.00,684.00,673.00,17.56K,-0.79%
Nov 24  2015,678.35,687.74,688.00,674.65,24.97K,-1.40%
Nov 23  2015,688.00,688.00,692.00,679.99,12.09K,0.13%
Nov 20  2015,687.14,679.00,687.14,669.00,24.18K,1.10%
Nov 19  2015,679.68,670.00,679.68,669.50,13.94K,1.44%
Nov 18  2015,670.00,653.49,670.00,650.00,21.22K,2.44%
Nov 17  2015,654.01,651.94,656.00,648.15,21.57K,0.62%
Nov 16  2015,650.00,648.00,656.29,646.00,17.85K,0.39%
Nov 13  2015,647.50,644.39,648.00,638.00,18.59K,0.31%
Nov 12  2015,645.50,654.57,663.12,645.00,30.36K,-1.75%
Nov 11  2015,656.99,643.16,659.00,643.16,13.57K,2.34%
Nov 10  2015,641.97,649.73,653.00,640.01,29.95K,-1.19%
Nov 09  2015,649.73,646.85,651.99,642.00,23.33K,0.50%
Nov 06  2015,646.51,641.41,649.10,641.00,16.46K,1.02%
Nov 05  2015,639.98,635.27,645.00,630.21,11.68K,0.74%
Nov 04  2015,635.28,644.11,653.00,633.00,15.42K,-1.11%
Nov 03  2015,642.40,644.21,647.16,639.02,14.58K,-0.66%
Nov 02  2015,646.66,644.62,657.25,643.42,14.16K,0.43%
Oct 30  2015,643.92,659.92,659.97,640.29,30.85K,-1.54%
Oct 29  2015,654.00,650.10,654.00,646.10,10.92K,0.35%
Oct 28  2015,651.70,654.00,655.00,644.08,15.98K,-0.44%
Oct 27  2015,654.57,654.99,661.04,653.03,12.60K,0.09%
Oct 26  2015,653.95,641.87,660.03,641.00,16.99K,1.44%
Oct 23  2015,644.68,641.03,651.00,641.03,24.27K,0.50%
Oct 22  2015,641.50,630.04,641.92,630.04,8.61K,1.69%
Oct 21  2015,630.85,637.12,640.00,629.99,12.67K,-0.97%
Oct 20  2015,637.00,636.78,640.00,635.00,11.67K,0.21%
Oct 19  2015,635.65,625.49,641.50,620.00,12.19K,1.85%
Oct 16  2015,624.13,635.00,636.00,624.00,15.48K,-1.71%
