Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,21.78,21.85,22.02,21.51,720.30K,-1.04%
Apr 18  2016,22.01,21.25,22.22,21.21,563.72K,2.95%
Apr 15  2016,21.38,21.19,21.53,21.04,451.14K,0.47%
Apr 14  2016,21.28,20.51,21.33,20.51,730.51K,3.40%
Apr 13  2016,20.58,20.20,20.64,20.01,348.52K,1.88%
Apr 12  2016,20.20,19.72,20.23,19.58,483.52K,3.06%
Apr 11  2016,19.60,19.01,19.64,19.00,333.83K,3.48%
Apr 08  2016,18.94,18.82,19.05,18.65,635.61K,1.23%
Apr 07  2016,18.71,18.75,18.92,18.60,220.98K,-1.21%
Apr 06  2016,18.94,18.47,18.99,18.45,386.08K,2.82%
Apr 05  2016,18.42,18.82,18.83,18.37,495.60K,-2.64%
Apr 04  2016,18.92,19.26,19.26,18.84,670.18K,-1.30%
Apr 01  2016,19.17,18.95,19.26,18.76,1.74M,0.52%
Mar 31  2016,19.07,19.00,19.25,19.00,454.41K,0.10%
Mar 30  2016,19.05,19.34,19.38,18.98,1.30M,-1.19%
Mar 29  2016,19.28,18.98,19.33,18.87,1.01M,1.15%
Mar 28  2016,19.06,18.96,19.16,18.86,231.15K,1.01%
Mar 24  2016,18.87,18.76,18.96,18.53,255.77K,-0.47%
Mar 23  2016,18.96,19.23,19.25,18.60,333.54K,-0.99%
Mar 22  2016,19.15,19.14,19.33,18.91,370.47K,-0.36%
Mar 21  2016,19.22,19.43,19.57,19.09,347.01K,-1.54%
Mar 18  2016,19.52,19.67,19.75,19.18,2.33M,-0.41%
Mar 17  2016,19.60,19.00,19.66,18.77,647.94K,3.10%
Mar 16  2016,19.01,19.16,19.25,18.79,356.77K,-0.78%
Mar 15  2016,19.16,19.31,19.39,18.87,446.35K,-1.54%
Mar 14  2016,19.46,18.99,19.70,18.92,550.83K,2.31%
Mar 11  2016,19.02,19.33,19.59,18.99,407.64K,-0.78%
Mar 10  2016,19.17,19.35,19.52,18.84,398.98K,-1.13%
Mar 09  2016,19.39,19.40,19.55,19.17,362.86K,0.73%
Mar 08  2016,19.25,19.97,20.09,19.18,723.20K,-3.75%
Mar 07  2016,20.00,19.41,20.04,19.39,802.21K,2.83%
Mar 04  2016,19.45,19.63,19.77,19.33,663.37K,-0.51%
Mar 03  2016,19.55,19.29,19.83,19.28,1.17M,1.30%
Mar 02  2016,19.30,18.95,19.31,18.71,724.00K,1.47%
Mar 01  2016,19.02,18.65,19.11,18.45,831.58K,1.55%
Feb 29  2016,18.73,18.70,18.99,18.56,644.51K,0.97%
Feb 26  2016,18.55,18.26,18.78,18.20,363.20K,1.48%
Feb 25  2016,18.28,17.89,18.32,17.85,751.44K,1.61%
Feb 24  2016,17.99,17.56,18.18,17.28,1.34M,1.35%
Feb 23  2016,17.75,18.04,18.14,17.65,633.10K,-1.39%
Feb 22  2016,18.00,17.95,18.43,17.87,910.32K,1.69%
Feb 19  2016,17.70,17.77,17.90,17.43,1.75M,-3.38%
Feb 18  2016,18.32,17.56,18.50,16.94,2.64M,-1.87%
Feb 17  2016,18.67,18.34,18.96,18.20,972.32K,2.64%
Feb 16  2016,18.19,17.44,18.35,17.35,472.36K,6.31%
Feb 12  2016,17.11,17.03,17.32,16.87,599.18K,1.91%
Feb 11  2016,16.79,16.99,17.14,16.37,664.79K,-2.44%
Feb 10  2016,17.21,17.38,17.46,17.05,339.59K,-0.17%
Feb 09  2016,17.24,17.63,17.70,16.94,772.93K,-2.87%
Feb 08  2016,17.75,17.80,17.83,17.24,429.64K,-1.39%
Feb 05  2016,18.00,17.65,18.15,17.41,712.18K,2.10%
Feb 04  2016,17.63,16.75,17.77,16.75,990.49K,5.38%
Feb 03  2016,16.73,16.97,17.02,16.45,1.41M,-0.54%
Feb 02  2016,16.82,17.68,17.70,16.75,836.94K,-5.72%
Feb 01  2016,17.84,17.86,17.94,17.62,652.20K,0.00%
Jan 29  2016,17.84,17.68,17.87,17.20,952.73K,1.94%
Jan 28  2016,17.50,17.35,17.66,17.03,885.73K,2.94%
Jan 27  2016,17.00,16.98,17.46,16.77,1.14M,0.24%
Jan 26  2016,16.96,17.04,17.68,16.95,915.11K,0.30%
Jan 25  2016,16.91,17.91,17.95,16.86,824.93K,-5.79%
Jan 22  2016,17.95,18.00,18.98,17.86,758.24K,0.56%
Jan 21  2016,17.85,17.44,18.35,16.99,913.51K,2.06%
Jan 20  2016,17.49,17.70,17.70,16.69,1.25M,-2.89%
Jan 19  2016,18.01,18.00,18.18,17.83,454.99K,0.73%
Jan 18  2016,17.88,17.74,17.98,17.54,199.62K,1.25%
Jan 15  2016,17.66,17.54,17.75,17.15,1.56M,-1.34%
Jan 14  2016,17.90,17.50,18.03,17.05,585.59K,2.64%
Jan 13  2016,17.44,17.82,18.15,17.17,663.07K,-1.47%
Jan 12  2016,17.70,17.73,17.90,17.23,839.40K,0.80%
Jan 11  2016,17.56,17.94,17.94,17.04,828.29K,-1.35%
Jan 08  2016,17.80,17.87,18.22,17.51,1.08M,0.45%
Jan 07  2016,17.72,17.88,17.90,17.38,2.10M,-1.56%
Jan 06  2016,18.00,18.05,18.27,17.96,1.02M,-0.88%
Jan 05  2016,18.16,18.82,18.83,18.06,874.20K,-3.56%
Jan 04  2016,18.83,18.41,18.92,18.18,705.02K,0.80%
Dec 31  2015,18.68,18.53,18.74,18.28,319.68K,0.76%
Dec 30  2015,18.54,19.04,19.24,18.51,443.90K,-2.57%
Dec 29  2015,19.03,19.41,19.41,18.77,261.15K,-0.89%
Dec 24  2015,19.20,19.03,19.37,19.01,172.77K,1.16%
Dec 23  2015,18.98,18.28,19.29,18.28,585.37K,3.38%
Dec 22  2015,18.36,18.22,18.48,18.01,517.49K,0.77%
Dec 21  2015,18.22,18.50,18.76,18.09,569.45K,-1.03%
Dec 18  2015,18.41,18.00,18.49,18.00,1.33M,1.99%
Dec 17  2015,18.05,18.16,18.27,17.94,1.18M,-0.61%
Dec 16  2015,18.16,17.89,18.37,17.73,320.18K,1.79%
Dec 15  2015,17.84,17.58,17.94,17.56,544.14K,1.36%
Dec 14  2015,17.60,17.71,17.81,17.51,678.51K,-0.73%
Dec 11  2015,17.73,18.09,18.09,17.65,765.06K,-2.04%
Dec 10  2015,18.10,18.08,18.20,17.84,515.26K,0.28%
Dec 09  2015,18.05,17.95,18.20,17.65,639.15K,0.50%
Dec 08  2015,17.96,17.99,18.08,17.44,1.04M,-1.48%
Dec 07  2015,18.23,18.24,18.33,17.75,1.29M,0.83%
Dec 04  2015,18.08,18.42,18.50,18.01,633.43K,-2.27%
Dec 03  2015,18.50,19.03,19.03,18.35,1.31M,-2.43%
Dec 02  2015,18.96,19.52,19.70,18.81,1.08M,-3.12%
Dec 01  2015,19.57,19.11,19.72,18.92,853.15K,-0.25%
Nov 30  2015,19.62,19.24,19.71,19.23,663.92K,2.13%
Nov 27  2015,19.21,19.38,19.47,19.21,214.05K,-0.67%
Nov 26  2015,19.34,19.50,19.50,19.12,77.88K,-0.41%
Nov 25  2015,19.42,19.64,19.81,19.38,643.92K,-0.97%
Nov 24  2015,19.61,19.49,19.70,19.08,1.27M,0.10%
Nov 23  2015,19.59,19.46,19.66,19.29,271.49K,0.77%
Nov 20  2015,19.44,19.50,19.57,19.37,285.33K,-0.36%
Nov 19  2015,19.51,19.40,19.54,19.16,458.95K,-0.41%
Nov 18  2015,19.59,19.79,19.89,19.40,468.71K,-0.36%
Nov 17  2015,19.66,19.37,19.67,19.23,634.27K,1.29%
Nov 16  2015,19.41,19.12,19.52,19.10,537.05K,1.57%
Nov 13  2015,19.11,19.06,19.45,18.77,826.43K,-0.10%
Nov 12  2015,19.13,18.68,19.20,17.33,2.44M,-4.30%
Nov 11  2015,19.99,20.86,20.87,19.70,687.00K,-3.62%
Nov 10  2015,20.74,21.01,21.06,20.56,403.46K,-1.57%
Nov 09  2015,21.07,20.40,21.31,20.40,863.53K,2.88%
Nov 06  2015,20.48,20.68,20.99,20.25,357.05K,-2.06%
Nov 05  2015,20.91,21.11,21.13,20.68,288.72K,-0.38%
Nov 04  2015,20.99,21.05,21.20,20.82,468.61K,-0.52%
Nov 03  2015,21.10,20.89,21.16,20.45,648.84K,1.10%
Nov 02  2015,20.87,20.93,21.16,20.45,500.02K,-0.14%
Oct 30  2015,20.90,20.86,20.96,20.56,403.07K,0.53%
Oct 29  2015,20.79,20.79,21.09,20.69,244.64K,-0.05%
Oct 28  2015,20.80,20.47,21.00,20.30,469.73K,2.21%
Oct 27  2015,20.35,20.89,20.99,20.26,600.08K,-2.72%
Oct 26  2015,20.92,21.74,21.74,20.89,569.75K,-3.42%
Oct 23  2015,21.66,21.38,21.83,21.11,536.30K,2.65%
Oct 22  2015,21.10,20.50,21.58,20.29,553.83K,2.13%
Oct 21  2015,20.66,20.86,21.00,20.65,400.97K,-0.34%
