Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,20.17,20.27,20.27,20.01,337.70K,-0.59%
Apr 18  2016,20.29,20.27,20.35,20.18,963.44K,-0.25%
Apr 15  2016,20.34,20.20,20.41,20.20,130.92K,0.39%
Apr 14  2016,20.26,20.35,20.38,20.18,120.79K,-0.54%
Apr 13  2016,20.37,20.00,20.45,19.92,628.44K,1.85%
Apr 12  2016,20.00,20.25,20.29,19.96,1.22M,-1.14%
Apr 11  2016,20.23,20.24,20.34,20.21,808.39K,-0.05%
Apr 08  2016,20.24,20.30,20.31,20.17,789.16K,-0.30%
Apr 07  2016,20.30,20.40,20.53,20.26,331.66K,-0.49%
Apr 06  2016,20.40,20.40,20.52,20.30,507.61K,-0.24%
Apr 05  2016,20.45,20.69,20.71,20.40,1.02M,-1.54%
Apr 04  2016,20.77,20.72,20.85,20.70,279.59K,-0.29%
Apr 01  2016,20.83,20.47,20.84,20.40,303.27K,1.02%
Mar 31  2016,20.62,20.65,20.70,20.40,332.59K,-0.29%
Mar 30  2016,20.68,20.60,20.85,20.52,333.62K,0.73%
Mar 29  2016,20.53,20.38,20.55,20.38,192.99K,0.44%
Mar 28  2016,20.44,20.00,20.47,19.86,238.90K,0.84%
Mar 24  2016,20.27,20.31,20.41,20.12,261.52K,-0.64%
Mar 23  2016,20.40,20.47,20.55,20.27,299.03K,0.15%
Mar 22  2016,20.37,20.45,20.53,20.36,126.83K,-0.88%
Mar 21  2016,20.55,20.39,20.69,20.33,179.38K,0.54%
Mar 18  2016,20.44,20.87,20.87,20.38,1.29M,-0.63%
Mar 17  2016,20.57,20.54,20.85,20.54,429.77K,0.24%
Mar 16  2016,20.52,20.32,20.52,20.25,490.93K,1.08%
Mar 15  2016,20.30,20.15,20.32,20.04,452.13K,0.30%
Mar 14  2016,20.24,20.08,20.24,19.93,306.64K,0.80%
Mar 11  2016,20.08,20.22,20.25,19.97,317.90K,-0.35%
Mar 10  2016,20.15,20.20,20.32,19.89,195.11K,-0.15%
Mar 09  2016,20.18,20.06,20.24,20.01,221.74K,0.70%
Mar 08  2016,20.04,19.74,20.08,19.74,428.05K,1.37%
Mar 07  2016,19.77,19.82,20.00,19.74,305.35K,-0.70%
Mar 04  2016,19.91,20.05,20.10,19.87,270.94K,-0.35%
Mar 03  2016,19.98,19.80,20.04,19.80,414.82K,0.81%
Mar 02  2016,19.82,19.84,19.86,19.74,270.30K,0.10%
Mar 01  2016,19.80,19.71,19.91,19.57,306.56K,1.02%
Feb 29  2016,19.60,19.80,19.92,19.58,317.30K,-1.01%
Feb 26  2016,19.80,19.78,19.89,19.71,146.01K,0.30%
Feb 25  2016,19.74,19.60,19.84,19.35,277.71K,0.10%
Feb 24  2016,19.72,19.48,19.76,19.48,171.61K,0.92%
Feb 23  2016,19.54,19.68,19.70,19.40,262.64K,-0.81%
Feb 22  2016,19.70,19.90,19.90,19.50,295.46K,0.10%
Feb 19  2016,19.68,19.59,19.88,19.58,627.16K,0.41%
Feb 18  2016,19.60,19.28,19.88,19.22,630.38K,0.62%
Feb 17  2016,19.48,19.44,19.52,19.34,580.15K,1.09%
Feb 16  2016,19.27,19.29,19.31,18.89,365.73K,0.84%
Feb 12  2016,19.11,19.07,19.11,18.91,236.99K,0.79%
Feb 11  2016,18.96,18.80,19.08,18.77,465.59K,0.11%
Feb 10  2016,18.94,18.94,19.13,18.85,285.42K,0.53%
Feb 09  2016,18.84,18.75,18.87,18.66,292.13K,0.48%
Feb 08  2016,18.75,19.00,19.00,18.65,263.33K,-1.57%
Feb 05  2016,19.05,19.14,19.40,19.04,394.46K,-0.73%
Feb 04  2016,19.19,19.00,19.19,19.00,259.25K,1.00%
Feb 03  2016,19.00,18.75,19.00,18.73,345.64K,1.50%
Feb 02  2016,18.72,18.57,18.73,18.43,210.78K,0.38%
Feb 01  2016,18.65,18.64,18.73,18.55,133.72K,-0.37%
Jan 29  2016,18.72,18.83,18.84,18.70,246.89K,-0.11%
Jan 28  2016,18.74,18.51,18.80,18.47,221.46K,1.68%
Jan 27  2016,18.43,18.51,18.66,18.41,198.26K,-0.75%
Jan 26  2016,18.57,18.41,18.60,18.20,349.48K,1.81%
Jan 25  2016,18.24,18.25,18.56,18.22,284.94K,-0.55%
Jan 22  2016,18.34,18.25,18.38,18.19,478.68K,1.49%
