Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,12.50,11.79,12.57,11.69,1.68M,14.68%
Apr 18  2016,10.90,10.75,11.00,10.56,1.01M,3.32%
Apr 15  2016,10.55,9.87,10.59,9.74,1.06M,8.65%
Apr 14  2016,9.71,9.94,10.17,9.43,768.50K,-2.02%
Apr 13  2016,9.91,9.80,10.24,9.75,1.17M,0.51%
Apr 12  2016,9.86,9.89,10.05,9.69,1.43M,1.02%
Apr 11  2016,9.76,9.08,9.81,9.08,1.74M,9.42%
Apr 08  2016,8.92,8.62,8.99,8.53,1.04M,3.24%
Apr 07  2016,8.64,8.55,8.78,8.51,901.34K,3.23%
Apr 06  2016,8.37,8.37,8.45,8.22,590.06K,-1.18%
Apr 05  2016,8.47,8.42,8.50,8.19,690.70K,3.42%
Apr 04  2016,8.19,8.44,8.45,8.08,573.90K,-3.08%
Apr 01  2016,8.45,8.18,8.48,7.92,1.04M,0.36%
Mar 31  2016,8.42,8.92,8.92,8.28,1.54M,-3.55%
Mar 30  2016,8.73,8.90,9.03,8.51,1.05M,-2.89%
Mar 29  2016,8.99,8.56,9.08,8.45,1.21M,4.05%
Mar 28  2016,8.64,8.85,8.87,8.33,868.30K,-1.71%
Mar 24  2016,8.79,8.50,8.95,8.41,1.44M,4.64%
Mar 23  2016,8.40,8.45,8.67,8.21,1.31M,-4.87%
Mar 22  2016,8.83,9.19,9.22,8.71,2.00M,-2.00%
Mar 21  2016,9.01,8.74,9.11,8.67,2.47M,2.97%
Mar 18  2016,8.75,8.49,8.90,8.39,4.56M,4.67%
Mar 17  2016,8.36,8.41,9.05,8.23,4.23M,2.20%
Mar 16  2016,8.18,7.57,8.24,7.43,1.30M,5.82%
Mar 15  2016,7.73,7.45,7.74,7.32,1.15M,3.34%
Mar 14  2016,7.48,7.59,7.96,7.26,2.04M,-1.45%
Mar 11  2016,7.59,7.70,7.79,7.32,1.26M,-0.78%
Mar 10  2016,7.65,7.20,7.74,7.20,1.66M,8.36%
Mar 09  2016,7.06,6.90,7.19,6.72,979.33K,-0.28%
Mar 08  2016,7.08,7.23,7.32,6.87,1.44M,-0.28%
Mar 07  2016,7.10,6.78,7.25,6.78,1.81M,9.23%
Mar 04  2016,6.50,6.44,7.15,6.32,1.58M,2.36%
Mar 03  2016,6.35,5.98,6.42,5.97,820.12K,6.37%
Mar 02  2016,5.97,5.80,6.02,5.80,1.29M,2.75%
Mar 01  2016,5.81,6.34,6.34,5.76,1.14M,-7.48%
Feb 29  2016,6.28,6.25,6.36,6.11,840.13K,0.48%
Feb 26  2016,6.25,6.08,6.50,6.07,1.13M,-0.48%
Feb 25  2016,6.28,5.85,6.29,5.83,758.09K,4.32%
Feb 24  2016,6.02,6.28,6.36,5.87,1.05M,0.33%
Feb 23  2016,6.00,6.03,6.22,5.90,605.50K,0.84%
Feb 22  2016,5.95,5.88,6.13,5.82,656.36K,-1.82%
Feb 19  2016,6.06,6.18,6.46,6.03,819.21K,-3.04%
Feb 18  2016,6.25,5.84,6.38,5.75,1.21M,6.84%
Feb 17  2016,5.85,5.85,5.94,5.69,768.29K,1.92%
Feb 16  2016,5.74,5.73,5.94,5.58,1.15M,-4.17%
Feb 12  2016,5.99,5.52,6.05,5.41,885.26K,6.77%
Feb 11  2016,5.61,5.75,5.80,5.47,917.92K,10.00%
Feb 10  2016,5.10,4.99,5.12,4.75,658.40K,0.99%
Feb 09  2016,5.05,5.37,5.42,5.03,704.41K,-5.25%
Feb 08  2016,5.33,5.25,5.54,5.21,985.37K,7.03%
Feb 05  2016,4.98,4.53,4.99,4.53,649.31K,7.56%
Feb 04  2016,4.63,4.55,4.77,4.53,628.47K,4.28%
Feb 03  2016,4.44,4.31,4.47,4.26,406.89K,5.46%
Feb 02  2016,4.21,4.26,4.36,4.15,246.02K,-2.55%
Feb 01  2016,4.32,4.24,4.40,4.24,430.50K,2.86%
Jan 29  2016,4.20,3.98,4.21,3.98,393.04K,5.53%
Jan 28  2016,3.98,4.11,4.13,3.94,454.68K,-3.63%
Jan 27  2016,4.13,4.11,4.16,4.02,456.77K,2.48%
Jan 26  2016,4.03,3.98,4.08,3.94,327.75K,4.40%
Jan 25  2016,3.86,3.95,4.06,3.85,403.09K,1.05%
Jan 22  2016,3.82,3.74,3.94,3.71,501.54K,2.14%
Jan 21  2016,3.74,3.77,3.79,3.59,482.38K,-1.58%
Jan 20  2016,3.80,3.80,3.80,3.50,452.42K,3.83%
Jan 19  2016,3.66,4.00,4.00,3.57,546.80K,-6.39%
Jan 18  2016,3.91,4.01,4.01,3.90,88.01K,-1.26%
Jan 15  2016,3.96,4.10,4.11,3.88,444.65K,0.76%
Jan 14  2016,3.93,3.94,4.03,3.85,592.76K,-2.24%
Jan 13  2016,4.02,3.99,4.08,3.93,870.28K,1.01%
Jan 12  2016,3.98,4.10,4.15,3.87,713.54K,-4.78%
Jan 11  2016,4.18,4.49,4.54,4.16,842.58K,-7.32%
Jan 08  2016,4.51,4.53,4.63,4.42,683.76K,-2.80%
Jan 07  2016,4.64,4.82,4.82,4.60,886.35K,-2.11%
Jan 06  2016,4.74,4.76,4.81,4.69,313.14K,1.07%
Jan 05  2016,4.69,4.81,4.82,4.61,263.33K,-2.29%
Jan 04  2016,4.80,4.69,4.81,4.63,371.25K,6.43%
Dec 31  2015,4.51,4.51,4.59,4.45,196.18K,0.22%
Dec 30  2015,4.50,4.61,4.63,4.50,176.69K,-3.85%
Dec 29  2015,4.68,4.79,4.81,4.62,518.43K,-7.33%
Dec 24  2015,5.05,4.71,5.05,4.71,279.64K,6.09%
Dec 23  2015,4.76,4.65,4.77,4.58,430.30K,3.25%
Dec 22  2015,4.61,4.65,4.74,4.55,356.29K,0.88%
Dec 21  2015,4.57,4.49,4.71,4.38,582.25K,4.82%
Dec 18  2015,4.36,4.35,4.47,4.27,2.29M,1.87%
Dec 17  2015,4.28,4.53,4.59,4.27,621.25K,-9.13%
Dec 16  2015,4.71,4.49,4.75,4.49,746.55K,7.53%
Dec 15  2015,4.38,4.55,4.56,4.36,536.48K,-2.45%
Dec 14  2015,4.49,4.60,4.68,4.42,546.00K,-3.02%
Dec 11  2015,4.63,4.59,4.71,4.52,396.06K,-1.28%
Dec 10  2015,4.69,4.58,4.75,4.57,554.94K,1.30%
Dec 09  2015,4.63,4.63,4.71,4.52,444.38K,2.89%
Dec 08  2015,4.50,4.57,4.62,4.43,552.42K,-1.96%
Dec 07  2015,4.59,4.80,4.80,4.51,329.58K,-4.97%
Dec 04  2015,4.83,4.66,4.86,4.65,554.19K,5.46%
Dec 03  2015,4.58,4.58,4.62,4.48,386.22K,2.00%
Dec 02  2015,4.49,4.55,4.62,4.43,453.42K,-3.85%
Dec 01  2015,4.67,4.49,4.69,4.40,531.47K,4.71%
Nov 30  2015,4.46,4.35,4.50,4.29,398.27K,2.06%
Nov 27  2015,4.37,4.21,4.40,4.17,346.72K,-0.23%
Nov 26  2015,4.38,4.39,4.42,4.32,107.18K,0.92%
Nov 25  2015,4.34,4.28,4.37,4.20,476.89K,-0.23%
Nov 24  2015,4.35,4.15,4.37,4.15,735.69K,7.41%
Nov 23  2015,4.05,4.16,4.23,4.04,578.10K,-2.41%
Nov 20  2015,4.15,4.31,4.34,4.05,1.28M,-3.49%
Nov 19  2015,4.30,4.01,4.31,3.94,753.79K,8.86%
Nov 18  2015,3.95,3.84,3.96,3.72,524.66K,3.67%
Nov 17  2015,3.81,3.91,3.98,3.71,665.93K,-5.22%
Nov 16  2015,4.02,3.95,4.09,3.84,435.81K,2.29%
Nov 13  2015,3.93,3.75,3.95,3.66,563.75K,5.08%
Nov 12  2015,3.74,3.79,3.85,3.69,548.79K,-2.09%
Nov 11  2015,3.82,3.85,3.88,3.76,268.45K,-0.26%
Nov 10  2015,3.83,3.99,4.00,3.83,320.92K,-5.20%
Nov 09  2015,4.04,3.94,4.06,3.84,350.89K,2.02%
Nov 06  2015,3.96,4.02,4.03,3.85,418.02K,-3.65%
Nov 05  2015,4.11,4.22,4.24,4.07,606.20K,-2.61%
Nov 04  2015,4.22,4.51,4.52,4.19,1.24M,-5.59%
Nov 03  2015,4.47,4.36,4.50,4.28,454.25K,1.82%
Nov 02  2015,4.39,4.30,4.42,4.15,411.33K,1.62%
Oct 30  2015,4.32,4.50,4.50,4.30,449.90K,-3.36%
Oct 29  2015,4.47,4.77,4.85,4.41,994.44K,-7.84%
Oct 28  2015,4.85,4.91,5.12,4.70,1.22M,1.46%
Oct 27  2015,4.78,4.83,4.96,4.72,1.10M,-2.45%
Oct 26  2015,4.90,4.85,4.97,4.74,1.17M,0.82%
Oct 23  2015,4.86,4.94,4.96,4.75,871.33K,0.83%
Oct 22  2015,4.82,4.83,4.98,4.80,490.18K,0.00%
Oct 21  2015,4.82,5.04,5.04,4.78,587.58K,-4.55%
Oct 20  2015,5.05,4.91,5.14,4.87,753.63K,3.91%
Oct 19  2015,4.86,5.17,5.22,4.78,909.18K,-6.90%
Oct 16  2015,5.22,5.41,5.47,5.22,1.67M,-3.69%
Oct 15  2015,5.42,5.20,5.51,5.11,1.19M,3.63%
Oct 14  2015,5.23,5.04,5.32,5.02,953.27K,3.77%
Oct 13  2015,5.04,4.94,5.07,4.78,961.41K,0.80%
Oct 09  2015,5.00,4.96,5.01,4.81,798.79K,4.82%
Oct 08  2015,4.77,4.83,4.95,4.76,1.20M,-4.79%
Oct 07  2015,5.01,4.82,5.03,4.75,1.60M,0.00%
Oct 06  2015,5.01,4.85,5.09,4.80,1.36M,6.60%
Oct 05  2015,4.70,4.77,4.98,4.62,996.04K,-0.42%
Oct 02  2015,4.72,4.34,4.76,4.24,897.21K,14.29%
Oct 01  2015,4.13,4.31,4.43,4.06,580.22K,-3.28%
Sep 30  2015,4.27,3.94,4.28,3.94,662.83K,7.02%
Sep 29  2015,3.99,4.04,4.16,3.98,274.45K,-0.50%
Sep 28  2015,4.01,4.16,4.18,4.00,349.41K,-6.96%
Sep 25  2015,4.31,4.27,4.46,4.22,408.84K,-1.37%
Sep 24  2015,4.37,4.06,4.39,4.02,566.01K,10.63%
Sep 23  2015,3.95,4.23,4.23,3.93,260.19K,-3.89%
Sep 22  2015,4.11,4.16,4.21,4.09,219.85K,-3.97%
Sep 21  2015,4.28,4.32,4.40,4.21,500.56K,-1.61%
Sep 18  2015,4.35,4.30,4.40,4.15,2.09M,3.33%
