Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,8.83,7.86,8.84,7.86,12.40M,15.73%
Apr 18  2016,7.63,7.00,7.70,7.00,7.00M,6.86%
Apr 15  2016,7.14,6.86,7.35,6.80,5.20M,-0.56%
Apr 14  2016,7.18,7.36,7.40,6.89,5.68M,0.56%
Apr 13  2016,7.14,7.52,7.84,7.00,8.23M,-0.70%
Apr 12  2016,7.19,6.69,7.27,6.69,11.97M,10.79%
Apr 11  2016,6.49,6.60,6.73,6.42,4.46M,3.34%
Apr 08  2016,6.28,5.74,6.45,5.63,9.67M,13.36%
Apr 07  2016,5.54,6.09,6.22,5.38,10.32M,-13.71%
Apr 06  2016,6.42,6.50,6.60,6.28,4.42M,-0.31%
Apr 05  2016,6.44,6.29,6.58,6.14,5.20M,0.47%
Apr 04  2016,6.41,6.78,6.99,6.30,4.79M,-5.87%
Apr 01  2016,6.81,6.52,6.92,6.42,3.72M,-0.44%
Mar 31  2016,6.84,6.79,7.03,6.70,4.33M,1.33%
Mar 30  2016,6.75,7.00,7.23,6.70,6.33M,-2.32%
Mar 29  2016,6.91,6.36,6.96,6.32,5.34M,1.77%
Mar 28  2016,6.79,7.02,7.06,6.50,4.96M,-2.86%
Mar 24  2016,6.99,6.55,7.15,6.41,6.45M,1.01%
Mar 23  2016,6.92,8.08,8.09,6.69,11.83M,-16.32%
Mar 22  2016,8.27,8.21,8.44,8.14,5.37M,-1.55%
Mar 21  2016,8.40,8.48,8.53,8.22,6.57M,0.12%
Mar 18  2016,8.39,8.33,8.63,8.17,16.55M,2.19%
Mar 17  2016,8.21,8.80,8.87,8.11,11.44M,-3.07%
Mar 16  2016,8.47,7.81,8.51,7.53,10.96M,10.72%
Mar 15  2016,7.65,7.44,7.78,7.27,9.56M,-4.37%
Mar 14  2016,8.00,7.22,8.10,7.04,8.76M,8.55%
Mar 11  2016,7.37,7.32,7.57,7.12,9.47M,3.95%
Mar 10  2016,7.09,6.89,7.24,6.63,13.59M,13.26%
Mar 09  2016,6.26,6.31,6.42,5.84,10.54M,2.29%
Mar 08  2016,6.12,6.68,6.73,5.77,17.30M,-16.05%
Mar 07  2016,7.29,7.16,7.65,7.12,13.00M,3.55%
Mar 04  2016,7.04,6.97,7.62,6.91,21.95M,6.02%
Mar 03  2016,6.64,6.50,7.39,6.27,21.40M,0.30%
Mar 02  2016,6.62,5.40,6.71,5.32,20.48M,27.55%
Mar 01  2016,5.19,5.01,5.27,4.89,7.34M,5.27%
Feb 29  2016,4.93,4.91,5.04,4.83,5.49M,1.44%
Feb 26  2016,4.86,5.09,5.12,4.81,7.77M,5.65%
Feb 25  2016,4.60,4.36,4.63,4.20,7.25M,2.91%
Feb 24  2016,4.47,4.00,4.49,3.85,10.41M,3.00%
Feb 23  2016,4.34,4.66,4.85,4.34,6.70M,-7.66%
Feb 22  2016,4.70,5.05,5.30,4.59,12.99M,2.62%
Feb 19  2016,4.58,4.64,4.84,4.36,11.60M,5.05%
Feb 18  2016,4.36,4.63,4.77,4.06,14.12M,-11.20%
Feb 17  2016,4.91,4.25,4.96,4.20,12.00M,25.58%
Feb 16  2016,3.91,3.59,4.02,3.38,9.46M,18.84%
Feb 12  2016,3.29,3.21,3.35,3.14,6.96M,11.90%
Feb 11  2016,2.94,2.80,2.94,2.71,5.91M,0.68%
Feb 10  2016,2.92,3.31,3.33,2.89,7.89M,-11.25%
Feb 09  2016,3.29,3.32,3.43,3.13,8.10M,-10.84%
Feb 08  2016,3.69,3.75,3.98,3.65,5.08M,-6.11%
Feb 05  2016,3.93,3.75,3.99,3.60,9.95M,-2.96%
Feb 04  2016,4.05,3.15,4.07,3.15,16.18M,34.11%
