Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,54.96,55.03,55.39,54.77,152.77K,-0.49%
Apr 18  2016,55.23,55.07,55.59,54.80,258.93K,0.09%
Apr 15  2016,55.18,55.10,55.54,55.10,197.02K,0.20%
Apr 14  2016,55.07,56.43,56.47,55.07,38.16K,-2.36%
Apr 13  2016,56.40,55.59,56.67,55.49,59.61K,1.62%
Apr 12  2016,55.50,56.10,56.49,55.31,36.76K,-1.07%
Apr 11  2016,56.10,54.99,56.24,54.52,29.16K,2.04%
Apr 08  2016,54.98,56.08,56.08,54.67,28.61K,-1.19%
Apr 07  2016,55.64,55.75,56.44,55.52,23.83K,-0.14%
Apr 06  2016,55.72,54.53,57.55,54.52,56.29K,2.18%
Apr 05  2016,54.53,52.74,54.90,52.74,50.97K,2.95%
Apr 04  2016,52.97,53.32,53.45,52.57,41.93K,0.36%
Apr 01  2016,52.78,54.12,54.12,52.56,27.82K,-1.05%
Mar 31  2016,53.34,52.42,53.34,52.42,22.54K,1.60%
Mar 30  2016,52.50,52.14,53.08,52.14,53.46K,-0.55%
Mar 29  2016,52.79,53.00,53.60,52.56,28.12K,-0.43%
Mar 28  2016,53.02,53.32,53.32,52.79,11.92K,-0.43%
Mar 24  2016,53.25,52.70,53.53,52.69,19.16K,0.43%
Mar 23  2016,53.02,53.67,53.67,52.26,25.79K,0.32%
Mar 22  2016,52.85,52.26,53.14,52.25,27.17K,0.13%
Mar 21  2016,52.78,52.43,53.80,52.43,35.28K,-0.21%
Mar 18  2016,52.89,52.80,53.25,52.27,72.95K,0.28%
Mar 17  2016,52.74,53.02,53.33,51.74,55.24K,-1.12%
Mar 16  2016,53.34,53.53,53.87,53.32,10.89K,-0.32%
Mar 15  2016,53.51,53.47,53.73,53.10,22.98K,0.09%
Mar 14  2016,53.46,53.02,54.40,53.02,31.82K,-0.22%
Mar 11  2016,53.58,54.06,54.06,53.09,28.42K,-0.17%
Mar 10  2016,53.67,54.19,54.19,52.99,33.17K,-0.19%
Mar 09  2016,53.77,53.55,54.18,53.16,32.22K,0.69%
Mar 08  2016,53.40,53.10,53.50,52.66,45.71K,0.51%
Mar 07  2016,53.13,53.71,54.85,52.84,27.14K,-1.04%
Mar 04  2016,53.69,54.75,54.75,52.97,61.28K,-1.43%
Mar 03  2016,54.47,54.23,55.22,54.23,39.12K,0.39%
Mar 02  2016,54.26,52.60,55.07,52.33,68.07K,3.31%
Mar 01  2016,52.52,52.75,52.75,52.37,49.93K,-0.44%
Feb 29  2016,52.75,53.00,53.00,52.27,51.09K,0.15%
Feb 26  2016,52.67,51.81,52.97,51.81,29.60K,1.33%
Feb 25  2016,51.98,51.77,52.53,51.35,50.27K,1.38%
Feb 24  2016,51.27,51.95,51.95,50.78,38.42K,-0.35%
Feb 23  2016,51.45,52.02,52.54,51.35,27.29K,-0.87%
Feb 22  2016,51.90,54.00,54.00,51.90,40.50K,-3.10%
Feb 19  2016,53.56,54.07,54.42,53.28,26.58K,-0.76%
Feb 18  2016,53.97,53.50,54.50,53.50,92.03K,1.83%
Feb 17  2016,53.00,51.11,53.29,51.11,54.01K,1.73%
Feb 16  2016,52.10,51.40,52.49,51.27,73.73K,2.10%
Feb 12  2016,51.03,51.00,51.35,50.20,46.54K,2.00%
Feb 11  2016,50.03,48.12,50.40,46.99,83.65K,6.51%
Feb 10  2016,46.97,48.04,48.04,46.28,140.68K,2.35%
Feb 09  2016,45.89,46.99,46.99,45.30,73.78K,-2.53%
Feb 08  2016,47.08,49.16,49.25,47.01,32.73K,-5.42%
Feb 05  2016,49.78,50.94,51.48,49.00,30.80K,-1.46%
Feb 04  2016,50.52,49.99,50.92,48.62,47.68K,1.04%
Feb 03  2016,50.00,51.70,52.01,49.45,69.16K,-3.29%
Feb 02  2016,51.70,52.33,52.79,51.25,27.66K,-1.41%
Feb 01  2016,52.44,53.49,53.49,50.92,134.62K,-1.96%
Jan 29  2016,53.49,52.32,54.58,52.03,67.16K,2.26%
Jan 28  2016,52.31,53.05,53.05,50.52,36.64K,-1.45%
Jan 27  2016,53.08,53.84,54.25,52.30,36.94K,-1.41%
Jan 26  2016,53.84,54.31,54.31,52.47,49.35K,1.76%
Jan 25  2016,52.91,53.06,53.43,51.84,57.81K,1.38%
Jan 22  2016,52.19,52.84,52.84,51.05,32.74K,3.08%
Jan 21  2016,50.63,50.10,50.96,49.50,44.54K,0.20%
Jan 20  2016,50.53,48.56,51.26,48.13,50.93K,2.70%
Jan 19  2016,49.20,49.00,49.31,48.57,99.71K,2.16%
Jan 18  2016,48.16,49.76,49.89,47.37,49.25K,-4.24%
Jan 15  2016,50.29,49.81,50.58,49.41,44.89K,0.08%
Jan 14  2016,50.25,49.50,50.74,48.54,43.92K,1.47%
Jan 13  2016,49.52,50.41,51.30,49.31,30.80K,-1.79%
Jan 12  2016,50.42,50.23,50.75,49.98,44.07K,0.82%
Jan 11  2016,50.01,51.11,51.11,49.72,56.74K,-1.88%
Jan 08  2016,50.97,49.56,52.06,49.56,134.03K,2.76%
Jan 07  2016,49.60,49.98,50.45,49.20,279.11K,-2.94%
Jan 06  2016,51.10,51.90,52.47,50.95,39.96K,-2.01%
Jan 05  2016,52.15,54.15,54.19,51.66,105.64K,-5.27%
Jan 04  2016,55.05,55.24,56.22,53.69,52.78K,-1.52%
Dec 31  2015,55.90,55.98,56.41,55.72,63.51K,-0.04%
Dec 30  2015,55.92,55.91,56.14,55.57,35.86K,0.02%
Dec 29  2015,55.91,55.06,56.67,55.06,52.07K,0.78%
Dec 24  2015,55.48,55.47,55.72,55.16,9.45K,0.00%
Dec 23  2015,55.48,56.39,56.90,55.20,33.63K,-1.12%
Dec 22  2015,56.11,55.92,56.52,55.71,29.40K,0.77%
Dec 21  2015,55.68,57.00,57.00,55.59,40.95K,-3.25%
Dec 18  2015,57.55,57.66,58.00,57.43,66.16K,-0.17%
Dec 17  2015,57.65,58.00,58.17,57.40,57.51K,-0.53%
Dec 16  2015,57.96,54.47,58.36,54.47,46.86K,5.96%
Dec 15  2015,54.70,54.68,54.81,53.69,72.61K,0.81%
Dec 14  2015,54.26,54.07,54.70,54.05,44.11K,0.41%
Dec 11  2015,54.04,54.10,54.25,53.43,61.15K,-0.24%
Dec 10  2015,54.17,52.01,54.44,52.01,62.77K,3.93%
Dec 09  2015,52.12,53.05,53.06,51.33,74.15K,-1.83%
Dec 08  2015,53.09,52.01,53.92,52.01,69.62K,0.09%
Dec 07  2015,53.04,52.80,53.11,52.28,33.73K,0.45%
Dec 04  2015,52.80,52.87,53.08,52.21,72.20K,-0.58%
Dec 03  2015,53.11,53.56,53.97,52.68,72.93K,-1.65%
Dec 02  2015,54.00,56.25,56.25,53.51,153.43K,-3.97%
Dec 01  2015,56.23,54.33,56.51,54.19,152.49K,3.40%
Nov 30  2015,54.38,53.93,54.39,53.82,24.27K,1.10%
Nov 27  2015,53.79,54.01,54.50,53.76,76.00K,-0.39%
Nov 26  2015,54.00,54.05,54.60,54.00,17.43K,-0.50%
Nov 25  2015,54.27,53.09,55.02,53.09,64.91K,1.97%
Nov 24  2015,53.22,52.82,53.89,52.12,61.65K,0.53%
Nov 23  2015,52.94,50.64,53.24,50.64,108.62K,4.36%
Nov 20  2015,50.73,49.72,51.30,49.50,100.71K,3.36%
Nov 19  2015,49.08,48.82,49.11,48.55,46.58K,0.51%
Nov 18  2015,48.83,48.70,49.04,48.50,232.92K,0.37%
Nov 17  2015,48.65,48.20,49.12,47.77,29.11K,0.93%
Nov 16  2015,48.20,47.27,48.65,47.27,19.66K,1.11%
Nov 13  2015,47.67,47.63,50.44,47.56,37.70K,-0.23%
Nov 12  2015,47.78,47.51,48.79,47.50,20.75K,-0.97%
Nov 11  2015,48.25,48.98,49.00,48.25,8.85K,-1.03%
Nov 10  2015,48.75,46.99,49.25,46.99,63.28K,3.61%
Nov 09  2015,47.05,48.78,48.78,46.59,47.63K,-4.60%
Nov 06  2015,49.32,48.98,49.75,48.21,25.32K,1.38%
Nov 05  2015,48.65,47.43,49.17,47.43,33.79K,2.77%
Nov 04  2015,47.34,46.25,47.47,45.82,56.04K,1.61%
Nov 03  2015,46.59,47.13,47.25,45.99,54.82K,-0.87%
Nov 02  2015,47.00,46.51,48.83,45.99,107.69K,2.17%
Oct 30  2015,46.00,45.15,46.85,44.46,181.40K,2.22%
Oct 29  2015,45.00,42.63,45.96,42.43,113.80K,5.88%
Oct 28  2015,42.50,45.05,46.30,42.31,114.45K,-2.63%
Oct 27  2015,43.65,43.49,44.47,43.28,48.33K,0.79%
Oct 26  2015,43.31,43.24,43.58,43.02,40.06K,0.28%
Oct 23  2015,43.19,43.10,43.20,42.99,33.18K,0.23%
Oct 22  2015,43.09,43.28,43.30,43.00,14.38K,-0.02%
Oct 21  2015,43.10,43.00,44.36,42.97,65.85K,0.23%
Oct 20  2015,43.00,42.96,43.00,41.90,30.17K,2.14%
Oct 19  2015,42.10,42.00,42.22,41.52,30.17K,-0.26%
Oct 16  2015,42.21,42.26,42.94,42.16,23.40K,-0.40%
Oct 15  2015,42.38,42.88,43.06,42.30,27.00K,-1.07%
Oct 14  2015,42.84,43.32,43.32,42.76,22.56K,-0.37%
Oct 13  2015,43.00,42.49,43.00,42.29,34.76K,1.11%
Oct 09  2015,42.53,42.95,43.21,41.89,38.12K,-0.98%
Oct 08  2015,42.95,43.50,43.50,42.84,11.30K,-1.20%
Oct 07  2015,43.47,43.65,43.89,43.15,39.89K,-0.93%
Oct 06  2015,43.88,44.46,44.46,43.42,17.85K,-0.48%
Oct 05  2015,44.09,44.36,44.73,43.82,37.10K,0.55%
Oct 02  2015,43.85,44.33,44.50,43.83,36.48K,-0.34%
Oct 01  2015,44.00,43.13,44.08,42.91,29.85K,2.02%
Sep 30  2015,43.13,43.23,43.49,41.78,52.49K,-0.09%
Sep 29  2015,43.17,43.82,44.45,42.68,54.24K,-2.09%
Sep 28  2015,44.09,47.11,47.11,43.88,58.07K,-3.18%
Sep 25  2015,45.54,45.47,45.65,45.12,34.43K,1.34%
Sep 24  2015,44.94,45.05,45.09,44.05,58.67K,1.67%
Sep 23  2015,44.20,44.23,44.62,43.68,51.46K,0.50%
Sep 22  2015,43.98,44.85,44.86,43.49,31.88K,0.21%
Sep 21  2015,43.89,43.47,44.12,43.10,45.00K,2.07%
Sep 18  2015,43.00,42.94,43.28,42.71,143.01K,-0.53%
Sep 17  2015,43.23,43.55,43.65,42.85,160.47K,1.10%
Sep 16  2015,42.76,43.01,43.06,42.69,20.74K,0.71%
Sep 15  2015,42.46,42.10,43.02,42.10,38.31K,1.51%
Sep 14  2015,41.83,42.01,42.60,41.70,28.66K,-0.12%
Sep 11  2015,41.88,42.50,42.50,41.50,13.13K,-0.71%
Sep 10  2015,42.18,41.80,42.29,41.51,19.31K,1.37%
Sep 09  2015,41.61,43.00,43.00,41.28,144.43K,-1.82%
Sep 08  2015,42.38,42.49,42.70,42.30,10.51K,-0.40%
Sep 04  2015,42.55,42.10,42.73,42.10,14.48K,1.14%
Sep 03  2015,42.07,42.79,42.79,42.00,45.75K,-1.61%
Sep 02  2015,42.76,41.97,42.85,41.97,16.30K,2.89%
Sep 01  2015,41.56,41.02,41.76,41.00,66.17K,-1.45%
Aug 31  2015,42.17,41.40,42.17,41.04,29.74K,1.81%
Aug 28  2015,41.42,41.26,41.67,41.00,35.62K,-0.31%
Aug 27  2015,41.55,41.50,41.69,41.12,25.11K,0.12%
Aug 26  2015,41.50,41.40,41.93,40.67,70.77K,0.34%
Aug 25  2015,41.36,41.70,42.31,41.00,23.36K,3.07%
Aug 24  2015,40.13,40.99,40.99,39.51,101.72K,-4.09%
Aug 21  2015,41.84,42.00,42.61,41.66,107.00K,-0.92%
Aug 20  2015,42.23,42.01,42.45,41.40,47.97K,-0.73%
Aug 19  2015,42.54,42.62,42.67,39.39,44.44K,-0.19%
Aug 18  2015,42.62,44.70,44.80,41.88,39.39K,-4.16%
Aug 17  2015,44.47,42.74,44.65,42.59,162.46K,4.32%
Aug 14  2015,42.63,42.96,43.57,42.15,68.23K,0.57%
Aug 13  2015,42.39,41.59,42.47,41.08,94.44K,2.69%
Aug 12  2015,41.28,41.50,41.54,40.89,142.11K,-0.48%
Aug 11  2015,41.48,41.85,42.24,41.02,50.07K,-0.58%
Aug 10  2015,41.72,42.40,42.40,41.38,64.87K,-0.67%
Aug 07  2015,42.00,41.31,42.77,41.31,138.91K,1.45%
Aug 06  2015,41.40,41.19,41.99,41.11,102.19K,0.98%
Aug 05  2015,41.00,41.00,41.00,40.84,37.95K,0.02%
Aug 04  2015,40.99,43.00,43.00,40.71,27.29K,4.83%
Jul 31  2015,39.10,38.02,39.10,38.02,36.02K,2.22%
Jul 30  2015,38.25,38.47,40.30,38.16,39.39K,-0.55%
Jul 29  2015,38.46,36.98,38.79,36.98,26.24K,3.64%
Jul 28  2015,37.11,36.73,37.43,36.01,16.10K,3.31%
Jul 27  2015,35.92,36.01,36.22,35.62,46.06K,-1.56%
Jul 24  2015,36.49,36.54,37.36,36.10,30.87K,-0.98%
Jul 23  2015,36.85,37.48,37.48,36.75,18.31K,-1.02%
Jul 22  2015,37.23,37.99,38.20,37.05,12.13K,-2.03%
Jul 21  2015,38.00,38.85,38.96,37.87,14.56K,-1.07%
Jul 20  2015,38.41,39.32,39.32,38.41,10.80K,-1.44%
Jul 17  2015,38.97,39.08,39.26,38.61,12.62K,0.96%
Jul 16  2015,38.60,36.31,38.90,36.31,39.97K,6.69%
Jul 15  2015,36.18,36.02,36.58,36.00,28.06K,0.19%
Jul 14  2015,36.11,36.39,36.39,35.90,45.20K,-1.15%
Jul 13  2015,36.53,37.09,37.09,36.32,93.03K,-1.48%
Jul 10  2015,37.08,35.98,37.75,35.79,42.96K,4.66%
Jul 09  2015,35.43,36.46,36.46,34.35,23.33K,-1.17%
Jul 08  2015,35.85,36.95,37.00,35.59,43.31K,-3.63%
Jul 07  2015,37.20,37.60,38.00,37.00,74.49K,-1.46%
Jul 06  2015,37.75,35.63,37.77,35.63,43.37K,4.89%
Jul 03  2015,35.99,36.60,36.60,35.85,4.59K,-1.40%
Jul 02  2015,36.50,34.87,36.64,34.87,27.74K,5.13%
Jun 30  2015,34.72,32.81,34.94,32.58,25.47K,6.18%
Jun 29  2015,32.70,32.80,33.20,31.89,44.71K,-1.51%
