Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,40.17,40.16,40.38,39.95,729.61K,-0.20%
Apr 18  2016,40.25,39.96,40.30,39.90,1.24M,0.98%
Apr 15  2016,39.86,39.55,39.99,39.54,556.71K,0.81%
Apr 14  2016,39.54,39.56,39.66,39.31,685.98K,0.03%
Apr 13  2016,39.53,39.78,39.78,39.40,576.49K,0.13%
Apr 12  2016,39.48,39.73,39.78,39.32,683.49K,-0.43%
Apr 11  2016,39.65,39.75,40.12,39.60,566.67K,-0.53%
Apr 08  2016,39.86,39.87,40.14,39.76,473.65K,0.38%
Apr 07  2016,39.71,40.17,40.17,39.63,729.97K,-0.92%
Apr 06  2016,40.08,40.50,40.50,39.90,737.82K,-1.04%
Apr 05  2016,40.50,40.68,41.02,40.50,842.13K,-0.78%
Apr 04  2016,40.82,40.98,40.98,40.56,619.52K,0.12%
Apr 01  2016,40.77,40.60,41.09,40.29,929.57K,0.15%
Mar 31  2016,40.71,40.63,41.08,40.54,1.13M,0.59%
Mar 30  2016,40.47,40.44,40.75,40.16,790.49K,0.50%
Mar 29  2016,40.27,40.19,40.40,40.01,652.36K,-0.02%
Mar 28  2016,40.28,40.04,40.36,39.68,627.15K,0.95%
Mar 24  2016,39.90,40.26,40.31,39.67,807.95K,-0.67%
Mar 23  2016,40.17,40.38,40.38,39.78,740.53K,0.55%
Mar 22  2016,39.95,39.65,40.31,39.51,1.09M,0.35%
Mar 21  2016,39.81,39.10,39.83,38.83,815.70K,2.05%
Mar 18  2016,39.01,39.41,39.50,38.94,2.51M,-1.14%
Mar 17  2016,39.46,39.39,39.84,39.18,1.23M,0.66%
Mar 16  2016,39.20,39.37,39.42,39.00,1.53M,0.15%
Mar 15  2016,39.14,39.53,39.65,38.93,1.71M,-1.29%
Mar 14  2016,39.65,40.20,40.30,39.41,1.20M,-1.42%
Mar 11  2016,40.22,40.35,40.50,39.97,784.27K,0.58%
Mar 10  2016,39.99,40.27,40.52,39.81,750.47K,-0.32%
Mar 09  2016,40.12,40.20,40.49,39.68,992.45K,0.12%
Mar 08  2016,40.07,39.83,40.34,39.50,1.16M,1.34%
Mar 07  2016,39.54,39.31,39.83,39.14,986.47K,0.71%
Mar 04  2016,39.26,38.92,39.46,38.62,1.23M,1.00%
Mar 03  2016,38.87,38.75,38.89,38.48,917.18K,0.57%
Mar 02  2016,38.65,38.21,38.66,37.80,1.19M,0.83%
Mar 01  2016,38.33,37.86,38.53,37.74,1.43M,2.19%
Feb 29  2016,37.51,37.51,37.82,37.22,1.58M,0.13%
Feb 26  2016,37.46,38.73,38.73,37.43,1.55M,-2.50%
Feb 25  2016,38.42,38.20,38.63,37.91,1.33M,1.08%
Feb 24  2016,38.01,38.24,38.26,37.66,2.12M,-0.52%
Feb 23  2016,38.21,38.78,38.83,38.03,2.09M,-1.16%
Feb 22  2016,38.66,38.59,38.96,38.32,1.86M,1.02%
Feb 19  2016,38.27,37.94,38.33,37.63,1.41M,0.47%
Feb 18  2016,38.09,37.96,38.20,37.48,2.06M,1.30%
Feb 17  2016,37.60,36.99,37.74,36.68,2.09M,3.01%
Feb 16  2016,36.50,36.55,36.86,36.01,2.02M,0.83%
Feb 12  2016,36.20,36.24,36.46,35.53,2.95M,0.19%
Feb 11  2016,36.13,37.33,37.60,35.87,3.64M,-3.58%
Feb 10  2016,37.47,38.00,38.16,37.26,5.30M,0.89%
Feb 09  2016,37.14,38.30,38.50,36.07,7.09M,-10.25%
Feb 08  2016,41.38,41.21,41.55,41.21,941.03K,-0.22%
Feb 05  2016,41.47,41.32,41.53,41.02,828.53K,0.36%
Feb 04  2016,41.32,40.94,41.58,40.87,1.12M,0.88%
Feb 03  2016,40.96,40.71,41.25,40.71,1.23M,0.24%
Feb 02  2016,40.86,40.40,40.87,40.01,942.27K,0.62%
Feb 01  2016,40.61,40.69,40.72,40.12,646.43K,-0.25%
Jan 29  2016,40.71,40.00,40.71,39.81,1.35M,2.11%
Jan 28  2016,39.87,39.17,39.90,38.93,845.36K,2.36%
Jan 27  2016,38.95,38.49,39.06,38.30,735.84K,1.30%
Jan 26  2016,38.45,38.35,38.74,38.12,473.72K,0.81%
Jan 25  2016,38.14,38.48,38.61,38.06,665.58K,-0.91%
Jan 22  2016,38.49,37.73,38.49,37.59,899.23K,3.05%
Jan 21  2016,37.35,36.63,37.50,36.61,1.17M,2.10%
Jan 20  2016,36.58,36.49,36.85,35.79,811.41K,-0.54%
Jan 19  2016,36.78,36.71,36.84,36.39,768.60K,1.32%
Jan 18  2016,36.30,36.49,36.72,36.11,254.91K,-0.60%
Jan 15  2016,36.52,36.97,37.21,36.06,1.06M,-3.08%
Jan 14  2016,37.68,37.43,37.78,36.89,733.28K,1.21%
Jan 13  2016,37.23,37.92,38.08,37.16,501.91K,-1.30%
Jan 12  2016,37.72,37.50,37.85,37.23,786.10K,0.88%
Jan 11  2016,37.39,37.48,37.62,37.21,389.46K,0.43%
Jan 08  2016,37.23,36.99,37.42,36.63,694.34K,1.39%
Jan 07  2016,36.72,37.00,37.32,36.63,1.04M,-1.92%
Jan 06  2016,37.44,37.25,37.60,37.25,661.59K,0.00%
Jan 05  2016,37.44,37.13,37.46,36.87,607.01K,0.83%
Jan 04  2016,37.13,37.04,37.46,36.45,862.53K,-0.75%
Dec 31  2015,37.41,37.71,37.71,37.22,524.82K,-1.08%
Dec 30  2015,37.82,37.96,37.97,37.75,277.89K,-0.24%
Dec 29  2015,37.91,38.13,38.19,37.73,342.71K,-0.29%
Dec 24  2015,38.02,38.00,38.07,37.85,369.54K,0.42%
Dec 23  2015,37.86,37.81,37.96,37.52,465.33K,0.77%
Dec 22  2015,37.57,37.59,37.73,37.21,732.69K,-0.05%
Dec 21  2015,37.59,38.00,38.09,37.47,790.03K,-0.53%
Dec 18  2015,37.79,37.60,38.10,37.39,1.70M,-0.13%
Dec 17  2015,37.84,38.02,38.08,37.38,684.38K,-0.32%
Dec 16  2015,37.96,36.89,38.04,36.81,1.02M,3.15%
Dec 15  2015,36.80,36.41,36.88,36.09,836.20K,1.74%
Dec 14  2015,36.17,36.44,36.57,35.80,627.57K,-0.55%
Dec 11  2015,36.37,36.40,36.77,36.04,594.64K,-0.90%
Dec 10  2015,36.70,36.38,36.98,36.31,769.16K,1.19%
Dec 09  2015,36.27,36.05,36.45,35.94,884.54K,0.95%
Dec 08  2015,35.93,36.88,36.88,35.51,1.22M,-2.63%
Dec 07  2015,36.90,37.71,37.71,36.84,604.27K,-2.07%
Dec 04  2015,37.68,37.67,38.06,37.27,574.81K,0.27%
Dec 03  2015,37.58,38.10,38.26,37.54,646.41K,-1.05%
Dec 02  2015,37.98,38.23,38.23,37.66,727.04K,-0.29%
Dec 01  2015,38.09,36.95,38.21,36.95,1.06M,3.28%
Nov 30  2015,36.88,37.01,37.20,36.70,800.46K,0.11%
Nov 27  2015,36.84,36.57,36.93,36.48,595.95K,0.96%
Nov 26  2015,36.49,36.89,36.93,36.35,269.19K,-0.49%
Nov 25  2015,36.67,36.98,37.01,36.57,505.92K,-0.46%
Nov 24  2015,36.84,37.67,37.67,36.80,807.81K,-2.46%
Nov 23  2015,37.77,38.01,38.17,37.71,322.46K,-0.61%
Nov 20  2015,38.00,38.28,38.28,37.91,544.60K,-0.26%
Nov 19  2015,38.10,37.72,38.34,37.57,515.95K,0.93%
Nov 18  2015,37.75,37.88,37.89,37.45,474.65K,0.16%
Nov 17  2015,37.69,37.94,38.09,37.38,607.19K,-0.29%
Nov 16  2015,37.80,37.40,37.83,37.27,735.94K,0.80%
Nov 13  2015,37.50,37.45,37.69,37.23,522.03K,0.21%
Nov 12  2015,37.42,38.03,38.09,37.30,673.52K,-1.63%
Nov 11  2015,38.04,38.33,38.45,37.99,396.10K,-0.68%
