Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,88.03,88.77,89.07,87.66,557.39K,1.16%
Apr 18  2016,87.02,88.00,88.14,85.93,414.06K,0.21%
Apr 15  2016,86.84,84.86,86.84,84.23,647.47K,1.82%
Apr 14  2016,85.29,85.72,86.55,83.91,671.27K,-0.96%
Apr 13  2016,86.12,87.27,88.13,85.91,673.52K,-2.41%
Apr 12  2016,88.25,87.92,88.88,86.32,813.82K,1.16%
Apr 11  2016,87.24,85.98,87.54,85.20,990.10K,2.91%
Apr 08  2016,84.77,84.08,85.20,83.71,531.44K,0.34%
Apr 07  2016,84.48,84.45,85.18,83.79,870.48K,2.49%
Apr 06  2016,82.43,81.58,82.76,80.97,562.71K,0.39%
Apr 05  2016,82.11,81.38,82.32,79.47,745.91K,4.35%
Apr 04  2016,78.69,79.55,79.72,77.83,467.51K,-0.84%
Apr 01  2016,79.36,77.82,79.71,77.63,958.59K,-0.50%
Mar 31  2016,79.76,81.46,81.90,79.59,786.51K,-1.89%
Mar 30  2016,81.30,82.80,83.11,80.61,846.45K,-2.70%
Mar 29  2016,83.56,80.92,83.76,80.03,666.43K,4.28%
Mar 28  2016,80.13,80.34,80.44,78.27,590.15K,-1.28%
Mar 24  2016,81.17,80.20,82.58,80.20,792.51K,1.17%
Mar 23  2016,80.23,81.42,81.65,79.54,1.16M,-3.65%
Mar 22  2016,83.27,85.71,86.48,83.04,660.59K,-1.86%
Mar 21  2016,84.85,85.09,86.29,83.80,539.53K,-0.77%
Mar 18  2016,85.51,83.85,86.20,83.37,1.74M,0.40%
Mar 17  2016,85.17,86.60,88.89,84.91,1.72M,-1.86%
Mar 16  2016,86.78,81.22,86.97,80.01,1.40M,6.57%
Mar 15  2016,81.43,78.37,81.46,77.51,975.09K,3.60%
Mar 14  2016,78.60,82.00,82.71,78.24,963.02K,-3.17%
Mar 11  2016,81.17,80.98,83.81,80.36,1.07M,0.38%
Mar 10  2016,80.86,77.76,81.33,77.50,1.01M,5.29%
Mar 09  2016,76.80,75.74,77.65,74.50,1.02M,0.39%
Mar 08  2016,76.50,78.48,78.50,75.37,717.13K,-0.16%
Mar 07  2016,76.62,77.74,78.66,75.88,1.24M,0.38%
Mar 04  2016,76.33,77.94,81.76,75.42,1.54M,-1.25%
Mar 03  2016,77.30,78.42,79.26,76.76,1.34M,-0.43%
Mar 02  2016,77.63,77.30,77.97,76.52,845.96K,0.69%
Mar 01  2016,77.10,80.59,80.59,75.78,1.59M,-4.52%
Feb 29  2016,80.75,80.45,81.82,80.17,1.27M,0.82%
Feb 26  2016,80.09,80.06,81.50,79.45,1.13M,-1.73%
Feb 25  2016,81.50,80.72,82.62,79.82,962.78K,0.39%
Feb 24  2016,81.18,83.14,85.86,80.20,1.99M,-0.48%
Feb 23  2016,81.57,80.87,82.00,79.94,1.10M,2.21%
Feb 22  2016,79.81,78.04,80.78,77.75,3.77M,1.35%
Feb 19  2016,78.75,78.12,80.20,77.75,1.93M,-0.05%
Feb 18  2016,78.79,73.02,78.84,72.72,1.74M,8.45%
Feb 17  2016,72.65,73.21,73.78,71.46,1.12M,-0.18%
Feb 16  2016,72.78,72.90,75.82,72.24,1.07M,-3.50%
Feb 12  2016,75.42,74.00,75.93,73.13,1.06M,0.79%
Feb 11  2016,74.83,70.43,75.70,67.94,2.50M,6.70%
Feb 10  2016,70.13,70.97,71.48,67.97,1.25M,-1.92%
Feb 09  2016,71.50,74.99,75.00,71.48,1.18M,-3.53%
Feb 08  2016,74.12,71.51,75.47,71.32,1.45M,6.45%
Feb 05  2016,69.63,66.01,69.63,65.52,821.06K,3.82%
Feb 04  2016,67.07,65.61,67.95,65.51,788.77K,3.01%
Feb 03  2016,65.11,62.25,65.74,62.17,803.39K,4.97%
Feb 02  2016,62.03,62.36,63.20,60.90,461.28K,-1.01%
Feb 01  2016,62.66,63.22,63.69,62.29,597.38K,1.02%
Jan 29  2016,62.03,60.40,62.58,59.90,768.63K,3.21%
Jan 28  2016,60.10,60.66,61.18,59.50,609.87K,-2.26%
Jan 27  2016,61.49,61.13,62.10,60.41,469.08K,0.31%
Jan 26  2016,61.30,61.29,62.39,61.00,738.35K,0.94%
Jan 25  2016,60.73,61.11,61.67,60.27,518.11K,0.96%
Jan 22  2016,60.15,59.76,60.35,58.67,598.56K,-1.17%
Jan 21  2016,60.86,61.15,61.26,59.41,678.35K,-1.19%
Jan 20  2016,61.59,62.97,63.63,61.09,1.18M,-0.26%
Jan 19  2016,61.75,65.32,65.57,60.80,839.80K,-5.35%
Jan 18  2016,65.24,65.24,65.86,64.91,96.03K,-0.62%
Jan 15  2016,65.65,67.82,68.10,65.01,1.18M,-0.98%
Jan 14  2016,66.30,66.96,68.74,65.31,747.77K,-1.41%
Jan 13  2016,67.25,66.55,67.26,65.23,687.55K,0.98%
Jan 12  2016,66.60,67.40,67.42,65.96,641.75K,-2.00%
Jan 11  2016,67.96,69.15,69.90,67.17,506.83K,-1.58%
Jan 08  2016,69.05,68.05,70.12,67.94,466.97K,-0.76%
Jan 07  2016,69.58,68.03,69.93,67.40,1.14M,3.62%
Jan 06  2016,67.15,65.22,67.34,65.20,1.03M,4.87%
Jan 05  2016,64.03,65.71,65.71,63.64,585.81K,-1.96%
Jan 04  2016,65.31,64.60,65.52,64.56,515.96K,3.18%
Dec 31  2015,63.30,62.97,63.97,62.64,293.06K,-0.46%
Dec 30  2015,63.59,63.33,63.90,62.75,273.81K,-1.00%
Dec 29  2015,64.23,64.80,65.06,63.90,298.90K,-3.18%
Dec 24  2015,66.34,64.60,66.50,64.60,160.99K,2.71%
Dec 23  2015,64.59,65.23,65.75,63.85,241.76K,0.25%
Dec 22  2015,64.43,64.94,65.90,63.93,274.32K,-1.11%
Dec 21  2015,65.15,65.33,66.03,64.37,349.94K,1.78%
Dec 18  2015,64.01,62.97,64.76,62.95,1.24M,2.17%
Dec 17  2015,62.65,63.87,64.18,62.49,655.46K,-4.13%
Dec 16  2015,65.35,64.64,65.56,63.95,779.50K,2.98%
Dec 15  2015,63.46,63.28,64.05,62.37,575.90K,0.46%
Dec 14  2015,63.17,66.50,66.65,63.12,798.72K,-5.22%
Dec 11  2015,66.65,64.43,67.45,64.25,553.92K,2.43%
Dec 10  2015,65.07,63.86,65.98,63.84,451.96K,1.21%
Dec 09  2015,64.29,66.02,66.11,63.76,675.56K,-1.46%
Dec 08  2015,65.24,65.43,65.85,64.68,358.78K,-0.03%
Dec 07  2015,65.26,66.91,67.96,65.22,710.43K,-4.04%
Dec 04  2015,68.01,65.09,68.06,65.08,714.99K,5.43%
Dec 03  2015,64.51,65.57,65.73,64.21,426.33K,-0.37%
Dec 02  2015,64.75,64.50,65.52,63.81,540.61K,-0.48%
Dec 01  2015,65.06,64.22,65.48,63.65,644.51K,1.36%
Nov 30  2015,64.19,63.66,64.48,63.33,686.81K,1.73%
Nov 27  2015,63.10,62.95,63.92,62.81,166.88K,-1.65%
Nov 26  2015,64.16,63.99,64.39,63.81,66.17K,0.30%
Nov 25  2015,63.97,63.33,64.98,63.15,452.46K,0.33%
Nov 24  2015,63.76,63.99,64.40,63.33,589.47K,1.35%
Nov 23  2015,62.91,62.51,63.53,62.29,365.57K,0.29%
Nov 20  2015,62.73,64.45,64.72,62.44,393.27K,-1.91%
Nov 19  2015,63.95,64.07,64.75,63.44,277.20K,0.61%
Nov 18  2015,63.56,61.76,63.74,61.08,395.15K,3.47%
Nov 17  2015,61.43,62.51,62.87,60.45,385.46K,-2.40%
Nov 16  2015,62.94,63.06,63.76,62.42,312.89K,0.02%
Nov 13  2015,62.93,62.99,63.74,62.15,315.49K,0.70%
Nov 12  2015,62.49,62.88,64.38,62.09,447.43K,0.00%
Nov 11  2015,62.49,61.55,62.72,61.34,355.68K,1.63%
Nov 10  2015,61.49,61.77,62.36,61.13,514.64K,-1.85%
Nov 09  2015,62.65,61.39,62.78,61.17,567.27K,1.84%
Nov 06  2015,61.52,62.15,62.42,61.15,656.43K,-3.59%
Nov 05  2015,63.81,66.15,66.15,63.13,700.88K,-3.17%
Nov 04  2015,65.90,66.19,67.55,65.33,557.12K,0.58%
Nov 03  2015,65.52,65.23,65.78,64.40,471.48K,-0.70%
Nov 02  2015,65.98,65.90,66.54,65.35,450.51K,-0.51%
Oct 30  2015,66.32,67.71,68.27,66.25,646.93K,-2.07%
Oct 29  2015,67.72,69.77,70.25,66.96,552.80K,-4.23%
Oct 28  2015,70.71,72.00,72.90,69.66,681.20K,-1.02%
Oct 27  2015,71.44,69.71,71.55,69.71,615.69K,2.06%
Oct 26  2015,70.00,69.82,70.14,69.19,540.48K,0.00%
Oct 23  2015,70.00,69.61,70.47,68.22,556.53K,1.48%
Oct 22  2015,68.98,67.20,69.13,67.19,398.08K,2.13%
Oct 21  2015,67.54,67.09,68.29,67.09,607.26K,-1.26%
Oct 20  2015,68.40,67.30,68.77,66.28,738.00K,3.64%
Oct 19  2015,66.00,66.91,67.45,65.59,511.31K,-1.73%
Oct 16  2015,67.16,67.20,68.53,66.75,762.21K,0.51%
Oct 15  2015,66.82,66.98,67.51,65.29,1.01M,0.42%
Oct 14  2015,66.54,65.00,66.99,64.60,1.11M,4.18%
Oct 13  2015,63.87,62.93,65.15,62.30,799.32K,0.93%
Oct 09  2015,63.28,63.95,64.11,62.01,948.45K,1.38%
Oct 08  2015,62.42,63.89,64.84,62.33,877.12K,-1.34%
Oct 07  2015,63.27,64.35,64.35,61.30,602.75K,0.64%
