Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,11.88,11.35,11.92,11.28,419.87K,5.41%
Apr 18  2016,11.27,10.39,11.33,10.39,378.45K,4.35%
Apr 15  2016,10.80,10.71,10.90,10.53,266.11K,-0.83%
Apr 14  2016,10.89,11.10,11.20,10.88,462.32K,-2.16%
Apr 13  2016,11.13,11.23,11.35,11.06,342.56K,-0.71%
Apr 12  2016,11.21,10.58,11.29,10.47,348.75K,6.76%
Apr 11  2016,10.50,10.40,10.63,10.40,417.15K,1.94%
Apr 08  2016,10.30,10.07,10.38,10.03,406.69K,4.36%
Apr 07  2016,9.87,9.91,10.01,9.75,248.60K,-1.00%
Apr 06  2016,9.97,9.90,10.09,9.85,277.04K,1.53%
Apr 05  2016,9.82,9.75,9.92,9.67,364.87K,0.10%
Apr 04  2016,9.81,10.20,10.29,9.66,374.37K,-4.76%
Apr 01  2016,10.30,10.32,10.42,10.23,282.98K,-2.28%
Mar 31  2016,10.54,10.37,10.56,10.28,169.88K,1.54%
Mar 30  2016,10.38,10.51,10.67,10.33,176.46K,0.00%
Mar 29  2016,10.38,10.51,10.52,10.23,243.48K,-2.99%
Mar 28  2016,10.70,11.00,11.15,10.42,225.54K,-2.64%
Mar 24  2016,10.99,10.47,11.02,10.45,136.70K,3.29%
Mar 23  2016,10.64,10.58,10.70,10.47,276.86K,-0.19%
Mar 22  2016,10.66,10.46,10.77,10.46,111.89K,0.28%
Mar 21  2016,10.63,10.55,10.68,10.32,197.62K,0.47%
Mar 18  2016,10.58,10.85,11.01,10.28,339.73K,-2.22%
Mar 17  2016,10.82,10.64,10.85,10.56,155.82K,3.15%
Mar 16  2016,10.49,10.33,10.61,10.28,287.83K,2.04%
Mar 15  2016,10.28,10.60,10.60,10.12,226.71K,-3.56%
Mar 14  2016,10.66,10.98,10.98,10.58,137.30K,-4.14%
Mar 11  2016,11.12,11.09,11.30,11.09,113.36K,0.63%
Mar 10  2016,11.05,10.95,11.12,10.81,203.64K,0.82%
Mar 09  2016,10.96,11.00,11.10,10.70,274.67K,1.95%
Mar 08  2016,10.75,11.44,11.44,10.73,340.64K,-6.44%
Mar 07  2016,11.49,11.25,11.65,11.23,522.19K,3.61%
Mar 04  2016,11.09,11.86,12.05,10.80,792.38K,-6.26%
Mar 03  2016,11.83,11.50,11.88,11.43,251.11K,3.86%
Mar 02  2016,11.39,11.00,11.45,10.80,284.06K,3.55%
Mar 01  2016,11.00,10.80,11.07,10.24,214.23K,2.90%
Feb 29  2016,10.69,10.55,10.79,10.46,180.46K,1.81%
Feb 26  2016,10.50,10.23,10.65,10.23,231.92K,3.65%
Feb 25  2016,10.13,10.20,10.27,9.97,212.52K,-1.75%
Feb 24  2016,10.31,10.00,10.35,9.93,136.43K,1.58%
Feb 23  2016,10.15,10.27,10.39,10.00,224.87K,-2.12%
Feb 22  2016,10.37,10.20,10.48,10.19,259.73K,3.49%
Feb 19  2016,10.02,10.15,10.29,9.95,145.02K,-2.53%
Feb 18  2016,10.28,10.67,10.80,10.23,280.09K,-2.84%
Feb 17  2016,10.58,10.16,10.78,10.16,196.21K,5.17%
Feb 16  2016,10.06,10.20,10.20,9.80,154.18K,-0.10%
Feb 12  2016,10.07,10.00,10.27,9.85,137.45K,4.14%
Feb 11  2016,9.67,9.39,9.79,9.25,244.13K,1.15%
Feb 10  2016,9.56,9.71,9.84,9.40,289.05K,-0.73%
Feb 09  2016,9.63,10.20,10.27,9.60,289.01K,-6.50%
Feb 08  2016,10.30,10.17,10.68,10.17,108.95K,-1.72%
Feb 05  2016,10.48,10.36,10.66,10.12,161.09K,-0.19%
Feb 04  2016,10.50,10.47,10.78,10.27,236.90K,1.06%
Feb 03  2016,10.39,10.14,10.48,9.47,358.77K,3.49%
Feb 02  2016,10.04,10.01,10.23,9.89,437.62K,-3.00%
Feb 01  2016,10.35,10.28,10.46,10.18,418.95K,-3.36%
Jan 29  2016,10.71,10.50,10.71,10.37,934.83K,3.48%
Jan 28  2016,10.35,10.47,10.62,9.98,819.36K,0.98%
Jan 27  2016,10.25,10.05,10.43,9.92,432.97K,1.08%
Jan 26  2016,10.14,10.14,10.40,9.91,398.89K,1.40%
Jan 25  2016,10.00,9.92,10.58,9.91,576.27K,-4.31%
Jan 22  2016,10.45,9.98,10.47,9.89,369.27K,8.85%
Jan 21  2016,9.60,8.95,9.74,8.87,473.98K,5.61%
Jan 20  2016,9.09,8.41,9.23,8.29,609.26K,2.71%
Jan 19  2016,8.85,8.58,9.05,8.49,507.05K,3.63%
Jan 18  2016,8.54,8.63,8.70,8.36,182.80K,-3.28%
Jan 15  2016,8.83,8.75,9.05,8.55,667.00K,-2.86%
Jan 14  2016,9.09,8.86,9.13,8.57,411.21K,2.71%
Jan 13  2016,8.85,8.97,9.13,8.69,476.08K,1.14%
Jan 12  2016,8.75,9.38,9.42,8.50,705.67K,-5.61%
Jan 11  2016,9.27,9.50,9.50,9.16,268.38K,-3.64%
Jan 08  2016,9.62,9.92,9.92,9.34,390.58K,-1.23%
Jan 07  2016,9.74,10.10,10.23,9.66,297.49K,-5.25%
