Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,32.24,31.94,32.32,31.83,98.15K,0.81%
Apr 18  2016,31.98,32.24,32.50,31.60,71.58K,-0.68%
Apr 15  2016,32.20,32.18,32.24,31.86,60.12K,-0.22%
Apr 14  2016,32.27,31.96,32.85,31.89,230.12K,1.35%
Apr 13  2016,31.84,31.53,31.94,31.39,123.73K,1.18%
Apr 12  2016,31.47,31.54,31.54,31.21,84.55K,0.22%
Apr 11  2016,31.40,31.20,31.55,31.06,210.01K,0.48%
Apr 08  2016,31.25,31.02,31.66,30.98,156.39K,0.87%
Apr 07  2016,30.98,31.20,31.39,30.78,133.38K,-1.02%
Apr 06  2016,31.30,30.84,31.44,30.46,140.80K,1.39%
Apr 05  2016,30.87,30.69,31.07,30.47,93.96K,-0.10%
Apr 04  2016,30.90,30.65,31.04,30.35,90.48K,1.05%
Apr 01  2016,30.58,30.52,30.77,30.11,121.92K,-0.10%
Mar 31  2016,30.61,30.73,30.83,30.43,79.61K,0.33%
Mar 30  2016,30.51,30.28,31.04,30.13,281.35K,1.80%
Mar 29  2016,29.97,29.32,30.03,29.25,82.46K,1.80%
Mar 28  2016,29.44,29.29,29.68,29.05,229.81K,1.66%
Mar 24  2016,28.96,30.11,30.11,28.76,228.90K,-4.20%
Mar 23  2016,30.23,29.70,30.31,29.63,163.81K,1.17%
Mar 22  2016,29.88,30.19,30.40,29.79,156.58K,-1.26%
Mar 21  2016,30.26,30.22,30.46,29.74,230.16K,1.95%
Mar 18  2016,29.68,31.17,31.24,29.38,1.48M,-4.54%
Mar 17  2016,31.09,30.99,31.42,30.81,497.84K,0.75%
Mar 16  2016,30.86,29.93,30.93,29.78,405.00K,3.63%
Mar 15  2016,29.78,29.68,29.81,29.36,341.62K,0.17%
Mar 14  2016,29.73,29.87,30.14,29.54,372.44K,0.88%
Mar 11  2016,29.47,28.89,29.58,28.83,105.14K,2.72%
Mar 10  2016,28.69,28.75,29.13,28.40,135.69K,-0.35%
Mar 09  2016,28.79,28.91,29.12,28.60,113.61K,0.31%
Mar 08  2016,28.70,29.15,29.27,28.54,118.85K,-2.08%
Mar 07  2016,29.31,29.44,30.12,29.20,226.16K,-0.44%
Mar 04  2016,29.44,28.67,29.48,28.30,302.14K,3.33%
Mar 03  2016,28.49,27.70,28.64,27.63,196.49K,3.45%
Mar 02  2016,27.54,27.77,27.96,27.29,142.03K,-0.65%
Mar 01  2016,27.72,27.46,28.26,27.46,212.40K,1.13%
Feb 29  2016,27.41,27.13,27.72,26.80,141.85K,1.67%
Feb 26  2016,26.96,27.00,27.23,26.68,211.68K,0.56%
Feb 25  2016,26.81,26.55,26.95,26.23,169.19K,0.94%
Feb 24  2016,26.56,25.96,26.68,25.40,262.97K,2.27%
Feb 23  2016,25.97,26.00,26.43,25.90,152.83K,-0.12%
Feb 22  2016,26.00,25.65,26.45,25.65,160.48K,1.96%
Feb 19  2016,25.50,25.70,25.80,24.98,182.69K,-1.62%
Feb 18  2016,25.92,25.50,26.13,25.27,168.98K,1.85%
Feb 17  2016,25.45,24.70,25.62,24.45,218.61K,3.75%
Feb 16  2016,24.53,24.20,24.67,23.56,220.36K,2.12%
Feb 12  2016,24.02,23.78,24.24,23.54,146.32K,3.05%
Feb 11  2016,23.31,23.54,23.78,23.10,149.68K,-3.64%
Feb 10  2016,24.19,24.22,24.35,23.84,197.74K,1.47%
Feb 09  2016,23.84,24.71,24.83,23.60,232.51K,-3.99%
Feb 08  2016,24.83,24.88,24.94,24.58,191.84K,-0.64%
Feb 05  2016,24.99,24.62,25.88,24.61,394.03K,4.52%
Feb 04  2016,23.91,23.50,24.14,23.50,93.57K,1.87%
Feb 03  2016,23.47,23.53,23.97,23.02,106.74K,0.43%
Feb 02  2016,23.37,23.64,23.64,23.08,107.40K,-1.81%
Feb 01  2016,23.80,24.09,24.24,23.54,155.84K,-1.77%
Jan 29  2016,24.23,23.92,24.25,23.47,276.65K,1.34%
Jan 28  2016,23.91,23.39,23.95,23.31,89.87K,2.88%
Jan 27  2016,23.24,22.57,23.78,22.47,125.78K,2.70%
Jan 26  2016,22.63,23.05,23.05,22.60,192.21K,-1.18%
Jan 25  2016,22.90,24.06,24.06,22.77,266.71K,-4.70%
Jan 22  2016,24.03,23.83,24.56,23.77,130.59K,3.04%
Jan 21  2016,23.32,22.32,23.45,22.25,117.02K,4.71%
Jan 20  2016,22.27,22.99,23.00,22.14,377.20K,-4.50%
Jan 19  2016,23.32,23.24,24.08,23.19,138.72K,2.10%
Jan 18  2016,22.84,23.69,23.69,22.74,51.67K,-2.06%
Jan 15  2016,23.32,23.58,23.64,23.04,165.64K,-3.08%
Jan 14  2016,24.06,23.88,24.17,23.27,132.13K,0.97%
Jan 13  2016,23.83,24.85,24.85,23.70,142.12K,0.42%
Jan 12  2016,23.73,24.14,24.49,23.31,203.51K,-0.92%
Jan 11  2016,23.95,24.69,24.69,23.75,177.06K,-2.80%
Jan 08  2016,24.64,25.33,25.60,24.59,202.62K,-0.69%
Jan 07  2016,24.81,25.00,25.12,24.51,215.04K,-2.05%
Jan 06  2016,25.33,25.84,26.14,25.26,326.31K,-2.43%
Jan 05  2016,25.96,26.17,26.61,25.91,138.54K,-0.76%
Jan 04  2016,26.16,26.27,26.34,25.91,151.32K,-1.65%
Dec 31  2015,26.60,26.27,26.62,25.89,212.95K,2.03%
Dec 30  2015,26.07,26.95,26.99,25.85,210.17K,-2.14%
Dec 29  2015,26.64,27.16,27.16,26.21,139.73K,-0.71%
Dec 24  2015,26.83,26.55,26.84,26.46,52.83K,1.02%
Dec 23  2015,26.56,26.19,26.63,25.85,127.46K,1.96%
Dec 22  2015,26.05,26.01,26.25,25.56,294.70K,0.31%
Dec 21  2015,25.97,26.81,27.14,25.66,158.14K,-2.88%
Dec 18  2015,26.74,27.02,27.02,26.41,187.34K,-0.59%
Dec 17  2015,26.90,27.00,27.37,26.63,170.82K,-0.41%
Dec 16  2015,27.01,26.98,27.32,26.51,114.75K,1.05%
Dec 15  2015,26.73,26.52,26.88,26.14,375.78K,1.29%
Dec 14  2015,26.39,26.56,26.56,25.53,206.56K,-0.64%
Dec 11  2015,26.56,26.96,27.08,26.12,132.62K,-1.74%
Dec 10  2015,27.03,26.80,27.24,26.78,116.99K,1.27%
Dec 09  2015,26.69,27.08,27.65,26.25,259.41K,-1.40%
Dec 08  2015,27.07,27.64,27.96,27.01,134.16K,-2.94%
Dec 07  2015,27.89,29.08,29.17,27.88,109.13K,-4.06%
Dec 04  2015,29.07,28.91,29.39,28.60,71.90K,0.55%
Dec 03  2015,28.91,29.87,29.87,28.73,94.38K,-3.02%
Dec 02  2015,29.81,30.18,30.60,29.58,70.80K,-0.90%
Dec 01  2015,30.08,29.74,30.20,29.65,343.64K,2.07%
Nov 30  2015,29.47,29.76,29.76,29.35,315.98K,-0.10%
Nov 27  2015,29.50,29.90,29.90,29.39,47.55K,-0.97%
Nov 26  2015,29.79,29.61,29.92,29.58,21.88K,0.51%
Nov 25  2015,29.64,29.75,30.00,29.53,70.74K,-0.13%
Nov 24  2015,29.68,29.98,29.98,29.15,136.39K,-0.84%
Nov 23  2015,29.93,29.42,30.02,29.42,57.91K,1.53%
Nov 20  2015,29.48,29.75,29.75,29.14,95.07K,-0.57%
Nov 19  2015,29.65,29.81,30.00,29.56,89.51K,-0.64%
Nov 18  2015,29.84,30.47,30.47,29.78,50.45K,-0.27%
Nov 17  2015,29.92,30.05,30.06,29.80,144.52K,0.10%
Nov 16  2015,29.89,30.00,30.17,29.73,299.03K,-0.40%
Nov 13  2015,30.01,30.10,30.51,29.66,59.90K,-0.50%
Nov 12  2015,30.16,30.68,30.68,30.06,169.94K,-1.60%
Nov 11  2015,30.65,30.72,30.82,30.49,63.91K,-0.65%
Nov 10  2015,30.85,30.75,30.91,30.34,95.34K,-0.03%
Nov 09  2015,30.86,30.95,30.96,30.56,96.43K,0.36%
Nov 06  2015,30.75,30.85,31.07,30.65,87.73K,-0.45%
Nov 05  2015,30.89,31.28,31.28,30.80,117.85K,-0.58%
Nov 04  2015,31.07,30.99,31.16,30.78,194.92K,1.21%
