Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,111.88,112.71,112.71,111.16,86.15K,-0.74%
Apr 18  2016,112.71,111.94,112.80,111.67,70.96K,0.48%
Apr 15  2016,112.17,112.01,112.70,111.47,53.17K,-0.04%
Apr 14  2016,112.21,110.76,112.21,110.50,113.06K,1.43%
Apr 13  2016,110.63,111.63,111.89,109.83,78.29K,-0.18%
Apr 12  2016,110.83,111.23,111.64,110.40,74.96K,0.01%
Apr 11  2016,110.82,111.37,112.00,110.65,57.50K,-0.43%
Apr 08  2016,111.30,111.04,112.00,110.69,88.03K,0.95%
Apr 07  2016,110.25,111.75,112.03,110.19,210.30K,-1.09%
Apr 06  2016,111.47,114.10,114.10,111.16,203.79K,-2.38%
Apr 05  2016,114.19,115.68,116.03,113.94,70.29K,-1.80%
Apr 04  2016,116.28,116.20,116.86,115.95,43.66K,0.22%
Apr 01  2016,116.03,116.30,116.68,115.42,162.80K,-0.21%
Mar 31  2016,116.28,117.04,117.77,115.62,139.10K,-0.65%
Mar 30  2016,117.04,116.46,117.76,115.70,126.03K,0.88%
Mar 29  2016,116.02,116.25,117.20,115.61,124.31K,-0.46%
Mar 28  2016,116.56,115.95,117.01,115.76,63.39K,0.52%
Mar 24  2016,115.96,115.84,116.77,115.19,115.00K,0.04%
Mar 23  2016,115.91,116.74,116.74,115.23,87.52K,0.13%
Mar 22  2016,115.76,115.15,116.85,114.72,132.67K,0.17%
Mar 21  2016,115.56,115.21,116.37,114.98,109.49K,0.40%
Mar 18  2016,115.10,117.02,120.10,114.58,275.56K,-1.96%
Mar 17  2016,117.40,116.20,117.65,115.05,197.14K,1.96%
Mar 16  2016,115.14,113.99,116.31,113.33,182.18K,1.14%
Mar 15  2016,113.84,112.16,113.92,111.75,110.00K,1.59%
Mar 14  2016,112.06,110.47,112.70,110.39,113.62K,1.45%
Mar 11  2016,110.46,110.97,111.40,110.20,135.41K,-0.12%
Mar 10  2016,110.59,111.62,111.91,109.05,104.84K,-0.65%
Mar 09  2016,111.31,112.94,113.04,111.16,122.65K,-1.16%
Mar 08  2016,112.62,111.47,113.49,111.02,163.49K,1.32%
Mar 07  2016,111.15,110.53,113.25,109.35,140.23K,0.34%
Mar 04  2016,110.77,110.65,111.10,109.69,110.14K,0.24%
Mar 03  2016,110.50,110.31,111.17,109.22,131.26K,0.17%
Mar 02  2016,110.31,112.86,112.87,108.77,180.55K,-2.55%
Mar 01  2016,113.20,110.59,113.73,109.08,115.24K,2.77%
Feb 29  2016,110.15,111.23,111.50,108.63,158.11K,-0.91%
Feb 26  2016,111.16,109.76,111.38,109.66,73.04K,1.48%
Feb 25  2016,109.54,108.92,109.60,107.18,116.36K,0.74%
Feb 24  2016,108.73,108.16,109.24,106.91,94.21K,-0.06%
Feb 23  2016,108.79,108.01,109.02,107.73,80.87K,0.72%
Feb 22  2016,108.01,108.09,108.93,107.45,97.14K,0.52%
Feb 19  2016,107.45,107.43,108.15,105.89,143.02K,-0.38%
Feb 18  2016,107.86,106.23,108.25,106.03,124.93K,1.76%
Feb 17  2016,105.99,104.98,106.35,103.91,128.00K,1.85%
Feb 16  2016,104.06,103.97,104.74,102.41,87.57K,1.29%
Feb 12  2016,102.73,102.38,102.93,101.67,87.39K,0.53%
Feb 11  2016,102.19,101.67,102.50,101.27,65.49K,-1.18%
Feb 10  2016,103.41,103.57,104.77,103.17,70.67K,0.38%
Feb 09  2016,103.02,103.01,103.57,101.05,112.75K,-0.23%
Feb 08  2016,103.26,103.70,103.76,102.37,60.22K,-0.72%
Feb 05  2016,104.01,105.83,105.83,103.75,119.17K,-1.28%
Feb 04  2016,105.36,107.20,107.33,105.36,105.28K,-1.52%
Feb 03  2016,106.99,107.14,107.61,105.65,79.21K,1.02%
Feb 02  2016,105.91,105.69,106.86,104.70,124.85K,0.03%
Feb 01  2016,105.88,106.83,107.98,105.32,120.53K,-1.97%
Jan 29  2016,108.01,107.23,108.27,106.16,134.42K,1.54%
Jan 28  2016,106.37,105.77,106.97,105.00,105.92K,1.25%
Jan 27  2016,105.06,104.83,106.86,104.68,145.45K,0.25%
Jan 26  2016,104.80,106.33,106.94,104.50,111.26K,-1.47%
Jan 25  2016,106.36,106.26,107.43,105.42,93.06K,0.56%
Jan 22  2016,105.77,105.63,106.00,104.52,100.28K,1.14%
Jan 21  2016,104.58,101.86,104.99,101.86,156.93K,2.92%
Jan 20  2016,101.61,101.91,102.50,99.25,226.04K,-1.00%
Jan 19  2016,102.64,101.83,102.92,100.77,117.60K,1.51%
Jan 18  2016,101.11,102.50,103.40,100.77,73.27K,-2.61%
Jan 15  2016,103.82,102.51,103.97,102.50,126.01K,-0.82%
Jan 14  2016,104.68,102.13,104.76,101.75,118.59K,2.74%
Jan 13  2016,101.89,102.78,104.09,101.80,102.63K,-0.27%
Jan 12  2016,102.17,103.94,104.61,101.43,154.43K,-1.26%
Jan 11  2016,103.47,104.55,104.64,102.44,115.13K,-0.67%
Jan 08  2016,104.17,104.31,105.35,103.84,134.62K,0.06%
Jan 07  2016,104.11,103.49,104.34,103.14,126.32K,-0.73%
Jan 06  2016,104.88,102.21,105.09,102.21,275.40K,1.85%
Jan 05  2016,102.97,105.27,105.48,102.55,187.79K,-2.20%
Jan 04  2016,105.29,105.59,106.13,104.25,86.07K,-1.54%
Dec 31  2015,106.94,108.12,108.38,106.29,87.60K,-1.50%
Dec 30  2015,108.57,109.14,109.30,108.29,51.15K,-0.58%
Dec 29  2015,109.20,108.20,109.77,107.55,76.72K,1.76%
Dec 24  2015,107.31,107.01,108.25,107.01,31.92K,0.13%
Dec 23  2015,107.17,108.25,108.25,106.01,63.32K,-0.58%
Dec 22  2015,107.79,107.58,107.95,105.93,108.88K,0.25%
Dec 21  2015,107.52,107.75,108.55,106.80,134.51K,0.32%
Dec 18  2015,107.18,106.50,107.62,106.40,277.16K,0.22%
Dec 17  2015,106.94,107.37,107.87,105.73,135.32K,-0.34%
Dec 16  2015,107.31,105.54,107.40,105.46,184.29K,1.91%
Dec 15  2015,105.30,106.22,106.22,104.44,252.03K,0.29%
Dec 14  2015,105.00,105.46,105.98,104.24,416.46K,0.14%
Dec 11  2015,104.85,106.09,106.75,104.67,346.60K,-1.83%
Dec 10  2015,106.80,105.70,107.72,105.40,440.15K,-0.74%
Dec 09  2015,107.60,107.06,107.64,106.00,277.74K,0.16%
Dec 08  2015,107.43,106.94,107.69,106.17,164.74K,-0.92%
Dec 07  2015,108.43,106.70,108.65,106.17,183.60K,1.62%
Dec 04  2015,106.70,108.12,108.67,106.23,155.53K,-1.10%
Dec 03  2015,107.89,109.85,109.85,107.25,114.98K,-1.41%
Dec 02  2015,109.43,109.48,110.11,108.36,190.86K,0.14%
Dec 01  2015,109.28,109.73,110.32,108.97,263.09K,0.05%
Nov 30  2015,109.23,110.07,110.39,108.96,336.87K,-0.46%
Nov 27  2015,109.73,111.98,112.00,108.81,121.25K,-2.06%
Nov 26  2015,112.04,113.00,113.00,111.29,77.89K,-1.02%
Nov 25  2015,113.19,110.96,114.78,110.65,544.96K,2.90%
Nov 24  2015,110.00,109.39,111.12,108.21,218.31K,1.26%
Nov 23  2015,108.63,108.51,109.29,108.26,130.12K,0.19%
Nov 20  2015,108.42,109.25,109.25,107.96,109.29K,-0.41%
Nov 19  2015,108.87,110.04,110.19,107.42,135.95K,-1.06%
