Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,17.52,17.10,17.59,17.00,399.21K,3.55%
Apr 18  2016,16.92,16.01,16.97,16.00,279.57K,3.23%
Apr 15  2016,16.39,16.68,16.70,16.22,404.07K,-2.61%
Apr 14  2016,16.83,17.25,17.30,16.75,227.12K,-2.09%
Apr 13  2016,17.19,17.31,17.50,17.13,326.12K,-0.52%
Apr 12  2016,17.28,17.45,17.57,17.18,412.42K,-0.29%
Apr 11  2016,17.33,17.25,17.45,17.22,207.54K,1.76%
Apr 08  2016,17.03,16.95,17.19,16.83,145.18K,2.53%
Apr 07  2016,16.61,16.93,17.00,16.48,183.19K,-2.06%
Apr 06  2016,16.96,17.30,17.42,16.87,276.94K,-0.76%
Apr 05  2016,17.09,17.30,17.38,17.05,236.82K,-1.61%
Apr 04  2016,17.37,17.42,17.74,17.20,382.01K,-0.57%
Apr 01  2016,17.47,16.91,17.55,16.77,348.29K,1.57%
Mar 31  2016,17.20,17.25,17.44,16.95,305.55K,-0.92%
Mar 30  2016,17.36,17.82,17.94,17.31,326.22K,-1.59%
Mar 29  2016,17.64,17.31,17.66,17.17,185.01K,-0.73%
Mar 28  2016,17.77,18.06,18.06,17.56,147.80K,-0.50%
Mar 24  2016,17.86,17.64,17.95,17.47,187.78K,0.34%
Mar 23  2016,17.80,18.63,18.69,17.69,320.67K,-4.56%
Mar 22  2016,18.65,18.24,18.74,18.16,165.16K,1.86%
Mar 21  2016,18.31,18.31,18.58,17.97,243.84K,-0.38%
Mar 18  2016,18.38,18.96,18.96,18.27,407.97K,-1.18%
Mar 17  2016,18.60,18.44,18.79,18.38,301.20K,2.03%
Mar 16  2016,18.23,17.76,18.33,17.71,285.65K,3.70%
Mar 15  2016,17.58,18.02,18.09,17.34,308.15K,-3.51%
Mar 14  2016,18.22,18.01,18.30,17.85,173.77K,0.16%
Mar 11  2016,18.19,18.20,18.38,17.90,195.66K,2.08%
