Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,38.79,39.05,39.19,38.52,532.38K,-0.56%
Apr 18  2016,39.01,39.15,39.57,38.97,503.23K,-0.46%
Apr 15  2016,39.19,38.92,39.35,38.87,504.14K,0.41%
Apr 14  2016,39.03,38.93,39.23,38.72,589.81K,0.59%
Apr 13  2016,38.80,38.54,38.98,38.35,541.37K,1.41%
Apr 12  2016,38.26,38.73,38.96,38.20,720.03K,-0.91%
Apr 11  2016,38.61,38.51,38.99,38.41,655.57K,0.29%
Apr 08  2016,38.50,39.56,39.58,38.33,709.00K,-2.36%
Apr 07  2016,39.43,39.65,40.15,39.26,592.79K,-0.93%
Apr 06  2016,39.80,39.60,40.15,39.34,558.77K,1.02%
Apr 05  2016,39.40,39.48,39.83,39.38,502.32K,-0.76%
Apr 04  2016,39.70,40.36,40.39,39.56,615.12K,-1.39%
Apr 01  2016,40.26,39.35,40.47,39.35,739.13K,1.67%
Mar 31  2016,39.60,38.93,39.83,38.81,653.68K,1.38%
Mar 30  2016,39.06,39.33,39.50,39.03,377.93K,-0.26%
Mar 29  2016,39.16,38.84,39.33,38.77,395.22K,0.36%
Mar 28  2016,39.02,38.94,39.08,38.69,330.77K,0.18%
Mar 24  2016,38.95,39.01,39.35,38.66,318.79K,-1.02%
Mar 23  2016,39.35,39.48,39.83,38.85,740.33K,1.05%
Mar 22  2016,38.94,39.32,39.32,38.94,742.82K,-1.57%
Mar 21  2016,39.56,38.97,39.60,38.94,434.74K,1.70%
Mar 18  2016,38.90,38.46,39.18,38.40,1.13M,1.01%
Mar 17  2016,38.51,38.15,38.98,37.86,839.76K,0.89%
Mar 16  2016,38.17,38.59,39.04,38.09,883.93K,-1.11%
Mar 15  2016,38.60,38.76,39.11,38.23,752.22K,-0.08%
Mar 14  2016,38.63,38.44,39.02,38.11,753.17K,0.57%
Mar 11  2016,38.41,37.54,38.66,37.38,984.35K,2.95%
Mar 10  2016,37.31,36.77,37.50,36.70,1.10M,1.77%
Mar 09  2016,36.66,36.80,37.04,36.47,847.30K,0.25%
Mar 08  2016,36.57,36.06,37.00,35.98,1.13M,0.88%
Mar 07  2016,36.25,35.33,36.39,35.22,635.40K,2.34%
Mar 04  2016,35.42,35.31,36.16,35.12,422.70K,0.48%
Mar 03  2016,35.25,35.29,35.72,35.15,410.42K,0.09%
Mar 02  2016,35.22,35.98,36.04,35.15,606.45K,-2.06%
Mar 01  2016,35.96,35.23,36.40,35.19,863.48K,2.80%
Feb 29  2016,34.98,35.35,35.65,34.86,677.68K,-0.82%
Feb 26  2016,35.27,34.51,35.36,34.12,586.72K,3.04%
Feb 25  2016,34.23,34.87,34.88,33.29,990.70K,-1.67%
Feb 24  2016,34.81,31.75,34.95,31.40,1.52M,3.05%
Feb 23  2016,33.78,34.05,34.12,33.62,517.55K,-1.08%
Feb 22  2016,34.15,33.92,34.24,33.74,869.11K,1.49%
Feb 19  2016,33.65,33.88,33.95,33.33,533.96K,-0.97%
Feb 18  2016,33.98,34.09,34.21,33.58,509.05K,0.21%
Feb 17  2016,33.91,33.49,33.98,33.32,727.13K,2.29%
Feb 16  2016,33.15,32.99,33.29,32.45,599.89K,1.41%
Feb 12  2016,32.69,32.29,32.69,32.04,513.53K,2.12%
Feb 11  2016,32.01,31.80,32.19,31.63,898.53K,-1.14%
Feb 10  2016,32.38,31.60,32.66,31.60,890.04K,2.63%
Feb 09  2016,31.55,31.37,31.91,31.25,1.29M,-1.04%
Feb 08  2016,31.88,33.11,33.11,31.24,1.26M,-4.52%
Feb 05  2016,33.39,34.25,34.25,32.74,1.04M,-2.99%
Feb 04  2016,34.42,34.56,34.88,34.08,758.47K,-0.81%
Feb 03  2016,34.70,34.54,34.84,34.15,783.50K,0.41%
Feb 02  2016,34.56,35.29,35.48,34.10,896.38K,-2.40%
Feb 01  2016,35.41,35.16,35.42,34.75,627.42K,0.14%
Jan 29  2016,35.36,35.50,35.57,35.13,1.10M,-0.20%
Jan 28  2016,35.43,35.55,35.74,35.04,657.19K,0.14%
Jan 27  2016,35.38,35.49,35.82,35.25,929.23K,-0.23%
Jan 26  2016,35.46,37.23,37.23,35.38,987.21K,-3.35%
Jan 25  2016,36.69,37.82,38.00,36.32,853.23K,-2.99%
Jan 22  2016,37.82,37.54,38.15,37.48,666.87K,1.94%
Jan 21  2016,37.10,36.92,37.24,36.70,836.25K,0.62%
Jan 20  2016,36.87,37.15,37.28,36.39,879.82K,-1.52%
Jan 19  2016,37.44,37.53,37.67,37.17,708.67K,0.78%
Jan 18  2016,37.15,36.89,37.16,36.89,297.59K,0.05%
Jan 15  2016,37.13,36.88,37.35,36.72,914.96K,-1.30%
Jan 14  2016,37.62,37.25,37.77,36.88,670.04K,1.48%
Jan 13  2016,37.07,38.08,38.28,37.05,495.04K,-2.22%
