Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,22.00,22.09,22.23,21.66,4.53M,2.14%
Apr 18  2016,21.54,22.00,22.07,21.20,2.88M,-0.09%
Apr 15  2016,21.56,21.31,21.71,21.07,3.15M,1.17%
Apr 14  2016,21.31,22.11,22.23,20.90,3.39M,-3.71%
Apr 13  2016,22.13,22.30,22.63,22.10,3.60M,-2.30%
Apr 12  2016,22.65,23.06,23.18,22.45,5.51M,-1.26%
Apr 11  2016,22.94,22.47,23.13,22.34,3.58M,3.15%
Apr 08  2016,22.24,21.23,22.33,21.23,5.15M,3.49%
Apr 07  2016,21.49,21.49,21.72,21.31,3.98M,2.24%
Apr 06  2016,21.02,21.06,21.22,20.68,2.99M,-1.64%
Apr 05  2016,21.37,21.30,21.45,20.92,2.74M,2.94%
Apr 04  2016,20.76,20.90,20.98,20.48,1.83M,-0.81%
Apr 01  2016,20.93,20.65,20.93,20.26,3.09M,-0.66%
Mar 31  2016,21.07,21.39,21.60,20.92,2.16M,-0.89%
Mar 30  2016,21.26,21.31,21.64,20.85,2.66M,-1.02%
Mar 29  2016,21.48,20.82,21.71,20.67,3.23M,3.32%
Mar 28  2016,20.79,20.78,20.87,20.27,2.29M,-0.57%
Mar 24  2016,20.91,20.48,21.12,20.32,2.47M,2.65%
Mar 23  2016,20.37,21.04,21.11,20.15,4.28M,-5.83%
Mar 22  2016,21.63,22.29,22.44,21.50,2.73M,-1.73%
Mar 21  2016,22.01,21.80,22.28,21.65,2.52M,0.27%
Mar 18  2016,21.95,21.61,22.37,21.61,5.62M,0.46%
Mar 17  2016,21.85,22.50,22.91,21.82,4.70M,-2.02%
Mar 16  2016,22.30,21.25,22.31,20.75,4.01M,4.06%
Mar 15  2016,21.43,20.76,21.44,20.47,3.55M,2.00%
Mar 14  2016,21.01,21.86,22.12,20.84,3.86M,-3.00%
Mar 11  2016,21.66,21.94,22.43,21.54,3.87M,-1.72%
Mar 10  2016,22.04,21.05,22.12,20.89,6.87M,5.66%
Mar 09  2016,20.86,20.45,21.05,20.14,4.71M,-0.10%
Mar 08  2016,20.88,21.70,21.85,20.56,4.98M,-1.32%
Mar 07  2016,21.16,20.50,21.74,20.47,6.56M,4.91%
Mar 04  2016,20.17,20.42,21.75,20.16,9.80M,0.65%
Mar 03  2016,20.04,19.45,20.30,19.41,4.90M,3.78%
Mar 02  2016,19.31,18.80,19.41,18.59,3.67M,3.82%
Mar 01  2016,18.60,19.55,19.60,18.60,5.79M,-4.32%
Feb 29  2016,19.44,18.76,19.44,18.70,5.76M,3.79%
Feb 26  2016,18.73,19.32,20.04,18.51,15.48M,-13.05%
Feb 25  2016,21.54,21.32,21.89,21.09,3.86M,-0.32%
