Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,3.570,3.390,3.580,3.330,4.22M,6.25%
Apr 18  2016,3.360,3.110,3.360,3.100,768.37K,3.38%
Apr 15  2016,3.250,3.280,3.330,3.240,370.47K,-2.11%
Apr 14  2016,3.320,3.400,3.430,3.290,282.10K,-3.21%
Apr 13  2016,3.430,3.360,3.530,3.280,1.62M,2.69%
Apr 12  2016,3.340,3.240,3.410,3.190,3.13M,4.05%
Apr 11  2016,3.210,3.280,3.310,3.200,579.67K,-0.93%
Apr 08  2016,3.240,3.210,3.330,3.130,2.59M,3.18%
Apr 07  2016,3.140,3.250,3.260,3.110,1.34M,-0.32%
Apr 06  2016,3.150,3.070,3.180,3.010,2.91M,3.96%
Apr 05  2016,3.030,3.010,3.080,2.990,701.71K,0.33%
Apr 04  2016,3.020,3.080,3.090,2.980,701.51K,-0.66%
Apr 01  2016,3.040,3.190,3.190,3.010,2.65M,-6.17%
Mar 31  2016,3.240,3.440,3.450,3.100,7.24M,-5.81%
Mar 30  2016,3.440,3.410,3.490,3.350,415.62K,2.38%
Mar 29  2016,3.360,3.310,3.390,3.250,247.09K,0.60%
Mar 28  2016,3.340,3.350,3.390,3.290,236.98K,-0.30%
Mar 24  2016,3.350,3.310,3.400,3.280,444.46K,0.60%
Mar 23  2016,3.330,3.420,3.420,3.320,761.11K,-2.92%
Mar 22  2016,3.430,3.440,3.485,3.400,212.29K,-0.87%
Mar 21  2016,3.460,3.500,3.540,3.410,238.36K,0.00%
Mar 18  2016,3.460,3.670,3.690,3.420,1.69M,-4.42%
Mar 17  2016,3.620,3.560,3.660,3.540,2.00M,3.13%
Mar 16  2016,3.510,3.550,3.580,3.500,939.47K,-0.28%
Mar 15  2016,3.520,3.530,3.530,3.400,261.94K,-1.40%
Mar 14  2016,3.570,3.520,3.660,3.520,345.57K,-2.99%
Mar 11  2016,3.680,3.700,3.710,3.670,609.74K,1.10%
Mar 10  2016,3.640,3.590,3.690,3.520,1.10M,1.11%
Mar 09  2016,3.600,3.810,3.810,3.600,904.27K,-4.51%
Mar 08  2016,3.770,3.720,3.840,3.650,3.96M,0.00%
Mar 07  2016,3.770,3.670,3.910,3.670,629.74K,1.62%
Mar 04  2016,3.710,3.750,3.810,3.610,1.16M,0.00%
Mar 03  2016,3.710,3.550,3.770,3.520,937.24K,3.92%
Mar 02  2016,3.570,3.300,3.580,3.300,920.27K,7.85%
Mar 01  2016,3.310,3.220,3.400,3.150,1.25M,3.44%
Feb 29  2016,3.200,3.130,3.200,2.950,699.62K,6.31%
Feb 26  2016,3.010,3.090,3.200,2.960,972.82K,0.00%
Feb 25  2016,3.010,3.050,3.110,2.960,1.25M,-1.63%
Feb 24  2016,3.060,2.930,3.120,2.870,481.07K,2.00%
Feb 23  2016,3.000,3.110,3.130,2.980,416.55K,-3.85%
Feb 22  2016,3.120,3.000,3.210,2.990,909.81K,6.48%
Feb 19  2016,2.930,2.900,2.960,2.860,465.08K,-2.33%
Feb 18  2016,3.000,3.110,3.210,2.940,809.41K,-1.96%
Feb 17  2016,3.060,3.020,3.080,2.930,1.50M,2.34%
Feb 16  2016,2.990,3.010,3.040,2.930,882.08K,1.01%
Feb 12  2016,2.960,2.900,3.000,2.860,421.17K,3.86%
Feb 11  2016,2.850,2.830,2.900,2.760,1.11M,-0.70%
Feb 10  2016,2.870,2.780,2.900,2.730,443.84K,2.50%
Feb 09  2016,2.800,2.790,2.830,2.680,546.50K,-2.44%
Feb 08  2016,2.870,2.910,2.970,2.850,332.41K,-2.71%
Feb 05  2016,2.950,2.960,3.020,2.880,282.23K,-2.64%
Feb 04  2016,3.030,3.070,3.080,2.970,1.05M,0.33%
Feb 03  2016,3.020,3.020,3.060,2.870,2.52M,2.72%
Feb 02  2016,2.940,2.950,3.010,2.770,1.19M,-3.61%
Feb 01  2016,3.050,3.120,3.140,3.030,327.05K,-4.69%
Jan 29  2016,3.200,3.180,3.270,3.140,645.14K,0.63%
Jan 28  2016,3.180,3.170,3.250,3.050,1.60M,3.58%
Jan 27  2016,3.070,3.120,3.210,3.065,3.02M,-2.85%
Jan 26  2016,3.160,3.210,3.260,3.110,1.62M,-0.32%
Jan 25  2016,3.170,3.320,3.350,3.105,970.72K,-5.93%
Jan 22  2016,3.370,3.100,3.380,3.100,1.08M,12.33%
Jan 21  2016,3.000,2.760,3.070,2.760,4.47M,3.45%
Jan 20  2016,2.900,2.820,2.930,2.650,629.80K,1.75%
Jan 19  2016,2.850,3.010,3.040,2.810,614.60K,-3.06%
Jan 18  2016,2.940,2.810,3.140,2.810,622.06K,2.08%
Jan 15  2016,2.880,2.710,2.890,2.710,357.07K,-0.35%
Jan 14  2016,2.890,2.750,2.890,2.670,450.39K,6.25%
Jan 13  2016,2.720,2.740,2.800,2.640,903.30K,1.87%
Jan 12  2016,2.670,2.770,2.790,2.560,362.56K,-1.11%
Jan 11  2016,2.700,2.810,2.840,2.600,448.48K,-5.26%
Jan 08  2016,2.850,2.860,2.890,2.750,206.06K,1.42%
Jan 07  2016,2.810,2.900,2.910,2.810,271.27K,-5.39%
Jan 06  2016,2.970,2.970,3.020,2.940,317.28K,-3.57%
Jan 05  2016,3.080,3.090,3.130,3.040,157.32K,0.33%
Jan 04  2016,3.070,3.030,3.130,2.970,236.50K,1.99%
Dec 31  2015,3.010,2.940,3.060,2.910,577.17K,1.35%
Dec 30  2015,2.970,2.950,3.020,2.900,330.20K,0.68%
Dec 29  2015,2.950,3.090,3.090,2.910,411.20K,-3.91%
Dec 24  2015,3.070,3.120,3.165,3.065,156.74K,-2.85%
Dec 23  2015,3.160,2.990,3.180,2.990,541.22K,6.04%
Dec 22  2015,2.980,3.090,3.090,2.970,444.39K,-3.25%
Dec 21  2015,3.080,3.220,3.280,3.060,1.11M,-4.94%
Dec 18  2015,3.240,3.100,3.240,3.080,1.25M,6.93%
Dec 17  2015,3.030,2.940,3.120,2.890,821.75K,3.77%
Dec 16  2015,2.920,2.850,2.980,2.760,1.29M,-2.01%
Dec 15  2015,2.980,2.810,3.000,2.760,924.91K,7.19%
Dec 14  2015,2.780,2.730,2.780,2.600,691.12K,1.09%
Dec 11  2015,2.750,2.800,2.840,2.730,492.26K,-4.84%
Dec 10  2015,2.890,2.880,2.955,2.860,599.84K,-1.03%
Dec 09  2015,2.920,2.820,3.040,2.810,301.93K,1.39%
Dec 08  2015,2.880,2.660,2.930,2.620,659.89K,7.06%
Dec 07  2015,2.690,2.950,2.960,2.690,1.74M,-10.93%
Dec 04  2015,3.020,3.180,3.180,2.990,931.93K,-5.63%
Dec 03  2015,3.200,3.250,3.300,3.180,534.57K,-0.62%
Dec 02  2015,3.220,3.200,3.290,3.190,439.20K,-0.62%
Dec 01  2015,3.240,3.300,3.330,3.230,664.64K,-2.11%
Nov 30  2015,3.310,3.300,3.310,3.240,467.26K,0.30%
Nov 27  2015,3.300,3.290,3.320,3.210,102.07K,-0.30%
Nov 26  2015,3.310,3.350,3.350,3.300,91.12K,-0.60%
Nov 25  2015,3.330,3.230,3.380,3.220,510.59K,0.00%
Nov 24  2015,3.330,3.110,3.340,3.110,584.33K,7.77%
Nov 23  2015,3.090,3.070,3.180,3.050,481.92K,0.65%
Nov 20  2015,3.070,3.050,3.080,2.990,325.78K,0.33%
Nov 19  2015,3.060,3.040,3.140,3.020,431.07K,-0.97%
Nov 18  2015,3.090,3.180,3.200,3.000,614.42K,-0.32%
Nov 17  2015,3.100,3.120,3.210,3.050,396.32K,-0.96%
Nov 16  2015,3.130,3.000,3.170,2.990,721.33K,4.68%
Nov 13  2015,2.990,3.060,3.140,2.940,1.56M,-6.56%
Nov 12  2015,3.200,3.290,3.370,3.180,1.58M,-5.04%
Nov 11  2015,3.370,3.390,3.430,3.300,399.02K,-2.32%
Nov 10  2015,3.450,3.340,3.500,3.280,305.34K,2.37%
Nov 09  2015,3.370,3.310,3.380,3.240,409.62K,1.20%
Nov 06  2015,3.330,3.320,3.340,3.270,381.05K,0.30%
Nov 05  2015,3.320,3.320,3.400,3.220,699.13K,-0.90%
Nov 04  2015,3.350,3.340,3.380,3.230,457.79K,3.08%
Nov 03  2015,3.250,3.230,3.390,3.210,279.36K,2.20%
Nov 02  2015,3.180,3.150,3.230,3.140,110.02K,0.63%
