Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,36.390,36.910,36.910,36.360,75.92K,-1.46%
Apr 18  2016,36.930,36.490,37.030,36.490,36.09K,1.37%
Apr 15  2016,36.430,36.340,36.950,36.100,89.39K,0.08%
Apr 14  2016,36.400,36.650,36.650,36.250,88.11K,-0.44%
Apr 13  2016,36.560,36.370,36.640,36.170,79.48K,0.77%
Apr 12  2016,36.280,36.970,36.970,36.200,86.83K,-1.14%
Apr 11  2016,36.700,36.980,37.050,36.630,44.73K,-0.24%
Apr 08  2016,36.790,37.130,37.150,36.600,88.93K,-0.38%
Apr 07  2016,36.930,37.050,37.100,36.760,51.92K,-0.32%
Apr 06  2016,37.050,37.290,37.380,36.830,177.08K,-0.64%
Apr 05  2016,37.290,37.500,37.510,36.960,151.26K,-1.40%
Apr 04  2016,37.820,37.700,37.860,37.250,44.87K,0.67%
Apr 01  2016,37.570,37.410,38.380,37.410,269.71K,0.43%
Mar 31  2016,37.410,37.390,37.540,37.250,102.99K,0.24%
Mar 30  2016,37.320,37.660,38.000,37.240,79.53K,-0.61%
Mar 29  2016,37.550,37.010,37.580,36.950,50.75K,0.78%
Mar 28  2016,37.260,37.430,37.430,37.150,21.83K,-0.19%
Mar 24  2016,37.330,37.580,37.590,37.060,37.59K,-0.40%
Mar 23  2016,37.480,37.600,38.010,37.450,199.55K,-0.32%
Mar 22  2016,37.600,37.830,37.990,37.590,69.93K,-0.95%
Mar 21  2016,37.960,37.750,37.970,37.680,101.06K,0.53%
Mar 18  2016,37.760,37.500,37.760,37.300,242.16K,0.69%
Mar 17  2016,37.500,37.390,37.580,37.300,47.80K,0.03%
Mar 16  2016,37.490,37.350,37.590,37.220,186.83K,0.54%
Mar 15  2016,37.290,37.340,37.600,36.750,68.15K,0.35%
Mar 14  2016,37.160,37.330,37.410,37.070,36.39K,-0.48%
Mar 11  2016,37.340,37.150,37.430,36.960,94.56K,1.22%
Mar 10  2016,36.890,36.670,37.080,36.580,62.74K,0.88%
Mar 09  2016,36.570,36.400,36.880,36.390,46.99K,0.69%
Mar 08  2016,36.320,37.500,37.500,36.320,51.21K,-3.15%
Mar 07  2016,37.500,36.810,37.500,36.520,86.11K,2.46%
Mar 04  2016,36.600,36.520,36.970,35.600,218.61K,0.14%
Mar 03  2016,36.550,39.100,39.250,36.460,172.78K,-6.35%
Mar 02  2016,39.030,38.580,39.290,38.500,63.94K,0.98%
Mar 01  2016,38.650,38.250,38.820,38.250,41.19K,1.05%
Feb 29  2016,38.250,37.950,38.470,37.890,113.03K,1.00%
Feb 26  2016,37.870,38.370,38.440,37.870,47.40K,-0.92%
Feb 25  2016,38.220,38.110,38.540,38.000,101.97K,-0.34%
