Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,17.96,18.00,18.01,17.78,64.26K,0.62%
Apr 18  2016,17.85,17.59,18.03,17.59,97.58K,1.48%
Apr 15  2016,17.59,17.49,17.70,17.42,55.04K,0.74%
Apr 14  2016,17.46,17.30,17.62,17.14,78.61K,0.69%
Apr 13  2016,17.34,17.92,18.31,17.19,273.76K,-2.91%
Apr 12  2016,17.86,18.05,18.14,17.70,166.98K,-1.16%
Apr 11  2016,18.07,17.78,18.13,17.78,33.76K,0.84%
Apr 08  2016,17.92,17.78,17.95,17.66,24.74K,1.07%
Apr 07  2016,17.73,17.90,17.92,17.63,43.03K,-1.55%
Apr 06  2016,18.01,18.16,18.19,17.98,68.45K,-1.42%
Apr 05  2016,18.27,18.10,18.44,18.10,18.25K,0.66%
Apr 04  2016,18.15,18.50,18.58,18.02,257.65K,-2.52%
Apr 01  2016,18.62,18.46,18.65,18.10,132.18K,0.05%
Mar 31  2016,18.61,18.39,18.67,18.39,23.91K,1.25%
Mar 30  2016,18.38,18.90,19.08,18.35,43.86K,-3.77%
Mar 29  2016,19.10,18.22,19.15,18.20,78.07K,4.71%
Mar 28  2016,18.24,17.81,18.25,17.51,100.81K,3.64%
Mar 24  2016,17.60,17.53,17.78,17.50,28.20K,0.57%
Mar 23  2016,17.50,18.00,18.27,17.39,103.93K,-2.78%
Mar 22  2016,18.00,18.30,18.30,17.92,29.88K,-1.91%
Mar 21  2016,18.35,18.10,18.54,18.10,29.19K,1.49%
Mar 18  2016,18.08,18.00,18.28,17.79,114.55K,0.78%
Mar 17  2016,17.94,17.74,17.97,17.60,103.86K,1.07%
Mar 16  2016,17.75,17.84,17.90,17.63,114.59K,-0.39%
Mar 15  2016,17.82,17.65,17.92,17.65,69.04K,0.17%
Mar 14  2016,17.79,17.45,17.97,17.45,92.62K,0.68%
Mar 11  2016,17.67,17.82,18.05,17.50,77.63K,-0.62%
Mar 10  2016,17.78,17.35,18.27,17.35,146.23K,2.01%
Mar 09  2016,17.43,17.90,17.90,17.39,75.96K,-2.13%
Mar 08  2016,17.81,18.24,18.24,17.66,73.35K,0.62%
Mar 07  2016,17.70,16.93,17.78,16.93,74.08K,3.51%
Mar 04  2016,17.10,17.50,17.70,16.89,309.19K,-2.23%
Mar 03  2016,17.49,19.07,20.90,17.49,431.03K,-7.80%
Mar 02  2016,18.97,19.44,19.58,18.71,95.94K,-2.42%
Mar 01  2016,19.44,18.78,19.64,18.53,87.24K,4.46%
Feb 29  2016,18.61,18.81,18.96,18.52,35.13K,-0.85%
Feb 26  2016,18.77,18.80,18.96,18.41,21.63K,1.02%
Feb 25  2016,18.58,17.97,18.78,17.96,50.94K,2.48%
Feb 24  2016,18.13,18.12,18.32,17.91,60.71K,-0.93%
Feb 23  2016,18.30,18.21,18.40,18.03,37.21K,0.22%
Feb 22  2016,18.26,18.31,18.44,17.98,39.53K,-0.05%
Feb 19  2016,18.27,17.73,18.28,17.62,55.64K,2.70%
Feb 18  2016,17.79,16.94,17.92,16.67,246.16K,5.58%
Feb 17  2016,16.85,17.11,17.12,16.79,56.87K,-0.88%
Feb 16  2016,17.00,16.74,17.10,16.62,27.75K,2.66%
Feb 12  2016,16.56,16.70,17.01,16.44,70.25K,-1.08%
Feb 11  2016,16.74,16.26,16.75,16.10,131.43K,1.39%
Feb 10  2016,16.51,16.45,16.95,16.39,26.52K,0.49%
