Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,35.88,35.87,35.98,35.57,359.63K,0.03%
Apr 18  2016,35.87,35.45,35.95,35.42,353.85K,0.73%
Apr 15  2016,35.61,35.48,35.65,35.42,242.73K,0.03%
Apr 14  2016,35.60,35.33,35.69,35.29,224.37K,0.62%
Apr 13  2016,35.38,35.30,35.54,35.01,570.17K,0.71%
Apr 12  2016,35.13,34.71,35.24,34.64,450.81K,1.30%
Apr 11  2016,34.68,35.03,35.09,34.63,329.89K,-0.91%
Apr 08  2016,35.00,34.97,35.10,34.64,793.14K,0.60%
Apr 07  2016,34.79,34.85,34.89,34.45,458.16K,-1.08%
Apr 06  2016,35.17,35.20,35.22,34.81,372.61K,-0.31%
Apr 05  2016,35.28,35.18,35.30,34.89,469.37K,-0.48%
Apr 04  2016,35.45,35.70,35.75,35.29,410.73K,-0.45%
Apr 01  2016,35.61,35.63,35.70,35.29,531.32K,-0.36%
Mar 31  2016,35.74,35.42,35.84,35.25,862.20K,0.87%
Mar 30  2016,35.43,35.31,35.80,35.15,466.71K,-0.81%
Mar 29  2016,35.72,35.62,35.81,35.48,309.67K,-0.14%
Mar 28  2016,35.77,35.55,35.84,35.40,277.40K,0.68%
Mar 24  2016,35.53,35.54,35.57,35.16,378.37K,-0.45%
Mar 23  2016,35.69,35.66,35.79,35.34,283.90K,0.73%
Mar 22  2016,35.43,35.41,35.62,35.31,277.99K,-0.48%
Mar 21  2016,35.60,35.34,35.71,35.33,386.23K,0.37%
Mar 18  2016,35.47,35.75,35.95,35.00,1.39M,-0.95%
Mar 17  2016,35.81,35.39,35.94,35.35,578.03K,1.02%
Mar 16  2016,35.45,35.48,35.67,35.17,300.31K,0.11%
Mar 15  2016,35.41,35.17,35.50,35.03,374.09K,0.17%
Mar 14  2016,35.35,35.49,35.56,35.17,291.93K,-0.08%
Mar 11  2016,35.38,35.13,35.45,34.81,484.35K,1.73%
Mar 10  2016,34.78,35.39,35.44,34.68,456.15K,-0.86%
Mar 09  2016,35.08,35.15,35.59,35.04,758.48K,0.06%
Mar 08  2016,35.06,34.75,35.22,34.53,403.34K,0.54%
Mar 07  2016,34.87,34.82,35.23,34.69,500.20K,0.32%
Mar 04  2016,34.76,34.37,34.93,34.36,438.31K,1.13%
Mar 03  2016,34.37,34.26,34.61,34.23,499.12K,0.20%
Mar 02  2016,34.30,34.91,35.14,34.25,457.68K,-2.08%
Mar 01  2016,35.03,34.86,35.19,34.52,310.97K,0.09%
Feb 29  2016,35.00,34.94,35.32,34.88,348.91K,0.34%
Feb 26  2016,34.88,34.75,35.22,34.75,310.01K,0.90%
Feb 25  2016,34.57,34.65,34.79,34.36,364.59K,0.12%
Feb 24  2016,34.53,34.32,34.59,33.65,345.58K,-0.03%
Feb 23  2016,34.54,34.87,35.08,34.37,382.10K,-0.97%
Feb 22  2016,34.88,35.30,35.46,34.71,670.96K,-0.23%
Feb 19  2016,34.96,34.83,35.09,34.50,424.35K,0.06%
Feb 18  2016,34.94,35.00,35.35,34.74,594.16K,-0.46%
Feb 17  2016,35.10,34.39,35.18,34.32,549.11K,2.78%
Feb 16  2016,34.15,33.60,34.32,33.37,596.56K,2.77%
Feb 12  2016,33.23,32.85,33.30,32.75,569.82K,2.69%
Feb 11  2016,32.36,32.09,32.58,32.01,428.24K,-1.25%
Feb 10  2016,32.77,33.35,33.61,32.66,378.08K,-1.12%
Feb 09  2016,33.14,33.60,33.72,32.85,459.30K,-2.16%
Feb 08  2016,33.87,34.00,34.03,33.62,309.98K,-0.73%
Feb 05  2016,34.12,34.44,34.51,33.85,310.66K,-0.50%
Feb 04  2016,34.29,33.77,34.62,33.77,355.10K,0.20%
Feb 03  2016,34.22,34.36,34.60,33.53,448.29K,0.20%
Feb 02  2016,34.15,34.40,34.42,33.90,386.20K,-1.78%
Feb 01  2016,34.77,34.65,34.84,34.22,404.22K,0.14%
Jan 29  2016,34.72,34.63,34.91,34.30,633.98K,0.67%
Jan 28  2016,34.49,34.03,34.57,33.86,322.16K,2.10%
Jan 27  2016,33.78,33.44,34.07,33.44,408.88K,1.05%
Jan 26  2016,33.43,33.44,33.63,33.34,365.57K,0.03%
