Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,21.87,21.80,21.87,21.62,355.86K,0.55%
Apr 18  2016,21.75,21.67,21.79,21.65,403.85K,-0.18%
Apr 15  2016,21.79,21.51,21.98,21.50,611.97K,1.30%
Apr 14  2016,21.51,21.65,21.70,21.31,616.78K,-0.69%
Apr 13  2016,21.66,21.40,21.80,21.40,449.85K,1.69%
Apr 12  2016,21.30,21.70,21.89,21.20,1.66M,-1.84%
Apr 11  2016,21.70,21.38,21.73,21.38,406.54K,1.40%
Apr 08  2016,21.40,21.16,21.49,21.08,825.71K,1.37%
Apr 07  2016,21.11,21.29,21.45,21.07,500.57K,-1.17%
Apr 06  2016,21.36,21.38,21.49,21.21,376.43K,-0.14%
Apr 05  2016,21.39,21.32,21.49,21.31,395.25K,-0.23%
Apr 04  2016,21.44,21.30,21.45,21.14,416.44K,0.56%
Apr 01  2016,21.32,20.92,21.34,20.87,353.03K,1.57%
Mar 31  2016,20.99,20.78,21.18,20.77,683.83K,1.06%
Mar 30  2016,20.77,20.67,20.92,20.67,373.86K,0.83%
Mar 29  2016,20.60,20.80,20.90,20.57,290.95K,-0.96%
Mar 28  2016,20.80,20.64,20.83,20.50,217.72K,0.73%
Mar 24  2016,20.65,20.67,20.69,20.34,434.93K,-0.53%
Mar 23  2016,20.76,20.86,20.86,20.45,349.13K,0.05%
Mar 22  2016,20.75,21.03,21.06,20.65,353.36K,-1.61%
Mar 21  2016,21.09,21.05,21.12,20.76,553.59K,0.19%
Mar 18  2016,21.05,21.34,21.41,20.85,1.15M,-1.59%
Mar 17  2016,21.39,20.97,21.57,20.97,663.59K,2.25%
Mar 16  2016,20.92,20.34,20.99,20.33,526.20K,2.85%
Mar 15  2016,20.34,20.50,20.52,20.08,442.37K,-0.83%
Mar 14  2016,20.51,20.53,20.60,20.21,415.82K,-0.49%
Mar 11  2016,20.61,20.67,20.70,20.40,672.73K,0.39%
Mar 10  2016,20.53,20.40,20.53,20.03,579.34K,0.79%
Mar 09  2016,20.37,20.13,20.50,20.08,640.76K,1.29%
Mar 08  2016,20.11,19.74,20.17,19.50,821.36K,2.08%
Mar 07  2016,19.70,19.32,19.78,19.32,769.52K,1.91%
Mar 04  2016,19.33,18.95,19.34,18.95,588.60K,2.01%
Mar 03  2016,18.95,18.71,18.97,18.68,587.64K,1.23%
Mar 02  2016,18.72,18.71,18.83,18.57,629.03K,0.27%
Mar 01  2016,18.67,18.92,18.93,18.63,537.52K,-0.59%
Feb 29  2016,18.78,18.55,18.86,18.55,589.95K,1.40%
Feb 26  2016,18.52,18.76,18.77,18.52,368.86K,-0.96%
Feb 25  2016,18.70,18.70,18.90,18.58,496.39K,-0.16%
Feb 24  2016,18.73,18.57,18.73,18.33,504.39K,0.59%
Feb 23  2016,18.62,18.65,18.73,18.50,544.58K,0.16%
Feb 22  2016,18.59,19.25,19.29,18.58,900.94K,-3.38%
Feb 19  2016,19.24,19.59,19.66,19.11,762.89K,-2.19%
Feb 18  2016,19.67,19.16,19.76,19.10,602.57K,2.98%
Feb 17  2016,19.10,18.85,19.25,18.73,493.65K,1.65%
Feb 16  2016,18.79,18.65,18.79,18.53,417.70K,1.68%
Feb 12  2016,18.48,18.30,18.83,18.30,646.17K,1.43%
Feb 11  2016,18.22,18.29,18.58,18.12,617.91K,-1.14%
Feb 10  2016,18.43,18.55,18.74,18.43,761.26K,-0.59%
Feb 09  2016,18.54,18.62,18.66,18.41,558.30K,-1.17%
Feb 08  2016,18.76,19.25,19.28,18.65,463.67K,-3.05%
Feb 05  2016,19.35,18.77,19.38,18.76,641.80K,3.20%
Feb 04  2016,18.75,18.72,19.13,18.70,798.01K,0.16%
Feb 03  2016,18.72,18.75,18.90,18.52,437.42K,-0.16%
Feb 02  2016,18.75,18.63,18.85,18.51,474.35K,0.11%
Feb 01  2016,18.73,18.90,18.95,18.71,478.36K,-0.64%
Jan 29  2016,18.85,18.89,19.24,18.78,3.35M,0.53%
Jan 28  2016,18.75,18.47,18.77,18.32,363.14K,1.74%
Jan 27  2016,18.43,18.25,18.66,18.17,560.31K,0.82%
Jan 26  2016,18.28,18.25,18.58,18.24,569.71K,0.00%
Jan 25  2016,18.28,18.56,18.70,18.22,631.95K,-2.14%
Jan 22  2016,18.68,18.64,18.87,18.47,527.62K,1.47%
Jan 21  2016,18.41,18.40,18.53,18.06,738.37K,0.05%
Jan 20  2016,18.40,18.22,18.56,18.03,551.23K,-1.02%
Jan 19  2016,18.59,18.32,18.65,18.28,550.18K,2.20%
Jan 18  2016,18.19,18.59,18.78,18.13,432.58K,-3.40%
Jan 15  2016,18.83,18.51,19.04,18.38,707.01K,0.27%
Jan 14  2016,18.78,18.95,18.99,18.62,526.14K,-0.95%
Jan 13  2016,18.96,19.10,19.24,18.80,353.68K,-0.68%
Jan 12  2016,19.09,19.43,19.44,18.90,716.33K,-1.60%
Jan 11  2016,19.40,19.48,19.53,19.21,462.57K,-0.05%
