Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,38.59,37.73,38.59,37.64,221.30K,2.33%
Apr 18  2016,37.71,37.24,37.90,36.90,275.84K,0.51%
Apr 15  2016,37.52,36.66,37.84,36.64,236.48K,1.87%
Apr 14  2016,36.83,36.66,36.90,36.38,210.57K,0.60%
Apr 13  2016,36.61,36.66,36.90,36.41,223.92K,-0.19%
Apr 12  2016,36.68,36.59,37.00,36.38,325.69K,0.94%
Apr 11  2016,36.34,36.49,36.70,36.17,131.74K,0.39%
Apr 08  2016,36.20,36.49,36.64,36.07,123.78K,0.11%
Apr 07  2016,36.16,36.59,36.71,35.97,155.68K,-1.20%
Apr 06  2016,36.60,36.25,36.80,35.61,131.47K,1.10%
Apr 05  2016,36.20,36.20,36.44,35.94,223.49K,-1.15%
Apr 04  2016,36.62,35.25,36.79,34.82,430.94K,3.74%
Apr 01  2016,35.30,35.25,35.85,34.65,369.93K,0.68%
Mar 31  2016,35.06,34.78,35.37,34.69,335.59K,1.62%
Mar 30  2016,34.50,34.96,35.29,34.21,177.18K,-1.12%
Mar 29  2016,34.89,34.59,35.68,34.53,109.28K,0.11%
Mar 28  2016,34.85,34.50,35.02,33.94,142.06K,0.87%
Mar 24  2016,34.55,35.60,35.63,34.39,268.26K,-3.46%
Mar 23  2016,35.79,35.48,35.85,35.42,124.98K,0.22%
Mar 22  2016,35.71,36.55,36.76,35.57,167.56K,-2.86%
Mar 21  2016,36.76,36.98,37.12,36.33,191.75K,-1.05%
Mar 18  2016,37.15,37.14,37.15,36.56,206.27K,0.79%
Mar 17  2016,36.86,36.00,37.11,35.87,342.20K,3.28%
Mar 16  2016,35.69,35.41,35.69,35.36,131.52K,0.11%
Mar 15  2016,35.65,36.16,36.23,35.49,202.47K,-1.84%
Mar 14  2016,36.32,35.87,36.50,34.80,214.55K,0.58%
Mar 11  2016,36.11,35.87,36.30,35.73,260.92K,0.84%
Mar 10  2016,35.81,35.58,35.95,35.26,316.54K,0.59%
Mar 09  2016,35.60,34.70,35.91,34.50,304.31K,4.52%
Mar 08  2016,34.06,35.82,35.90,33.77,326.01K,-5.57%
Mar 07  2016,36.07,36.09,36.70,35.89,459.38K,-0.36%
Mar 04  2016,36.20,35.59,36.68,35.32,542.00K,3.43%
Mar 03  2016,35.00,34.04,35.19,33.75,324.06K,3.24%
Mar 02  2016,33.90,33.18,33.94,32.59,298.30K,2.17%
Mar 01  2016,33.18,33.85,33.95,32.79,617.19K,-2.41%
Feb 29  2016,34.00,32.77,34.30,32.36,527.32K,4.39%
Feb 26  2016,32.57,32.50,33.00,32.11,263.05K,1.05%
Feb 25  2016,32.23,32.24,32.33,31.00,226.26K,0.53%
Feb 24  2016,32.06,31.48,32.28,30.28,410.42K,1.42%
Feb 23  2016,31.61,31.50,31.96,30.99,292.90K,0.06%
Feb 22  2016,31.59,31.95,32.33,30.99,340.06K,-0.32%
Feb 19  2016,31.69,31.59,31.81,30.78,294.86K,-0.56%
Feb 18  2016,31.87,32.41,32.41,31.19,526.47K,0.38%
Feb 17  2016,31.75,30.11,31.94,30.11,638.09K,6.33%
Feb 16  2016,29.86,28.34,30.01,27.97,575.56K,9.30%
Feb 12  2016,27.32,26.03,27.76,26.03,563.77K,7.73%
Feb 11  2016,25.36,25.16,25.85,24.67,790.14K,0.04%
Feb 10  2016,25.35,26.00,26.92,25.30,373.09K,-1.93%
Feb 09  2016,25.85,26.59,26.86,25.72,209.46K,-3.47%
Feb 08  2016,26.78,28.17,28.20,26.63,353.62K,-6.10%
Feb 05  2016,28.52,28.01,28.72,27.96,214.12K,1.68%
Feb 04  2016,28.05,27.25,28.33,27.25,189.58K,3.09%
Feb 03  2016,27.21,27.94,27.94,26.24,249.81K,0.11%
Feb 02  2016,27.18,28.46,28.46,27.14,238.00K,-5.26%
Feb 01  2016,28.69,28.80,28.92,27.85,212.39K,-0.24%
Jan 29  2016,28.76,27.90,28.86,27.55,649.04K,3.56%
Jan 28  2016,27.77,26.75,27.83,26.15,312.86K,4.09%
Jan 27  2016,26.68,26.60,27.34,26.60,396.04K,0.19%
Jan 26  2016,26.63,26.50,26.88,26.39,427.51K,2.90%
Jan 25  2016,25.88,26.49,26.49,25.15,374.71K,0.12%
Jan 22  2016,25.85,26.14,27.15,25.17,629.59K,4.70%
Jan 21  2016,24.69,23.71,25.14,23.32,319.41K,4.22%
Jan 20  2016,23.69,23.58,24.24,23.01,465.64K,-0.67%
Jan 19  2016,23.85,23.65,24.22,23.56,206.10K,2.01%
Jan 18  2016,23.38,23.09,23.60,23.01,108.67K,0.95%
Jan 15  2016,23.16,23.36,24.08,22.95,393.44K,-1.45%
Jan 14  2016,23.50,23.75,23.81,22.87,583.96K,-1.26%
Jan 13  2016,23.80,24.44,24.57,23.61,330.07K,-0.63%
Jan 12  2016,23.95,24.47,24.84,23.70,290.85K,-1.36%
Jan 11  2016,24.28,25.00,25.03,23.93,292.93K,-2.53%
Jan 08  2016,24.91,25.25,25.58,24.85,316.37K,-0.24%
Jan 07  2016,24.97,25.61,25.61,24.56,477.64K,-3.44%
Jan 06  2016,25.86,27.04,27.06,25.52,584.73K,-4.82%
Jan 05  2016,27.17,26.79,27.32,26.79,262.75K,1.38%
Jan 04  2016,26.80,26.85,26.92,26.09,358.23K,-0.45%
Dec 31  2015,26.92,27.13,27.64,26.79,344.86K,0.30%
Dec 30  2015,26.84,27.36,27.71,26.64,278.48K,-2.12%
Dec 29  2015,27.42,27.39,27.54,26.61,231.65K,0.73%
Dec 24  2015,27.22,27.10,27.41,27.06,120.37K,0.41%
Dec 23  2015,27.11,26.47,27.25,26.46,313.11K,3.12%
Dec 22  2015,26.29,26.52,26.67,26.18,254.99K,-1.05%
Dec 21  2015,26.57,27.30,28.00,26.48,247.13K,-3.49%
Dec 18  2015,27.53,27.82,28.01,26.83,271.50K,-1.50%
Dec 17  2015,27.95,28.10,28.77,27.86,226.83K,-0.36%
Dec 16  2015,28.05,28.00,28.27,27.75,235.91K,1.26%
Dec 15  2015,27.70,26.66,27.74,26.52,275.46K,5.12%
Dec 14  2015,26.35,26.78,27.08,26.22,320.42K,-1.79%
Dec 11  2015,26.83,27.67,27.85,26.75,424.01K,-3.18%
Dec 10  2015,27.71,28.33,28.42,27.67,274.28K,-2.50%
Dec 09  2015,28.42,28.51,29.33,28.18,271.84K,-0.35%
Dec 08  2015,28.52,29.80,29.80,28.40,676.41K,-5.53%
Dec 07  2015,30.19,31.93,32.29,30.03,171.40K,-4.73%
Dec 04  2015,31.69,31.44,31.84,30.76,142.23K,0.03%
Dec 03  2015,31.68,32.99,33.10,31.63,254.55K,-3.15%
Dec 02  2015,32.71,33.49,33.50,32.38,249.27K,-2.01%
Dec 01  2015,33.38,33.38,33.75,33.02,153.15K,1.27%
Nov 30  2015,32.96,33.21,33.41,32.84,176.30K,-0.90%
Nov 27  2015,33.26,33.54,34.13,33.07,128.61K,-0.81%
Nov 26  2015,33.53,33.01,33.75,33.00,86.59K,1.95%
Nov 25  2015,32.89,33.35,33.45,32.68,201.53K,-1.32%
Nov 24  2015,33.33,33.32,33.67,33.19,166.83K,0.03%
Nov 23  2015,33.32,33.15,33.55,32.88,134.59K,0.27%
Nov 20  2015,33.23,32.84,33.52,32.12,291.28K,1.93%
Nov 19  2015,32.60,32.67,33.31,32.53,209.18K,-0.46%
Nov 18  2015,32.75,33.57,33.85,32.69,189.05K,-2.59%
Nov 17  2015,33.62,33.47,33.81,33.24,170.23K,0.27%
Nov 16  2015,33.53,32.69,33.62,32.53,212.35K,2.29%
Nov 13  2015,32.78,33.63,33.63,32.53,154.15K,-1.83%
Nov 12  2015,33.39,32.96,33.81,32.81,280.18K,1.03%
Nov 11  2015,33.05,33.30,33.31,32.77,188.29K,-0.60%
Nov 10  2015,33.25,32.65,33.40,32.65,308.40K,1.22%
Nov 09  2015,32.85,33.08,33.19,32.23,263.73K,-1.11%
Nov 06  2015,33.22,33.80,33.85,33.05,264.20K,-0.09%
Nov 05  2015,33.25,32.25,33.58,30.90,738.19K,0.42%
Nov 04  2015,33.11,31.47,33.36,31.38,518.28K,5.31%
Nov 03  2015,31.44,31.41,31.80,31.09,194.21K,-0.19%
Nov 02  2015,31.50,31.85,31.95,31.26,139.54K,-1.10%
Oct 30  2015,31.85,31.47,32.19,31.25,181.33K,1.21%
Oct 29  2015,31.47,31.44,31.85,31.29,132.51K,-0.10%
Oct 28  2015,31.50,31.57,32.00,31.31,233.79K,0.00%
Oct 27  2015,31.50,31.75,31.75,31.25,188.81K,-1.10%
Oct 26  2015,31.85,32.00,32.40,31.82,253.32K,-0.47%
Oct 23  2015,32.00,31.07,32.40,31.07,125.56K,2.50%
Oct 22  2015,31.22,31.47,31.47,30.67,223.81K,0.06%
Oct 21  2015,31.20,31.81,31.98,31.12,86.50K,-1.89%
Oct 20  2015,31.80,31.53,31.93,30.92,150.21K,2.09%
Oct 19  2015,31.15,31.24,31.24,30.14,103.55K,0.13%
Oct 16  2015,31.11,31.56,31.56,30.83,218.89K,-0.77%
Oct 15  2015,31.35,31.29,31.65,30.73,223.55K,0.90%
Oct 14  2015,31.07,32.80,32.81,30.70,344.97K,-5.39%
Oct 13  2015,32.84,33.90,33.90,32.65,132.52K,-3.21%
Oct 09  2015,33.93,33.63,34.10,33.00,294.97K,1.53%
Oct 08  2015,33.42,33.00,34.49,32.45,270.49K,1.49%
Oct 07  2015,32.93,32.25,33.08,32.07,257.29K,2.59%
Oct 06  2015,32.10,32.19,32.25,31.41,312.08K,-0.31%
Oct 05  2015,32.20,32.45,32.82,32.08,266.81K,-0.22%
Oct 02  2015,32.27,32.08,32.40,31.95,325.32K,-0.40%
Oct 01  2015,32.40,32.23,32.45,32.04,215.43K,1.16%
Sep 30  2015,32.03,32.52,32.52,31.70,226.00K,-0.93%
Sep 29  2015,32.33,32.18,32.40,31.61,149.47K,0.56%
Sep 28  2015,32.15,31.70,32.52,31.70,192.11K,-0.46%
Sep 25  2015,32.30,31.77,32.50,31.76,200.02K,2.54%
Sep 24  2015,31.50,31.00,31.86,30.50,154.13K,1.71%
Sep 23  2015,30.97,31.32,31.59,30.67,243.44K,-0.99%
Sep 22  2015,31.28,31.97,32.31,30.76,374.36K,-3.22%
Sep 21  2015,32.32,32.48,32.67,31.94,332.86K,0.09%
Sep 18  2015,32.29,32.36,32.76,31.71,416.38K,-0.58%
Sep 17  2015,32.48,32.52,32.91,32.03,356.96K,-0.64%
Sep 16  2015,32.69,31.78,32.80,31.75,334.76K,3.78%
Sep 15  2015,31.50,29.58,31.54,29.58,504.15K,7.44%
Sep 14  2015,29.32,28.49,29.41,28.44,415.61K,2.99%
Sep 11  2015,28.47,28.19,28.79,28.07,166.87K,0.78%
Sep 10  2015,28.25,28.39,28.62,27.90,612.41K,-0.63%
