Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,5.35,4.85,5.37,4.85,3.33M,14.56%
Apr 18  2016,4.67,4.23,4.73,4.21,2.28M,9.62%
Apr 15  2016,4.26,4.14,4.31,4.07,1.16M,0.00%
Apr 14  2016,4.26,4.58,4.64,4.24,1.48M,-6.17%
Apr 13  2016,4.54,4.55,4.77,4.48,3.67M,3.65%
Apr 12  2016,4.38,4.20,4.42,4.10,5.19M,6.83%
Apr 11  2016,4.10,4.15,4.17,4.06,1.66M,2.24%
Apr 08  2016,4.01,4.04,4.12,4.00,1.91M,1.78%
Apr 07  2016,3.94,4.28,4.34,3.77,2.23M,-10.86%
Apr 06  2016,4.42,4.43,4.44,4.25,1.33M,1.61%
Apr 05  2016,4.35,4.40,4.42,4.23,1.01M,-1.36%
Apr 04  2016,4.41,4.65,4.75,4.33,1.05M,-5.77%
Apr 01  2016,4.68,4.63,4.74,4.50,1.26M,-1.68%
Mar 31  2016,4.76,4.81,4.98,4.70,1.27M,-2.26%
Mar 30  2016,4.87,4.83,5.05,4.63,1.81M,0.41%
Mar 29  2016,4.85,4.86,4.92,4.63,1.34M,-2.22%
Mar 28  2016,4.96,4.98,5.00,4.79,789.73K,0.00%
Mar 24  2016,4.96,4.86,5.13,4.76,1.26M,-2.94%
Mar 23  2016,5.11,5.31,5.37,4.95,1.98M,-6.92%
Mar 22  2016,5.49,5.29,5.50,5.25,929.64K,2.81%
Mar 21  2016,5.34,5.30,5.49,5.21,835.50K,0.19%
Mar 18  2016,5.33,5.34,5.48,5.14,2.15M,1.14%
Mar 17  2016,5.27,5.01,5.37,4.92,2.63M,11.42%
Mar 16  2016,4.73,4.53,4.82,4.33,2.58M,6.05%
Mar 15  2016,4.46,4.81,4.85,4.40,2.43M,-9.35%
Mar 14  2016,4.92,5.08,5.11,4.85,1.13M,-2.96%
Mar 11  2016,5.07,5.40,5.40,5.06,1.29M,-2.12%
Mar 10  2016,5.18,5.15,5.42,5.03,1.67M,-0.19%
Mar 09  2016,5.19,4.96,5.22,4.73,1.79M,6.35%
Mar 08  2016,4.88,4.82,5.09,4.57,2.34M,-6.51%
Mar 07  2016,5.22,5.60,5.74,5.05,3.00M,-5.43%
Mar 04  2016,5.52,5.43,5.94,5.23,5.09M,8.02%
Mar 03  2016,5.11,4.66,5.20,4.62,2.75M,11.57%
Mar 02  2016,4.58,4.20,4.60,4.20,2.23M,11.98%
Mar 01  2016,4.09,4.02,4.10,3.85,2.16M,2.51%
Feb 29  2016,3.99,3.90,4.00,3.75,1.45M,5.28%
Feb 26  2016,3.79,3.95,4.06,3.77,1.99M,4.99%
Feb 25  2016,3.61,3.41,3.75,3.40,2.48M,1.69%
Feb 24  2016,3.55,3.26,3.61,3.14,1.77M,3.50%
Feb 23  2016,3.43,3.82,3.83,3.37,1.52M,-7.80%
Feb 22  2016,3.72,3.75,3.95,3.71,2.12M,8.14%
Feb 19  2016,3.44,3.33,3.50,3.19,1.34M,2.69%
Feb 18  2016,3.35,3.50,3.53,3.18,2.10M,-4.56%
Feb 17  2016,3.51,3.13,3.56,3.13,2.91M,16.61%
Feb 16  2016,3.01,2.91,3.05,2.74,1.45M,10.66%
Feb 12  2016,2.72,2.59,2.76,2.58,1.68M,10.57%
Feb 11  2016,2.46,2.50,2.53,2.39,1.47M,-3.53%
Feb 10  2016,2.55,2.63,2.78,2.49,1.98M,2.82%
Feb 09  2016,2.48,2.63,2.68,2.46,1.63M,-10.47%
Feb 08  2016,2.77,2.99,3.04,2.77,1.78M,-9.18%
Feb 05  2016,3.05,2.92,3.08,2.88,2.47M,-0.97%
Feb 04  2016,3.08,2.87,3.15,2.87,4.02M,10.79%
Feb 03  2016,2.78,2.64,2.84,2.54,2.21M,11.20%
Feb 02  2016,2.50,2.63,2.64,2.41,3.62M,-7.06%
Feb 01  2016,2.69,2.69,2.85,2.56,2.64M,-2.54%
Jan 29  2016,2.76,2.41,2.76,2.40,3.00M,15.97%
Jan 28  2016,2.38,2.42,2.44,2.29,5.75M,4.85%
Jan 27  2016,2.27,2.36,2.41,2.27,11.37M,-3.40%
Jan 26  2016,2.35,2.48,2.48,2.26,6.94M,0.86%
Jan 25  2016,2.33,2.66,2.68,2.31,1.62M,-11.07%
Jan 22  2016,2.62,2.76,2.90,2.53,1.82M,1.95%
Jan 21  2016,2.57,2.57,2.92,2.50,2.16M,-1.53%
Jan 20  2016,2.61,2.85,2.85,2.27,2.85M,-9.06%
Jan 19  2016,2.87,3.20,3.25,2.75,1.36M,-3.37%
Jan 18  2016,2.97,3.00,3.09,2.88,2.56M,1.02%
Jan 15  2016,2.94,2.89,3.03,2.80,1.62M,-2.97%
Jan 14  2016,3.03,3.26,3.26,2.95,3.41M,-14.65%
Jan 13  2016,3.55,3.83,3.92,3.47,1.58M,-5.08%
Jan 12  2016,3.74,4.20,4.20,3.67,1.77M,-8.56%
Jan 11  2016,4.09,4.44,4.49,4.09,1.31M,-11.47%
Jan 08  2016,4.62,4.71,4.77,4.52,1.01M,-1.49%
Jan 07  2016,4.69,5.11,5.11,4.65,2.75M,-12.17%
Jan 06  2016,5.34,5.48,5.55,5.29,1.01M,-4.13%
Jan 05  2016,5.57,5.44,5.70,5.44,847.13K,2.20%
Jan 04  2016,5.45,5.18,5.45,5.07,735.54K,2.64%
Dec 31  2015,5.31,5.42,5.48,5.22,375.21K,-1.48%
Dec 30  2015,5.39,5.49,5.54,5.34,278.14K,-1.46%
Dec 29  2015,5.47,5.71,5.76,5.38,461.62K,-4.37%
Dec 24  2015,5.72,5.65,5.78,5.53,287.86K,0.35%
Dec 23  2015,5.70,5.39,5.79,5.34,1.55M,9.83%
Dec 22  2015,5.19,5.00,5.27,5.00,2.73M,3.18%
Dec 21  2015,5.03,4.93,5.13,4.75,1.48M,4.79%
Dec 18  2015,4.80,4.77,5.07,4.76,1.57M,2.13%
Dec 17  2015,4.70,4.57,4.74,4.50,1.44M,-3.89%
Dec 16  2015,4.89,4.63,4.94,4.60,1.34M,8.19%
Dec 15  2015,4.52,4.81,4.88,4.51,1.18M,-3.00%
Dec 14  2015,4.66,5.26,5.26,4.63,1.68M,-11.07%
Dec 11  2015,5.24,5.24,5.41,5.18,620.62K,-2.60%
Dec 10  2015,5.38,5.44,5.59,5.27,1.68M,-0.74%
Dec 09  2015,5.42,5.40,5.53,5.22,973.23K,4.03%
Dec 08  2015,5.21,5.39,5.39,5.06,855.28K,-4.05%
Dec 07  2015,5.43,6.06,6.07,5.29,1.38M,-11.42%
Dec 04  2015,6.13,6.15,6.21,5.96,557.76K,0.82%
Dec 03  2015,6.08,5.91,6.18,5.91,968.81K,3.05%
Dec 02  2015,5.90,6.11,6.11,5.84,694.60K,-3.28%
Dec 01  2015,6.10,5.99,6.22,5.99,745.62K,2.87%
Nov 30  2015,5.93,5.77,6.00,5.77,575.03K,1.02%
Nov 27  2015,5.87,5.80,5.89,5.65,409.34K,-0.34%
Nov 26  2015,5.89,5.85,6.00,5.77,242.22K,3.33%
Nov 25  2015,5.70,5.68,5.92,5.62,655.75K,-0.35%
Nov 24  2015,5.72,5.60,5.74,5.59,456.73K,3.44%
Nov 23  2015,5.53,5.54,5.63,5.46,888.24K,-2.98%
Nov 20  2015,5.70,5.60,5.80,5.54,1.06M,3.45%
Nov 19  2015,5.51,5.52,5.57,5.38,431.66K,-0.36%
Nov 18  2015,5.53,5.39,5.63,5.34,1.07M,3.56%
Nov 17  2015,5.34,5.25,5.37,5.07,955.50K,2.50%
Nov 16  2015,5.21,5.33,5.40,5.12,583.31K,-0.76%
Nov 13  2015,5.25,5.39,5.47,5.21,902.84K,-2.23%
Nov 12  2015,5.37,5.45,5.53,5.19,1.38M,-4.28%
Nov 11  2015,5.61,6.03,6.13,5.54,1.94M,-8.03%
Nov 10  2015,6.10,6.80,6.82,6.07,1.92M,-11.47%
Nov 09  2015,6.89,6.98,7.08,6.72,1.04M,-1.43%
Nov 06  2015,6.99,6.51,6.99,6.43,1.35M,8.20%
Nov 05  2015,6.46,6.58,6.58,6.36,2.24M,-2.56%
Nov 04  2015,6.63,6.76,7.05,6.58,2.17M,-1.78%
Nov 03  2015,6.75,6.79,7.02,6.67,1.06M,-1.89%
Nov 02  2015,6.88,6.66,7.06,6.62,782.59K,1.33%
Oct 30  2015,6.79,6.60,6.94,6.57,973.50K,2.88%
Oct 29  2015,6.60,6.69,6.85,6.57,2.11M,-3.23%
Oct 28  2015,6.82,6.61,7.07,6.49,1.72M,2.71%
Oct 27  2015,6.64,6.65,6.73,6.48,721.11K,-1.34%
Oct 26  2015,6.73,6.88,6.89,6.57,848.28K,-1.90%
Oct 23  2015,6.86,6.71,6.94,6.53,1.03M,2.69%
Oct 22  2015,6.68,6.47,6.69,6.24,909.88K,7.05%
Oct 21  2015,6.24,6.20,6.33,6.07,1.36M,-1.89%
Oct 20  2015,6.36,6.24,6.50,6.17,1.37M,-0.16%
Oct 19  2015,6.37,6.67,6.67,6.10,1.12M,-4.93%
Oct 16  2015,6.70,7.13,7.14,6.68,844.66K,-5.50%
Oct 15  2015,7.09,7.16,7.42,7.01,877.22K,-0.42%
Oct 14  2015,7.12,7.01,7.32,7.00,781.04K,1.28%
Oct 13  2015,7.03,6.80,7.10,6.64,819.92K,-2.63%
Oct 09  2015,7.22,7.71,7.85,7.22,1.64M,4.49%
Oct 08  2015,6.91,6.70,7.04,6.41,1.21M,0.44%
Oct 07  2015,6.88,6.55,7.01,6.44,2.46M,9.90%
Oct 06  2015,6.26,5.90,6.31,5.78,1.81M,7.93%
Oct 05  2015,5.80,5.42,5.98,5.41,2.54M,9.02%
Oct 02  2015,5.32,5.00,5.33,4.91,1.40M,6.19%
