Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,16.80,16.84,17.00,16.63,193.51K,-0.47%
Apr 18  2016,16.88,16.69,17.02,16.54,217.75K,1.20%
Apr 15  2016,16.68,16.82,16.82,16.45,287.74K,-0.77%
Apr 14  2016,16.81,17.10,17.10,16.75,182.52K,-1.29%
Apr 13  2016,17.03,16.99,17.15,16.82,330.68K,0.53%
Apr 12  2016,16.94,16.98,17.06,16.77,280.59K,0.24%
Apr 11  2016,16.90,17.04,17.15,16.81,305.43K,0.00%
Apr 08  2016,16.90,17.45,17.45,16.66,270.76K,-2.14%
Apr 07  2016,17.27,17.74,17.76,17.06,371.16K,-2.70%
Apr 06  2016,17.75,18.10,18.28,17.69,270.02K,-1.44%
Apr 05  2016,18.01,19.62,19.69,17.63,802.82K,-2.91%
Apr 04  2016,18.55,18.68,18.76,18.50,136.06K,0.27%
Apr 01  2016,18.50,19.07,19.20,18.48,246.19K,-3.60%
Mar 31  2016,19.19,18.20,19.50,18.20,472.22K,5.44%
Mar 30  2016,18.20,17.91,18.24,17.84,162.87K,2.42%
Mar 29  2016,17.77,17.83,18.00,17.71,104.56K,-0.50%
Mar 28  2016,17.86,17.87,18.06,17.65,162.98K,0.39%
Mar 24  2016,17.79,17.60,17.80,17.34,166.30K,0.51%
Mar 23  2016,17.70,17.77,18.00,17.62,131.21K,-0.51%
Mar 22  2016,17.79,18.19,18.27,17.45,245.48K,-2.63%
Mar 21  2016,18.27,18.46,18.50,18.11,161.44K,-0.92%
Mar 18  2016,18.44,18.25,18.50,18.24,318.84K,1.15%
Mar 17  2016,18.23,17.42,18.39,17.38,261.14K,5.07%
Mar 16  2016,17.35,17.13,17.38,17.04,154.24K,1.64%
Mar 15  2016,17.07,17.49,17.52,16.93,227.95K,-2.40%
Mar 14  2016,17.49,17.85,17.90,17.46,119.50K,-1.58%
Mar 11  2016,17.77,17.56,17.96,17.55,208.21K,2.72%
Mar 10  2016,17.30,18.17,18.25,17.25,337.78K,-3.89%
Mar 09  2016,18.00,17.87,18.60,17.60,309.74K,2.51%
Mar 08  2016,17.56,18.32,18.32,17.47,284.88K,-4.57%
Mar 07  2016,18.40,17.60,18.44,17.25,327.93K,7.23%
Mar 04  2016,17.16,17.11,17.44,17.10,198.44K,0.88%
Mar 03  2016,17.01,16.37,17.10,16.30,433.78K,3.91%
Mar 02  2016,16.37,17.30,17.30,16.28,557.53K,-5.87%
Mar 01  2016,17.39,17.27,17.49,17.15,233.75K,1.58%
Feb 29  2016,17.12,16.85,17.23,16.85,158.22K,2.03%
Feb 26  2016,16.78,16.81,17.04,16.70,217.92K,0.30%
Feb 25  2016,16.73,16.41,16.77,16.30,181.30K,2.20%
Feb 24  2016,16.37,16.32,16.65,16.05,268.63K,-0.49%
Feb 23  2016,16.45,16.84,16.99,16.33,239.61K,0.98%
Feb 22  2016,16.29,16.19,16.82,16.10,254.37K,1.75%
