Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,17.42,17.05,17.49,16.99,1.77M,2.65%
Apr 18  2016,16.97,16.21,17.11,16.13,2.13M,0.89%
Apr 15  2016,16.82,16.50,16.87,16.39,1.09M,0.60%
Apr 14  2016,16.72,16.95,16.99,16.47,1.36M,-0.77%
Apr 13  2016,16.85,16.89,17.01,16.58,1.36M,0.42%
Apr 12  2016,16.78,16.20,17.04,16.05,2.09M,4.42%
Apr 11  2016,16.07,15.88,16.21,15.78,1.16M,1.90%
Apr 08  2016,15.77,15.88,16.20,15.71,1.18M,1.41%
Apr 07  2016,15.55,15.32,15.56,15.23,1.01M,-0.13%
Apr 06  2016,15.57,14.85,15.57,14.81,1.40M,5.99%
Apr 05  2016,14.69,14.82,14.95,14.63,767.37K,-1.61%
Apr 04  2016,14.93,15.60,15.64,14.80,1.15M,-4.05%
Apr 01  2016,15.56,15.89,15.98,15.35,1.02M,-3.77%
Mar 31  2016,16.17,16.03,16.26,15.91,2.23M,0.43%
Mar 30  2016,16.10,15.74,16.30,15.70,1.77M,3.60%
Mar 29  2016,15.54,15.55,15.68,15.33,1.26M,-1.89%
Mar 28  2016,15.84,15.82,15.90,15.44,633.87K,0.70%
Mar 24  2016,15.73,15.16,15.85,15.16,846.56K,1.94%
Mar 23  2016,15.43,16.32,16.35,15.43,1.72M,-5.45%
Mar 22  2016,16.32,16.35,16.49,16.23,1.37M,-0.31%
Mar 21  2016,16.37,16.30,16.52,16.24,1.76M,0.49%
Mar 18  2016,16.29,16.37,16.43,16.17,4.46M,-0.73%
Mar 17  2016,16.41,16.42,16.70,16.37,1.91M,1.23%
Mar 16  2016,16.21,16.60,16.69,15.91,1.84M,-1.34%
Mar 15  2016,16.43,16.21,16.44,16.10,1.33M,0.43%
Mar 14  2016,16.36,16.28,16.46,15.94,1.38M,-1.15%
Mar 11  2016,16.55,16.37,16.67,16.29,1.84M,2.86%
Mar 10  2016,16.09,16.10,16.35,15.70,1.98M,-1.17%
Mar 09  2016,16.28,16.75,16.79,16.24,2.44M,-0.97%
Mar 08  2016,16.44,16.75,16.75,16.09,2.48M,-2.38%
Mar 07  2016,16.84,16.38,17.09,16.37,3.78M,5.85%
Mar 04  2016,15.91,15.81,16.08,15.69,2.24M,1.66%
Mar 03  2016,15.65,15.78,15.80,15.56,2.51M,-0.51%
Mar 02  2016,15.73,15.59,15.87,15.37,1.78M,0.58%
Mar 01  2016,15.64,15.04,15.86,15.02,2.32M,6.03%
Feb 29  2016,14.75,14.29,14.76,14.25,2.11M,4.98%
Feb 26  2016,14.05,13.73,14.53,13.66,1.90M,4.46%
Feb 25  2016,13.45,13.56,13.58,13.11,1.14M,-0.81%
Feb 24  2016,13.56,13.03,13.61,12.92,1.53M,1.35%
Feb 23  2016,13.38,13.74,13.86,13.30,1.36M,-3.25%
Feb 22  2016,13.83,13.55,13.86,13.55,1.43M,4.30%
Feb 19  2016,13.26,13.13,13.39,13.05,1.38M,-1.34%
Feb 18  2016,13.44,13.30,13.69,13.06,2.33M,1.51%
Feb 17  2016,13.24,12.73,13.38,12.59,1.51M,5.50%
Feb 16  2016,12.55,12.43,12.57,12.09,1.34M,3.46%
Feb 12  2016,12.13,11.95,12.28,11.83,2.05M,3.94%
Feb 11  2016,11.67,12.00,12.26,11.50,2.47M,-4.73%
Feb 10  2016,12.25,12.55,12.80,12.17,1.72M,-3.69%
Feb 09  2016,12.72,12.85,13.00,12.45,1.83M,-2.15%
Feb 08  2016,13.00,13.12,13.34,12.78,2.46M,-1.37%
Feb 05  2016,13.18,13.59,13.67,13.04,2.47M,-3.02%
Feb 04  2016,13.59,13.72,14.03,13.46,1.94M,0.30%
Feb 03  2016,13.55,13.40,13.64,12.77,2.31M,3.28%
Feb 02  2016,13.12,13.12,13.32,13.00,874.71K,-2.53%
Feb 01  2016,13.46,13.73,13.79,13.15,1.49M,-3.44%
Jan 29  2016,13.94,14.31,14.38,13.58,1.88M,-1.62%
Jan 28  2016,14.17,14.14,14.24,13.56,2.37M,4.11%
Jan 27  2016,13.61,13.46,13.93,13.28,1.87M,0.07%
Jan 26  2016,13.60,13.57,13.80,13.44,1.89M,1.80%
Jan 25  2016,13.36,13.78,13.86,13.29,1.72M,-4.43%
Jan 22  2016,13.98,14.33,14.51,13.80,2.97M,1.08%
Jan 21  2016,13.83,12.52,14.05,12.34,2.79M,8.39%
Jan 20  2016,12.76,11.93,12.93,11.34,4.58M,-3.33%
Jan 19  2016,13.20,12.98,13.50,12.84,2.22M,3.21%
Jan 18  2016,12.79,12.53,12.88,12.53,721.58K,0.08%
Jan 15  2016,12.78,12.49,12.96,12.40,2.24M,-2.67%
Jan 14  2016,13.13,12.53,13.24,12.25,1.79M,5.12%
Jan 13  2016,12.49,13.03,13.10,12.44,1.32M,-2.27%
Jan 12  2016,12.78,13.16,13.23,12.36,1.60M,-1.99%
Jan 11  2016,13.04,13.31,13.39,12.95,937.48K,-2.69%
Jan 08  2016,13.40,13.42,13.49,13.00,1.35M,1.13%
Jan 07  2016,13.25,14.01,14.15,13.21,1.58M,-6.95%
Jan 06  2016,14.24,14.25,14.59,14.13,1.30M,-3.13%
Jan 05  2016,14.70,14.29,14.72,14.13,1.59M,2.80%
Jan 04  2016,14.30,14.23,14.52,13.89,1.42M,-0.07%
Dec 31  2015,14.31,14.22,14.33,14.05,600.62K,1.27%
Dec 30  2015,14.13,14.53,14.67,14.11,604.81K,-3.55%
Dec 29  2015,14.65,14.85,15.07,14.52,815.14K,-1.01%
Dec 24  2015,14.80,15.03,15.11,14.75,663.04K,-0.74%
Dec 23  2015,14.91,14.55,14.95,14.55,1.61M,3.47%
Dec 22  2015,14.41,14.43,14.52,14.31,1.05M,0.07%
Dec 21  2015,14.40,14.48,14.72,14.30,1.52M,0.07%
