Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,40.15,39.93,40.29,39.68,444.06K,0.75%
Apr 18  2016,39.85,39.37,39.85,39.12,113.06K,0.43%
Apr 15  2016,39.68,39.39,39.80,39.01,117.17K,0.40%
Apr 14  2016,39.52,39.46,39.69,38.77,224.98K,0.03%
Apr 13  2016,39.51,39.45,39.59,39.09,279.88K,0.36%
Apr 12  2016,39.37,38.71,39.47,38.58,333.76K,1.60%
Apr 11  2016,38.75,39.05,39.35,38.73,103.63K,-0.54%
Apr 08  2016,38.96,38.96,39.54,38.81,200.85K,0.44%
Apr 07  2016,38.79,39.24,39.24,38.63,293.17K,-1.55%
Apr 06  2016,39.40,39.20,39.40,38.81,216.55K,0.51%
Apr 05  2016,39.20,39.24,39.24,38.66,192.23K,-0.38%
Apr 04  2016,39.35,39.01,39.40,39.01,145.59K,0.79%
Apr 01  2016,39.04,39.02,39.12,38.47,225.10K,-0.41%
Mar 31  2016,39.20,38.93,39.38,38.64,230.79K,0.49%
Mar 30  2016,39.01,38.68,39.47,38.63,182.71K,2.50%
Mar 29  2016,38.06,37.58,38.23,37.52,225.15K,0.82%
Mar 28  2016,37.75,37.67,37.79,37.40,72.88K,0.29%
Mar 24  2016,37.64,37.50,37.74,36.82,253.81K,0.29%
Mar 23  2016,37.53,37.89,37.89,37.16,117.19K,-0.61%
Mar 22  2016,37.76,38.28,38.30,37.75,275.82K,-1.92%
Mar 21  2016,38.50,38.29,38.66,38.07,113.34K,0.52%
Mar 18  2016,38.30,38.61,38.78,37.63,389.51K,-0.52%
Mar 17  2016,38.50,38.41,38.83,38.41,543.57K,0.26%
Mar 16  2016,38.40,38.49,38.79,38.24,186.41K,-0.13%
Mar 15  2016,38.45,38.12,38.57,37.95,179.04K,0.50%
Mar 14  2016,38.26,38.58,38.90,38.06,136.63K,-0.91%
Mar 11  2016,38.61,38.08,38.65,37.82,582.27K,2.03%
Mar 10  2016,37.84,37.57,37.99,37.23,178.28K,0.93%
Mar 09  2016,37.49,37.63,38.42,37.49,338.27K,0.37%
Mar 08  2016,37.35,37.40,37.67,37.25,201.44K,-0.40%
Mar 07  2016,37.50,36.86,37.66,36.82,267.11K,1.63%
Mar 04  2016,36.90,36.97,37.01,36.75,129.30K,0.16%
Mar 03  2016,36.84,36.80,37.30,36.64,190.14K,-0.16%
Mar 02  2016,36.90,36.90,37.10,36.38,325.87K,0.00%
Mar 01  2016,36.90,36.59,37.22,36.57,253.07K,1.46%
Feb 29  2016,36.37,36.65,36.75,36.00,207.74K,-0.03%
Feb 26  2016,36.38,37.03,37.16,36.38,175.13K,-0.38%
Feb 25  2016,36.52,36.01,36.77,36.01,243.04K,1.67%
Feb 24  2016,35.92,35.79,36.07,35.39,411.96K,-1.29%
Feb 23  2016,36.39,37.65,37.71,36.38,230.54K,-3.12%
Feb 22  2016,37.56,37.86,38.54,37.51,203.42K,-0.27%
Feb 19  2016,37.66,37.70,38.34,37.40,256.07K,-0.66%
Feb 18  2016,37.91,38.12,38.39,37.85,224.81K,-0.11%
Feb 17  2016,37.95,37.84,38.49,37.52,284.22K,1.66%
Feb 16  2016,37.33,37.34,37.59,36.46,317.72K,2.36%
Feb 12  2016,36.47,36.57,37.13,36.27,247.79K,0.91%
Feb 11  2016,36.14,35.01,36.68,35.00,224.34K,-3.99%
Feb 10  2016,37.64,37.96,38.99,37.43,235.71K,0.00%
Feb 09  2016,37.64,39.22,39.24,37.43,329.74K,-4.13%
Feb 08  2016,39.26,39.81,40.04,38.82,189.58K,-3.30%
Feb 05  2016,40.60,40.53,40.95,40.00,183.46K,-0.20%
Feb 04  2016,40.68,40.39,40.91,40.10,320.73K,0.84%
Feb 03  2016,40.34,40.99,40.99,39.73,249.31K,-0.81%
Feb 02  2016,40.67,41.79,41.86,40.62,194.20K,-3.40%
Feb 01  2016,42.10,40.92,42.29,40.92,185.40K,1.23%
Jan 29  2016,41.59,41.21,41.85,40.59,250.56K,1.09%
Jan 28  2016,41.14,40.79,41.42,40.43,112.51K,1.08%
Jan 27  2016,40.70,39.97,41.11,39.90,142.18K,2.29%
Jan 26  2016,39.79,39.90,40.25,39.60,71.44K,-0.05%
