Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,3.95,3.75,3.98,3.75,3.37M,8.52%
Apr 18  2016,3.64,3.77,3.78,3.61,2.03M,-0.55%
Apr 15  2016,3.66,3.48,3.71,3.44,2.37M,6.71%
Apr 14  2016,3.43,3.56,3.63,3.35,2.62M,-4.72%
Apr 13  2016,3.60,3.59,3.74,3.57,2.11M,-2.96%
Apr 12  2016,3.71,3.64,3.79,3.56,3.19M,2.49%
Apr 11  2016,3.62,3.42,3.65,3.38,3.39M,10.37%
Apr 08  2016,3.28,3.10,3.28,3.07,2.97M,5.13%
Apr 07  2016,3.12,3.05,3.13,3.03,1.85M,4.70%
Apr 06  2016,2.98,2.94,2.98,2.90,1.82M,-0.67%
Apr 05  2016,3.00,2.93,3.00,2.86,3.17M,5.26%
Apr 04  2016,2.85,2.94,2.94,2.82,1.13M,-3.06%
Apr 01  2016,2.94,2.79,2.94,2.76,1.81M,2.80%
Mar 31  2016,2.86,2.93,2.97,2.83,1.53M,0.00%
Mar 30  2016,2.86,2.84,2.90,2.76,1.97M,-1.04%
Mar 29  2016,2.89,2.75,2.92,2.69,2.05M,6.64%
Mar 28  2016,2.71,2.77,2.79,2.66,1.31M,-1.81%
Mar 24  2016,2.76,2.73,2.80,2.69,1.70M,2.99%
Mar 23  2016,2.68,2.73,2.88,2.68,2.22M,-5.96%
Mar 22  2016,2.85,2.93,2.96,2.84,1.85M,1.42%
Mar 21  2016,2.81,2.78,2.98,2.76,2.54M,-0.35%
Mar 18  2016,2.82,2.82,2.88,2.74,2.73M,0.00%
Mar 17  2016,2.82,3.06,3.08,2.81,3.79M,-5.69%
Mar 16  2016,2.99,2.75,3.00,2.65,3.21M,6.79%
Mar 15  2016,2.80,2.75,2.80,2.62,2.16M,1.45%
Mar 14  2016,2.76,2.93,2.99,2.75,2.17M,-5.15%
Mar 11  2016,2.91,3.04,3.08,2.87,2.59M,-4.28%
Mar 10  2016,3.04,2.93,3.10,2.90,2.38M,6.67%
Mar 09  2016,2.85,2.85,2.91,2.75,3.12M,-3.06%
Mar 08  2016,2.94,3.22,3.22,2.93,5.64M,-6.37%
Mar 07  2016,3.14,3.31,3.37,3.10,4.91M,-1.87%
Mar 04  2016,3.20,3.44,3.70,3.12,6.18M,-6.98%
Mar 03  2016,3.44,3.18,3.48,3.17,2.77M,9.21%
Mar 02  2016,3.15,3.12,3.22,3.06,2.33M,2.27%
Mar 01  2016,3.08,3.31,3.32,3.05,3.10M,-6.10%
Feb 29  2016,3.28,3.21,3.31,3.19,2.03M,2.82%
