Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,39.25,39.33,39.42,39.12,231.67K,-0.13%
Apr 18  2016,39.30,39.10,39.63,38.98,263.39K,0.13%
Apr 15  2016,39.25,38.84,39.44,38.77,248.82K,0.77%
Apr 14  2016,38.95,39.09,39.20,38.88,152.78K,-0.10%
Apr 13  2016,38.99,38.74,39.41,38.71,210.40K,1.25%
Apr 12  2016,38.51,37.92,38.77,37.89,182.52K,1.85%
Apr 11  2016,37.81,37.60,38.23,37.58,270.80K,0.85%
Apr 08  2016,37.49,37.90,37.92,37.27,199.66K,-0.29%
Apr 07  2016,37.60,37.50,37.73,37.16,200.04K,0.08%
Apr 06  2016,37.57,37.80,38.04,37.50,252.36K,-0.50%
Apr 05  2016,37.76,38.31,38.33,37.55,194.46K,-2.13%
Apr 04  2016,38.58,38.36,38.70,38.05,236.13K,0.78%
Apr 01  2016,38.28,38.81,38.96,38.18,247.74K,-2.15%
Mar 31  2016,39.12,38.53,39.40,38.45,297.75K,1.90%
Mar 30  2016,38.39,38.50,38.68,38.29,240.05K,0.16%
Mar 29  2016,38.33,37.90,38.39,37.53,319.90K,-0.36%
Mar 28  2016,38.47,38.11,38.54,37.92,262.80K,0.71%
Mar 24  2016,38.20,37.80,38.23,37.55,183.11K,0.37%
Mar 23  2016,38.06,38.31,38.31,37.89,201.69K,-0.21%
Mar 22  2016,38.14,38.19,38.42,38.03,186.11K,-0.31%
Mar 21  2016,38.26,37.84,38.51,37.70,271.77K,1.32%
Mar 18  2016,37.76,38.40,38.54,37.50,1.09M,-1.33%
Mar 17  2016,38.27,37.17,38.38,37.16,325.20K,3.18%
Mar 16  2016,37.09,37.41,37.53,37.05,488.06K,-0.48%
Mar 15  2016,37.27,37.51,37.66,36.82,378.28K,-0.82%
Mar 14  2016,37.58,36.85,37.76,36.64,406.53K,2.40%
Mar 11  2016,36.70,36.51,36.75,36.15,148.78K,1.80%
Mar 10  2016,36.05,36.32,36.72,35.96,259.01K,-0.61%
Mar 09  2016,36.27,36.51,36.74,36.09,223.69K,-0.36%
Mar 08  2016,36.40,36.78,36.84,36.00,253.36K,-0.33%
Mar 07  2016,36.52,36.23,36.71,36.14,214.09K,1.28%
Mar 04  2016,36.06,36.22,36.43,36.05,265.58K,0.03%
Mar 03  2016,36.05,35.50,36.13,35.48,405.13K,1.75%
Mar 02  2016,35.43,35.37,35.64,35.12,285.75K,0.23%
Mar 01  2016,35.35,36.22,36.31,35.15,424.79K,-1.56%
Feb 29  2016,35.91,35.72,35.98,35.43,272.70K,1.47%
Feb 26  2016,35.39,35.31,35.69,35.16,285.98K,1.11%
Feb 25  2016,35.00,35.01,35.24,34.81,273.99K,0.03%
Feb 24  2016,34.99,34.36,35.07,33.84,233.87K,1.01%
Feb 23  2016,34.64,35.20,35.57,34.50,189.53K,-1.93%
Feb 22  2016,35.32,34.91,35.47,34.70,520.63K,2.58%
Feb 19  2016,34.43,34.53,34.58,34.01,187.62K,-1.01%
Feb 18  2016,34.78,35.02,35.02,34.60,229.88K,-0.20%
Feb 17  2016,34.85,33.91,34.86,33.76,310.71K,3.69%
Feb 16  2016,33.61,33.97,33.97,32.66,501.66K,2.13%
Feb 12  2016,32.91,31.88,32.99,31.88,512.97K,3.56%
Feb 11  2016,31.78,32.77,32.77,31.57,494.68K,-3.99%
Feb 10  2016,33.10,33.54,34.01,33.02,198.61K,-0.75%
