Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,41.03,40.49,41.11,40.22,871.70K,1.23%
Apr 18  2016,40.53,39.58,40.65,39.39,848.60K,1.32%
Apr 15  2016,40.00,40.11,40.44,40.00,661.02K,-1.43%
Apr 14  2016,40.58,40.47,40.96,40.37,1.04M,0.52%
Apr 13  2016,40.37,41.10,41.15,40.21,848.85K,-0.91%
Apr 12  2016,40.74,40.30,41.07,40.11,732.80K,1.88%
Apr 11  2016,39.99,41.07,41.39,39.99,814.48K,-2.34%
Apr 08  2016,40.95,41.27,41.74,40.75,532.41K,0.79%
Apr 07  2016,40.63,40.96,41.00,40.50,495.65K,-1.50%
Apr 06  2016,41.25,41.09,41.34,40.61,745.78K,1.60%
Apr 05  2016,40.60,40.99,41.37,40.51,590.64K,-1.29%
Apr 04  2016,41.13,42.43,42.66,41.02,812.07K,-3.06%
Apr 01  2016,42.43,42.97,43.07,42.03,610.36K,-2.21%
Mar 31  2016,43.39,43.10,43.63,43.09,629.48K,0.35%
Mar 30  2016,43.24,43.75,43.87,43.09,519.57K,-0.23%
Mar 29  2016,43.34,43.31,43.60,42.76,756.27K,-1.01%
Mar 28  2016,43.78,43.79,43.84,43.28,413.05K,0.09%
Mar 24  2016,43.74,42.80,43.94,42.53,642.03K,1.18%
Mar 23  2016,43.23,44.91,44.91,42.78,865.82K,-2.90%
Mar 22  2016,44.52,44.62,45.18,44.22,543.73K,-0.65%
Mar 21  2016,44.81,44.95,45.10,44.45,415.76K,-0.09%
Mar 18  2016,44.85,45.99,46.00,44.81,1.08M,-1.64%
Mar 17  2016,45.60,45.74,45.84,45.09,476.39K,0.73%
Mar 16  2016,45.27,45.96,46.25,44.87,571.97K,-1.26%
Mar 15  2016,45.85,44.13,45.97,44.07,890.37K,3.48%
Mar 14  2016,44.31,43.86,44.56,43.71,487.68K,-0.20%
Mar 11  2016,44.40,44.44,44.63,43.88,748.17K,1.95%
Mar 10  2016,43.55,44.00,44.44,43.19,581.90K,-1.31%
Mar 09  2016,44.13,45.46,45.61,44.03,718.22K,-0.52%
Mar 08  2016,44.36,44.50,44.90,43.79,751.15K,-0.63%
Mar 07  2016,44.64,44.20,45.19,44.13,948.64K,1.16%
Mar 04  2016,44.13,44.19,44.30,43.62,762.14K,0.91%
Mar 03  2016,43.73,43.58,44.24,43.35,790.90K,0.57%
Mar 02  2016,43.48,43.10,43.51,42.05,734.72K,0.67%
Mar 01  2016,43.19,43.40,43.50,42.64,640.12K,0.00%
Feb 29  2016,43.19,42.95,43.67,42.58,789.87K,1.22%
Feb 26  2016,42.67,43.27,43.79,42.30,437.41K,0.07%
Feb 25  2016,42.64,42.66,42.89,41.74,516.44K,-0.68%
