Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,13.79,13.62,13.79,13.55,116.48K,1.40%
Apr 18  2016,13.60,13.53,13.71,13.48,64.91K,0.22%
Apr 15  2016,13.57,13.64,13.77,13.49,103.05K,-0.29%
Apr 14  2016,13.61,13.65,13.69,13.55,72.29K,0.22%
Apr 13  2016,13.58,13.63,13.68,13.45,149.11K,0.67%
Apr 12  2016,13.49,13.70,13.75,13.45,257.90K,-1.39%
Apr 11  2016,13.68,13.75,13.76,13.61,138.63K,0.07%
Apr 08  2016,13.67,13.85,13.87,13.53,177.11K,-0.80%
Apr 07  2016,13.78,13.80,13.90,13.64,207.70K,-0.29%
Apr 06  2016,13.82,13.85,13.93,13.64,210.75K,-0.07%
Apr 05  2016,13.83,13.86,13.97,13.67,281.76K,-1.07%
Apr 04  2016,13.98,14.10,14.10,13.89,281.31K,-0.92%
Apr 01  2016,14.11,14.01,14.14,13.91,227.84K,0.00%
Mar 31  2016,14.11,14.30,14.30,14.02,314.76K,-0.28%
Mar 30  2016,14.15,14.13,14.31,13.94,724.87K,0.78%
Mar 29  2016,14.04,13.65,14.08,13.57,343.01K,0.79%
Mar 28  2016,13.93,13.85,14.03,13.76,158.19K,0.94%
Mar 24  2016,13.80,14.05,14.05,13.66,364.89K,-2.34%
Mar 23  2016,14.13,13.71,14.26,13.64,310.99K,3.29%
Mar 22  2016,13.68,13.28,13.75,13.21,217.02K,3.01%
Mar 21  2016,13.28,13.16,13.36,12.94,166.91K,0.84%
Mar 18  2016,13.17,13.25,13.27,12.55,1.38M,-0.15%
Mar 17  2016,13.19,13.09,13.22,12.98,160.35K,1.07%
Mar 16  2016,13.05,12.94,13.07,12.84,222.79K,0.69%
Mar 15  2016,12.96,12.79,13.00,12.70,208.85K,1.25%
Mar 14  2016,12.80,12.88,12.99,12.71,89.42K,-0.54%
Mar 11  2016,12.87,12.84,13.14,12.77,176.80K,0.23%
Mar 10  2016,12.84,13.24,13.35,12.75,213.19K,-3.17%
Mar 09  2016,13.26,13.25,13.47,13.14,149.86K,0.38%
Mar 08  2016,13.21,12.88,13.23,12.82,256.22K,2.09%
Mar 07  2016,12.94,12.73,13.00,12.59,241.03K,2.05%
Mar 04  2016,12.68,12.95,13.00,12.64,173.55K,-1.93%
Mar 03  2016,12.93,12.83,13.08,12.79,117.82K,0.70%
Mar 02  2016,12.84,12.85,12.90,12.65,240.52K,-0.08%
Mar 01  2016,12.85,12.75,13.08,12.72,178.30K,1.34%
Feb 29  2016,12.68,12.63,12.92,12.55,315.28K,0.56%
Feb 26  2016,12.61,12.91,13.12,12.55,233.53K,-1.02%
Feb 25  2016,12.74,12.58,12.85,12.47,289.51K,1.51%
Feb 24  2016,12.55,12.32,12.61,12.15,190.65K,1.62%
Feb 23  2016,12.35,12.31,12.38,12.19,117.00K,2.15%
Feb 22  2016,12.09,12.04,12.28,12.04,86.00K,0.42%
Feb 19  2016,12.04,12.34,12.50,11.90,204.07K,-3.29%
Feb 18  2016,12.45,12.05,12.48,12.01,91.89K,3.58%
Feb 17  2016,12.02,12.21,12.39,11.98,180.38K,-1.07%
Feb 16  2016,12.15,12.18,12.28,11.88,255.95K,-0.16%
Feb 12  2016,12.17,12.21,12.28,12.00,153.17K,0.66%
