Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,92.49,93.84,93.84,91.55,284.25K,-1.43%
Apr 18  2016,93.83,92.81,94.07,92.77,182.47K,0.95%
Apr 15  2016,92.95,92.35,93.24,92.15,167.46K,0.41%
Apr 14  2016,92.57,92.18,92.82,91.67,171.76K,0.24%
Apr 13  2016,92.35,91.22,92.64,91.22,196.39K,1.26%
Apr 12  2016,91.20,90.92,91.58,90.45,220.89K,0.31%
Apr 11  2016,90.92,91.01,91.35,90.50,168.65K,-0.46%
Apr 08  2016,91.34,91.12,91.84,90.96,205.31K,0.45%
Apr 07  2016,90.93,90.74,90.93,90.07,226.94K,-0.15%
Apr 06  2016,91.07,91.62,91.62,90.55,181.31K,-0.37%
Apr 05  2016,91.41,91.19,91.79,90.75,135.52K,0.24%
Apr 04  2016,91.19,91.26,91.82,90.34,222.75K,-0.04%
Apr 01  2016,91.23,90.90,91.43,90.20,99.80K,0.33%
Mar 31  2016,90.93,90.45,91.08,90.22,241.86K,0.58%
Mar 30  2016,90.41,90.19,90.48,89.50,142.69K,0.31%
Mar 29  2016,90.13,89.94,90.49,88.93,188.23K,0.31%
Mar 28  2016,89.85,89.62,89.99,89.08,169.62K,0.45%
Mar 24  2016,89.45,89.27,89.50,88.39,147.34K,0.03%
Mar 23  2016,89.42,89.12,89.80,88.96,100.12K,0.47%
Mar 22  2016,89.00,88.77,89.50,87.94,191.72K,-0.30%
Mar 21  2016,89.27,89.01,89.60,88.17,145.50K,0.08%
Mar 18  2016,89.20,89.24,89.45,88.60,201.92K,-0.11%
Mar 17  2016,89.30,88.29,89.78,87.90,215.39K,1.77%
Mar 16  2016,87.75,88.35,88.35,87.25,132.47K,-0.49%
Mar 15  2016,88.18,87.35,88.28,87.00,186.29K,0.83%
Mar 14  2016,87.45,88.10,88.30,87.13,180.22K,-0.74%
Mar 11  2016,88.10,88.28,88.50,87.16,215.42K,-0.23%
Mar 10  2016,88.30,87.94,88.83,87.94,201.69K,0.33%
Mar 09  2016,88.01,88.24,88.75,87.57,273.32K,0.24%
Mar 08  2016,87.80,86.96,88.46,86.71,194.92K,0.76%
Mar 07  2016,87.14,87.09,87.76,86.64,227.84K,-0.27%
Mar 04  2016,87.38,87.36,88.01,86.69,239.39K,0.08%
Mar 03  2016,87.31,86.24,87.81,86.07,310.54K,1.33%
