Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,26.62,26.70,26.71,26.42,779.77K,0.19%
Apr 18  2016,26.57,26.00,26.84,26.00,498.07K,0.72%
Apr 15  2016,26.38,26.40,26.62,26.05,599.00K,-1.46%
Apr 14  2016,26.77,26.87,26.95,26.33,520.94K,-0.30%
Apr 13  2016,26.85,26.99,27.00,26.48,508.33K,0.41%
Apr 12  2016,26.74,26.40,26.89,26.11,658.00K,1.87%
Apr 11  2016,26.25,26.10,26.32,26.03,422.74K,0.81%
Apr 08  2016,26.04,26.12,26.34,25.81,693.58K,0.42%
Apr 07  2016,25.93,26.25,26.30,25.65,789.26K,-1.41%
Apr 06  2016,26.30,26.02,26.44,25.99,665.37K,1.66%
Apr 05  2016,25.87,25.80,26.05,25.60,639.61K,-0.12%
Apr 04  2016,25.90,26.18,26.43,25.85,597.07K,-0.23%
Apr 01  2016,25.96,26.43,26.44,25.80,808.30K,-2.95%
Mar 31  2016,26.75,25.85,26.94,25.85,1.13M,3.16%
Mar 30  2016,25.93,25.76,26.12,25.68,745.23K,2.17%
Mar 29  2016,25.38,25.05,25.53,25.04,616.97K,-0.24%
Mar 28  2016,25.44,25.50,25.62,25.05,429.67K,-0.43%
Mar 24  2016,25.55,25.27,25.78,25.10,494.31K,0.00%
Mar 23  2016,25.55,26.04,26.04,25.45,464.38K,-1.08%
Mar 22  2016,25.83,25.50,26.07,25.46,514.26K,1.21%
Mar 21  2016,25.52,25.47,25.70,25.46,474.82K,-0.12%
Mar 18  2016,25.55,26.07,26.12,25.21,1.96M,-2.59%
Mar 17  2016,26.23,26.09,26.26,26.00,948.09K,1.63%
Mar 16  2016,25.81,26.00,26.19,25.68,690.14K,-0.08%
Mar 15  2016,25.83,25.71,25.86,25.55,544.66K,0.27%
Mar 14  2016,25.76,25.79,25.90,25.58,706.64K,-0.54%
Mar 11  2016,25.90,25.73,25.98,25.47,735.66K,2.61%
Mar 10  2016,25.24,25.30,25.40,24.94,781.90K,0.00%
Mar 09  2016,25.24,25.31,26.12,25.11,1.16M,0.64%
Mar 08  2016,25.08,25.50,25.50,24.89,944.71K,-1.65%
Mar 07  2016,25.50,25.47,25.91,25.39,1.05M,0.20%
Mar 04  2016,25.45,25.14,25.50,25.00,641.41K,2.13%
Mar 03  2016,24.92,24.95,25.41,24.69,835.62K,0.81%
Mar 02  2016,24.72,24.66,24.88,24.16,611.99K,-0.56%
Mar 01  2016,24.86,24.99,25.39,24.52,775.47K,0.16%
Feb 29  2016,24.82,24.59,24.90,24.44,1.39M,1.55%
Feb 26  2016,24.44,24.18,24.54,24.10,590.20K,2.78%
Feb 25  2016,23.78,23.91,23.92,23.13,619.13K,-0.08%
Feb 24  2016,23.80,23.39,23.89,23.21,923.47K,-1.53%
Feb 23  2016,24.17,24.58,25.09,24.00,1.08M,-1.10%
Feb 22  2016,24.44,23.98,24.68,23.85,1.47M,4.31%
Feb 19  2016,23.43,22.38,23.53,22.26,1.43M,2.40%
Feb 18  2016,22.88,22.51,23.00,22.26,1.30M,3.91%
Feb 17  2016,22.02,21.69,22.13,21.26,1.40M,3.92%
Feb 16  2016,21.19,21.07,21.30,20.85,830.85K,2.12%
Feb 12  2016,20.75,20.73,21.24,20.53,896.21K,1.47%
Feb 11  2016,20.45,20.10,20.67,20.10,813.73K,-0.15%
Feb 10  2016,20.48,20.80,20.98,20.30,909.88K,-1.40%
Feb 09  2016,20.77,21.50,21.61,20.43,1.11M,-3.98%
Feb 08  2016,21.63,22.37,22.38,21.53,920.89K,-4.67%
Feb 05  2016,22.69,22.75,22.91,22.40,487.79K,-0.70%
Feb 04  2016,22.85,23.00,23.01,22.65,1.07M,0.40%
Feb 03  2016,22.76,22.44,22.86,21.80,748.83K,2.48%
Feb 02  2016,22.21,22.00,22.26,21.51,802.40K,-1.02%
Feb 01  2016,22.44,22.62,22.62,22.17,818.98K,-1.15%
Jan 29  2016,22.70,22.95,22.95,22.39,2.09M,0.44%
