Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,12.53,12.85,12.92,12.45,1.23M,-3.24%
Apr 18  2016,12.95,12.33,13.02,12.17,184.43K,4.60%
Apr 15  2016,12.38,12.47,12.52,12.30,186.59K,-1.75%
Apr 14  2016,12.60,12.94,12.95,12.32,394.65K,-2.48%
Apr 13  2016,12.92,13.01,13.13,12.72,134.32K,-0.23%
Apr 12  2016,12.95,12.87,13.14,12.67,240.85K,1.09%
Apr 11  2016,12.81,12.88,12.98,12.21,333.72K,-0.62%
Apr 08  2016,12.89,13.48,13.50,12.60,797.39K,-5.50%
Apr 07  2016,13.64,13.97,14.11,13.35,321.75K,-3.26%
Apr 06  2016,14.10,13.47,14.21,13.47,292.82K,4.29%
Apr 05  2016,13.52,13.57,13.82,13.36,200.24K,-1.82%
Apr 04  2016,13.77,14.26,14.31,13.62,369.39K,-3.03%
Apr 01  2016,14.20,14.00,14.53,13.87,1.31M,-1.18%
Mar 31  2016,14.37,14.24,14.52,13.72,503.33K,0.70%
Mar 30  2016,14.27,13.80,14.46,13.80,494.62K,3.86%
Mar 29  2016,13.74,12.61,13.79,12.51,318.96K,7.85%
Mar 28  2016,12.74,12.53,12.88,12.13,152.42K,2.17%
Mar 24  2016,12.47,12.66,12.66,12.28,237.26K,-2.27%
Mar 23  2016,12.76,13.15,13.29,12.68,218.12K,-3.92%
Mar 22  2016,13.28,13.33,13.50,13.07,210.83K,-0.67%
Mar 21  2016,13.37,12.99,13.52,12.93,273.02K,3.32%
Mar 18  2016,12.94,12.99,13.19,12.79,139.95K,0.31%
Mar 17  2016,12.90,12.45,13.06,12.42,216.53K,4.45%
Mar 16  2016,12.35,12.13,12.58,12.12,199.50K,2.15%
Mar 15  2016,12.09,12.49,12.50,11.99,448.65K,-3.43%
Mar 14  2016,12.52,12.97,13.00,12.49,329.37K,-2.87%
Mar 11  2016,12.89,12.35,12.93,12.31,297.23K,4.97%
Mar 10  2016,12.28,12.05,12.37,11.89,181.52K,1.82%
Mar 09  2016,12.06,11.86,12.24,11.76,416.80K,2.38%
Mar 08  2016,11.78,11.96,12.21,11.65,619.64K,-2.81%
Mar 07  2016,12.12,11.98,12.40,11.92,213.55K,1.08%
Mar 04  2016,11.99,12.03,12.50,11.95,711.12K,0.76%
Mar 03  2016,11.90,11.58,12.01,11.45,247.10K,2.76%
Mar 02  2016,11.58,11.38,11.94,11.33,419.35K,2.12%
Mar 01  2016,11.34,11.05,11.60,11.05,553.03K,3.85%
Feb 29  2016,10.92,10.80,10.93,10.56,242.64K,2.06%
Feb 26  2016,10.70,10.50,10.95,10.46,292.61K,3.88%
Feb 25  2016,10.30,10.53,10.73,10.00,207.38K,-2.92%
Feb 24  2016,10.61,10.40,10.63,10.23,315.68K,0.86%
Feb 23  2016,10.52,10.65,10.68,10.35,188.57K,-0.47%
Feb 22  2016,10.57,10.94,11.08,10.56,239.12K,-0.47%
Feb 19  2016,10.62,10.52,10.65,10.07,410.36K,0.47%
Feb 18  2016,10.57,10.75,10.75,10.16,250.27K,2.22%
