Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,11.34,11.59,11.59,11.34,113.36K,-1.90%
Apr 18  2016,11.56,11.55,11.66,11.43,225.41K,-0.60%
Apr 15  2016,11.63,11.62,11.75,11.53,160.45K,0.69%
Apr 14  2016,11.55,11.55,11.60,11.39,395.42K,1.76%
Apr 13  2016,11.35,10.85,11.40,10.85,718.81K,5.39%
Apr 12  2016,10.77,10.91,10.91,10.67,342.78K,0.28%
Apr 11  2016,10.74,10.80,10.85,10.63,179.08K,0.19%
Apr 08  2016,10.72,10.76,10.80,10.63,173.03K,0.28%
Apr 07  2016,10.69,10.60,10.80,10.45,455.95K,1.23%
Apr 06  2016,10.56,10.40,10.82,10.30,382.84K,2.23%
Apr 05  2016,10.33,10.32,10.36,10.12,187.92K,-0.86%
Apr 04  2016,10.42,10.73,10.90,10.39,148.04K,-2.71%
Apr 01  2016,10.71,10.32,10.78,10.20,312.69K,3.28%
Mar 31  2016,10.37,10.47,10.54,10.30,220.15K,-0.77%
Mar 30  2016,10.45,10.40,10.56,10.10,346.08K,2.15%
Mar 29  2016,10.23,9.94,10.43,9.67,380.19K,2.30%
Mar 28  2016,10.00,10.28,10.31,9.80,518.26K,3.63%
Mar 24  2016,9.65,10.20,10.54,9.54,825.68K,-8.10%
Mar 23  2016,10.50,10.73,10.94,9.77,818.56K,-8.46%
Mar 22  2016,11.47,11.35,11.55,11.25,265.50K,0.70%
Mar 21  2016,11.39,11.26,11.40,11.24,249.79K,1.42%
Mar 18  2016,11.23,11.57,11.66,11.04,512.10K,-2.94%
Mar 17  2016,11.57,11.65,11.85,11.29,579.13K,-2.36%
Mar 16  2016,11.85,11.93,11.95,11.58,132.19K,-0.34%
Mar 15  2016,11.89,11.84,11.93,11.51,201.82K,1.02%
Mar 14  2016,11.77,12.00,12.10,11.63,615.72K,-0.93%
Mar 11  2016,11.88,11.80,12.09,11.51,702.35K,3.30%
Mar 10  2016,11.50,11.35,11.89,11.00,3.29M,18.68%
Mar 09  2016,9.69,9.33,9.81,9.21,930.32K,4.19%
Mar 08  2016,9.30,9.33,9.34,8.87,378.97K,0.22%
Mar 07  2016,9.28,9.45,9.61,9.21,438.06K,-0.85%
Mar 04  2016,9.36,9.48,9.52,9.21,375.98K,-0.53%
Mar 03  2016,9.41,9.09,9.42,9.09,319.59K,3.75%
Mar 02  2016,9.07,9.30,9.30,9.01,156.11K,-2.26%
Mar 01  2016,9.28,9.59,9.59,9.17,235.56K,-1.69%
Feb 29  2016,9.44,9.34,9.57,9.22,316.16K,1.40%
Feb 26  2016,9.31,9.10,9.36,9.00,612.10K,3.22%
Feb 25  2016,9.02,9.00,9.25,8.99,289.92K,0.22%
Feb 24  2016,9.00,9.33,9.36,8.95,564.10K,-4.46%
Feb 23  2016,9.42,9.26,9.53,9.25,407.88K,1.62%
Feb 22  2016,9.27,9.01,9.60,9.01,1.07M,7.17%
Feb 19  2016,8.65,8.32,8.68,8.25,251.70K,2.37%
Feb 18  2016,8.45,8.55,8.65,8.35,221.85K,-1.17%
Feb 17  2016,8.55,8.16,8.69,8.11,457.96K,6.48%
Feb 16  2016,8.03,7.94,8.05,7.58,578.05K,2.42%
Feb 12  2016,7.84,7.64,7.87,7.63,220.72K,3.70%
Feb 11  2016,7.56,7.73,7.85,7.38,517.72K,-4.91%
Feb 10  2016,7.95,7.83,8.07,7.68,305.98K,2.05%
Feb 09  2016,7.79,7.75,7.87,7.55,270.04K,0.26%
Feb 08  2016,7.77,8.89,8.89,7.57,1.03M,-9.55%
Feb 05  2016,8.59,9.21,9.21,8.43,686.81K,-5.91%
Feb 04  2016,9.13,8.99,9.20,8.99,529.72K,1.56%
Feb 03  2016,8.99,9.06,9.14,8.71,395.80K,0.56%
Feb 02  2016,8.94,8.93,9.11,8.85,302.77K,-0.67%
Feb 01  2016,9.00,9.00,9.13,8.66,872.48K,6.13%
Jan 29  2016,8.48,8.19,8.57,8.19,344.40K,4.43%
Jan 28  2016,8.12,8.64,8.68,8.05,252.89K,-4.36%
Jan 27  2016,8.49,8.56,8.73,8.36,160.61K,-1.62%
Jan 26  2016,8.63,8.50,8.73,8.37,336.63K,2.37%
Jan 25  2016,8.43,8.54,8.62,8.16,303.31K,-1.52%
Jan 22  2016,8.56,8.62,8.84,8.49,255.12K,1.90%
Jan 21  2016,8.40,8.23,8.72,8.10,339.07K,1.45%
Jan 20  2016,8.28,8.07,8.36,7.47,596.60K,-0.84%
Jan 19  2016,8.35,8.76,9.00,8.08,406.83K,-3.36%
Jan 18  2016,8.64,8.80,8.95,8.44,126.50K,-3.03%
Jan 15  2016,8.91,9.11,9.13,8.71,404.14K,-6.11%
Jan 14  2016,9.49,9.14,9.53,8.96,319.20K,3.26%
Jan 13  2016,9.19,9.45,9.66,9.10,445.99K,-1.18%
Jan 12  2016,9.30,9.05,9.33,8.98,419.86K,3.45%
Jan 11  2016,8.99,9.97,10.48,8.81,1.06M,-2.60%
Jan 08  2016,9.23,9.30,9.66,8.95,685.21K,1.10%
Jan 07  2016,9.13,9.10,9.29,8.93,383.04K,-3.18%
Jan 06  2016,9.43,9.53,9.55,9.22,560.95K,-2.28%
Jan 05  2016,9.65,9.80,10.04,9.54,211.42K,-2.23%
Jan 04  2016,9.87,9.75,9.98,9.58,407.54K,-0.90%
Dec 31  2015,9.96,9.64,10.05,9.48,653.82K,2.36%
Dec 30  2015,9.73,9.74,10.12,9.53,421.70K,0.21%
Dec 29  2015,9.71,9.20,9.88,9.20,301.35K,5.54%
Dec 24  2015,9.20,8.99,9.28,8.77,277.36K,0.66%
Dec 23  2015,9.14,9.15,9.50,8.75,645.65K,0.33%
Dec 22  2015,9.11,8.99,9.63,8.54,1.24M,8.84%
Dec 21  2015,8.37,8.10,8.53,8.10,1.33M,4.89%
Dec 18  2015,7.98,8.28,8.40,6.76,6.31M,-19.07%
Dec 17  2015,9.86,11.00,12.38,9.78,766.60K,-19.84%
Dec 16  2015,12.30,12.35,12.65,12.23,449.55K,-0.32%
Dec 15  2015,12.34,11.83,12.48,11.83,419.58K,4.66%
Dec 14  2015,11.79,12.21,12.34,11.67,332.83K,-3.52%
Dec 11  2015,12.22,12.64,12.65,12.00,288.88K,-3.78%
Dec 10  2015,12.70,12.86,13.00,12.58,334.62K,-0.78%
Dec 09  2015,12.80,12.86,13.48,12.70,572.70K,0.39%
Dec 08  2015,12.75,12.73,12.95,12.37,381.44K,0.55%
Dec 07  2015,12.68,13.00,13.00,12.58,388.62K,-2.91%
Dec 04  2015,13.06,13.09,13.25,12.48,349.17K,-0.31%
Dec 03  2015,13.10,13.79,13.89,12.95,444.78K,-3.61%
Dec 02  2015,13.59,14.07,14.09,13.55,221.18K,-3.21%
Dec 01  2015,14.04,14.35,14.50,13.88,318.12K,-2.09%
Nov 30  2015,14.34,14.56,14.60,14.24,296.24K,-0.76%
Nov 27  2015,14.45,14.54,14.55,14.22,92.49K,-0.28%
Nov 26  2015,14.49,14.75,14.84,14.31,102.49K,0.35%
Nov 25  2015,14.44,14.25,14.85,14.25,653.57K,1.62%
Nov 24  2015,14.21,14.20,14.40,13.82,288.61K,0.28%
Nov 23  2015,14.17,14.40,14.67,14.16,156.50K,-1.05%
Nov 20  2015,14.32,13.64,14.36,13.63,419.16K,4.91%
Nov 19  2015,13.65,13.30,13.80,13.14,252.20K,2.09%
Nov 18  2015,13.37,13.10,13.46,12.93,220.83K,2.06%
Nov 17  2015,13.10,13.40,13.67,13.05,219.23K,-1.80%
Nov 16  2015,13.34,13.33,13.49,12.88,130.90K,-0.22%
Nov 13  2015,13.37,13.30,13.37,12.83,265.73K,0.38%
Nov 12  2015,13.32,13.53,13.75,13.27,255.74K,-2.20%
Nov 11  2015,13.62,13.38,13.99,13.38,267.59K,1.34%
Nov 10  2015,13.44,14.50,14.50,13.26,854.98K,-9.49%
Nov 09  2015,14.85,14.96,15.03,14.64,168.86K,-0.74%
Nov 06  2015,14.96,14.90,15.03,14.74,335.07K,0.20%
Nov 05  2015,14.93,15.17,15.22,14.52,1.38M,-1.65%
Nov 04  2015,15.18,14.97,15.25,14.97,567.17K,1.74%
Nov 03  2015,14.92,14.79,15.00,14.77,1.07M,0.47%
Nov 02  2015,14.85,14.66,15.05,14.66,644.46K,1.37%
Oct 30  2015,14.65,14.95,15.14,14.50,1.32M,4.27%
Oct 29  2015,14.05,13.64,14.16,13.17,851.61K,4.54%
Oct 28  2015,13.44,12.60,13.45,12.60,995.06K,7.35%
Oct 27  2015,12.52,12.52,12.54,12.34,247.85K,-0.08%
Oct 26  2015,12.53,12.50,12.56,12.25,111.07K,0.24%
Oct 23  2015,12.50,12.53,12.60,12.31,336.76K,1.71%
Oct 22  2015,12.29,12.26,12.34,11.97,312.89K,0.08%
Oct 21  2015,12.28,12.60,12.69,12.07,270.49K,-3.08%
Oct 20  2015,12.67,12.66,12.80,12.59,242.64K,-0.31%
Oct 19  2015,12.71,12.74,12.80,12.46,156.56K,-0.24%
Oct 16  2015,12.74,13.00,13.05,12.68,157.47K,-1.70%
Oct 15  2015,12.96,13.07,13.33,12.85,356.96K,-0.84%
Oct 14  2015,13.07,13.20,13.30,12.92,540.40K,-0.91%
Oct 13  2015,13.19,13.20,13.66,13.06,428.92K,1.23%
Oct 09  2015,13.03,13.06,13.25,12.88,415.56K,0.08%
Oct 08  2015,13.02,12.89,13.16,12.69,915.75K,0.93%
Oct 07  2015,12.90,12.63,13.00,12.63,576.42K,2.71%
Oct 06  2015,12.56,12.45,12.87,12.40,282.43K,0.80%
Oct 05  2015,12.46,12.85,13.00,12.30,510.33K,-0.88%
Oct 02  2015,12.57,11.67,12.72,11.61,868.05K,5.01%
Oct 01  2015,11.97,11.87,12.35,11.62,810.38K,4.27%
Sep 30  2015,11.48,11.10,11.49,11.05,234.12K,4.08%
Sep 29  2015,11.03,11.38,11.38,10.90,579.76K,-3.16%
Sep 28  2015,11.39,11.47,11.52,11.30,430.05K,-0.52%
Sep 25  2015,11.45,11.67,11.84,11.40,589.15K,-1.21%
Sep 24  2015,11.59,12.15,12.20,11.51,601.25K,-6.31%
Sep 23  2015,12.37,11.61,12.40,11.57,897.96K,6.91%
Sep 22  2015,11.57,11.97,11.97,11.42,641.06K,-4.06%
Sep 21  2015,12.06,11.84,12.07,11.52,1.17M,4.24%
Sep 18  2015,11.57,11.66,11.81,11.39,671.50K,-0.77%
Sep 17  2015,11.66,11.21,11.72,10.93,638.43K,4.29%
Sep 16  2015,11.18,10.72,11.56,10.72,668.09K,4.19%
Sep 15  2015,10.73,10.90,11.17,10.35,485.28K,-1.74%
Sep 14  2015,10.92,11.63,11.63,10.92,754.46K,-6.19%
Sep 11  2015,11.64,11.90,11.90,11.56,245.59K,-2.68%
Sep 10  2015,11.96,11.89,12.10,11.80,432.92K,-0.17%
Sep 09  2015,11.98,11.76,12.20,11.55,654.59K,2.31%
Sep 08  2015,11.71,12.05,12.13,11.65,347.25K,-1.26%
Sep 04  2015,11.86,11.60,12.00,11.39,445.26K,1.89%
Sep 03  2015,11.64,12.00,12.21,11.48,431.88K,-1.94%
Sep 02  2015,11.87,12.22,12.30,11.77,488.28K,0.34%
Sep 01  2015,11.83,12.19,12.31,11.68,625.43K,-2.95%
Aug 31  2015,12.19,11.33,12.34,11.25,2.67M,8.84%
Aug 28  2015,11.20,11.28,11.42,10.95,441.97K,-1.41%
Aug 27  2015,11.36,11.99,11.99,11.11,1.20M,2.25%
Aug 26  2015,11.11,11.41,11.56,10.92,749.60K,-1.24%
Aug 25  2015,11.25,12.99,13.19,11.11,529.00K,-5.46%
Aug 24  2015,11.90,10.55,12.39,10.55,557.99K,-3.33%
Aug 21  2015,12.31,12.65,12.98,12.17,468.42K,-3.83%
Aug 20  2015,12.80,12.78,13.14,12.56,497.33K,-0.39%
Aug 19  2015,12.85,13.45,13.64,12.55,752.64K,-4.25%
Aug 18  2015,13.42,13.92,14.04,13.34,310.93K,-3.66%
Aug 17  2015,13.93,14.15,14.50,13.64,672.45K,-0.92%
Aug 14  2015,14.06,15.99,16.10,13.97,1.06M,-10.45%
Aug 13  2015,15.70,16.13,16.28,15.58,945.86K,-0.95%
Aug 12  2015,15.85,16.01,16.29,15.47,783.19K,-2.10%
